Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Gomez,Thiago Gomez,-564116,Argentinos Juniors Res.,Argentinos Juniors Res.,https://cdn5.wyscout.com/photos/team/public/4006_120x120.png,Torneo Proyección,"RCB, RCB3",RCB,69,RCB3,30,,0,20.0,2006-03-18,0,,13,1228,0,0.0,1,0.34,14.36,57.14,Argentina,['Argentina'],right,176,0,False,9.53,6.23,67.06,3.3,53.33,0.37,0.54,0.22,4.98,7.29,1.17,3,0.22,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.29,50.0,0.0,0.0,0.29,50.0,0.0,0.22,66.67,2.93,60.0,0.66,1.3900000000000001,0.0,28.14,0.51,1.32,41.12,83.78,20.3,75.09,2.71,89.19,32.54,91.44,8.28,54.87,22.59,40.29,0.03,0.29,0.0,0.0,0.07,0.0,0.29,6.89,69.15,0.88,25.0,0.44,50.0,0.37,0.15,9.6,76.34,92.82,14.29,0,,0,,0,0.0,0.0,0.0,,,1.54,,3.3,0.0,0.0,0.0,0.0,0,0
Rodrigo Fernández,Rodrigo Nicolás Fernández,-560452,Argentinos Juniors,Argentinos Juniors Res.,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,"LAMF, LW, LWB",LAMF,20,LW,19,LWB,16,19.0,2007-01-24,0,,13,1088,3,1.74,3,2.68,24.98,44.04,Argentina,['Argentina'],unknown,0,0,False,5.79,5.29,59.38,1.08,30.77,0.0,0.0,0.0,2.65,3.9,1.49,2,0.17,0,0.0,7.11,0.25,2,0.17,0.14,0,0.0,21,1.74,42.86,14.286,0.25,5.29,37.5,2.98,41.67,2.23,33.33,0.66,8.93,48.15,16.79,41.87,2.65,4.22,0.74,18.12,2.65,1.74,27.79,69.35,7.28,59.09,3.7199999999999998,93.33,18.86,79.82,4.22,56.86,22.94,41.96,0.22,1.49,0.08,0.0,0.08,100.0,0.74,2.65,68.75,5.13,38.71,0.25,33.33,0.91,1.82,5.21,74.6,68.83,12.74,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.08,0.8300000000000001,0.17,50.0,2.56,1,100
A. Mangiaut,Agustín Mangiaut,-407358,Argentinos Juniors Res.,Argentinos Juniors Res.,https://cdn5.wyscout.com/photos/team/public/4006_120x120.png,Torneo Proyección,GK,GK,100,,0,,0,21.0,2004-05-24,0,2028-12-31,11,1036,0,0.0,0,0.0,0.6900000000000001,87.5,Argentina,['Argentina'],,185,84,False,1.9100000000000001,0.09,100.0,0.17,50.0,0.09,0.13,0.0,1.74,2.5,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,10.6,0.43,0.35000000000000003,22.93,80.68,11.99,65.94,0.0,0.0,13.55,97.44,9.3,57.01,34.16,49.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,26.92,0.0,0.0,0.09,0.0,0.0,0.0,7.04,66.67,97.35,9.82,11,0.96,43,3.74,5,74.42,11.02,0.96,0.02,0.002,0.0,1.13,0.17,,,,0.0,0,0
F. Cruz,Facundo Cruz,-426042,Independiente Res.,Independiente Res.,https://cdn5.wyscout.com/photos/team/public/4020_120x120.png,Torneo Proyección,"DMF, LDMF",DMF,51,LDMF,37,,0,20.0,2006-05-22,0,,11,1021,0,0.37,0,0.0,27.24,54.05,Argentina,['Argentina'],,0,0,False,11.64,10.93,62.1,5.55,73.02,0.44,0.75,0.71,4.41,7.46,2.12,2,0.18,0,0.0,0.88,0.0,0,0.0,0.03,0,0.0,6,0.53,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,1.4100000000000001,62.5,7.93,36.67,0.53,0.53,0.0,21.68,0.0,1.67,37.02,84.52,10.31,72.65,5.82,93.94,33.58,87.93,3.35,52.63,19.43,39.65,0.0,0.09,0.18,0.0,0.0,0.0,0.0,5.29,66.67,0.53,33.33,0.0,0.0,0.35000000000000003,0.0,5.64,70.31,89.47,16.75,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,5.55,0.0,0.0,0.0,0.0,0,0
D. Ganly,Dariel Sánchez Ganly,-647958,Deportivo Riestra Res.,Deportivo Riestra Res.,https://cdn5.wyscout.com/photos/team/public/g35736_120x120.png,Torneo Proyección,"LCMF, RCMF",LCMF,49,RCMF,26,,0,20.0,2006-03-05,0,,11,1007,1,0.15,0,0.26,24.94,54.84,Argentina,['Argentina'],,0,0,False,12.15,9.74,66.06,3.22,61.11,0.09,0.11,0.18,5.63,6.97,2.23,2,0.18,1,0.09,0.89,0.09,1,0.09,0.01,0,0.0,3,0.27,33.33,33.333,0.0,0.27,33.33,0.09,0.0,0.18,50.0,0.09,1.25,57.14,7.69,43.02,0.27,1.25,0.0,8.13,0.09,1.6099999999999999,27.8,70.74,15.28,61.99,3.04,88.24,22.88,75.0,4.65,51.92,19.66,35.47,0.02,0.09,0.0,0.09,0.0,0.0,0.09,7.6,63.53,0.89,50.0,0.36,50.0,0.36,0.0,7.42,71.08,81.54,5.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.22,0.0,0.0,0.0,0.0,0,0
Juan Posse,Juan Pablo Posse,-564031,Atlético Tucumán Res.,Atlético Tucumán Res.,https://cdn5.wyscout.com/photos/team/public/g35716_120x120.png,Torneo Proyección,RCB,RCB,100,,0,,0,21.0,2005-03-18,0,2027-12-31,10,961,2,1.88,0,0.06,13.67,66.44,Argentina,['Argentina'],,0,0,False,8.24,5.99,73.44,4.03,53.49,0.47000000000000003,0.66,0.37,3.37,4.78,0.75,3,0.28,0,0.0,0.75,0.19,2,0.19,0.18,0,0.0,6,0.56,66.67,33.333,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.37,100.0,1.4,80.0,0.9400000000000001,0.84,0.09,26.04,0.47000000000000003,1.12,40.65,83.18,18.54,72.73,2.7199999999999998,96.55,34.65,88.11,5.9,55.56,20.75,37.1,0.01,0.09,0.0,0.0,0.0,0.0,0.0,4.03,51.16,0.47000000000000003,20.0,0.37,25.0,0.09,0.0,8.52,56.04,95.78,15.55,0,,0,,0,0.0,0.0,0.0,,,2.25,,4.03,0.0,0.0,0.0,0.0,0,0
C. Fernando,Fernando Nicolas Closter,-621165,Independiente Res.,Independiente Res.,https://cdn5.wyscout.com/photos/team/public/4020_120x120.png,Torneo Proyección,RCB,RCB,97,,0,,0,17.0,2008-07-18,0,,10,958,0,0.38,0,0.0,12.96,65.94,Argentina,['Argentina'],,0,0,False,12.31,6.95,78.38,3.38,52.78,0.56,0.91,0.66,6.29,10.2,1.13,1,0.09,0,0.0,0.09,0.0,0,0.0,0.04,0,0.0,2,0.19,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,0.75,37.5,0.47000000000000003,0.85,0.0,23.11,0.19,0.38,36.64,80.0,19.63,71.77,1.32,92.86,30.72,85.93,5.82,48.39,23.77,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,60.0,0.38,50.0,0.19,50.0,0.09,0.09,9.68,67.96,93.01,13.43,0,,0,,0,0.0,0.0,0.0,,,0.85,,3.38,0.09,0.09,0.0,0.0,0,0
N. Rojas,Nicolás Emanuel Rojas,-409615,Banfield Res.,Banfield Res.,https://cdn5.wyscout.com/photos/team/public/4003_120x120.png,Torneo Proyección,"RB5, RW, LCMF",RB5,27,RW,16,LCMF,10,20.0,2005-06-02,0,,10,954,0,0.58,0,0.17,19.72,49.28,Argentina,['Argentina'],,0,0,False,10.09,8.02,63.53,4.25,55.56,0.28,0.38,0.19,4.72,6.38,1.42,2,0.19,0,0.0,1.42,0.0,0,0.0,0.05,0,0.0,6,0.5700000000000001,33.33,0.0,0.0,0.85,33.33,0.28,66.67,0.5700000000000001,16.67,0.09,1.8900000000000001,45.0,5.47,24.14,0.66,1.51,0.19,15.0,0.5700000000000001,0.47000000000000003,25.85,75.91,10.09,64.49,4.34,91.3,22.83,79.75,2.17,52.17,17.02,30.63,0.02,0.19,0.0,0.09,0.09,100.0,0.09,4.72,64.0,1.23,46.15,0.38,75.0,0.47000000000000003,0.38,5.94,60.32,84.29,6.6,0,,0,,0,0.0,0.0,0.0,,,0.28,,4.25,0.0,0.0,0.0,0.0,0,0
S. Gianini,Santino Gianini,-722597,Argentinos Juniors Res.,Argentinos Juniors Res.,https://cdn5.wyscout.com/photos/team/public/4006_120x120.png,Torneo Proyección,"LCB, LCB3",LCB,55,LCB3,39,,0,18.0,2008-01-01,0,,11,942,1,0.79,0,0.16,16.62,59.77,Argentina,['Argentina'],unknown,0,0,False,9.08,7.74,74.07,3.06,53.13,0.38,0.54,0.1,2.96,4.17,0.96,1,0.1,0,0.0,0.86,0.1,1,0.1,0.08,0,0.0,8,0.76,12.5,12.5,0.0,0.86,22.22,0.76,25.0,0.1,0.0,0.0,0.86,66.67,3.34,34.29,0.96,1.43,0.0,28.76,1.15,0.38,42.9,80.85,21.5,72.89,3.54,86.49,34.59,87.57,7.45,56.41,24.06,42.16,0.01,0.29,0.19,0.0,0.0,0.0,0.1,8.98,70.21,1.34,35.71,0.76,25.0,0.19,0.29,12.8,76.12,91.14,15.1,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.06,0.0,0.0,0.0,0.0,0,0
S. Luca Rayneli,Santino Luca Rayneli,-721631,Huracán Res.,Huracán Res.,https://cdn5.wyscout.com/photos/team/public/g32893_120x120.png,Torneo Proyección,"LDMF, DMF, RDMF",LDMF,45,DMF,31,RDMF,23,18.0,2008-01-01,0,,10,928,0,0.06,0,0.0,16.68,59.3,Argentina,['Argentina'],unknown,0,0,False,10.47,9.31,66.67,2.33,54.17,0.19,0.28,0.29,4.07,5.8100000000000005,1.55,0,0.0,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,2,0.19,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,33.33,3.69,52.63,0.0,0.48,0.0,20.85,0.19,1.45,33.07,82.7,10.77,65.77,3.59,94.59,29.29,87.75,3.7800000000000002,43.59,19.05,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,59.57,0.48,20.0,0.39,0.0,0.0,0.0,5.24,51.85,93.33,14.55,0,,0,,0,0.0,0.0,0.0,,,0.48,,2.33,0.0,0.0,0.0,0.0,0,0
