Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Steurer,Oliver Steurer,260525,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,LCB3,LCB3,82,,0,,0,31,1995-01-06,275000,2027-06-30,33,3251,2,2.51,1,2.2,9.72,56.7,Germany,['Germany'],left,191,87,False,7.31,3.76,63.97,3.52,52.76,0.14,0.23,0.36,4.76,7.95,0.47000000000000003,4,0.11,0,0.0,0.53,0.06,2,0.06,0.07,0,0.0,12,0.33,33.33,16.667,0.03,0.44,68.75,0.42,66.67,0.03,100.0,0.03,0.19,57.14,0.78,57.14,0.75,0.89,0.03,23.97,0.42,0.47000000000000003,36.49,81.64,18.02,73.89,3.41,91.06,30.7,87.2,5.48,51.52,20.28,42.54,0.06,0.36,0.0,0.03,0.0,0.0,0.19,4.79,60.69,0.8,41.38,0.08,66.67,0.39,0.25,7.78,66.55,89.92,10.44,0,,0,,0,0.0,0.0,0.0,,,1.47,,3.52,0.0,0.0,0.0,0.0,0,0.0
L. Jungwirth,Lukas Jungwirth,-153264,LASK,LASK,https://cdn5.wyscout.com/photos/team/public/421_120x120.png,Bundesliga,GK,GK,100,,0,,0,22,2004-04-30,200000,2029-06-30,32,3161,0,0.0,0,0.0,0.5700000000000001,70.0,Austria,['Austria'],right,177,78,False,1.28,0.11,75.0,0.34,75.0,0.0,0.0,0.0,1.2,1.69,0.06,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,11.96,0.17,0.03,18.76,85.13,8.97,70.79,0.0,0.0,13.18,98.27,5.52,54.64,30.87,44.88,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.51,41.51,0.23,25.0,0.09,0.0,0.06,0.0,4.47,66.88,99.04,8.88,42,1.2,124,3.5300000000000002,9,66.13,37.48,1.07,-4.52,-0.129,0.0,1.05,0.34,,,,0.0,0,0.0
A. Leitner,Andreas Leitner,144047,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,GK,GK,100,,0,,0,32,1994-03-25,300000,2028-06-30,32,3155,0,0.0,1,0.2,0.43,73.33,Austria,['Austria'],both,184,79,False,1.9100000000000001,0.14,80.0,0.2,71.43,0.03,0.05,0.0,1.77,2.93,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,50.0,0.0,0.0,0.0,13.38,0.29,0.09,21.08,83.63,12.67,74.77,0.06,0.0,11.95,96.42,9.04,67.51,33.68,48.75,0.01,0.03,0.0,0.0,0.0,0.0,0.03,4.54,70.44,0.29,20.0,0.06,50.0,0.09,0.0,7.7,78.15,98.09,7.47,42,1.2,141,4.02,7,70.21,42.96,1.23,0.96,0.027,0.0,0.9400000000000001,0.2,,,,0.0,0,0.0
S. Şahin-Radlinger,Samuel Şahin-Radlinger,124874,Austria Wien,Austria Wien,https://cdn5.wyscout.com/photos/team/public/422_120x120.png,Bundesliga,GK,GK,100,,0,,0,33,1992-11-07,400000,2027-06-30,32,3137,0,0.08,0,0.0,0.66,78.26,Austria,['Austria'],right,198,85,False,1.52,0.14,40.0,0.29,90.0,0.0,0.0,0.0,1.46,2.02,0.03,2,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,1,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.14,100.0,0.06,0.03,0.0,13.31,0.66,0.11,20.14,88.89,10.07,79.77,0.06,100.0,14.75,98.25,5.39,63.3,29.86,48.34,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.4100000000000001,57.14,0.11,25.0,0.09,0.0,0.06,0.0,4.79,71.26,98.13,9.21,50,1.43,125,3.59,9,60.0,40.51,1.16,-9.49,-0.272,0.0,1.6600000000000001,0.29,,,,0.0,0,0.0
J. Lawrence,Jamie Lawrence,-91837,WSG Swarovski Tirol,WSG Swarovski Tirol,https://cdn5.wyscout.com/photos/team/public/g2930_120x120.png,Bundesliga,CB,CB,93,,0,,0,23,2002-11-10,500000,2026-06-30,32,3093,2,5.47,0,0.25,15.19,63.98,Germany,"['Germany', 'Nigeria']",right,201,86,False,9.02,4.54,69.23,6.63,67.11,0.09,0.11,0.52,5.79,7.6,0.79,5,0.15,0,0.0,0.35000000000000003,0.06,2,0.06,0.16,0,0.0,22,0.64,27.27,9.091,0.0,0.12,75.0,0.03,100.0,0.06,100.0,0.06,0.09,33.33,0.99,35.29,1.54,0.09,0.03,17.98,0.12,0.38,32.88,85.58,11.03,69.39,2.07,91.55,29.56,88.58,3.2,58.18,22.17,37.56,0.01,0.17,0.09,0.0,0.06,100.0,0.06,1.9500000000000002,47.76,0.26,22.22,0.12,75.0,0.26,0.09,4.51,57.42,95.62,17.26,0,,0,,0,0.0,0.0,0.0,,,1.43,,6.63,0.0,0.0,0.0,0.0,0,0.0
D. Stojanović,Dejan Stojanović,132200,Rheindorf Altach,Rheindorf Altach,https://cdn5.wyscout.com/photos/team/public/426_120x120.png,Bundesliga,GK,GK,100,,0,,0,32,1993-07-19,600000,2026-06-30,32,3092,0,0.0,0,0.14,0.87,83.33,Austria,['Austria'],left,196,89,False,1.48,0.15,100.0,0.26,88.89,0.0,0.0,0.0,1.34,2.01,0.0,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,90.0,0.0,0.0,0.0,15.66,0.35000000000000003,0.38,25.06,78.98,17.17,70.68,0.03,100.0,10.8,98.11,14.23,64.62,40.09,51.72,0.0,0.06,0.0,0.0,0.0,0.0,0.03,4.98,53.22,0.35000000000000003,8.33,0.2,14.29,0.0,0.0,10.71,82.34,98.41,7.31,37,1.08,138,4.02,10,73.19,37.45,1.09,0.45,0.013000000000000001,0.0,1.69,0.26,,,,0.0,0,0.0
M. Sollbauer,Michael  Sollbauer,66201,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,CB,CB,82,,0,,0,36,1990-05-15,200000,2026-06-30,32,3089,0,1.32,1,0.59,13.34,63.32,Austria,['Austria'],right,187,86,False,8.65,5.39,70.27,4.08,51.43,0.29,0.49,0.64,4.57,7.67,1.02,6,0.17,0,0.0,0.2,0.0,0,0.0,0.04,0,0.0,6,0.17,33.33,0.0,0.03,0.06,50.0,0.03,100.0,0.0,0.0,0.0,0.15,80.0,0.9,58.06,0.52,0.17,0.0,16.52,0.2,0.67,31.58,87.73,11.04,75.99,2.01,94.2,28.93,91.14,2.59,50.56,18.29,32.63,0.02,0.12,0.03,0.03,0.0,0.0,0.12,2.88,67.68,0.35000000000000003,50.0,0.06,0.0,0.26,0.03,4.05,58.99,95.66,14.77,0,,0,,0,0.0,0.0,0.0,,,1.49,,4.08,0.0,0.0,0.0,0.0,0,0.0
B. Markuš,Benjamin Markuš,-136692,Hartberg,Hartberg,https://cdn5.wyscout.com/photos/team/public/2105_120x120.png,Bundesliga,"DMF, LCMF, RCMF",DMF,75,LCMF,12,RCMF,10,25,2001-01-30,400000,2027-06-30,32,3066,0,1.57,1,0.74,15.03,54.69,Slovenia,['Slovenia'],right,185,75,False,8.69,6.9,60.0,2.88,50.0,0.0,0.0,0.65,4.55,5.01,1.5,3,0.09,0,0.0,0.56,0.0,0,0.0,0.05,0,0.0,22,0.65,18.18,0.0,0.03,0.12,50.0,0.06,0.0,0.06,100.0,0.0,0.59,60.0,3.2,45.87,0.59,0.23,0.03,20.87,0.12,0.85,32.05,79.12,12.86,62.79,3.35,92.11,27.77,83.51,4.17,50.7,19.59,35.82,0.02,0.21,0.06,0.0,0.06,50.0,0.09,4.78,65.03,0.59,50.0,0.44,13.33,0.23,0.06,6.46,60.0,91.93,12.01,0,,0,,0,0.0,0.0,0.0,,,0.26,,2.88,0.03,0.0,0.0,0.03,0,0.0
R. Ranftl,Reinhold Ranftl,141187,Austria Wien,Austria Wien,https://cdn5.wyscout.com/photos/team/public/422_120x120.png,Bundesliga,"RWB, RB5",RWB,69,RB5,19,,0,34,1992-01-24,500000,2026-06-30,32,3047,3,2.34,0,2.94,14.44,51.74,Austria,['Austria'],right,180,77,False,8.12,5.94,56.22,3.07,52.88,0.18,0.24,0.03,4.61,6.32,0.89,4,0.12,0,0.0,2.07,0.09,3,0.09,0.07,0,0.0,28,0.8300000000000001,35.71,10.714,0.0,4.05,24.82,0.06,50.0,3.96,23.88,0.53,1.27,60.47,3.63,47.15,1.15,2.27,0.44,27.53,1.3900000000000001,1.24,37.78,66.07,16.07,56.99,6.29,90.61,27.91,75.87,6.0,47.29,20.75,37.44,0.09,0.68,0.18,0.03,0.06,0.0,0.5,7.24,53.88,4.46,41.06,0.35000000000000003,16.67,0.92,1.0,9.07,71.34,66.37,9.84,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.07,0.0,0.0,0.0,0.0,0,0.0
F. Wilfinger,Fabian Wilfinger,-267250,Hartberg,Hartberg,https://cdn5.wyscout.com/photos/team/public/2105_120x120.png,Bundesliga,"LCB3, CB",LCB3,62,CB,15,,0,22,2003-08-27,0,2029-06-30,31,3029,3,2.48,1,1.23,10.73,59.28,Austria,['Austria'],,178,68,False,9.24,4.99,67.86,2.59,52.87,0.15,0.16,0.8300000000000001,5.7,6.23,0.45,2,0.06,0,0.0,0.59,0.09,3,0.09,0.07,1,0.03,7,0.21,100.0,42.857,0.03,0.24,62.5,0.09,66.67,0.15,60.0,0.03,0.30000000000000004,70.0,1.78,55.0,0.53,0.30000000000000004,0.06,23.09,0.48,0.71,34.76,85.13,14.17,75.05,1.9300000000000002,92.31,30.25,89.88,4.28,52.78,21.16,40.41,0.04,0.15,0.03,0.03,0.03,100.0,0.12,3.21,63.89,0.51,47.06,0.27,44.44,0.15,0.15,6.63,61.43,94.29,15.6,0,,0,,0,0.0,0.0,0.0,,,1.07,,2.59,0.0,0.0,0.0,0.0,0,0.0
