Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Quliyev,Nihad Quliyev,506022,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,"RCB3, RB, RB5",RCB3,53,RB,11,RB5,11,24.0,2001-07-19,75000,,23,2201,1,2.36,1,1.6600000000000001,17.87,63.39,Azerbaijan,['Azerbaijan'],right,183,75,False,8.55,6.3,71.43,4.66,71.93,0.04,0.06,0.16,4.01,6.02,1.19,4,0.16,0,0.0,2.49,0.04,1,0.04,0.1,0,0.0,16,0.65,18.75,6.25,0.04,1.76,34.88,0.04,100.0,1.72,33.33,0.29,2.17,79.25,5.15,56.35,1.76,2.37,0.45,33.82,1.1400000000000001,0.98,48.54,85.09,20.24,77.17,6.09,93.29,41.79,91.78,5.03,47.15,18.66,31.29,0.07,0.7000000000000001,0.04,0.04,0.04,100.0,0.45,7.4,71.27,2.49,54.1,0.37,33.33,0.98,0.61,8.46,77.78,93.01,15.21,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,4.66,0.0,0.0,0.0,0.0,0,0.0
E. Zamanov,Emin Zamanov,315798,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,"LWF, LCMF, AMF",LWF,23,LCMF,18,AMF,14,28.0,1997-12-26,100000,,24,2148,11,8.33,4,5.28,14.12,48.37,Azerbaijan,['Azerbaijan'],right,172,64,False,4.78,4.44,66.04,1.17,28.57,0.0,0.0,0.0,1.8399999999999999,2.73,0.96,3,0.13,0,0.0,3.44,0.46,5,0.21,0.35000000000000003,0,0.0,51,2.14,47.06,21.569,0.17,2.22,33.96,1.05,36.0,1.17,32.14,0.17,2.39,66.67,6.45,40.26,1.05,1.47,0.13,30.84,1.3,0.63,41.19,80.57,13.91,72.89,7.37,93.18,34.19,86.4,4.86,60.34,19.39,36.28,0.22,1.6800000000000002,0.08,0.13,0.21,40.0,0.54,7.21,68.6,3.73,55.06,0.88,52.38,1.42,0.67,8.09,84.97,84.46,14.29,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.17,2.85,0.46,36.36,3.14,7,85.714
T. Quliyev,Tarlan Quliyev,129706,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,"LCB3, LB",LCB3,81,LB,16,,0,34.0,1992-04-19,50000,,23,2147,4,2.47,0,0.32,10.35,63.56,Azerbaijan,['Azerbaijan'],left,176,74,False,6.54,4.74,75.22,4.19,60.0,0.08,0.13,0.17,2.89,4.33,0.8,2,0.08,0,0.0,0.75,0.17,3,0.13,0.1,1,0.04,20,0.84,35.0,20.0,0.0,1.05,40.0,1.01,37.5,0.04,100.0,0.08,0.04,100.0,0.34,50.0,0.42,1.13,0.04,34.25,0.46,0.13,47.37,84.6,23.01,75.77,3.19,97.37,38.61,92.07,7.8,52.69,21.7,35.35,0.01,0.21,0.0,0.0,0.0,0.0,0.08,9.22,75.0,1.8,41.86,0.88,33.33,0.46,0.38,11.49,80.66,94.16,16.52,0,,0,,0,0.0,0.0,0.0,,,1.09,,4.19,0.38,0.21,40.0,0.21,1,100.0
F. Mahmudov,Farid Mahmudov,467505,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,LB,LB,92,,0,,0,25.0,2000-08-22,0,2026-06-30,22,2113,0,0.12,1,3.6,12.44,55.48,Azerbaijan,['Azerbaijan'],,0,0,False,8.69,6.52,61.44,1.45,50.0,0.26,0.38,0.13,4.43,6.62,0.55,1,0.04,0,0.0,1.87,0.0,0,0.0,0.01,0,0.0,10,0.43,10.0,0.0,0.04,3.2800000000000002,36.36,2.94,34.78,0.34,50.0,0.64,1.24,51.72,3.24,47.37,0.34,0.98,0.13,20.79,0.77,1.24,34.2,63.89,17.08,55.11,4.5600000000000005,88.79,21.51,77.03,9.54,42.86,24.32,38.84,0.15,1.28,0.0,0.0,0.0,0.0,0.47000000000000003,6.94,49.69,2.9,47.06,0.17,25.0,0.21,1.24,10.56,60.89,64.36,8.01,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.45,2.17,0.0,0.0,1.79,0,0.0
C. Qurbanlı,Cavad Qurbanlı,-184499,Şahdağ,Şahdağ,https://cdn5.wyscout.com/photos/team/public/g188_120x120.png,Birinci Dasta,"CB, RCB",CB,81,RCB,12,,0,24.0,2002-04-17,0,,22,2085,1,0.77,0,0.31,14.24,60.61,Azerbaijan,['Azerbaijan'],,0,0,False,7.73,5.05,71.79,6.43,54.36,0.09,0.11,0.43,4.01,5.33,0.65,3,0.13,0,0.0,0.22,0.04,1,0.04,0.03,1,0.04,5,0.22,80.0,20.0,0.0,0.13,33.33,0.09,50.0,0.04,0.0,0.04,0.0,0.0,1.04,41.67,0.8200000000000001,0.65,0.0,21.8,0.43,0.30000000000000004,37.25,84.47,14.85,71.22,2.81,90.77,32.03,89.08,5.09,56.78,21.48,34.37,0.01,0.09,0.04,0.0,0.0,0.0,0.04,2.81,67.69,0.35000000000000003,25.0,0.04,100.0,0.39,0.04,6.91,56.88,96.09,16.58,0,,0,,0,0.0,0.0,0.0,,,1.94,,6.43,0.0,0.0,0.0,0.0,0,0.0
S. Baghirov,Sabayil Baghirov,320863,Sabail,Sabail,https://cdn5.wyscout.com/photos/team/public/g37518_120x120.png,Birinci Dasta,"RCB3, RB",RCB3,52,RB,42,,0,31.0,1995-01-30,50000,2026-06-30,21,2056,1,2.21,2,2.36,12.56,54.36,Azerbaijan,['Azerbaijan'],,0,0,False,8.19,5.91,66.67,3.2,56.16,0.04,0.06,0.22,4.2,6.04,0.92,3,0.13,0,0.0,1.4,0.04,1,0.04,0.1,0,0.0,13,0.5700000000000001,23.08,7.692,0.09,2.63,41.67,0.09,50.0,2.54,41.38,0.35000000000000003,0.53,33.33,2.06,23.4,1.4,0.8300000000000001,0.18,30.07,1.23,0.26,43.77,77.7,21.19,69.83,3.06,94.29,31.3,88.53,9.89,52.65,23.83,39.54,0.1,0.7000000000000001,0.04,0.0,0.0,0.0,0.48,8.4,60.94,3.02,33.33,0.79,27.78,0.44,1.05,12.3,76.51,84.33,15.36,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,3.2,0.0,0.0,0.0,0.0,0,0.0
R. Azizli,Rashad Azizli,161845,Sabail,Sabail,https://cdn5.wyscout.com/photos/team/public/g37518_120x120.png,Birinci Dasta,GK,GK,100,,0,,0,32.0,1994-01-01,150000,2026-06-30,21,2050,0,0.0,0,0.0,0.75,94.12,Azerbaijan,['Azerbaijan'],right,185,79,False,1.1400000000000001,0.04,100.0,0.22,100.0,0.0,0.0,0.0,1.1,1.6099999999999999,0.0,6,0.26,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,8.6,0.13,0.4,16.11,84.2,8.96,75.0,0.04,100.0,10.23,97.0,5.88,61.94,30.6,43.92,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.23,53.57,0.04,0.0,0.0,0.0,0.0,0.0,4.43,68.32,95.21,6.41,13,0.5700000000000001,67,2.94,13,80.6,14.48,0.64,1.48,0.065,0.04,2.06,0.22,,,,0.0,0,0.0
K. Kalunqa,Kennet Kalunqa,-764774,Asta Mingachevir,Asta Mingachevir,https://cdn5.wyscout.com/photos/team/public/g10103_120x120.png,Birinci Dasta,CF,CF,85,,0,,0,29.0,1997-01-18,0,,21,2048,10,6.98,3,3.39,29.97,35.78,Azerbaijan,['Azerbaijan'],unknown,0,0,False,3.21,3.03,65.22,10.15,36.8,0.09,0.14,0.13,1.1400000000000001,1.77,2.02,1,0.04,0,0.0,4.04,0.44,10,0.44,0.31,3,0.13,60,2.64,45.0,16.667,0.13,2.29,36.54,1.1,32.0,1.1400000000000001,42.31,0.4,4.48,44.12,12.92,29.59,5.49,1.63,0.26,14.19,4.17,1.19,20.3,70.35,5.45,66.94,4.22,87.5,16.92,76.88,1.23,39.29,17.88,30.16,0.15,1.1400000000000001,0.09,0.04,0.04,100.0,0.66,2.7199999999999998,66.13,1.9300000000000002,59.09,0.09,0.0,0.79,0.66,2.64,85.0,65.81,6.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.15,0.0,0.0,0.0,0.0,0,0.0
S. Mammadov,Seymur Mammadov,-289743,Asta Mingachevir,Asta Mingachevir,https://cdn5.wyscout.com/photos/team/public/g10103_120x120.png,Birinci Dasta,"LCMF, DMF, RCMF",LCMF,35,DMF,23,RCMF,14,22.0,2003-05-29,0,2027-05-31,21,2014,1,0.5,2,1.34,13.72,53.09,Azerbaijan,['Azerbaijan'],right,0,0,False,7.95,6.57,59.18,2.5,50.0,0.85,1.32,0.31,3.22,5.0,1.92,3,0.13,0,0.0,0.58,0.04,1,0.04,0.02,0,0.0,14,0.63,14.29,7.143,0.09,0.67,40.0,0.36,50.0,0.27,16.67,0.13,0.63,35.71,2.32,38.46,0.36,0.31,0.0,17.61,0.04,0.63,30.21,78.55,12.47,68.46,3.5700000000000003,92.5,24.53,83.97,5.05,56.64,20.73,35.73,0.06,0.76,0.04,0.09,0.04,0.0,0.31,6.79,67.11,1.3,58.62,0.63,57.14,0.67,0.27,7.19,70.81,84.81,10.59,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.5,0.0,0.0,0.0,0.0,0,0.0
R. Seyidov,Rubin Seyidov,427026,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,RB,RB,92,,0,,0,28.0,1998-05-17,0,2026-06-30,21,1970,1,1.79,0,0.73,18.46,53.22,Azerbaijan,['Azerbaijan'],,0,0,False,10.55,8.73,63.35,3.84,53.57,0.32,0.48,0.27,4.71,7.07,1.87,3,0.14,0,0.0,1.55,0.05,1,0.05,0.08,0,0.0,14,0.64,14.29,7.143,0.0,2.2800000000000002,36.0,0.0,0.0,2.2800000000000002,36.0,0.41000000000000003,1.1,58.33,3.65,36.25,1.01,0.91,0.05,15.26,0.64,0.41000000000000003,26.73,65.3,12.61,55.07,4.57,89.0,19.55,75.47,5.12,38.39,20.96,34.97,0.03,0.27,0.05,0.0,0.0,0.0,0.18,4.07,51.69,1.78,38.46,0.0,0.0,0.14,0.78,7.13,54.49,69.03,5.16,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.84,0.0,0.0,0.0,0.0,0,0.0
E. Cəfərov,Elnur Mail Oglu Cəfərov,274876,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,"LWB, LB5, LW",LWB,52,LB5,17,LW,14,29.0,1997-03-28,0,,22,1960,4,2.8,2,2.03,21.86,52.73,Azerbaijan,['Azerbaijan'],left,176,69,False,8.4,6.47,63.83,4.68,52.94,0.92,1.4100000000000001,0.05,3.35,5.13,1.42,6,0.28,0,0.0,3.63,0.18,4,0.18,0.13,3,0.14,24,1.1,37.5,16.667,0.09,2.94,35.94,2.62,33.33,0.32,57.14,0.23,3.44,62.67,8.13,49.15,1.9300000000000002,2.07,0.46,17.82,1.7000000000000002,2.16,28.84,70.06,10.1,57.73,5.33,88.79,22.78,79.03,3.54,35.06,19.16,34.35,0.09,0.8300000000000001,0.0,0.0,0.0,0.0,0.41000000000000003,4.18,48.35,3.63,46.84,0.51,9.09,1.01,0.92,6.38,72.66,69.89,8.54,0,,0,,0,0.0,0.0,0.0,,,0.05,,4.68,0.46,0.05,0.0,1.1,0,0.0
E. Veysov,Elşən Veysov,-184659,Şahdağ,Şahdağ,https://cdn5.wyscout.com/photos/team/public/g188_120x120.png,Birinci Dasta,"LB5, RCMF, DMF",LB5,32,RCMF,12,DMF,10,26.0,2000-01-01,0,,21,1951,2,0.53,2,1.35,15.59,55.92,Azerbaijan,['Azerbaijan'],,0,0,False,9.09,7.93,60.47,1.6099999999999999,34.29,0.09,0.12,0.18,4.2,5.59,1.2,6,0.28,0,0.0,2.35,0.09,2,0.09,0.02,0,0.0,13,0.6000000000000001,30.77,15.385,0.09,2.54,41.82,1.71,43.24,0.8300000000000001,38.89,0.37,1.57,70.59,4.75,58.25,0.46,1.01,0.14,24.45,0.97,1.6600000000000001,35.89,73.91,15.18,63.83,4.15,98.89,25.69,83.48,7.8,52.66,22.48,35.58,0.06,0.6000000000000001,0.09,0.0,0.0,0.0,0.37,7.24,63.69,2.91,42.86,0.74,37.5,0.6000000000000001,1.15,10.66,75.32,77.7,13.65,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.6099999999999999,1.06,0.14,33.33,0.6000000000000001,0,0.0
K. Hüseynov,Kamil Hüseynov,159045,Baku Sporting,Baku Sporting,https://cdn5.wyscout.com/photos/team/public/g-20678_120x120.png,Birinci Dasta,"RCB, LCB",RCB,72,LCB,19,,0,34.0,1992-02-04,0,,20,1927,0,0.19,0,0.02,9.76,64.11,Azerbaijan,['Azerbaijan'],,0,0,False,7.89,4.11,71.59,3.46,55.41,0.05,0.07,0.61,4.9,7.22,0.42,2,0.09,0,0.0,0.37,0.0,0,0.0,0.01,0,0.0,3,0.14,100.0,0.0,0.0,0.19,100.0,0.05,100.0,0.14,100.0,0.0,0.05,100.0,1.12,58.33,0.28,0.33,0.0,18.17,0.65,0.98,30.69,77.02,16.44,65.06,1.63,97.14,21.67,88.15,8.83,49.21,24.47,37.4,0.0,0.05,0.0,0.0,0.0,0.0,0.09,4.58,54.08,0.98,52.38,0.65,42.86,0.42,0.19,8.36,57.54,92.38,10.42,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.46,0.14,0.0,0.0,0.0,0,0.0
N. Əliyev,Nahid Əliyev,-718956,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,CF,CF,77,,0,,0,21.0,2005-02-02,0,,24,1898,8,7.76,3,2.16,18.97,35.0,Azerbaijan,['Azerbaijan'],,0,0,False,4.36,3.75,53.16,2.47,13.46,0.05,0.07,0.09,2.32,3.48,1.56,0,0.0,0,0.0,1.99,0.38,8,0.38,0.37,1,0.05,48,2.2800000000000002,29.17,16.667,0.14,1.28,22.22,0.76,25.0,0.52,18.18,0.24,2.47,38.46,9.39,32.32,5.45,1.04,0.24,13.04,1.42,1.8,17.78,71.2,3.79,57.5,4.65,88.78,15.7,77.04,0.9,42.11,15.09,14.31,0.1,1.0,0.09,0.05,0.14,66.67,0.28,2.23,61.7,1.6600000000000001,45.71,0.24,80.0,1.1400000000000001,0.24,1.9,77.5,65.09,5.03,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.47,0.0,0.0,0.0,0.0,0,0.0
İ. Zülfüqarlı,İsmayıl Zülfüqarly,-267235,Shafa Baku,Shafa Baku,https://cdn5.wyscout.com/photos/team/public/g183_120x120.png,Birinci Dasta,"RWB, RB5, RB",RWB,55,RB5,15,RB,11,25.0,2001-04-16,0,,23,1898,0,2.76,5,3.66,16.26,45.77,Azerbaijan,['Azerbaijan'],right,171,0,False,6.4,5.45,60.0,1.52,28.13,0.28,0.44,0.14,2.85,4.39,0.71,1,0.05,0,0.0,3.89,0.0,0,0.0,0.13,0,0.0,19,0.9,21.05,0.0,0.24,5.74,29.75,0.0,0.0,5.74,29.75,0.9,3.79,50.0,7.54,42.77,2.66,1.75,0.28,25.51,2.75,1.0,32.81,68.79,10.76,69.16,5.93,90.4,24.75,78.93,2.47,55.77,18.23,31.25,0.17,1.23,0.09,0.09,0.09,100.0,0.71,4.03,68.24,5.26,46.85,0.28,50.0,1.04,1.75,8.25,82.18,58.94,9.82,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.52,0.05,0.0,0.0,0.05,0,0.0
