Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Marcão,Marco Antônio Amorim de Oliveira Montes,-94711,Louletano,Louletano,https://cdn5.wyscout.com/photos/team/public/g1722_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,26.0,2000-04-19,0,2026-06-30,29,2859,0,0.0,1,0.71,0.91,96.3,Brazil,['Brazil'],right,191,100,False,1.82,0.03,0.0,0.51,100.0,0.03,0.05,0.0,1.79,2.55,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,13.78,0.14,0.37,22.09,83.33,8.99,63.91,0.0,0.0,15.91,96.39,6.08,50.56,33.3,56.54,0.02,0.03,0.0,0.0,0.0,0.0,0.03,3.61,42.06,0.84,12.0,0.51,33.33,0.07,0.0,4.29,70.87,96.92,12.06,19,0.64,57,1.9300000000000002,14,66.67,15.29,0.52,-3.71,-0.125,0.0,1.5899999999999999,0.51,,,,0.0,0,0.0
Pedro Cardoso,Pedro Nuno Loureiro Cardoso,-359647,Oliveira Hospital,Oliveira Hospital,https://cdn5.wyscout.com/photos/team/public/g1750_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,21.0,2004-09-08,0,,29,2840,0,0.0,1,0.18,0.75,100.0,Portugal,['Portugal'],unknown,0,0,False,1.6099999999999999,0.0,0.0,0.53,100.0,0.0,0.0,0.0,1.6099999999999999,2.48,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,11.39,0.26,0.36,20.02,81.15,9.88,64.12,0.0,0.0,12.96,97.22,6.99,52.11,35.03,56.49,0.01,0.03,0.0,0.03,0.0,0.0,0.03,3.81,40.52,0.53,6.25,0.46,28.57,0.03,0.0,4.53,69.57,98.6,9.35,14,0.46,67,2.2,16,79.1,16.74,0.55,2.74,0.09,0.0,1.25,0.53,,,,0.0,0,0.0
Carimo Conté,Carimo Conté,-426640,Atlético Malveira,Atlético Malveira,https://cdn5.wyscout.com/photos/team/public/g29445_120x120.png,Campeonato de Portugal,LCB,LCB,90,,0,,0,27.0,1999-02-19,0,,30,2805,2,0.77,0,0.32,8.89,62.45,Guinea-Bissau,['Guinea-Bissau'],,187,80,False,7.25,4.07,76.38,2.86,43.82,0.1,0.14,0.48,4.04,6.08,0.58,4,0.13,0,0.0,0.32,0.06,2,0.06,0.02,1,0.03,3,0.1,66.67,66.667,0.0,0.1,33.33,0.1,33.33,0.0,0.0,0.0,0.22,100.0,0.96,60.0,0.32,0.39,0.03,25.19,0.29,0.35000000000000003,39.27,86.68,15.4,75.0,2.5700000000000003,93.75,33.98,91.88,5.2,53.7,21.83,35.29,0.01,0.1,0.06,0.0,0.0,0.0,0.0,3.02,51.06,0.22,28.57,0.13,25.0,0.13,0.03,6.35,60.61,95.91,18.06,0,,0,,0,0.0,0.0,0.0,,,1.9300000000000002,,2.86,0.03,0.0,0.0,0.0,0,0.0
Diogo Ribeiro,Diogo Alexandre Figueiredo Ribeiro,-264529,Leça,Leça,https://cdn5.wyscout.com/photos/team/public/g1771_120x120.png,Campeonato de Portugal,"RB, LB",RB,55,LB,43,,0,23.0,2003-01-15,0,,29,2780,3,0.97,1,1.52,13.24,55.75,Portugal,['Portugal'],right,179,72,False,8.29,5.76,70.79,1.9100000000000001,47.46,0.45,0.78,0.26,3.76,6.48,0.62,2,0.06,0,0.0,1.17,0.1,3,0.1,0.03,0,0.0,17,0.55,35.29,17.647,0.03,1.72,28.3,0.52,37.5,1.2,24.32,0.26,0.74,65.22,4.18,42.64,0.65,1.65,0.42,23.89,2.07,1.13,33.09,75.54,14.47,67.34,4.24,91.6,27.36,83.2,4.05,44.0,19.6,36.63,0.05,0.65,0.03,0.03,0.0,0.0,0.26,5.24,61.73,2.33,40.28,0.32,50.0,0.62,0.58,7.8,67.63,79.12,9.62,0,,0,,0,0.0,0.0,0.0,,,0.45,,1.9100000000000001,0.06,0.03,0.0,0.03,0,0.0
José Costa,José Pedro Goncalves Costa,161773,Vianense,Vianense,https://cdn5.wyscout.com/photos/team/public/g3013_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,32.0,1994-04-09,0,2026-06-30,28,2765,0,0.0,0,0.0,0.49,86.67,Portugal,['Portugal'],right,188,82,False,1.53,0.0,0.0,0.36,90.91,0.03,0.05,0.0,1.5,2.4,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.03,0.03,0.0,15.07,0.2,0.07,23.44,80.69,12.76,66.84,0.0,0.0,14.42,97.29,8.95,54.55,32.83,48.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2800000000000002,42.86,0.13,0.0,0.13,25.0,0.0,0.0,6.35,67.69,98.37,9.96,35,1.1400000000000001,105,3.42,9,66.67,24.4,0.79,-10.6,-0.34500000000000003,0.0,1.53,0.36,,,,0.0,0,0.0
Tiago Cavadas,Tiago Manuel Soares Cavadas,460576,Louletano,Louletano,https://cdn5.wyscout.com/photos/team/public/g1722_120x120.png,Campeonato de Portugal,LCB,LCB,91,,0,,0,27.0,1999-01-27,0,2026-06-30,28,2755,1,1.87,0,0.0,10.16,62.63,Portugal,['Portugal'],right,182,77,False,6.93,3.69,74.29,3.94,56.25,0.07,0.1,0.6000000000000001,4.11,5.86,0.84,5,0.16,0,0.0,0.35000000000000003,0.03,1,0.04,0.07,1,0.04,13,0.46,30.77,7.692,0.0,0.07,50.0,0.04,0.0,0.04,100.0,0.0,0.28,62.5,1.37,51.28,0.56,0.74,0.0,23.06,0.25,0.28,38.92,85.09,16.21,73.1,1.23,94.29,31.64,91.44,7.21,57.56,25.17,42.57,0.0,0.04,0.04,0.0,0.0,0.0,0.04,5.8,58.18,0.49,21.43,0.25,71.43,0.14,0.04,7.84,69.96,94.44,19.62,0,,0,,0,0.0,0.0,0.0,,,0.77,,3.94,0.04,0.0,0.0,0.0,0,0.0
Rui Filipe,Rui Filipe Freitas Brandão,309889,Rebordosa,Rebordosa,https://cdn5.wyscout.com/photos/team/public/g10118_120x120.png,Campeonato de Portugal,RCB,RCB,99,,0,,0,31.0,1994-06-07,0,2026-06-30,28,2748,0,1.08,0,0.27,10.25,67.09,Portugal,['Portugal'],right,189,81,False,6.29,3.2800000000000002,69.0,4.26,70.0,0.26,0.38,0.46,3.77,5.46,1.05,9,0.29,0,0.0,0.2,0.0,0,0.0,0.04,0,0.0,6,0.2,33.33,0.0,0.0,0.2,50.0,0.07,50.0,0.13,50.0,0.03,0.07,50.0,0.79,50.0,0.62,0.39,0.0,14.25,0.29,0.56,28.03,78.39,14.38,68.11,0.92,96.43,20.01,86.58,7.83,58.16,26.7,40.52,0.01,0.16,0.0,0.0,0.0,0.0,0.1,5.21,57.23,0.72,27.27,0.29,33.33,0.26,0.13,7.76,73.84,90.03,11.17,0,,0,,0,0.0,0.0,0.0,,,0.72,,4.26,0.03,0.0,0.0,0.0,0,0.0
Zé Simão,José Pedro Ascenção Simão,-211696,Oliveira Hospital,Oliveira Hospital,https://cdn5.wyscout.com/photos/team/public/g1750_120x120.png,Campeonato de Portugal,RCB,RCB,97,,0,,0,25.0,2000-05-23,0,2026-06-30,28,2734,1,0.74,0,0.03,11.88,64.37,Portugal,['Portugal'],right,185,78,False,7.58,5.57,71.78,3.8200000000000003,62.5,0.0,0.0,0.65,3.58,5.59,0.96,5,0.16,0,0.0,0.24,0.03,1,0.03,0.03,0,0.0,7,0.24,14.29,14.286,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.24,85.71,1.13,54.55,0.41000000000000003,0.61,0.03,22.16,0.14,0.65,35.92,88.12,15.84,80.6,1.8399999999999999,90.74,32.2,92.58,3.69,50.0,20.81,33.22,0.0,0.03,0.0,0.03,0.0,0.0,0.03,3.48,68.63,0.14,25.0,0.07,100.0,0.03,0.0,6.15,66.67,95.86,15.67,0,,0,,0,0.0,0.0,0.0,,,1.5,,3.8200000000000003,0.0,0.0,0.0,0.0,0,0.0
Pedro Soares,Pedro Nuno dos Santos Soares,140830,Rebordosa,Rebordosa,https://cdn5.wyscout.com/photos/team/public/g10118_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,38.0,1987-11-03,0,2026-06-30,27,2687,0,0.0,0,0.1,0.87,92.31,Portugal,['Portugal'],left,184,77,False,1.8399999999999999,0.1,66.67,0.5700000000000001,100.0,0.03,0.05,0.0,1.74,2.48,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,100.0,0.0,0.0,0.0,6.23,0.2,0.23,13.8,76.21,10.45,69.87,0.0,0.0,5.59,95.21,8.21,63.27,41.72,52.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.92,57.26,0.27,25.0,0.33,40.0,0.1,0.0,6.36,81.05,96.84,3.18,20,0.67,93,3.11,13,78.49,21.76,0.73,1.76,0.059000000000000004,0.0,1.71,0.5700000000000001,,,,0.0,0,0.0
Miguel Rosário,Miguel Maurício Gonçalves Rosário,-72426,Vitória de Sernache,Vitória de Sernache,https://cdn5.wyscout.com/photos/team/public/g22461_120x120.png,Campeonato de Portugal,"CB, RCB",CB,75,RCB,21,,0,28.0,1998-03-17,0,2026-06-30,27,2662,1,1.07,1,0.34,11.77,64.37,Portugal,['Portugal'],right,192,80,False,7.95,4.97,72.79,4.8,60.56,0.0,0.0,0.64,4.33,6.97,1.12,7,0.24,0,0.0,0.14,0.03,1,0.03,0.04,0,0.0,11,0.37,27.27,9.091,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.61,50.0,0.81,0.14,0.0,19.14,0.1,0.27,36.75,80.22,15.45,64.99,1.22,77.78,30.12,87.88,6.63,45.41,22.44,38.88,0.01,0.07,0.0,0.03,0.0,0.0,0.07,4.19,52.42,0.37,36.36,0.41000000000000003,41.67,0.24,0.0,7.61,56.89,94.25,17.04,0,,0,,0,0.0,0.0,0.0,,,0.64,,4.8,0.0,0.0,0.0,0.0,0,0.0
