Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Svoboda,Oliver Svoboda,-425843,Hradec Králové U19,Hradec Králové U19,https://cdn5.wyscout.com/photos/team/public/g22915_120x120.png,1. Liga U19,GK,GK,100,,0,,0,19.0,2007-01-01,0,,26,2453,0,0.0,0,0.0,0.62,70.59,Czech Republic,['Czech Republic'],unknown,0,0,False,2.42,0.11,66.67,0.33,100.0,0.0,0.0,0.0,2.35,3.19,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,12.69,0.26,0.07,22.31,86.68,9.98,73.16,0.0,0.0,15.26,98.8,7.01,60.73,28.92,47.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,36.67,0.0,0.0,0.07,50.0,0.0,0.0,5.58,67.11,97.99,10.93,34,1.25,123,4.51,5,72.36,35.97,1.32,1.97,0.07200000000000001,0.0,1.5,0.33,,,,0.0,0,0.0
P. Baťka,Petr Jan Baťka,-425845,Hradec Králové U19,Hradec Králové U19,https://cdn5.wyscout.com/photos/team/public/g22915_120x120.png,1. Liga U19,"RCB, LCB",RCB,67,LCB,26,,0,19.0,2007-01-01,0,,26,2441,2,1.69,0,0.9500000000000001,8.22,59.64,Czech Republic,['Czech Republic'],unknown,0,0,False,6.64,3.06,69.88,2.95,65.0,0.15,0.2,0.59,4.35,5.91,0.37,0,0.0,0,0.0,0.18,0.07,2,0.07,0.06,0,0.0,14,0.52,21.43,14.286,0.0,0.11,33.33,0.07,50.0,0.04,0.0,0.04,0.11,33.33,1.22,39.39,0.85,0.29,0.04,26.47,0.41000000000000003,0.37,41.7,83.55,20.76,72.82,2.8,93.42,33.44,90.85,8.15,54.3,23.86,43.29,0.04,0.18,0.0,0.04,0.07,0.0,0.07,6.89,57.22,0.63,17.65,0.33,22.22,0.29,0.04,9.48,74.71,96.17,15.41,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.95,0.0,0.0,0.0,0.0,0,0.0
T. Meduna,Tobiáš Meduna,-437262,Hradec Králové U19,Hradec Králové U19,https://cdn5.wyscout.com/photos/team/public/g22915_120x120.png,1. Liga U19,"RCMF, LCMF, LDMF",RCMF,33,LCMF,21,LDMF,12,18.0,2007-12-06,0,,26,2284,4,4.15,2,1.73,13.08,44.88,Czech Republic,['Czech Republic'],,0,0,False,6.03,4.57,60.34,1.3,30.3,0.59,0.8,0.39,2.68,3.62,0.55,2,0.08,0,0.0,1.65,0.16,4,0.16,0.16,0,0.0,32,1.26,37.5,12.5,0.08,0.99,28.0,0.32,37.5,0.67,23.53,0.12,1.62,53.66,5.5600000000000005,36.88,2.36,1.06,0.12,15.37,0.59,0.8300000000000001,24.39,82.07,7.68,72.82,5.16,91.6,22.18,85.26,1.22,67.74,16.74,26.61,0.07,0.71,0.0,0.12,0.04,100.0,0.35000000000000003,3.23,71.95,1.02,57.69,0.2,60.0,0.55,0.24,3.39,67.44,86.46,7.57,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.3,0.12,0.04,0.0,0.2,0,0.0
J. Exner,Jakub Exner,-472227,Vysočina Jihlava U19,Vysočina Jihlava U19,https://cdn5.wyscout.com/photos/team/public/g22928_120x120.png,1. Liga U19,"LCB, DMF, LCB3",LCB,60,DMF,14,LCB3,11,18.0,2007-07-02,0,,25,2271,1,1.48,0,0.16,17.52,55.66,Czech Republic,['Czech Republic'],unknown,0,0,False,11.73,8.88,66.07,3.49,48.86,0.4,0.46,0.91,5.47,6.4,1.11,2,0.08,0,0.0,0.59,0.04,1,0.04,0.06,0,0.0,10,0.4,50.0,10.0,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.0,0.52,76.92,3.09,43.59,0.71,0.63,0.04,18.59,0.28,0.63,33.76,80.87,15.42,67.61,2.85,94.44,25.4,88.77,8.28,57.42,24.07,39.42,0.01,0.2,0.0,0.0,0.0,0.0,0.0,4.99,57.94,0.75,36.84,0.44,36.36,0.36,0.0,7.37,64.52,94.24,13.08,0,,0,,0,0.0,0.0,0.0,,,1.9,,3.49,0.04,0.04,100.0,0.0,0,0.0
A. Umar,Abdullahi Umar,-734748,Hradec Králové U19,Hradec Králové U19,https://cdn5.wyscout.com/photos/team/public/g22915_120x120.png,1. Liga U19,CF,CF,98,,0,,0,19.0,2007-01-16,0,,26,2252,22,21.77,6,4.21,26.42,43.57,Nigeria,['Nigeria'],unknown,0,0,False,4.68,3.84,65.63,4.84,44.63,0.16,0.22,0.08,2.0,2.69,1.08,3,0.12,0,0.0,5.2,0.88,20,0.8,0.87,1,0.04,109,4.36,52.29,20.183,0.24,1.2,33.33,0.56,50.0,0.6000000000000001,20.0,0.12,4.52,53.98,13.07,37.61,6.27,3.44,0.48,13.91,2.68,1.3599999999999999,21.38,72.71,4.16,58.65,6.79,87.06,19.3,75.98,1.0,48.0,15.13,23.29,0.17,1.6400000000000001,0.08,0.04,0.08,100.0,0.84,1.52,57.89,2.0,62.0,0.12,66.67,1.88,0.48,2.52,69.84,71.15,6.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.84,0.0,0.0,0.0,0.0,3,66.667
T. Podebradsky,Tomas Podebradsky,-442203,Hradec Králové U19,Hradec Králové U19,https://cdn5.wyscout.com/photos/team/public/g22915_120x120.png,1. Liga U19,LB,LB,89,,0,,0,18.0,2008-02-14,0,,25,2245,3,1.34,5,4.17,13.39,53.29,Czech Republic,['Czech Republic'],unknown,0,0,False,8.3,5.25,62.6,2.81,51.43,0.28,0.38,0.04,4.73,6.38,0.48,1,0.04,0,0.0,2.12,0.12,3,0.12,0.05,0,0.0,29,1.16,27.59,10.345,0.2,2.5700000000000003,45.31,1.92,43.75,0.64,50.0,0.56,1.28,46.88,4.01,40.0,0.8,1.3599999999999999,0.16,26.9,0.48,1.16,40.33,77.53,16.64,67.47,5.33,94.74,31.31,84.12,6.49,58.64,20.84,35.79,0.17,1.48,0.12,0.0,0.04,100.0,0.6000000000000001,5.93,67.57,3.29,54.88,0.32,25.0,0.72,1.12,10.82,69.26,82.93,13.15,0,,0,,0,0.0,0.0,0.0,,,0.84,,2.81,1.3599999999999999,0.16,75.0,2.85,0,0.0
J. Snopek,Jakub Snopek,-471136,Slovácko U19,Slovácko U19,https://cdn5.wyscout.com/photos/team/public/g22917_120x120.png,1. Liga U19,"RB, RCB3",RB,58,RCB3,32,,0,19.0,2007-01-01,0,,24,2179,1,1.4,1,3.76,17.22,56.83,Czech Republic,['Czech Republic'],unknown,0,0,False,10.7,7.64,72.43,0.99,41.67,0.08,0.11,0.25,5.08,7.07,0.54,6,0.25,0,0.0,3.39,0.04,1,0.04,0.06,0,0.0,26,1.07,19.23,3.846,0.04,4.34,34.29,0.21,60.0,4.05,33.67,0.8300000000000001,2.93,56.34,6.48,40.76,0.74,1.98,0.12,24.37,1.28,0.8300000000000001,41.72,69.21,21.02,63.26,3.63,92.05,27.38,81.0,10.16,52.03,24.99,39.23,0.16,1.2,0.0,0.04,0.17,25.0,0.33,10.45,62.85,4.63,41.07,0.66,37.5,0.54,1.78,13.51,74.62,75.0,13.22,0,,0,,0,0.0,0.0,0.0,,,1.9,,0.99,0.99,0.17,0.0,1.4,0,0.0
O. Hastík,Ondřej  Hastík,-612091,Slovácko U19,Slovácko U19,https://cdn5.wyscout.com/photos/team/public/g22917_120x120.png,1. Liga U19,"LCB, LCB3",LCB,56,LCB3,43,,0,,,0,,23,2167,0,0.21,0,0.36,15.74,62.8,Czech Republic,['Czech Republic'],unknown,0,0,False,8.6,5.9,66.9,2.7800000000000002,56.72,0.17,0.23,0.37,4.49,6.28,0.91,3,0.12,0,0.0,0.96,0.0,0,0.0,0.01,0,0.0,7,0.29,14.29,0.0,0.0,0.96,21.74,0.91,22.73,0.04,0.0,0.21,1.04,64.0,3.8200000000000003,60.87,0.62,1.45,0.0,20.77,0.29,1.5,40.74,77.37,18.98,66.08,4.07,94.9,30.65,86.45,9.14,52.73,24.5,40.61,0.01,0.25,0.04,0.0,0.04,100.0,0.0,8.35,59.2,2.04,26.53,0.58,7.14,0.46,0.17,10.88,72.52,88.92,14.25,0,,0,,0,0.0,0.0,0.0,,,2.87,,2.7800000000000002,0.04,0.0,0.0,0.33,0,0.0
R. Kozik,Rene Kozik,-416244,Karviná U19,Karviná U19,https://cdn5.wyscout.com/photos/team/public/g24478_120x120.png,1. Liga U19,LCB,LCB,91,,0,,0,19.0,2007-05-09,0,,23,2073,3,2.8,1,0.8200000000000001,17.93,56.9,Czech Republic,['Czech Republic'],unknown,0,0,False,11.11,8.29,68.59,3.56,57.32,0.56,0.74,0.48,4.86,6.39,1.0,3,0.13,0,0.0,0.52,0.13,3,0.13,0.12,1,0.04,15,0.65,33.33,20.0,0.04,0.56,30.77,0.39,22.22,0.17,50.0,0.13,0.65,20.0,3.34,35.06,1.0,1.26,0.09,21.01,0.61,0.56,34.47,79.35,17.97,68.12,3.13,95.83,25.05,88.21,8.86,57.35,24.88,40.89,0.04,0.17,0.04,0.0,0.0,0.0,0.09,7.68,63.84,1.6099999999999999,40.54,0.96,40.91,0.56,0.22,9.03,81.25,92.56,10.51,0,,0,,0,0.0,0.0,0.0,,,2.04,,3.56,0.52,0.04,0.0,0.22,1,0.0
A. Bitta,Adam Bitta,-462188,Baník Ostrava U19,Baník Ostrava U19,https://cdn5.wyscout.com/photos/team/public/g22926_120x120.png,1. Liga U19,GK,GK,100,,0,,0,18.0,2008-04-24,0,,22,2066,0,0.0,0,0.0,1.31,90.0,Czech Republic,['Czech Republic'],unknown,0,0,False,1.92,0.17,25.0,0.61,100.0,0.0,0.0,0.0,1.87,2.41,0.0,4,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.0,17.95,0.44,0.35000000000000003,31.06,84.43,15.9,70.96,0.0,0.0,21.21,96.71,9.8,58.22,30.75,47.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,34.62,0.48,18.18,0.5700000000000001,15.38,0.09,0.0,7.14,67.68,99.1,14.46,36,1.57,121,5.27,2,70.25,33.68,1.47,-2.32,-0.101,0.0,2.5700000000000003,0.61,,,,0.0,0,0.0
