Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Pastornický,Martin Pastornický,354283,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,GK,GK,100,,0,,0,30.0,1996-03-18,250000,,20,1932,0,0.0,0,0.0,0.89,94.74,Czech Republic,['Czech Republic'],right,188,83,False,1.6800000000000002,0.05,0.0,0.65,100.0,0.0,0.0,0.0,1.6800000000000002,2.2800000000000002,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,16.4,0.61,0.23,27.86,88.46,16.21,82.18,0.0,0.0,19.52,97.14,8.34,68.16,30.88,48.43,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.05,50.0,0.14,33.33,0.09,0.0,0.05,0.0,7.03,75.5,97.45,10.95,19,0.89,72,3.35,7,73.61,22.95,1.07,3.95,0.184,0.0,2.56,0.65,,,,0.0,0,0
M. Babka,Matouš Babka,-145326,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,GK,GK,100,,0,,0,24.0,2002-01-02,100000,2026-06-30,20,1926,0,0.0,0,0.0,0.61,92.31,Czech Republic,['Czech Republic'],right,192,81,False,1.96,0.05,100.0,0.33,100.0,0.0,0.0,0.0,1.92,2.86,0.0,2,0.09,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.23,80.0,0.0,0.0,0.05,12.57,0.28,0.09,20.84,91.7,7.99,82.46,0.0,0.0,16.82,97.78,3.9699999999999998,67.06,29.41,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,47.06,0.05,100.0,0.14,0.0,0.05,0.0,3.32,70.42,97.72,12.29,18,0.84,57,2.66,9,68.42,15.72,0.73,-2.2800000000000002,-0.107,0.0,1.4,0.33,,,,0.0,0,0
J. Janoščín,Jiří Janoščín,314996,Opava,Opava,https://cdn5.wyscout.com/photos/team/public/g542_120x120.png,Chance National Liga,LCB,LCB,94,,0,,0,33.0,1992-10-08,175000,2026-06-30,20,1926,3,3.11,2,3.88,16.07,55.52,Czech Republic,['Czech Republic'],left,179,74,False,10.79,6.82,64.38,4.49,50.0,0.28,0.42,0.56,6.12,9.14,1.96,3,0.14,0,0.0,0.98,0.14,0,0.0,0.15,0,0.0,10,0.47000000000000003,60.0,30.0,0.09,1.26,40.74,0.79,35.29,0.47000000000000003,50.0,0.23,0.37,50.0,2.1,48.89,0.47000000000000003,0.98,0.09,26.45,0.09,0.98,43.83,85.5,19.58,79.24,3.27,94.29,36.31,90.86,6.26,63.43,22.26,38.65,0.18,1.4,0.0,0.0,0.0,0.0,0.28,7.15,75.16,1.87,55.0,0.37,50.0,0.51,0.61,9.86,80.57,91.53,16.54,0,,0,,0,0.0,0.0,0.0,,,1.4,,4.49,1.78,0.0,0.0,3.55,3,100
P. Mikulec,Petr Mikulec,480013,Prostějov,Prostějov,https://cdn5.wyscout.com/photos/team/public/g575_120x120.png,Chance National Liga,GK,GK,100,,0,,0,26.0,1999-04-05,275000,,20,1925,0,0.0,0,0.12,0.79,100.0,Czech Republic,['Czech Republic'],right,198,93,False,1.52,0.15,100.0,0.54,100.0,0.0,0.0,0.0,1.38,1.75,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,12.89,0.25,0.30000000000000004,21.3,87.53,11.8,79.17,0.0,0.0,13.28,95.93,8.02,73.62,33.92,49.75,0.01,0.05,0.0,0.0,0.0,0.0,0.05,3.25,74.24,0.05,100.0,0.1,50.0,0.05,0.0,6.79,82.61,97.86,9.2,28,1.38,83,4.08,2,66.27,24.82,1.22,-3.18,-0.156,0.0,1.62,0.54,,,,0.0,0,0
J. Sirotník,Jan Sirotník,-145953,Viktoria Žižkov,Viktoria Žižkov,https://cdn5.wyscout.com/photos/team/public/765_120x120.png,Chance National Liga,GK,GK,100,,0,,0,23.0,2002-04-16,0,2027-06-30,20,1921,0,0.0,0,0.0,0.52,90.91,Czech Republic,['Czech Republic'],right,190,78,True,1.55,0.09,50.0,0.28,100.0,0.0,0.0,0.0,1.5,2.03,0.05,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,0.0,0.0,18.41,0.42,0.23,27.22,85.2,16.35,78.22,0.0,0.0,18.27,96.67,8.9,62.11,31.64,50.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,61.54,0.19,25.0,0.23,20.0,0.05,0.0,7.78,69.28,97.17,9.93,29,1.3599999999999999,92,4.31,7,68.48,28.35,1.33,-0.65,-0.03,0.0,1.73,0.28,,,,0.0,0,0
A. Petrák,Adam Petrák,-147062,Viktoria Žižkov,Viktoria Žižkov,https://cdn5.wyscout.com/photos/team/public/765_120x120.png,Chance National Liga,"LCB, RDMF",LCB,43,RDMF,41,,0,26.0,1999-08-20,175000,,20,1917,4,1.71,0,0.08,14.88,56.15,Czech Republic,['Czech Republic'],right,183,72,False,9.58,6.57,65.0,4.32,53.26,0.19,0.25,0.7000000000000001,5.12,6.93,0.61,1,0.05,0,0.0,0.8,0.19,4,0.19,0.08,1,0.05,21,0.99,42.86,19.048,0.0,0.33,28.57,0.0,0.0,0.33,28.57,0.09,0.38,75.0,2.25,37.5,0.9400000000000001,1.03,0.14,28.69,0.05,0.52,42.25,83.44,18.22,71.91,4.08,96.55,36.34,88.63,5.68,52.89,21.25,39.67,0.0,0.14,0.0,0.0,0.0,0.0,0.09,6.38,65.44,1.03,50.0,0.42,33.33,0.42,0.05,8.12,71.1,94.51,16.24,0,,0,,0,0.0,0.0,0.0,,,1.6,,4.32,0.0,0.0,0.0,0.0,0,0
A. Hrdina,Adam Hrdina,-152182,Zbrojovka Brno,Zbrojovka Brno,https://cdn5.wyscout.com/photos/team/public/760_120x120.png,3. liga,GK,GK,100,,0,,0,22.0,2004-02-12,225000,,20,1915,0,0.0,0,0.0,0.19,75.0,Slovakia,['Slovakia'],right,194,78,False,1.55,0.05,0.0,0.14,100.0,0.0,0.0,0.0,1.55,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.87,0.23,0.05,25.05,87.62,12.69,77.04,0.0,0.0,17.44,98.38,7.61,62.96,28.23,45.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,53.66,0.19,50.0,0.0,0.0,0.05,0.0,5.45,72.41,98.35,11.37,14,0.66,64,3.01,10,78.13,13.15,0.62,-0.85,-0.04,0.0,0.89,0.14,,,,0.0,0,0
M. Hlinka,Marek Hlinka,125361,Hanácká,Hanácká,https://cdn5.wyscout.com/photos/team/public/3632_120x120.png,Chance National Liga,LCB,LCB,82,,0,,0,35.0,1990-10-04,75000,,20,1913,1,2.06,0,0.04,8.23,58.86,Slovakia,['Slovakia'],left,182,78,False,6.92,3.29,82.86,2.35,44.0,0.0,0.0,0.42,4.19,5.67,0.33,2,0.09,0,0.0,0.19,0.05,1,0.05,0.1,1,0.05,9,0.42,33.33,11.111,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.09,0.0,1.13,33.33,0.8,0.33,0.05,27.43,0.09,0.52,42.91,88.6,16.8,77.59,3.01,96.88,37.21,93.17,5.65,58.33,21.73,42.04,0.0,0.09,0.0,0.05,0.0,0.0,0.0,5.41,71.3,0.33,28.57,0.28,16.67,0.28,0.05,8.14,74.57,96.88,19.62,0,,0,,0,0.0,0.0,0.0,,,2.45,,2.35,0.0,0.0,0.0,0.0,0,0
T. Grigar,Tomáš Grigar,14996,Ústí nad Labem,Ústí nad Labem,https://cdn5.wyscout.com/photos/team/public/2614_120x120.png,Chance National Liga,GK,GK,100,,0,,0,43.0,1983-02-01,25000,2026-06-30,20,1911,0,0.0,1,0.38,1.04,77.27,Czech Republic,['Czech Republic'],right,193,97,False,1.51,0.33,71.43,0.38,100.0,0.05,0.07,0.05,1.22,1.71,0.0,3,0.14,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.19,50.0,0.0,0.0,0.0,17.66,0.19,0.09,24.49,83.27,16.58,76.99,0.05,100.0,13.23,97.15,11.26,66.95,34.16,48.66,0.02,0.05,0.0,0.0,0.0,0.0,0.05,2.35,46.0,0.09,50.0,0.09,50.0,0.05,0.0,8.29,76.7,96.18,7.39,34,1.6,105,4.95,2,67.62,29.63,1.4,-4.37,-0.20600000000000002,0.05,1.55,0.38,,,,0.0,0,0
M. Melichar,Martin Melichar,-148732,Příbram,Příbram,https://cdn5.wyscout.com/photos/team/public/1288_120x120.png,Chance National Liga,GK,GK,100,,0,,0,25.0,2000-07-06,225000,,20,1907,0,0.0,0,0.0,1.09,95.65,Czech Republic,['Czech Republic'],right,186,0,False,1.9300000000000002,0.24,100.0,0.42,100.0,0.05,0.06,0.0,1.65,1.97,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.28,100.0,0.0,0.0,0.0,15.34,0.24,0.52,23.13,82.45,14.68,74.28,0.0,0.0,11.89,97.22,11.23,66.81,35.61,49.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,54.55,0.24,20.0,0.24,20.0,0.05,0.0,8.16,83.24,96.71,7.17,23,1.09,89,4.2,8,74.16,27.27,1.29,4.27,0.202,0.0,1.9300000000000002,0.42,,,,0.0,0,0
M. Pospíšil,Martin  Pospíšil,180331,Artis Brno,Artis Brno,https://cdn5.wyscout.com/photos/team/public/g-24046_120x120.png,Chance National Liga,"RCMF, RDMF, RCMF3",RCMF,34,RDMF,32,RCMF3,13,34.0,1991-06-26,275000,,20,1906,6,3.13,3,3.93,9.49,47.26,Czech Republic,['Czech Republic'],right,178,73,False,4.67,2.6,63.64,1.09,30.43,0.66,0.91,0.14,2.36,3.24,0.38,4,0.19,0,0.0,2.08,0.28,5,0.24,0.15,0,0.0,28,1.32,42.86,21.429,0.14,1.42,60.0,0.85,55.56,0.5700000000000001,66.67,0.14,1.32,42.86,4.63,45.92,0.38,1.13,0.14,22.85,0.14,1.13,34.28,85.12,11.8,72.0,6.52,94.2,29.23,89.66,3.68,57.69,18.88,36.71,0.19,1.37,0.09,0.05,0.09,100.0,0.38,5.38,71.05,2.36,60.0,0.76,31.25,0.5700000000000001,0.85,6.37,81.48,91.8,11.52,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.09,1.51,0.09,0.0,3.16,1,100
J. Hora,Jakub Hora,87676,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,"LDMF, LCMF, RDMF",LDMF,40,LCMF,25,RDMF,24,35.0,1991-02-23,225000,,20,1880,0,1.81,3,2.64,8.57,49.16,Czech Republic,['Czech Republic'],right,176,65,False,6.22,3.54,58.11,1.01,38.1,0.19,0.26,0.34,3.9699999999999998,5.41,1.1,2,0.1,0,0.0,1.24,0.0,0,0.0,0.09,0,0.0,10,0.48,10.0,0.0,0.14,1.96,43.9,0.5700000000000001,50.0,1.3900000000000001,41.38,0.34,0.43,77.78,2.49,50.0,0.67,0.62,0.05,37.05,0.67,0.81,50.03,84.11,16.76,70.57,9.53,98.49,41.79,90.72,6.41,52.99,21.08,40.38,0.13,1.44,0.14,0.1,0.05,0.0,0.14,8.52,64.04,3.54,48.65,1.29,37.04,1.15,0.81,10.2,83.57,90.06,17.33,0,,0,,0,0.0,0.0,0.0,,,1.48,,1.01,1.72,0.0,0.0,3.16,1,0
D. Soukeník,Dominik Soukenik,-102844,Vlašim,Vlašim,https://cdn5.wyscout.com/photos/team/public/3682_120x120.png,Chance National Liga,"DMF, RCMF, RDMF",DMF,31,RCMF,17,RDMF,14,26.0,1999-07-13,0,,20,1844,2,0.9,2,0.73,11.08,54.63,Czech Republic,['Czech Republic'],right,182,76,False,7.61,5.5600000000000005,67.54,2.05,42.86,0.1,0.12,0.24,3.76,4.64,1.02,2,0.1,0,0.0,0.88,0.1,2,0.1,0.04,0,0.0,10,0.49,30.0,20.0,0.1,1.02,52.38,0.29,50.0,0.68,57.14,0.1,0.24,60.0,2.0,46.34,0.93,0.73,0.1,30.94,0.34,0.78,46.95,85.24,16.4,74.4,7.32,96.0,42.27,89.03,3.66,50.67,17.49,35.29,0.04,0.49,0.0,0.0,0.05,100.0,0.2,7.08,72.41,1.22,56.0,0.2,75.0,0.24,0.54,7.96,74.23,92.45,15.52,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.05,0.0,0.0,0.0,0.05,0,0
L. Havel,Lukáš Havel,357123,Táborsko,Táborsko,https://cdn5.wyscout.com/photos/team/public/g8790_120x120.png,Chance National Liga,RCB,RCB,99,,0,,0,29.0,1996-06-06,250000,2026-06-30,19,1837,2,1.08,3,0.62,15.87,66.05,Czech Republic,['Czech Republic'],right,187,75,False,9.8,5.49,73.21,7.01,62.24,0.2,0.26,0.54,5.59,7.52,1.13,3,0.15,0,0.0,0.24,0.1,2,0.1,0.05,1,0.05,7,0.34,42.86,28.571,0.15,0.15,33.33,0.0,0.0,0.15,33.33,0.0,0.1,50.0,0.98,50.0,0.64,0.44,0.0,28.76,0.6900000000000001,0.98,43.06,85.44,21.16,76.16,2.69,98.18,35.86,91.8,7.05,54.17,24.32,44.21,0.03,0.2,0.0,0.0,0.0,0.0,0.1,6.66,61.76,0.78,31.25,0.59,16.67,0.2,0.05,9.55,72.31,96.18,16.66,0,,0,,0,0.0,0.0,0.0,,,2.16,,7.01,0.0,0.0,0.0,0.0,0,0
