Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Halsgaard,Aksel Emil Halsgaard,-139237,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/2501_120x120.png,2nd Division,"LCB, CB",LCB,74,CB,15,,0,20.0,2005-04-30,100000,2027-06-30,21,2047,3,2.79,0,0.21,10.95,61.85,Denmark,['Denmark'],right,188,0,False,6.42,3.69,77.38,4.35,50.51,0.0,0.0,0.62,3.56,5.5600000000000005,0.26,0,0.0,0,0.0,0.53,0.13,3,0.13,0.12,2,0.09,16,0.7000000000000001,50.0,18.75,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.22,80.0,1.76,57.5,0.92,2.11,0.13,49.07,0.09,0.53,65.25,92.05,26.82,86.07,2.9,98.48,60.32,95.55,4.84,50.0,18.96,36.16,0.01,0.09,0.04,0.0,0.0,0.0,0.04,5.94,72.59,0.7000000000000001,31.25,0.22,40.0,0.13,0.0,8.05,71.58,96.84,29.24,0,,0,,0,0.0,0.0,0.0,,,2.07,,4.35,0.0,0.0,0.0,0.0,0,0.0
N. Christensen,Nicolai Vinter Christensen,-253178,Skive,Skive,https://cdn5.wyscout.com/photos/team/public/2660_120x120.png,2nd Division,GK,GK,100,,0,,0,23.0,2002-04-27,0,2026-06-30,21,2040,0,0.0,0,0.0,0.44,80.0,Denmark,['Denmark'],,0,0,False,2.21,0.0,0.0,0.31,100.0,0.0,0.0,0.0,2.21,2.41,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,12.13,0.18,0.09,21.62,82.04,12.66,72.47,0.0,0.0,11.38,96.51,10.24,65.95,35.63,48.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,68.63,0.13,0.0,0.18,25.0,0.0,0.0,8.29,75.0,95.7,8.21,27,1.19,70,3.09,4,61.43,20.43,0.9,-6.57,-0.29,0.0,1.5899999999999999,0.31,,,,0.0,0,0.0
M. Kongstedt,Mark Kongstedt,254163,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/2501_120x120.png,2nd Division,"RCMF3, AMF, DMF",RCMF3,20,AMF,18,DMF,15,30.0,1995-07-08,0,,21,1997,1,2.5700000000000003,2,0.84,11.04,49.39,Denmark,['Denmark'],right,186,0,False,6.31,4.64,63.11,2.25,44.0,0.36,0.56,0.14,3.02,4.69,1.22,0,0.0,0,0.0,0.59,0.05,1,0.05,0.12,0,0.0,16,0.72,31.25,6.25,0.09,0.72,25.0,0.14,33.33,0.59,23.08,0.09,0.14,66.67,2.7,35.0,1.62,0.5,0.05,33.98,0.72,0.77,46.06,86.79,12.57,72.76,9.42,96.65,43.04,89.95,2.3,47.06,16.32,27.7,0.04,0.5,0.05,0.0,0.09,100.0,0.18,5.72,74.02,1.04,60.87,0.18,75.0,0.72,0.23,5.41,70.83,92.77,14.33,0,,0,,0,0.0,0.0,0.0,,,1.04,,2.25,0.0,0.0,0.0,0.0,0,0.0
F. Christensen,Frederik Christensen,356319,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/2501_120x120.png,2nd Division,"CF, RWF, RAMF",CF,46,RWF,24,RAMF,19,31.0,1995-03-07,0,,21,1989,8,7.86,0,1.42,20.59,47.91,Denmark,['Denmark'],left,185,77,False,3.8,3.26,55.56,6.74,49.66,0.18,0.28,0.18,1.81,2.8,1.3599999999999999,3,0.14,0,0.0,1.8599999999999999,0.36,8,0.36,0.36,3,0.14,57,2.58,38.6,14.035,0.0,0.72,18.75,0.05,0.0,0.63,21.43,0.09,1.13,64.0,8.1,43.58,3.67,1.04,0.09,22.58,2.58,2.71,28.14,81.67,5.84,65.12,9.82,94.47,26.47,83.93,0.9500000000000001,66.67,15.72,20.29,0.06,0.63,0.09,0.0,0.0,0.0,0.14,1.8599999999999999,58.54,1.45,56.25,0.05,0.0,0.9500000000000001,0.14,3.03,55.22,83.65,7.19,0,,0,,0,0.0,0.0,0.0,,,0.05,,6.74,0.0,0.0,0.0,0.0,0,0.0
M. Høst,Mathias Høst,460501,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/2501_120x120.png,2nd Division,"LB, LCB3",LB,82,LCB3,12,,0,27.0,1998-09-02,0,2026-06-30,21,1968,0,0.5,1,5.01,10.79,58.9,Denmark,['Denmark'],left,0,0,False,6.8100000000000005,5.03,68.18,1.33,62.07,0.09,0.14,0.18,3.29,5.08,0.96,3,0.14,0,0.0,1.74,0.0,0,0.0,0.02,0,0.0,6,0.27,0.0,0.0,0.05,2.79,42.62,2.42,45.28,0.32,28.57,0.46,0.96,52.38,2.7,45.76,0.96,2.15,0.09,46.69,1.65,0.6900000000000001,58.49,83.97,23.64,75.24,8.64,96.3,50.4,90.38,5.4,45.76,18.17,34.44,0.23,1.28,0.05,0.09,0.05,100.0,0.18,8.73,74.87,3.89,57.65,0.23,80.0,1.05,1.1400000000000001,12.58,78.18,87.79,15.73,0,,0,,0,0.0,0.0,0.0,,,1.19,,1.33,0.5,0.0,0.0,2.52,0,0.0
C. Andersen,Casper Birch Andersen,-356727,VSK Århus,VSK Århus,https://cdn5.wyscout.com/photos/team/public/g36661_120x120.png,2nd Division,GK,GK,100,,0,,0,28.0,1997-07-11,0,,20,1958,0,0.0,0,0.0,1.24,88.89,Denmark,['Denmark'],unknown,0,0,False,1.75,0.09,50.0,0.97,95.24,0.0,0.0,0.0,1.7000000000000002,2.04,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.14,66.67,0.0,0.05,0.05,13.24,0.14,0.23,22.94,81.36,15.26,75.0,0.0,0.0,11.49,96.4,11.45,66.27,34.34,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,67.24,0.05,0.0,0.05,100.0,0.0,0.0,9.01,76.02,94.56,6.76,26,1.2,78,3.59,3,66.67,24.02,1.1,-1.98,-0.091,0.0,1.9300000000000002,0.97,,,,0.0,0,0.0
A. Koudelka,Adrien Koudelka,-54023,AB,AB,https://cdn5.wyscout.com/photos/team/public/2470_120x120.png,2nd Division,"LCB, RCB",LCB,63,RCB,28,,0,23.0,2002-05-23,0,2027-06-30,20,1934,3,3.94,0,0.6900000000000001,11.63,63.6,Germany,"['Germany', 'Czech Republic']",right,190,0,False,7.63,3.96,76.47,5.31,57.02,0.05,0.06,0.65,4.5600000000000005,6.24,0.56,3,0.14,0,0.0,0.6000000000000001,0.14,3,0.14,0.18,2,0.09,16,0.74,43.75,18.75,0.0,0.19,25.0,0.05,0.0,0.14,33.33,0.0,0.28,83.33,0.93,50.0,1.26,0.6000000000000001,0.0,23.5,0.19,0.47000000000000003,39.93,86.48,18.29,77.86,2.05,100.0,34.58,91.79,5.17,53.15,21.19,39.47,0.03,0.19,0.05,0.05,0.05,0.0,0.09,5.86,73.81,0.6000000000000001,7.69,0.09,0.0,0.23,0.05,9.21,76.77,94.65,16.52,0,,0,,0,0.0,0.0,0.0,,,1.12,,5.31,0.0,0.0,0.0,0.0,0,0.0
O. Børner Thorup,Oliver Børner Thorup,-44527,HIK,HIK,https://cdn5.wyscout.com/photos/team/public/g626_120x120.png,2nd Division,GK,GK,100,,0,,0,27.0,1999-02-23,0,2026-06-30,20,1927,1,0.14,0,0.0,0.89,78.95,Denmark,['Denmark'],,0,0,False,3.6,0.14,33.33,0.51,90.91,0.0,0.0,0.0,3.55,4.11,0.05,0,0.0,0,0.0,0.09,0.05,1,0.05,0.01,0,0.0,2,0.09,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,100.0,0.0,0.0,0.0,30.69,0.33,0.33,45.54,79.59,24.47,63.93,0.0,0.0,31.2,98.2,14.24,39.34,29.65,49.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,22.95,1.03,0.0,0.89,10.53,0.05,0.0,8.73,59.36,97.78,18.92,34,1.5899999999999999,113,5.28,4,69.91,32.96,1.54,-1.04,-0.049,0.0,1.63,0.51,,,,0.0,0,0.0
F. Warrer,Frederik Warrer,-139224,Skive,Skive,https://cdn5.wyscout.com/photos/team/public/2660_120x120.png,2nd Division,"LB5, LCB3, LWB",LB5,39,LCB3,23,LWB,20,20.0,2005-04-28,0,2026-12-31,21,1917,0,1.0,1,1.4100000000000001,15.02,52.5,Denmark,['Denmark'],,0,0,False,7.7,6.76,64.58,3.0,46.88,0.14,0.15,0.38,3.19,3.5,1.46,3,0.14,0,0.0,1.22,0.0,0,0.0,0.05,0,0.0,14,0.66,14.29,0.0,0.05,2.3,34.69,2.16,34.78,0.09,50.0,0.09,0.66,50.0,3.1,36.36,1.27,1.4100000000000001,0.05,23.52,1.6,0.66,32.3,79.07,12.77,70.96,5.82,93.55,26.01,88.09,4.13,45.45,19.38,39.29,0.07,0.7000000000000001,0.09,0.0,0.0,0.0,0.33,3.38,69.44,2.25,41.67,0.05,100.0,0.66,0.66,6.62,66.67,80.22,8.54,0,,0,,0,0.0,0.0,0.0,,,0.52,,3.0,0.05,0.05,0.0,0.0,0,0.0
D. Chernet,David Chernet,-568437,HIK,HIK,https://cdn5.wyscout.com/photos/team/public/g626_120x120.png,2nd Division,RCB,RCB,89,,0,,0,27.0,1998-06-16,0,,20,1895,0,1.46,0,0.45,10.83,61.4,Denmark,['Denmark'],unknown,0,0,False,7.5,3.09,67.69,5.94,56.8,0.09,0.11,0.71,5.32,6.17,0.38,0,0.0,0,0.0,0.19,0.0,0,0.0,0.07,0,0.0,8,0.38,25.0,0.0,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.0,0.05,100.0,0.43,55.56,0.52,0.09,0.0,32.63,0.19,0.62,44.41,90.7,15.77,80.72,2.66,100.0,40.8,94.99,3.56,41.33,19.77,37.98,0.02,0.09,0.0,0.0,0.0,0.0,0.09,2.47,42.31,0.38,37.5,0.24,40.0,0.14,0.05,4.51,66.32,97.0,22.18,0,,0,,0,0.0,0.0,0.0,,,2.56,,5.94,0.0,0.0,0.0,0.0,0,0.0
