Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
W. Sonne,William Emil Krarup Sonne Schmidt,-279321,Brøndby U19,Brøndby U19,https://cdn5.wyscout.com/photos/team/public/g22937_120x120.png,U19 Ligaen,GK,GK,100,,0,,0,19.0,2007-04-12,0,,25,2443,0,0.0,0,0.0,0.77,66.67,Denmark,['Denmark'],unknown,0,0,False,2.39,0.15,50.0,0.44,83.33,0.04,0.05,0.0,2.2800000000000002,3.17,0.11,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,21.22,0.26,0.07,35.92,86.05,17.76,74.69,0.04,100.0,27.74,96.95,8.18,49.1,26.33,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,34.62,0.18,20.0,0.33,44.44,0.04,0.0,6.23,55.62,97.89,15.69,41,1.51,146,5.38,3,71.92,45.13,1.6600000000000001,4.13,0.152,0.0,1.58,0.44,,,,0.0,0,0.0
A. Amrani,Adam Amrani,-309964,OB U19,OB U19,https://cdn5.wyscout.com/photos/team/public/g22929_120x120.png,U19 Ligaen,"LCB, LCB3, LB",LCB,59,LCB3,27,LB,12,17.0,2008-10-09,0,2027-06-30,25,2409,4,3.0,2,1.12,14.5,58.76,Denmark,['Denmark'],unknown,0,0,False,7.25,4.93,68.94,3.44,61.96,0.0,0.0,0.45,3.85,4.72,0.75,2,0.07,0,0.0,0.86,0.15,4,0.15,0.11,3,0.11,20,0.75,45.0,20.0,0.07,0.15,50.0,0.15,50.0,0.0,0.0,0.04,0.52,85.71,3.7,49.49,1.01,0.93,0.0,47.22,0.49,0.9,63.06,91.23,23.24,83.44,5.31,95.77,58.06,94.85,4.86,49.23,20.06,40.43,0.04,0.22,0.04,0.04,0.07,0.0,0.19,7.47,76.0,0.78,28.57,0.78,33.33,0.19,0.07,9.38,77.69,96.58,28.39,0,,0,,0,0.0,0.0,0.0,,,2.2800000000000002,,3.44,0.0,0.0,0.0,0.0,0,0.0
M. Pimpong,Malik Razak Engholm Pimpong,-281962,Midtjylland U19,Midtjylland U19,https://cdn5.wyscout.com/photos/team/public/g22932_120x120.png,U19 Ligaen,CF,CF,95,,0,,0,18.0,2008-01-01,0,2027-06-30,25,2358,19,15.93,4,2.83,23.4,38.66,Denmark,['Denmark'],unknown,0,0,False,2.9,2.44,54.69,6.53,45.03,0.0,0.0,0.11,1.56,1.98,0.88,3,0.11,0,0.0,3.7,0.73,17,0.65,0.61,8,0.31,99,3.7800000000000002,62.63,19.192,0.15,0.34,66.67,0.15,75.0,0.19,60.0,0.04,2.44,45.31,10.8,28.27,5.57,0.88,0.0,11.26,2.56,1.98,17.71,79.09,3.09,61.73,6.22,91.41,16.83,79.37,0.53,78.57,14.44,13.52,0.11,0.84,0.15,0.0,0.0,0.0,0.42,1.37,66.67,1.03,77.78,0.0,0.0,1.15,0.23,1.6,76.19,78.81,4.5,0,,0,,0,0.0,0.0,0.0,,,0.04,,6.53,0.23,0.23,50.0,0.0,2,100.0
O. Vestergaard,Oliver Vestergaard Henriksen,-192839,Randers U19,Randers U19,https://cdn5.wyscout.com/photos/team/public/g22940_120x120.png,U19 Ligaen,GK,GK,100,,0,,0,18.0,2007-11-11,0,2026-06-30,23,2220,0,0.0,0,0.0,0.73,83.33,Denmark,['Denmark'],,0,0,False,2.03,0.12,66.67,0.5700000000000001,85.71,0.0,0.0,0.0,1.9500000000000002,2.07,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.53,0.12,0.08,27.97,82.61,13.58,68.06,0.16,50.0,18.97,96.58,8.92,53.64,28.29,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,28.57,0.04,0.0,0.08,0.0,0.0,0.0,6.97,49.42,97.12,12.65,59,2.39,151,6.12,3,60.93,45.44,1.8399999999999999,-13.56,-0.55,0.04,1.78,0.5700000000000001,,,,0.0,0,0.0
M. Tuka,Matej Tuka,-282350,Nordsjælland U21,Nordsjælland U19,https://cdn5.wyscout.com/photos/team/public/3454_120x120.png,,"LCB, LB",LCB,57,LB,41,,0,19.0,2007-05-18,0,2030-12-31,24,2218,2,0.64,1,0.8200000000000001,14.85,60.66,Sweden,['Sweden'],unknown,0,0,False,8.03,5.84,74.31,2.03,58.0,0.0,0.0,0.41000000000000003,3.69,4.93,0.6900000000000001,4,0.16,0,0.0,0.81,0.08,2,0.08,0.03,0,0.0,9,0.37,55.56,22.222,0.04,0.41000000000000003,10.0,0.37,11.11,0.04,0.0,0.12,0.89,63.64,4.54,49.11,0.24,1.34,0.12,61.64,0.85,1.34,77.87,91.87,25.16,82.42,7.55,96.77,71.58,95.18,5.88,57.24,19.48,43.95,0.03,0.45,0.08,0.04,0.0,0.0,0.12,11.73,80.62,1.83,48.89,0.89,40.91,0.77,0.08,11.73,81.66,96.89,35.26,0,,0,,0,0.0,0.0,0.0,,,2.7199999999999998,,2.03,0.41000000000000003,0.0,0.0,0.6900000000000001,0,0.0
M. Kruse,Martin Kjær Kruse,-278691,Esbjerg U19,Esbjerg U19,https://cdn5.wyscout.com/photos/team/public/g22938_120x120.png,U19 League 1,"LCMF3, RCMF3",LCMF3,53,RCMF3,22,,0,18.0,2007-09-04,0,,23,2207,6,4.59,2,1.53,15.13,50.67,Denmark,['Denmark'],unknown,0,0,False,5.99,4.8100000000000005,65.25,1.22,53.33,0.04,0.04,0.04,2.81,2.84,0.86,2,0.08,0,0.0,2.04,0.24,4,0.16,0.19,1,0.04,34,1.3900000000000001,44.12,17.647,0.08,0.98,45.83,0.37,44.44,0.5700000000000001,50.0,0.08,1.88,52.17,7.5,41.3,2.24,1.43,0.08,22.31,0.9,1.18,30.3,83.04,7.91,68.56,7.1,95.4,26.71,86.56,2.65,60.0,18.56,38.88,0.06,0.6900000000000001,0.12,0.0,0.0,0.0,0.37,3.26,66.25,1.47,66.67,0.08,50.0,0.8200000000000001,0.45,3.83,65.96,86.56,10.32,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.22,0.16,0.16,25.0,0.0,2,100.0
A. Kristiansen,Andreas Uhre Kristensen,-279931,Esbjerg U19,Esbjerg U19,https://cdn5.wyscout.com/photos/team/public/g22938_120x120.png,U19 League 1,DMF,DMF,79,,0,,0,17.0,2008-11-27,0,,23,2187,2,0.8200000000000001,3,2.63,13.33,55.86,Denmark,['Denmark'],unknown,0,0,False,10.33,6.79,67.88,1.11,44.44,0.25,0.25,0.37,5.47,5.52,0.74,2,0.08,0,0.0,0.9500000000000001,0.08,2,0.08,0.03,0,0.0,20,0.8200000000000001,10.0,10.0,0.12,0.78,47.37,0.33,25.0,0.41000000000000003,60.0,0.16,1.07,46.15,3.87,40.43,0.41000000000000003,0.74,0.04,38.27,0.33,0.53,54.16,84.88,17.82,71.36,7.04,95.91,47.53,88.74,5.88,58.04,19.05,37.51,0.11,0.99,0.12,0.16,0.08,0.0,0.41000000000000003,8.72,73.11,1.48,44.44,0.7000000000000001,17.65,0.37,0.37,8.4,70.59,92.66,22.43,0,,0,,0,0.0,0.0,0.0,,,0.99,,1.11,0.45,0.04,0.0,2.06,0,0.0
M. Samson,Mads Samson Feierskov Andreasen,-279229,AaB U19,AaB U19,https://cdn5.wyscout.com/photos/team/public/g22933_120x120.png,U19 Ligaen,LCB,LCB,83,,0,,0,18.0,2007-10-10,0,2026-06-30,23,2111,0,0.46,1,0.35000000000000003,11.08,62.69,Denmark,['Denmark'],unknown,0,0,False,7.93,5.33,71.2,2.0,53.19,0.26,0.30000000000000004,0.55,3.88,4.48,0.6000000000000001,3,0.13,0,0.0,0.6000000000000001,0.0,0,0.0,0.02,0,0.0,2,0.09,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,77.78,2.86,56.72,0.17,0.47000000000000003,0.0,49.63,0.26,0.81,66.68,92.84,25.79,86.45,5.8,94.12,61.95,95.39,4.73,59.46,18.98,37.73,0.01,0.04,0.04,0.0,0.0,0.0,0.04,5.63,75.0,0.26,16.67,0.34,25.0,0.04,0.0,8.87,74.52,98.33,28.05,0,,0,,0,0.0,0.0,0.0,,,3.79,,2.0,0.0,0.0,0.0,0.0,0,0.0
O. Einarsson Morales,Oskar Einarsson Morales,-279935,Esbjerg U19,Esbjerg U19,https://cdn5.wyscout.com/photos/team/public/g22938_120x120.png,U19 League 1,LCB,LCB,94,,0,,0,19.0,2007-03-09,0,,23,2110,0,0.29,1,0.54,9.34,55.71,Iceland,['Iceland'],unknown,0,0,False,7.76,4.35,66.67,2.9,51.47,0.04,0.04,0.6000000000000001,4.82,4.86,0.73,2,0.09,1,0.04,0.21,0.0,0,0.0,0.01,0,0.0,5,0.21,20.0,0.0,0.04,0.38,33.33,0.34,25.0,0.04,100.0,0.04,0.09,50.0,0.9400000000000001,40.91,0.73,0.43,0.0,41.16,0.17,0.17,55.71,83.0,24.82,70.79,4.78,97.32,43.85,92.9,11.56,46.86,25.3,43.85,0.02,0.13,0.0,0.09,0.0,0.0,0.04,9.38,60.0,0.9,33.33,1.24,27.59,0.34,0.13,12.75,73.58,92.94,22.95,0,,0,,0,0.0,0.0,0.0,,,3.71,,2.9,0.0,0.0,0.0,0.0,0,0.0
C. Risom,Christian Risom,-354807,Silkeborg U19,Silkeborg U19,https://cdn5.wyscout.com/photos/team/public/g22939_120x120.png,U19 Ligaen,GK,GK,100,,0,,0,19.0,2007-01-01,0,2026-06-30,22,2100,0,0.0,0,0.0,1.16,81.48,Denmark,['Denmark'],unknown,0,0,False,2.49,0.39,55.56,0.51,91.67,0.0,0.0,0.04,2.27,2.29,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.13,100.0,0.0,0.0,0.0,22.33,0.17,0.09,37.03,90.51,17.74,82.85,0.04,100.0,29.49,97.67,7.54,62.5,26.65,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,33.33,0.13,0.0,0.21,80.0,0.0,0.0,6.13,67.83,97.79,17.44,37,1.5899999999999999,104,4.46,3,64.42,27.23,1.17,-9.77,-0.419,0.04,1.8399999999999999,0.51,,,,0.0,0,0.0
A. Klaster,Anton Klaster,-278688,Vejle U19,Vejle U19,https://cdn5.wyscout.com/photos/team/public/g22936_120x120.png,U19 Ligaen,"RCB, LCB",RCB,84,LCB,15,,0,18.0,2007-07-31,0,2026-06-30,23,2057,1,1.7000000000000002,0,0.28,11.42,65.9,Denmark,['Denmark'],unknown,0,0,False,10.11,5.43,66.13,3.15,68.06,0.0,0.0,1.01,6.52,7.14,0.7000000000000001,2,0.09,1,0.04,0.39,0.04,1,0.04,0.07,1,0.04,13,0.5700000000000001,38.46,7.692,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.18,75.0,1.49,58.82,0.79,0.31,0.0,42.44,0.53,0.66,58.32,87.17,22.31,72.75,2.98,98.53,51.67,92.04,6.65,49.34,21.18,40.97,0.01,0.04,0.09,0.0,0.0,0.0,0.0,5.03,54.78,0.53,8.33,0.31,28.57,0.04,0.0,8.71,58.29,96.85,27.78,0,,0,,0,0.0,0.0,0.0,,,2.36,,3.15,0.0,0.0,0.0,0.0,0,0.0
V. Gaml,Vincent Gaml,-285210,Randers U19,Randers U19,https://cdn5.wyscout.com/photos/team/public/g22940_120x120.png,U19 Ligaen,"LW, LAMF, CF",LW,37,LAMF,22,CF,10,18.0,2007-07-07,0,,22,2053,7,6.1,1,2.81,20.65,49.04,Denmark,['Denmark'],unknown,0,0,False,8.94,8.86,60.4,1.49,26.47,0.7000000000000001,0.75,0.09,2.89,3.11,1.18,1,0.04,0,0.0,2.67,0.31,6,0.26,0.27,0,0.0,47,2.06,31.91,14.894,0.04,1.23,17.86,0.61,14.29,0.61,21.43,0.13,3.24,51.35,8.33,46.32,2.89,2.06,0.53,20.03,1.53,2.15,26.74,70.66,9.43,61.86,5.39,87.8,23.67,75.74,1.9300000000000002,38.64,17.71,32.6,0.12,1.1,0.04,0.0,0.39,33.33,0.48,3.55,58.02,2.7199999999999998,43.55,0.66,33.33,1.27,0.31,4.73,64.81,71.52,6.62,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.49,0.18,0.09,50.0,0.09,1,100.0
M. Nielsen,Mads  Søndergaard Nielsen,-344438,Randers U19,Randers U19,https://cdn5.wyscout.com/photos/team/public/g22940_120x120.png,U19 Ligaen,"RCMF, LCMF, LDMF",RCMF,31,LCMF,24,LDMF,18,18.0,2007-07-11,0,2027-06-30,21,2027,3,2.46,0,2.7,12.39,58.78,Denmark,['Denmark'],,0,0,False,8.97,6.79,63.4,0.75,41.18,0.09,0.09,0.18,4.57,4.84,0.84,3,0.13,0,0.0,1.07,0.13,1,0.04,0.11,0,0.0,12,0.53,33.33,25.0,0.0,0.71,50.0,0.27,0.0,0.44,80.0,0.18,0.75,70.59,3.24,52.05,0.71,1.51,0.13,35.7,0.18,1.33,49.64,86.67,16.56,72.92,7.06,97.48,44.49,90.92,4.48,50.5,17.81,35.16,0.12,1.07,0.13,0.04,0.09,0.0,0.09,7.28,75.0,1.6400000000000001,45.95,0.62,35.71,0.84,0.36,6.97,66.24,94.15,18.2,0,,0,,0,0.0,0.0,0.0,,,0.53,,0.75,1.2,0.09,0.0,2.22,2,100.0
L. Mandal Andersen,Lasse Mandal Andersen,-218664,Sønderjyske U19,Sønderjyske U19,https://cdn5.wyscout.com/photos/team/public/g22941_120x120.png,U19 Ligaen,"RCMF, RDMF, DMF",RCMF,25,RDMF,17,DMF,16,19.0,2007-03-03,0,,22,2022,0,1.19,1,2.13,9.53,55.14,Denmark,['Denmark'],,0,0,False,7.66,5.07,65.79,0.89,60.0,0.0,0.0,0.18,4.32,4.79,0.98,1,0.04,0,0.0,1.16,0.0,0,0.0,0.05,0,0.0,24,1.07,16.67,0.0,0.04,1.38,22.58,0.4,11.11,0.93,28.57,0.27,0.67,86.67,2.4,42.59,1.29,0.49,0.09,31.56,0.62,0.36,45.36,80.18,15.31,64.53,8.95,96.02,38.28,87.44,5.79,44.62,18.85,37.98,0.09,0.67,0.13,0.04,0.22,40.0,0.27,7.48,66.07,2.98,43.28,1.16,30.77,1.02,0.4,6.72,66.23,85.45,14.38,0,,0,,0,0.0,0.0,0.0,,,0.98,,0.89,0.13,0.04,0.0,0.71,0,0.0
G. Ruby-Johansen,Gustav  Ruby-Johansen,-281905,Brøndby U19,Brøndby U19,https://cdn5.wyscout.com/photos/team/public/g22937_120x120.png,U19 Ligaen,"LCB, RCB",LCB,61,RCB,30,,0,17.0,2008-10-13,0,2028-06-30,22,2003,1,1.47,0,0.15,11.59,57.36,Denmark,['Denmark'],unknown,0,0,False,8.0,5.66,65.08,2.65,54.24,0.45,0.61,0.45,3.86,5.25,0.9400000000000001,2,0.09,0,0.0,0.36,0.04,1,0.04,0.07,1,0.04,9,0.4,44.44,11.111,0.0,0.36,25.0,0.27,16.67,0.04,0.0,0.13,0.13,66.67,1.57,45.71,0.9400000000000001,1.17,0.0,49.02,0.45,0.54,69.15,90.06,29.57,83.13,5.26,96.58,62.37,94.16,6.43,53.85,19.73,36.6,0.01,0.18,0.0,0.0,0.0,0.0,0.04,10.38,77.49,0.81,38.89,0.9,50.0,0.31,0.09,11.77,72.9,96.09,27.59,0,,0,,0,0.0,0.0,0.0,,,3.64,,2.65,0.04,0.0,0.0,0.0,0,0.0
M. Bjerregaard,Magne Flemming Bjerregaard,-357323,Horsens U19,Horsens U19,https://cdn5.wyscout.com/photos/team/public/g-6648_120x120.png,U19 Ligaen,"LCMF, DMF, RCMF",LCMF,28,DMF,24,RCMF,21,17.0,2009-01-15,0,,23,1972,0,0.6900000000000001,0,0.12,13.87,59.87,Denmark,['Denmark'],unknown,0,0,False,8.17,7.07,67.74,1.32,65.52,0.05,0.05,0.32,3.33,3.86,1.1,4,0.18,0,0.0,0.46,0.0,0,0.0,0.03,0,0.0,8,0.37,25.0,0.0,0.0,0.23,20.0,0.05,0.0,0.18,25.0,0.0,0.5,63.64,4.2,47.83,0.41000000000000003,0.59,0.14,21.45,0.27,1.19,34.0,83.22,8.4,65.22,7.76,94.71,32.31,85.45,1.46,43.75,16.6,24.05,0.01,0.09,0.0,0.0,0.0,0.0,0.0,3.61,72.15,0.64,28.57,0.09,50.0,0.14,0.05,4.7,58.25,89.89,12.64,0,,0,,0,0.0,0.0,0.0,,,1.19,,1.32,0.0,0.0,0.0,0.0,0,0.0
S. Larsen,Sander  Larsen,-281901,Brøndby U19,Brøndby U19,https://cdn5.wyscout.com/photos/team/public/g22937_120x120.png,U19 Ligaen,"RCMF, RCMF3",RCMF,40,RCMF3,10,,0,17.0,2008-09-06,0,,24,1955,2,2.33,1,0.88,15.65,47.35,Denmark,['Denmark'],unknown,0,0,False,6.26,5.75,59.2,1.24,51.85,0.05,0.06,0.09,2.81,3.89,1.06,4,0.18,0,0.0,1.43,0.09,2,0.09,0.11,1,0.05,25,1.15,32.0,8.0,0.05,0.87,21.05,0.46,20.0,0.41000000000000003,22.22,0.05,1.6600000000000001,47.22,6.95,39.07,1.47,1.43,0.05,22.88,0.6000000000000001,1.34,30.29,80.55,8.65,70.21,6.4,92.81,27.35,84.51,2.21,50.0,17.25,29.32,0.04,0.55,0.09,0.0,0.14,66.67,0.28,3.13,69.12,1.6600000000000001,52.78,0.46,40.0,0.97,0.18,4.19,64.84,84.21,9.62,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.24,0.05,0.0,0.0,0.0,0,0.0
N. Johansen,Nikolaj   Gustav Johansen,-281722,Brøndby U19,Brøndby U19,https://cdn5.wyscout.com/photos/team/public/g22937_120x120.png,U19 Ligaen,"LW, CF, LAMF",LW,27,CF,17,LAMF,14,18.0,2008-03-19,0,2027-06-30,25,1940,5,4.83,1,1.55,14.75,41.82,Denmark,['Denmark'],unknown,0,0,False,5.8,4.92,60.38,1.67,33.33,0.37,0.5,0.28,2.46,3.31,0.84,3,0.14,0,0.0,2.32,0.23,5,0.23,0.22,1,0.05,36,1.67,44.44,13.889,0.05,1.21,19.23,0.7000000000000001,6.67,0.42,44.44,0.23,3.06,43.94,6.96,33.33,3.11,1.81,0.46,12.94,1.58,1.02,17.95,69.77,5.24,61.06,3.99,84.88,15.36,74.32,1.44,61.29,16.42,24.78,0.07,0.65,0.05,0.0,0.0,0.0,0.32,1.72,54.05,1.3900000000000001,46.67,0.14,66.67,1.02,0.28,2.92,71.43,67.26,5.24,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.67,0.0,0.0,0.0,0.0,0,0.0
C. Seiger,Casper Seiger Behrens,-475385,Randers U19,Randers U19,https://cdn5.wyscout.com/photos/team/public/g22940_120x120.png,U19 Ligaen,"LCB, CB",LCB,79,CB,16,,0,19.0,2007-05-19,0,2027-06-30,22,1923,2,2.7800000000000002,0,1.11,11.19,64.44,Denmark,['Denmark'],unknown,0,0,False,7.54,4.02,68.6,4.02,67.44,0.14,0.15,0.8,4.63,4.9,0.66,3,0.14,0,0.0,0.33,0.09,2,0.09,0.13,1,0.05,14,0.66,21.43,14.286,0.0,0.14,0.0,0.05,0.0,0.05,0.0,0.0,0.19,100.0,1.12,58.33,1.08,0.19,0.05,31.97,0.19,0.7000000000000001,44.7,86.39,16.9,73.68,3.56,96.05,39.36,91.56,5.2,49.55,20.05,38.27,0.05,0.23,0.0,0.05,0.05,0.0,0.05,4.07,52.87,0.61,30.77,0.28,16.67,0.28,0.0,6.65,54.23,96.34,19.19,0,,0,,0,0.0,0.0,0.0,,,2.81,,4.02,0.0,0.0,0.0,0.0,0,0.0
J. Sigurðsson,Jakob Sigurðsson,-724483,Lyngby U19,Lyngby U19,https://cdn5.wyscout.com/photos/team/public/g22934_120x120.png,U19 Ligaen,CF,CF,94,,0,,0,19.0,2007-04-27,0,,21,1905,15,10.76,0,0.73,22.39,44.3,Iceland,['Iceland'],unknown,0,0,False,3.7800000000000002,2.98,74.6,6.09,44.19,0.19,0.22,0.05,1.37,1.62,0.99,4,0.19,0,0.0,2.55,0.71,10,0.47000000000000003,0.51,2,0.09,56,2.65,57.14,26.786,0.0,0.38,37.5,0.24,60.0,0.09,0.0,0.05,1.94,46.34,9.69,34.15,3.26,1.56,0.09,6.24,2.03,2.17,10.54,67.71,2.88,45.9,3.4,84.72,9.59,71.92,0.5700000000000001,16.67,15.3,14.94,0.03,0.43,0.0,0.0,0.0,0.0,0.24,1.75,51.35,0.85,11.11,0.09,0.0,0.38,0.14,1.56,57.58,68.0,2.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.09,0.19,0.19,25.0,0.0,5,100.0
J. Jensen,Jacob Jensen,-279925,Esbjerg U19,Esbjerg U19,https://cdn5.wyscout.com/photos/team/public/g22938_120x120.png,U19 League 1,RCB,RCB,97,,0,,0,20.0,2006-03-14,0,2027-06-30,21,1891,2,0.8300000000000001,0,0.07,12.95,55.51,Denmark,['Denmark'],unknown,0,0,False,10.09,5.95,66.4,3.47,42.47,0.1,0.1,0.9500000000000001,6.04,6.15,1.0,7,0.33,0,0.0,0.29,0.1,2,0.1,0.04,0,0.0,7,0.33,28.57,28.571,0.0,0.24,20.0,0.05,0.0,0.19,25.0,0.0,0.14,100.0,1.9,52.5,0.38,0.52,0.05,47.5,0.43,0.9,62.11,84.52,26.46,75.72,4.0,95.24,53.35,90.99,8.57,46.11,23.43,45.55,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7.23,63.16,0.81,29.41,0.33,14.29,0.24,0.05,11.66,62.45,92.67,26.6,0,,0,,0,0.0,0.0,0.0,,,3.24,,3.47,0.0,0.0,0.0,0.0,0,0.0
A. Yaz Ates,Albert Yaz Ates,-360541,Randers U19,Randers U19,https://cdn5.wyscout.com/photos/team/public/g22940_120x120.png,U19 Ligaen,"RB, RB5, RW",RB,55,RB5,17,RW,13,17.0,2008-07-08,0,,22,1891,0,1.03,3,2.29,20.51,56.38,Denmark,['Denmark'],unknown,0,0,False,10.99,10.85,63.16,2.5700000000000003,44.44,0.05,0.05,0.24,4.09,4.37,1.0,0,0.0,0,0.0,2.38,0.0,0,0.0,0.05,0,0.0,10,0.48,50.0,0.0,0.14,3.05,34.38,0.05,0.0,3.0,34.92,0.71,1.62,67.65,4.62,50.52,1.48,1.9,0.24,18.94,1.09,0.9500000000000001,28.65,69.93,11.33,60.92,5.19,93.58,22.94,77.8,2.95,45.16,18.98,28.48,0.11,0.52,0.0,0.0,0.1,0.0,0.5700000000000001,3.38,57.75,3.05,39.06,0.5700000000000001,41.67,0.71,0.81,6.28,61.36,61.64,7.57,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0.0
