Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Dyplin,Kevin Dyplin,-79785,Eskilstuna,Eskilstuna,https://cdn5.wyscout.com/photos/team/public/1630_120x120.png,Ettan,GK,GK,100,,0,,0,26.0,2000-01-23,0,,8,800,1,0.47000000000000003,0,0.0,1.01,66.67,Sweden,['Sweden'],,0,0,False,1.69,0.11,0.0,0.68,66.67,0.0,0.0,0.0,1.69,2.06,0.11,1,0.11,0,0.0,0.11,0.11,1,0.11,0.05,0,0.0,1,0.11,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.11,0.0,0.0,15.08,0.45,0.11,25.2,86.61,11.81,75.24,0.0,0.0,18.11,96.89,7.09,60.32,28.51,44.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,61.54,0.11,100.0,0.23,50.0,0.11,0.0,5.18,69.57,97.22,12.15,15,1.69,44,4.95,2,65.91,12.8,1.44,-2.2,-0.248,0.0,2.48,0.68,,,,0.0,0,0
J. Essombé Mambingo,Jerry  Essombé Mambingo,-693141,Umeå,Umeå,https://cdn5.wyscout.com/photos/team/public/g2401_120x120.png,Ettan,"LB, LB5",LB,78,LB5,12,,0,22.0,2004-03-30,0,2027-12-31,8,800,0,0.09,0,0.0,15.86,60.28,France,['France'],unknown,0,0,False,11.03,7.54,68.66,1.58,57.14,0.34,0.46,0.79,5.51,7.58,0.68,2,0.23,0,0.0,0.79,0.0,0,0.0,0.01,0,0.0,1,0.11,0.0,0.0,0.0,0.34,0.0,0.34,0.0,0.0,0.0,0.0,1.35,58.33,5.18,60.87,0.56,2.03,1.13,21.15,0.79,1.8,31.73,73.76,13.73,56.56,6.86,95.08,25.54,85.02,5.85,28.85,17.78,36.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,50.0,1.01,22.22,0.45,0.0,0.23,0.0,6.53,44.83,82.61,5.18,0,,0,,0,0.0,0.0,0.0,,,0.45,,1.58,0.0,0.0,0.0,0.0,0,0
S. Bawa,Steve Zishim Bawa,-432122,Umeå,Umeå,https://cdn5.wyscout.com/photos/team/public/g2401_120x120.png,Ettan,"CF, LAMF, LWF",CF,37,LAMF,33,LWF,16,24.0,2002-03-16,0,2026-12-31,8,800,1,0.89,0,0.59,25.31,38.22,United States,"['United States', 'Nigeria']",unknown,0,0,False,5.4,5.96,62.26,6.64,25.42,0.23,0.31,0.23,1.46,2.01,2.03,2,0.23,0,0.0,2.93,0.11,1,0.11,0.1,0,0.0,16,1.8,18.75,6.25,0.0,1.13,0.0,1.01,0.0,0.11,0.0,0.23,4.73,54.76,11.25,33.0,3.26,2.25,0.23,8.66,1.69,1.13,12.49,73.87,2.59,69.57,4.05,86.11,11.14,81.82,0.23,50.0,18.45,9.88,0.07,0.23,0.0,0.11,0.0,0.0,0.11,0.68,100.0,0.68,33.33,0.0,0.0,0.56,0.11,1.8,50.0,70.97,3.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.64,0.0,0.0,0.0,0.0,0,0
S. Beko,Stevan Beko,-293390,Karlstad,Karlstad,https://cdn5.wyscout.com/photos/team/public/g-12135_120x120.png,Ettan,"RCB, RCB3, CB",RCB,39,RCB3,36,CB,17,22.0,2003-12-04,0,,8,796,0,0.24,1,0.22,8.93,70.89,Sweden,['Sweden'],unknown,0,0,False,8.03,3.96,85.71,2.15,52.63,0.23,0.29,0.23,4.41,5.63,0.23,1,0.11,0,0.0,0.45,0.0,0,0.0,0.03,0,0.0,2,0.23,50.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.34,66.67,2.04,61.11,0.45,0.68,0.0,30.75,0.5700000000000001,0.34,46.24,84.84,16.39,70.34,5.65,92.0,38.89,93.31,7.24,40.63,22.39,38.98,0.02,0.11,0.0,0.0,0.11,100.0,0.11,5.43,50.0,0.9,25.0,0.34,66.67,0.34,0.0,7.69,61.76,94.35,20.01,0,,0,,0,0.0,0.0,0.0,,,3.62,,2.15,0.0,0.0,0.0,0.0,0,0
B. Kavur,Bekir Kavur,-827746,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g2477_120x120.png,Ettan,"LB, LW",LB,82,LW,15,,0,22.0,2003-11-06,0,,8,790,1,0.06,2,0.96,11.62,50.0,Sweden,['Sweden'],left,0,0,False,5.58,5.13,51.11,1.37,58.33,0.11,0.14,0.46,2.85,3.44,0.5700000000000001,1,0.11,0,0.0,1.94,0.11,1,0.11,0.01,0,0.0,2,0.23,50.0,50.0,0.23,3.76,33.33,3.5300000000000002,32.26,0.23,50.0,0.46,0.91,62.5,3.99,45.71,1.25,2.05,0.23,36.8,1.37,1.25,44.77,79.39,14.47,65.35,10.82,97.89,37.25,87.46,3.99,42.86,19.6,39.32,0.11,1.25,0.0,0.0,0.0,0.0,0.5700000000000001,4.67,51.22,3.87,47.06,0.34,66.67,0.5700000000000001,1.25,8.2,70.83,81.08,12.65,0,,0,,0,0.0,0.0,0.0,,,1.37,,1.37,0.23,0.11,0.0,2.16,0,0
F. Johansson,Fredrik Johansson,-121924,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g2477_120x120.png,Ettan,"CF, LCMF, RCMF",CF,34,LCMF,16,RCMF,12,32.0,1994-02-09,0,,8,790,1,0.99,1,0.62,11.96,43.81,Sweden,['Sweden'],,0,0,False,4.78,4.22,64.86,2.51,22.73,0.11,0.14,0.0,1.94,2.34,1.03,2,0.23,0,0.0,0.91,0.11,1,0.11,0.11,0,0.0,16,1.82,25.0,6.25,0.11,0.46,50.0,0.34,66.67,0.11,0.0,0.11,0.46,50.0,3.5300000000000002,32.26,1.48,0.11,0.0,22.22,0.91,0.5700000000000001,28.94,87.8,6.95,75.41,5.7,98.0,26.66,91.03,1.82,50.0,17.1,33.74,0.07,0.46,0.0,0.0,0.0,0.0,0.11,2.39,71.43,1.25,45.45,0.34,33.33,0.34,0.23,2.39,71.43,90.0,11.39,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.51,1.37,0.46,50.0,1.5899999999999999,0,0
F. Eriksson,Filip Eriksson,406298,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g2477_120x120.png,Ettan,GK,GK,100,,0,,0,27.0,1998-08-25,0,,8,790,0,0.0,0,0.0,0.68,66.67,Sweden,['Sweden'],right,184,80,False,3.19,0.11,0.0,0.34,66.67,0.0,0.0,0.0,3.19,3.85,0.0,1,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.11,0.11,0.0,20.51,0.11,0.34,37.48,83.89,19.82,74.71,0.0,0.0,24.38,97.2,13.1,59.13,30.96,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,47.22,0.46,25.0,0.23,50.0,0.11,0.0,9.46,73.49,94.93,15.72,19,2.16,61,6.95,0,68.85,19.77,2.25,0.77,0.088,0.0,1.5899999999999999,0.34,,,,0.0,0,0
E. Torppa,Esaias Torppa,-696036,Vasalund,Vasalund,https://cdn5.wyscout.com/photos/team/public/1743_120x120.png,Ettan,"RDMF, LDMF, RCMF",RDMF,44,LDMF,25,RCMF,24,21.0,2005-04-10,0,,8,787,0,0.45,0,0.25,25.96,57.71,Sweden,['Sweden'],,0,0,False,12.92,11.32,76.77,2.74,41.67,0.11,0.16,0.23,4.12,5.68,0.8,1,0.11,0,0.0,1.94,0.0,0,0.0,0.05,0,0.0,6,0.6900000000000001,66.67,0.0,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.0,2.17,68.42,9.38,46.34,0.5700000000000001,1.6,0.23,28.48,0.34,2.17,42.88,88.53,12.69,73.87,7.89,98.55,40.03,90.86,2.63,60.87,16.68,36.37,0.03,0.34,0.0,0.0,0.0,0.0,0.23,5.72,82.0,1.1400000000000001,50.0,0.34,0.0,0.5700000000000001,0.0,4.0,80.0,94.74,15.21,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.74,0.0,0.0,0.0,0.0,0,0
F. Ededal,Filiph Ededal,-198310,Enköping,Enköping,https://cdn5.wyscout.com/photos/team/public/1636_120x120.png,Ettan,RCB,RCB,100,,0,,0,24.0,2001-06-28,0,,8,784,1,0.6000000000000001,0,0.0,9.3,60.49,Sweden,['Sweden'],,0,0,False,9.07,4.71,68.29,1.49,38.46,0.11,0.16,0.8,5.74,8.2,0.6900000000000001,1,0.11,0,0.0,0.23,0.11,1,0.11,0.07,0,0.0,1,0.11,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,33.33,1.72,60.0,0.11,3.33,0.23,55.68,0.23,0.23,73.35,91.86,26.63,84.05,4.36,97.37,65.78,95.81,7.58,57.58,21.44,42.2,0.0,0.0,0.0,0.0,0.11,0.0,0.0,9.99,72.41,0.46,25.0,0.46,25.0,0.0,0.0,13.66,85.71,97.55,37.42,0,,0,,0,0.0,0.0,0.0,,,3.44,,1.49,0.0,0.0,0.0,0.0,0,0
M. Özgun,Mattias Özgun,423909,Enköping,Enköping,https://cdn5.wyscout.com/photos/team/public/1636_120x120.png,Ettan,LCB,LCB,100,,0,,0,28.0,1998-01-27,0,,8,784,0,0.16,0,0.0,13.09,53.51,Sweden,['Sweden'],left,176,70,False,8.27,4.82,57.14,3.44,63.33,0.23,0.33,0.46,5.28,7.54,0.92,0,0.0,0,0.0,0.34,0.0,0,0.0,0.02,0,0.0,1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,60.0,3.56,38.71,0.23,1.6099999999999999,0.11,54.07,0.23,0.5700000000000001,71.06,90.79,31.8,86.28,2.87,100.0,63.25,95.1,7.8100000000000005,55.88,22.18,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.59,73.27,0.46,0.0,0.92,50.0,0.11,0.0,14.12,82.93,94.91,31.57,0,,0,,0,0.0,0.0,0.0,,,2.18,,3.44,0.0,0.0,0.0,0.0,0,0
