Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Psyropoulos,Stavros Psyropoulos,-506469,AEK Athens U19,AEK Athens U19,https://cdn5.wyscout.com/photos/team/public/g-9105_120x120.png,Super League K19,RCB,RCB,95,,0,,0,19.0,2007-03-21,0,,23,2226,0,0.9,0,0.18,11.52,59.3,Greece,['Greece'],unknown,0,0,False,7.96,4.25,72.38,3.8,48.94,0.04,0.06,0.4,4.85,6.95,0.49,0,0.0,0,0.0,0.4,0.0,0,0.0,0.04,0,0.0,7,0.28,42.86,0.0,0.0,0.16,0.0,0.04,0.0,0.12,0.0,0.04,0.44,63.64,1.94,50.0,0.53,1.21,0.0,25.07,0.2,0.53,43.38,83.69,17.39,69.07,3.96,96.94,35.54,89.42,7.68,58.95,22.93,36.24,0.01,0.12,0.0,0.0,0.0,0.0,0.0,4.89,67.77,0.61,20.0,0.44,36.36,0.24,0.0,8.94,63.35,95.27,18.8,0,,0,,0,0.0,0.0,0.0,,,3.36,,3.8,0.0,0.0,0.0,0.04,0,0.0
T. Papavasiliou,Theofanis Papavasiliou,-444450,AEK Athens U19,AEK Athens U19,https://cdn5.wyscout.com/photos/team/public/g-9105_120x120.png,Super League K19,GK,GK,100,,0,,0,19.0,2007-05-03,0,,22,2134,0,0.0,0,0.0,1.05,84.0,Greece,['Greece'],unknown,0,0,False,1.43,0.08,0.0,0.63,93.33,0.0,0.0,0.0,1.43,2.04,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,12.91,0.13,0.42,22.56,84.86,11.22,70.68,0.0,0.0,14.21,98.52,8.27,62.24,32.02,49.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,33.33,0.21,0.0,0.21,0.0,0.0,0.0,6.33,71.33,99.59,10.33,18,0.76,84,3.54,10,78.57,20.75,0.88,2.75,0.116,0.0,1.43,0.63,,,,0.0,0,0.0
P. Katsaras,Panagiotis  Katsaras,-559134,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,GK,GK,100,,0,,0,19.0,2007-03-07,0,,22,2114,0,0.0,0,0.0,0.81,78.95,Greece,['Greece'],,0,0,False,1.11,0.0,0.0,0.51,91.67,0.0,0.0,0.0,1.11,1.32,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,5.49,0.13,0.21,14.43,73.45,9.15,61.4,0.0,0.0,6.51,96.73,7.92,54.3,37.96,51.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,45.71,0.21,0.0,0.43,40.0,0.0,0.0,5.32,72.8,94.0,4.26,19,0.81,76,3.24,12,75.0,20.44,0.87,1.44,0.061,0.0,1.53,0.51,,,,0.0,0,0.0
O. Lazaridis,Odysseas  Lazaridis,-759960,Panetolikos U19,Panetolikos U19,https://cdn5.wyscout.com/photos/team/public/g-15053_120x120.png,Super League K19,"RCB, LCB",RCB,41,LCB,41,,0,18.0,2008-02-18,0,,23,2090,0,0.76,1,0.34,12.92,64.67,Greece,['Greece'],,0,0,False,9.0,5.43,76.98,4.69,54.13,0.26,0.37,0.56,4.5600000000000005,6.58,0.34,1,0.04,0,0.0,0.30000000000000004,0.0,0,0.0,0.03,0,0.0,5,0.22,0.0,0.0,0.04,0.09,0.0,0.04,0.0,0.04,0.0,0.0,0.30000000000000004,100.0,1.21,60.71,0.39,0.39,0.0,19.94,0.34,0.65,36.34,82.82,15.93,70.81,2.45,92.98,30.79,89.65,5.51,45.31,22.12,37.58,0.01,0.13,0.0,0.0,0.0,0.0,0.04,3.5700000000000003,48.19,0.30000000000000004,14.29,0.13,0.0,0.09,0.04,7.23,58.93,94.54,14.99,0,,0,,0,0.0,0.0,0.0,,,1.94,,4.69,0.0,0.0,0.0,0.0,0,0.0
A. Kotsis,Anastasios Marios Kotsis,-511950,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,"LCMF, LDMF",LCMF,43,LDMF,29,,0,19.0,2007-01-12,0,,22,2035,4,5.61,3,2.25,22.07,46.69,Greece,['Greece'],,0,0,False,9.11,6.59,64.43,2.87,41.54,0.31,0.36,0.04,4.5600000000000005,5.33,1.11,4,0.18,0,0.0,2.08,0.18,2,0.09,0.25,0,0.0,31,1.37,51.61,12.903,0.13,0.49,54.55,0.22,80.0,0.22,20.0,0.0,2.03,50.0,9.77,38.46,1.8599999999999999,1.5899999999999999,0.13,22.16,1.15,1.81,36.35,79.93,12.91,68.49,7.16,91.36,32.99,84.18,2.87,35.38,17.23,32.24,0.1,0.93,0.0,0.0,0.18,50.0,0.49,5.75,60.0,1.6800000000000002,57.89,0.31,14.29,0.97,0.27,5.09,73.04,84.94,10.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.87,0.18,0.04,0.0,0.09,2,100.0
V. Freris-Panagiotidis,Ventouris Freris-Panagiotidis,-625602,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,LCB,LCB,99,,0,,0,19.0,2007-01-19,0,,21,2012,0,0.11,0,0.01,9.71,63.59,Greece,['Greece'],unknown,0,0,False,7.74,4.38,79.59,1.92,46.51,0.04,0.05,0.76,4.2,4.96,0.54,4,0.18,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.13,100.0,1.92,41.86,0.27,0.22,0.09,20.22,0.04,0.4,31.18,87.09,12.75,77.19,1.25,89.29,28.0,92.81,3.13,37.14,21.57,36.85,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.15,52.08,0.22,20.0,0.22,40.0,0.13,0.0,4.61,56.31,95.85,15.07,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.92,0.0,0.0,0.0,0.0,0,0.0
V. Eleftheriadis,Vasileios Eleftheriadis,-444515,PAOK U16,PAOK U19,https://cdn5.wyscout.com/photos/team/public/g-18427_120x120.png,,"RDMF, RCMF",RDMF,57,RCMF,32,,0,18.0,2007-06-02,0,,24,2010,4,3.8200000000000003,2,4.1,15.58,58.05,Greece,['Greece'],unknown,0,0,False,7.57,6.54,69.18,3.7199999999999998,57.83,0.18,0.30000000000000004,0.18,2.87,4.85,0.81,3,0.13,0,0.0,1.07,0.18,1,0.04,0.17,0,0.0,28,1.25,32.14,14.286,0.09,1.16,38.46,0.54,75.0,0.58,7.69,0.22,0.22,80.0,3.45,48.05,0.4,0.49,0.0,29.82,0.13,1.21,43.21,81.04,14.6,66.56,6.49,93.79,36.76,87.21,5.33,47.9,19.61,35.73,0.18,1.6600000000000001,0.0,0.0,0.04,100.0,0.18,9.0,66.67,2.37,49.06,0.4,44.44,0.54,0.45,7.75,78.61,88.2,15.94,0,,0,,0,0.0,0.0,0.0,,,0.76,,3.7199999999999998,1.3900000000000001,0.27,66.67,4.61,3,100.0
S. Vasilakos,Stavros Vasilakos,-587957,Panserraikos U19,Panserraikos U19,https://cdn5.wyscout.com/photos/team/public/g35967_120x120.png,Super League K19,LB,LB,99,,0,,0,17.0,2008-09-19,0,,23,1985,1,0.9,3,1.58,17.23,56.05,Greece,['Greece'],,0,0,False,12.51,7.35,71.6,3.31,54.79,1.18,1.51,0.23,6.08,7.8100000000000005,1.22,8,0.36,0,0.0,1.72,0.05,0,0.0,0.04,0,0.0,5,0.23,60.0,20.0,0.14,2.18,35.42,2.18,35.42,0.0,0.0,0.14,1.31,62.07,3.94,47.13,0.5,0.8200000000000001,0.05,22.4,1.63,1.04,35.09,71.06,18.54,64.3,4.85,90.65,28.2,78.3,4.85,43.93,20.5,37.59,0.07,0.68,0.0,0.0,0.0,0.0,0.32,5.53,60.66,2.58,38.6,0.59,23.08,0.36,0.77,9.29,62.44,79.12,8.25,0,,0,,0,0.0,0.0,0.0,,,0.54,,3.31,0.32,0.05,0.0,0.0,1,100.0
A. Milisic,Amar Milisic,-290555,Olympiacos Piraeus U19,Olympiacos Piraeus U19,https://cdn5.wyscout.com/photos/team/public/g21607_120x120.png,Super League K19,"RCB, CB",RCB,67,CB,15,,0,19.0,2007-01-30,0,2027-06-30,21,1967,7,5.04,0,0.39,9.88,57.41,Belgium,['Belgium'],unknown,0,0,False,6.18,4.8,67.62,2.93,62.5,0.18,0.29,0.27,2.75,4.42,0.96,1,0.05,0,0.0,0.64,0.32,5,0.23,0.23,1,0.05,14,0.64,71.43,50.0,0.0,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.27,50.0,1.42,22.58,0.78,2.24,0.0,43.65,0.46,0.18,58.52,91.16,22.83,82.16,3.16,95.65,53.62,94.62,4.8,53.33,20.07,35.92,0.02,0.14,0.0,0.0,0.0,0.0,0.05,7.64,76.05,0.55,25.0,0.27,16.67,0.09,0.05,9.33,82.35,97.15,27.27,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.93,0.0,0.0,0.0,0.0,3,66.667
A. Almpanis,Aristidis Almpanis,-639143,Panetolikos U19,Panetolikos U19,https://cdn5.wyscout.com/photos/team/public/g-15053_120x120.png,Super League K19,"CF, RAMF, RW",CF,28,RAMF,20,RW,14,18.0,2007-06-01,0,,22,1941,9,9.72,4,2.6,28.98,44.96,Greece,['Greece'],unknown,0,0,False,7.5600000000000005,7.33,66.46,6.63,43.36,0.05,0.07,0.14,2.64,3.79,2.6,3,0.14,0,0.0,3.85,0.42,9,0.42,0.45,0,0.0,57,2.64,38.6,15.789,0.19,3.2,33.33,0.8300000000000001,38.89,2.32,32.0,0.46,2.92,58.73,10.43,36.0,3.66,1.44,0.19,9.78,2.36,1.16,18.55,61.0,6.31,52.21,2.69,81.03,13.26,69.58,2.18,46.81,20.19,28.96,0.12,0.7000000000000001,0.05,0.0,0.05,100.0,0.65,2.27,55.1,3.01,44.62,0.14,66.67,0.6000000000000001,1.16,4.08,73.86,64.23,5.7,0,,0,,0,0.0,0.0,0.0,,,0.05,,6.63,0.0,0.0,0.0,0.0,1,0.0
