Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Sargeant,Sam Sargeant,402834,Sligo Rovers,Sligo Rovers,https://cdn5.wyscout.com/photos/team/public/2472_120x120.png,Premier Division,GK,GK,100,,0,,0,28.0,1997-09-23,100000,2026-11-30,17,1676,0,0.26,0,0.0,0.97,66.67,England,['England'],left,187,75,False,1.83,0.11,50.0,0.64,66.67,0.05,0.07,0.0,1.72,2.35,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.11,50.0,0.11,0.0,0.0,15.63,0.05,0.11,23.95,73.32,16.86,64.01,0.0,0.0,8.86,97.58,15.09,59.07,40.92,49.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,47.83,0.16,33.33,0.16,33.33,0.05,0.0,9.83,77.6,95.31,6.87,23,1.24,84,4.51,5,72.62,23.32,1.25,0.32,0.017,0.0,1.6600000000000001,0.64,,,,0.0,0,0
W. Fitzgerald,Will Fitzgerald,488666,Sligo Rovers,Sligo Rovers,https://cdn5.wyscout.com/photos/team/public/2472_120x120.png,Premier Division,"LB, LAMF",LB,38,LAMF,27,,0,27.0,1999-05-19,100000,2026-11-30,17,1676,4,1.6,2,3.06,18.26,52.65,Republic of Ireland,['Republic of Ireland'],left,187,73,False,7.79,5.21,76.29,3.38,44.44,0.05,0.07,0.32,3.76,5.15,0.48,3,0.16,0,0.0,4.3,0.21,4,0.21,0.09,0,0.0,12,0.64,50.0,33.333,0.11,5.37,37.0,4.03,40.0,1.29,29.17,0.7000000000000001,3.81,50.7,7.95,43.24,1.24,3.2800000000000002,0.38,20.03,2.31,0.75,31.47,65.53,11.17,56.25,5.48,90.2,22.45,77.51,4.03,33.33,19.34,36.26,0.16,1.56,0.0,0.11,0.11,50.0,0.7000000000000001,4.08,52.63,5.32,41.41,0.48,44.44,0.48,2.04,7.3,65.44,65.68,9.08,0,,0,,0,0.0,0.0,0.0,,,0.16,,3.38,1.13,0.0,0.0,1.99,0,0
P. Hickey,Patrick Hickey,-351573,Bohemians,Bohemians,https://cdn5.wyscout.com/photos/team/public/1872_120x120.png,Premier Division,"RCB, RCB3",RCB,75,RCB3,12,,0,27.0,1998-07-02,0,2027-11-30,17,1665,3,2.02,0,0.0,17.24,62.38,United States,['United States'],,0,0,False,9.14,4.32,72.5,6.86,73.23,0.05,0.09,0.65,5.95,9.62,1.03,3,0.16,0,0.0,0.65,0.16,3,0.16,0.11,3,0.16,17,0.92,47.06,17.647,0.0,0.16,0.0,0.05,0.0,0.11,0.0,0.0,0.22,75.0,2.76,29.41,1.3,1.24,0.0,35.08,0.27,0.76,53.19,82.11,22.0,67.08,4.59,94.12,47.35,88.36,5.68,32.38,19.88,41.73,0.0,0.0,0.0,0.05,0.05,100.0,0.0,4.97,57.61,0.49,22.22,0.54,20.0,0.11,0.0,8.49,51.59,93.88,21.19,0,,0,,0,0.0,0.0,0.0,,,2.92,,6.86,0.0,0.0,0.0,0.0,0,0
K. Chorążka,Kacper Chorążka,496967,Bohemians,Bohemians,https://cdn5.wyscout.com/photos/team/public/1872_120x120.png,Premier Division,GK,GK,100,,0,,0,27.0,1999-03-18,100000,2026-12-31,17,1665,0,0.0,0,0.08,0.76,85.71,Poland,['Poland'],right,189,76,False,1.3,0.0,0.0,0.54,90.0,0.0,0.0,0.0,1.3,2.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,20.54,0.16,0.22,29.51,83.33,15.73,70.79,0.0,0.0,16.59,99.02,12.81,63.71,33.81,49.74,0.0,0.05,0.05,0.0,0.0,0.0,0.0,5.14,57.89,0.27,40.0,0.22,25.0,0.0,0.0,9.35,78.03,97.88,12.76,16,0.86,48,2.59,7,66.67,12.42,0.67,-3.58,-0.194,0.0,1.57,0.54,,,,0.0,0,0
L. Turner,Luke Turner,-122994,St. Patrick's Ath.,St. Patrick's Ath.,https://cdn5.wyscout.com/photos/team/public/1332_120x120.png,Premier Division,"LCB3, LB",LCB3,59,LB,38,,0,23.0,2002-05-20,250000,2026-11-30,17,1653,1,1.8,1,0.54,19.93,60.11,Republic of Ireland,['Republic of Ireland'],left,186,0,False,8.77,6.37,70.09,6.26,61.74,0.05,0.08,0.38,4.25,6.16,0.87,2,0.11,0,0.0,1.3599999999999999,0.05,1,0.05,0.1,1,0.05,13,0.71,15.38,7.692,0.05,1.2,18.18,1.09,15.0,0.05,100.0,0.22,1.52,64.29,5.12,53.19,1.85,2.45,0.44,33.21,0.93,1.03,48.46,79.44,21.62,70.03,4.52,96.39,40.62,87.0,6.7,44.72,19.32,39.28,0.03,0.54,0.0,0.0,0.05,100.0,0.33,7.95,65.07,1.58,13.79,0.33,0.0,0.22,0.22,10.56,68.04,89.85,14.48,0,,0,,0,0.0,0.0,0.0,,,0.33,,6.26,0.05,0.0,0.0,0.0,0,0
J. Anang,Joseph Anang,-78767,St. Patrick's Ath.,St. Patrick's Ath.,https://cdn5.wyscout.com/photos/team/public/1332_120x120.png,Premier Division,GK,GK,100,,0,,0,25.0,2000-06-08,300000,2026-11-30,17,1653,0,0.0,0,0.15,0.65,91.67,England,"['England', 'Ghana']",right,190,72,False,1.8,0.11,50.0,0.27,100.0,0.05,0.08,0.0,1.69,2.45,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,10.94,0.22,0.22,19.33,84.23,9.96,71.04,0.0,0.0,12.96,98.74,6.32,55.17,31.26,49.96,0.01,0.05,0.0,0.05,0.0,0.0,0.05,2.29,47.62,0.11,0.0,0.22,0.0,0.0,0.0,4.9,65.56,99.33,8.11,16,0.87,66,3.59,5,75.76,18.2,0.99,2.2,0.12,0.0,1.63,0.27,,,,0.0,0,0
J. Redmond,Joe Redmond,482631,St. Patrick's Ath.,St. Patrick's Ath.,https://cdn5.wyscout.com/photos/team/public/1332_120x120.png,Premier Division,"RCB3, RCB, CB",RCB3,46,RCB,39,CB,13,26.0,2000-01-23,175000,2026-11-30,17,1651,0,1.11,2,0.79,16.03,56.46,Republic of Ireland,['Republic of Ireland'],right,183,75,False,9.27,6.05,67.57,6.32,55.17,0.16,0.24,0.49,5.02,7.26,0.8200000000000001,1,0.05,0,0.0,0.93,0.0,0,0.0,0.06,0,0.0,10,0.55,40.0,0.0,0.11,0.76,42.86,0.0,0.0,0.76,42.86,0.27,0.49,77.78,2.18,37.5,0.87,2.67,0.11,35.27,1.47,0.27,52.55,82.68,25.73,73.09,2.51,91.3,44.1,89.99,7.69,44.68,22.23,39.4,0.04,0.49,0.0,0.0,0.0,0.0,0.27,9.05,67.47,1.3599999999999999,44.0,0.55,10.0,0.44,0.27,13.03,76.99,92.68,20.12,0,,0,,0,0.0,0.0,0.0,,,1.04,,6.32,0.0,0.0,0.0,0.0,0,0
E. McGinty,Ed McGinty,481256,Shamrock Rovers,Shamrock Rovers,https://cdn5.wyscout.com/photos/team/public/1894_120x120.png,Premier Division,GK,GK,100,,0,,0,26.0,1999-08-05,150000,,17,1645,0,0.0,0,0.0,0.77,92.86,Scotland,"['Scotland', 'Republic of Ireland']",left,192,83,False,1.26,0.16,66.67,0.44,100.0,0.0,0.0,0.0,1.15,1.83,0.05,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,12.53,0.33,0.22,20.74,82.59,14.17,76.06,0.0,0.0,12.97,97.89,7.66,57.86,30.68,48.44,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.13,38.46,0.16,0.0,0.11,50.0,0.0,0.0,5.47,66.0,97.09,5.64,14,0.77,53,2.9,7,73.58,17.06,0.93,3.06,0.167,0.0,1.7000000000000002,0.44,,,,0.0,0,0
B. Baggley,Barry Crowe-Baggley,-118233,St. Patrick's Ath.,St. Patrick's Ath.,https://cdn5.wyscout.com/photos/team/public/1332_120x120.png,Premier Division,"LCMF, LCMF3, LDMF",LCMF,50,LCMF3,36,LDMF,10,24.0,2002-01-11,75000,2026-11-30,17,1598,0,1.5,1,3.03,13.63,47.93,Northern Ireland,['Northern Ireland'],left,176,64,False,6.48,5.29,57.45,2.5300000000000002,44.44,0.28,0.4,0.11,3.15,4.53,1.01,1,0.06,0,0.0,1.13,0.0,0,0.0,0.08,0,0.0,21,1.18,9.52,0.0,0.06,1.35,37.5,1.01,33.33,0.28,60.0,0.56,0.9,43.75,3.94,41.43,0.68,1.07,0.17,33.34,0.68,1.07,46.8,85.92,12.84,69.3,10.64,97.35,41.96,90.34,3.6,51.56,17.14,34.5,0.17,1.35,0.06,0.11,0.34,33.33,0.23,6.2,70.91,2.76,55.1,0.45,50.0,0.96,0.51,6.14,76.15,91.05,14.47,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.5300000000000002,2.14,0.17,33.33,2.42,0,0
C. Keeley,Conor Keeley,402360,Drogheda United,Drogheda United,https://cdn5.wyscout.com/photos/team/public/2571_120x120.png,Premier Division,"CB, RCB",CB,65,RCB,34,,0,28.0,1997-12-13,150000,2027-11-30,17,1589,2,1.47,2,0.72,13.93,66.67,Republic of Ireland,['Republic of Ireland'],,200,0,False,9.12,2.7800000000000002,67.35,6.63,70.09,0.11,0.14,1.02,7.14,8.63,0.79,4,0.23,0,0.0,0.45,0.11,2,0.11,0.08,1,0.06,16,0.91,25.0,12.5,0.11,0.17,33.33,0.0,0.0,0.17,33.33,0.06,0.17,100.0,1.6400000000000001,51.72,1.47,0.4,0.0,9.97,0.28,1.53,25.66,70.64,15.35,59.04,1.47,100.0,16.54,83.22,8.95,48.1,26.55,42.8,0.04,0.11,0.0,0.0,0.0,0.0,0.17,6.8,52.5,0.62,18.18,0.17,0.0,0.23,0.06,7.02,69.35,89.17,6.8,0,,0,,0,0.0,0.0,0.0,,,1.25,,6.63,0.0,0.0,0.0,0.0,0,0
H. Cann,Hayden Cann,-205912,Waterford FC,Waterford FC,https://cdn5.wyscout.com/photos/team/public/g1181_120x120.png,Premier Division,"RCB3, LCB, RCB",RCB3,53,LCB,24,RCB,11,22.0,2003-10-01,0,2026-11-30,17,1581,0,1.56,0,0.16,12.69,62.78,England,['England'],,0,0,False,8.43,4.95,66.67,5.18,62.64,0.0,0.0,0.97,5.12,6.67,0.63,2,0.11,0,0.0,0.51,0.0,0,0.0,0.09,0,0.0,9,0.51,44.44,0.0,0.0,0.34,33.33,0.06,0.0,0.28,40.0,0.0,0.28,60.0,1.37,45.83,0.97,0.63,0.23,15.43,0.4,0.28,28.41,73.75,16.45,68.17,1.54,96.3,20.78,80.27,7.29,57.03,24.85,40.51,0.01,0.23,0.0,0.06,0.0,0.0,0.06,5.92,62.5,0.97,70.59,0.46,75.0,0.5700000000000001,0.17,8.99,68.35,82.52,8.14,0,,0,,0,0.0,0.0,0.0,,,0.91,,5.18,0.0,0.0,0.0,0.0,0,0
W. Speel,Wessel Speel,-723648,Shelbourne,Shelbourne,https://cdn5.wyscout.com/photos/team/public/g1180_120x120.png,Premier Division,GK,GK,100,,0,,0,24.0,2001-10-17,0,2026-12-31,16,1574,0,0.0,0,0.0,0.6900000000000001,91.67,,[],,0,0,False,1.03,0.06,0.0,0.46,100.0,0.0,0.0,0.0,1.03,1.46,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,11.95,0.17,0.17,18.07,84.81,10.81,75.66,0.06,0.0,9.09,98.74,8.98,70.7,36.1,51.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,71.62,0.17,0.0,0.06,0.0,0.17,0.0,6.98,81.15,100.0,6.29,24,1.37,73,4.17,4,67.12,18.17,1.04,-5.83,-0.333,0.0,1.72,0.46,,,,0.0,0,0
