Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Tashpulatov,Daniyar Tashpulatov,-437206,Kairat Res.,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g27717_120x120.png,1. Division,LB,LB,91,,0,,0,18,2007-08-21,0,2026-12-31,6,576,2,0.23,1,0.8200000000000001,17.5,58.04,Kazakhstan,['Kazakhstan'],left,175,57,False,9.22,8.44,66.67,4.38,53.57,0.0,0.0,0.0,3.59,6.83,0.9400000000000001,1,0.16,0,0.0,2.03,0.31,2,0.31,0.04,0,0.0,5,0.78,40.0,40.0,0.16,2.19,57.14,2.03,53.85,0.16,100.0,0.16,1.25,37.5,3.13,35.0,0.9400000000000001,0.47000000000000003,0.0,20.63,0.78,0.31,35.78,69.87,15.94,55.88,4.53,96.55,29.69,76.84,3.91,24.0,17.69,30.91,0.13,1.88,0.16,0.0,0.16,0.0,0.31,5.16,69.7,2.03,61.54,0.16,0.0,0.16,1.25,11.56,62.16,80.7,8.91,0,,0,,0,0.0,0.0,0.0,,,0.63,,4.38,0.0,0.0,0.0,1.88,0,0
I. Bekbolat,Ismail Bekbolat,-578359,Kairat Res.,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g27717_120x120.png,1. Division,"CF, RWF",CF,81,RWF,16,,0,18,2008-01-10,0,2027-12-31,6,558,4,4.0,0,0.44,23.87,37.16,Kazakhstan,['Kazakhstan'],left,182,0,False,4.84,1.77,63.64,8.23,31.37,0.16,0.31,0.65,3.55,6.8,1.29,0,0.0,0,0.0,4.03,0.65,3,0.48,0.64,0,0.0,31,5.0,35.48,12.903,0.0,1.45,22.22,1.13,14.29,0.32,50.0,0.0,3.39,57.14,10.48,46.15,6.61,1.29,0.16,17.9,2.42,2.1,23.71,72.11,5.0,61.29,6.94,83.72,21.94,75.74,0.32,50.0,13.7,9.25,0.07,1.77,0.0,0.0,0.0,0.0,0.16,1.13,57.14,1.45,66.67,0.0,0.0,1.29,0.32,1.6099999999999999,70.0,75.76,5.32,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.23,0.65,0.65,0.0,0.0,2,50
A. Nurgaliev,Adlan Nurgaliev,-437203,Kairat Res.,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g27717_120x120.png,1. Division,RB,RB,94,,0,,0,19,2007-01-26,0,,6,543,1,0.15,0,0.65,14.09,56.47,Kazakhstan,['Kazakhstan'],unknown,173,69,False,9.28,6.46,74.36,3.15,57.89,0.5,0.96,0.17,3.98,7.66,0.66,0,0.0,0,0.0,2.15,0.17,1,0.17,0.03,0,0.0,2,0.33,50.0,50.0,0.0,5.3,31.25,0.0,0.0,5.3,31.25,0.99,0.66,25.0,3.31,30.0,0.66,1.6600000000000001,0.0,26.69,1.16,0.66,40.11,60.74,19.72,60.5,3.65,90.91,27.85,72.62,7.29,34.09,22.14,35.87,0.11,0.99,0.0,0.0,0.17,100.0,0.66,8.45,60.78,5.14,35.48,1.49,44.44,0.99,1.49,11.77,76.06,51.47,11.27,0,,0,,0,0.0,0.0,0.0,,,0.5,,3.15,0.0,0.0,0.0,0.0,0,0
S. Duysenbek,Shyngys Duysenbek,-574106,Kairat Res.,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g27717_120x120.png,1. Division,DMF,DMF,100,,0,,0,20,2006-01-13,0,,6,526,0,0.05,0,0.19,19.51,57.89,Kazakhstan,['Kazakhstan'],left,173,0,False,11.98,6.67,74.36,5.13,40.0,0.34,0.67,0.17,6.67,13.0,1.71,1,0.17,0,0.0,0.51,0.0,0,0.0,0.01,0,0.0,3,0.51,33.33,0.0,0.0,0.34,50.0,0.17,0.0,0.0,0.0,0.0,0.17,100.0,3.76,68.18,0.34,0.34,0.0,20.87,0.51,2.22,43.63,75.69,16.77,61.22,3.76,90.91,35.93,81.43,7.36,48.84,18.87,34.46,0.03,0.51,0.17,0.0,0.0,0.0,0.17,10.44,59.02,1.37,50.0,0.68,25.0,0.68,0.17,9.58,69.64,85.11,16.08,0,,0,,0,0.0,0.0,0.0,,,0.34,,5.13,0.86,0.0,0.0,0.17,0,0
U. Mukhametzhanov,Ualikhan Mukhametzhanov,-279476,Turan Turkistan,Turan Turkistan,https://cdn5.wyscout.com/photos/team/public/g-9831_120x120.png,1. Division,"DMF, RCMF3, LCMF",DMF,37,RCMF3,20,LCMF,15,24,2001-10-31,0,2026-12-31,5,484,2,0.48,0,0.17,15.06,51.85,Kazakhstan,['Kazakhstan'],unknown,0,0,False,8.93,7.07,63.16,2.98,50.0,0.0,0.0,0.37,4.46,5.95,2.23,1,0.19,0,0.0,0.93,0.37,2,0.37,0.09,0,0.0,6,1.12,83.33,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,27.27,0.93,0.19,0.0,19.34,0.37,1.3,32.91,83.62,9.3,62.0,6.51,100.0,30.87,86.14,2.05,45.45,17.55,31.26,0.03,0.19,0.0,0.19,0.0,0.0,0.19,3.7199999999999998,65.0,0.74,25.0,0.19,0.0,0.37,0.0,3.9,52.38,91.3,12.83,0,,0,,0,0.0,0.0,0.0,,,1.3,,2.98,0.0,0.0,0.0,0.0,0,0
D. Iskakov,Dias Iskakov,-435569,Ekibastuz,Ekibastuz,https://cdn5.wyscout.com/photos/team/public/g1354_120x120.png,1. Division,"RAMF, LB, RCMF3",RAMF,51,LB,20,RCMF3,19,24,2002-04-09,0,2026-12-31,5,483,1,1.65,0,0.28,15.84,51.76,Kazakhstan,['Kazakhstan'],right,169,0,False,6.71,3.35,61.11,2.8,53.33,0.37,0.56,0.19,4.29,6.45,0.56,0,0.0,0,0.0,2.98,0.19,1,0.19,0.31,0,0.0,8,1.49,62.5,12.5,0.0,1.6800000000000002,33.33,0.56,0.0,1.12,50.0,0.0,2.24,66.67,7.45,47.5,3.54,2.8,0.93,20.5,2.05,1.49,32.61,74.29,10.81,62.07,7.08,89.47,25.9,84.17,5.22,35.71,17.83,39.97,0.05,0.37,0.0,0.0,0.0,0.0,0.19,3.54,47.37,2.05,45.45,0.19,100.0,0.93,0.75,5.78,48.39,71.43,9.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.8,0.0,0.0,0.0,0.0,0,0
A. Bulgakbaev,Asylzhan Bulgakbaev,-428461,Ekibastuz,Ekibastuz,https://cdn5.wyscout.com/photos/team/public/g1354_120x120.png,1. Division,"RCB, LCB",RCB,69,LCB,30,,0,25,2001-01-25,0,,5,483,0,0.06,0,0.0,13.79,64.86,Kazakhstan,['Kazakhstan'],unknown,181,0,False,9.5,4.1,77.27,4.1,72.73,0.56,0.84,0.37,5.78,8.69,1.3,1,0.19,1,0.19,0.0,0.0,0,0.0,0.01,0,0.0,3,0.56,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,0.75,0.0,2.98,56.25,0.75,1.3,0.0,33.54,0.37,1.3,43.98,83.9,20.12,77.78,2.98,93.75,36.52,93.37,7.27,38.46,21.54,39.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,61.29,0.93,40.0,0.19,0.0,0.37,0.0,8.01,53.49,89.36,17.52,0,,0,,0,0.0,0.0,0.0,,,2.24,,4.1,0.0,0.0,0.0,0.0,0,0
A. Orazbek,Amirali Orazbek,-293668,Ekibastuz,Ekibastuz,https://cdn5.wyscout.com/photos/team/public/g1354_120x120.png,1. Division,"LB, LCB",LB,79,LCB,20,,0,22,2004-02-03,0,2026-12-31,5,483,0,0.09,0,0.03,17.33,58.06,Kazakhstan,['Kazakhstan'],left,181,75,False,9.13,6.52,65.71,2.98,75.0,0.56,0.84,0.19,4.29,6.45,0.75,1,0.19,0,0.0,0.75,0.0,0,0.0,0.02,0,0.0,4,0.75,0.0,0.0,0.0,1.12,16.67,1.12,16.67,0.0,0.0,0.0,2.05,27.27,5.4,44.83,0.75,1.6800000000000002,0.19,29.63,1.3,1.12,41.74,80.8,19.19,72.82,6.15,90.91,36.34,86.67,4.29,47.83,20.96,36.48,0.01,0.19,0.0,0.0,0.0,0.0,0.0,4.84,65.38,1.12,16.67,0.37,100.0,0.19,0.0,7.45,77.5,89.06,11.93,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.98,0.0,0.0,0.0,0.0,0,0
A. Amirzhanov,Azat Amirzhanov,-428523,Khan Tengri,Khan Tengri,https://cdn5.wyscout.com/photos/team/public/g-17975_120x120.png,1. Division,RB,RB,95,,0,,0,21,2004-08-11,0,,5,483,0,0.05,1,0.1,12.48,50.75,Kazakhstan,['Kazakhstan'],unknown,180,0,False,6.89,6.15,57.58,1.12,50.0,0.37,0.49,0.37,2.98,3.93,0.93,0,0.0,0,0.0,1.49,0.0,0,0.0,0.01,0,0.0,3,0.56,0.0,0.0,0.19,2.98,12.5,0.0,0.0,2.98,12.5,0.19,1.49,75.0,3.17,47.06,0.75,1.49,0.19,22.73,0.93,0.56,33.17,71.35,14.35,61.04,5.4,86.21,24.6,81.82,5.78,54.84,22.02,41.13,0.02,0.37,0.0,0.0,0.0,0.0,0.19,5.4,68.97,3.73,25.0,0.37,100.0,0.56,1.3,9.5,60.78,75.47,9.88,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.12,0.0,0.0,0.0,0.0,0,0
A. Amanzhanov,Anuar Amanzhanov,-427090,Tobol Res.,Tobol Res.,https://cdn5.wyscout.com/photos/team/public/g27930_120x120.png,1. Division,"LCB3, CB, RCB",LCB3,39,CB,19,RCB,19,21,2005-02-21,0,,5,483,1,0.24,0,0.03,15.09,64.2,Kazakhstan,['Kazakhstan'],unknown,0,0,False,10.25,4.47,62.5,5.4,82.76,0.19,0.37,0.75,7.27,14.27,0.93,0,0.0,0,0.0,0.56,0.19,1,0.19,0.05,1,0.19,4,0.75,25.0,25.0,0.0,0.37,100.0,0.19,100.0,0.19,100.0,0.0,0.56,0.0,3.17,35.29,1.12,1.6800000000000002,0.0,35.96,2.05,1.49,53.66,87.85,26.83,83.33,3.35,88.89,46.58,91.2,6.71,63.89,21.04,42.88,0.01,0.19,0.0,0.0,0.0,0.0,0.19,6.15,75.76,0.37,50.0,0.0,0.0,0.0,0.37,13.23,77.46,96.08,19.01,0,,0,,0,0.0,0.0,0.0,,,1.3,,5.4,0.0,0.0,0.0,0.0,0,0
