Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
U. Sulaymanov,Ulanbek Sulaymanov,-339554,Ozgon,Ozgon,https://cdn5.wyscout.com/photos/team/public/g-23435_120x120.png,Shoro Premier League,"LCB3, RCB3",LCB3,70,RCB3,15,,0,23.0,2002-10-08,0,2025-12-31,25,2496,0,3.1,0,0.22,12.94,57.94,Kyrgyzstan,['Kyrgyzstan'],,0,0,False,7.97,5.7,65.19,3.9699999999999998,57.27,0.47000000000000003,0.7000000000000001,0.36,3.79,5.69,1.12,3,0.11,0,0.0,0.43,0.0,0,0.0,0.11,0,0.0,33,1.19,15.15,0.0,0.0,0.54,13.33,0.22,33.33,0.32,0.0,0.14,0.47000000000000003,38.46,1.5899999999999999,40.91,0.9400000000000001,0.9,0.07,24.09,0.36,0.5,38.94,78.43,20.41,71.2,2.88,91.25,30.76,86.4,7.64,50.94,22.54,39.17,0.01,0.11,0.0,0.04,0.0,0.0,0.0,6.31,60.57,0.97,14.81,0.25,14.29,0.11,0.11,9.34,66.02,88.47,12.51,0,,0,,0,0.0,0.0,0.0,,,1.44,,3.9699999999999998,0.11,0.11,0.0,0.0,0,0.0
A. Kozlov,Aleksey Kozlov,477092,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,26.0,1999-01-23,150000,,23,2349,1,0.01,0,0.0,1.07,89.29,Russia,['Russia'],left,188,79,False,1.49,0.11,66.67,0.65,94.12,0.0,0.0,0.0,1.42,2.31,0.0,0,0.0,0,0.0,0.04,0.04,1,0.04,0.0,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.04,0.0,0.0,11.88,0.27,0.11,20.65,84.79,11.92,75.56,0.0,0.0,13.72,96.37,6.9,62.22,33.59,52.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,56.72,0.38,20.0,0.08,0.0,0.08,0.0,6.28,74.39,98.06,7.89,38,1.46,140,5.36,3,72.86,36.56,1.4,-1.44,-0.055,0.0,2.18,0.65,,,,0.0,0,0.0
E. Uson,Esenbek Uson uulu,-80486,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,"LCB, LB",LCB,47,LB,41,,0,29.0,1996-06-29,0,2025-12-31,24,2318,1,1.7000000000000002,1,0.99,15.96,57.66,Kyrgyzstan,['Kyrgyzstan'],,175,80,False,7.18,5.2,69.4,6.83,52.84,0.19,0.32,0.31,3.38,5.57,1.44,0,0.0,1,0.04,0.93,0.04,1,0.04,0.07,0,0.0,18,0.7000000000000001,44.44,5.556,0.04,1.67,32.56,1.5899999999999999,34.15,0.04,0.0,0.16,0.16,50.0,2.1,46.3,1.3599999999999999,1.01,0.04,30.79,0.97,0.78,44.81,81.98,19.45,75.45,4.7,95.04,36.03,88.15,7.22,62.37,22.88,39.38,0.04,0.35000000000000003,0.0,0.08,0.0,0.0,0.16,6.64,62.57,2.41,29.03,0.47000000000000003,16.67,0.39,0.47000000000000003,10.06,75.68,88.0,16.5,0,,0,,0,0.0,0.0,0.0,,,1.82,,6.83,0.08,0.08,100.0,0.04,0,0.0
O. Kostyk,Orest Kostyk,-43443,Muras United,Muras United,https://cdn5.wyscout.com/photos/team/public/g-18168_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,26.0,1999-04-16,125000,,23,2288,0,0.0,0,0.0,0.59,93.33,Ukraine,['Ukraine'],right,189,78,False,1.49,0.04,100.0,0.43,100.0,0.0,0.0,0.0,1.46,2.4,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,14.79,0.39,0.12,22.54,87.61,11.96,78.62,0.04,100.0,15.18,98.96,7.28,64.86,31.43,49.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,52.38,0.28,14.29,0.12,66.67,0.04,0.0,5.7,77.93,98.38,9.72,17,0.67,81,3.19,6,79.01,19.12,0.75,2.12,0.083,0.0,1.34,0.43,,,,0.0,0,0.0
Richard,Richard Romario Moreira,-560898,OshMU Aldier,OshMU Aldier,https://cdn5.wyscout.com/photos/team/public/g-18169_120x120.png,Shoro Premier League,"CF, LW",CF,59,LW,19,,0,25.0,2000-04-03,0,2025-12-31,23,2281,15,13.3,3,3.98,21.86,39.53,Brazil,['Brazil'],unknown,0,0,False,2.05,1.74,68.18,1.9300000000000002,36.73,0.04,0.05,0.04,0.8300000000000001,1.03,0.71,2,0.08,0,0.0,5.05,0.59,13,0.51,0.52,2,0.08,95,3.75,45.26,15.789,0.12,1.1400000000000001,34.48,0.87,36.36,0.28,28.57,0.16,5.41,54.01,15.11,36.81,4.18,2.76,0.51,8.25,1.8900000000000001,1.6600000000000001,12.82,70.77,3.08,52.56,3.2,92.59,11.4,75.43,0.36,22.22,16.26,9.56,0.16,0.87,0.0,0.0,0.16,25.0,0.47000000000000003,1.78,51.11,1.03,53.85,0.12,33.33,0.47000000000000003,0.36,1.3,90.91,70.79,3.51,0,,0,,0,0.0,0.0,0.0,,,0.04,,1.9300000000000002,0.12,0.08,50.0,0.28,2,100.0
M. Mamatkhonov,Mirzokhid  Mamatkhonov,-567906,Alay,Alay,https://cdn5.wyscout.com/photos/team/public/g14993_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,31.0,1994-05-02,0,2025-12-31,22,2217,0,0.0,0,0.0,1.01,88.0,Uzbekistan,['Uzbekistan'],right,185,0,False,1.22,0.0,0.0,0.6900000000000001,94.12,0.0,0.0,0.0,1.22,1.81,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.24,66.67,0.0,0.04,0.0,9.09,0.37,0.28,15.83,83.08,8.85,71.56,0.0,0.0,9.78,98.76,6.05,57.72,33.54,51.13,0.0,0.0,0.08,0.0,0.0,0.0,0.0,2.07,45.1,0.2,0.0,0.12,0.0,0.0,0.0,4.22,75.96,97.97,6.01,19,0.77,87,3.5300000000000002,8,78.16,24.26,0.98,5.26,0.214,0.0,2.31,0.6900000000000001,,,,0.0,0,0.0
Pape Lo,Pape Serigne Lo  Ndoye,-68538,Dordoi Bishkek,Dordoi Bishkek,https://cdn5.wyscout.com/photos/team/public/g13094_120x120.png,Shoro Premier League,"LCB, LB",LCB,89,LB,10,,0,26.0,1999-03-03,0,2025-11-15,22,2176,0,0.2,1,0.09,16.34,59.75,Italy,"['Italy', 'Senegal']",left,187,0,False,10.51,7.73,79.14,3.18,38.96,0.58,0.92,0.9500000000000001,3.81,6.07,1.24,2,0.08,0,0.0,0.54,0.0,0,0.0,0.01,0,0.0,5,0.21,40.0,0.0,0.04,0.29,42.86,0.29,42.86,0.0,0.0,0.04,0.45,72.73,2.98,41.67,0.25,1.03,0.04,24.86,0.7000000000000001,0.74,37.89,83.73,16.38,71.72,2.32,96.43,31.27,89.68,6.37,56.49,22.41,39.43,0.0,0.08,0.0,0.0,0.0,0.0,0.04,4.34,54.29,0.66,31.25,0.12,33.33,0.12,0.08,8.23,69.35,93.88,16.21,0,,0,,0,0.0,0.0,0.0,,,1.28,,3.18,0.0,0.0,0.0,0.0,0,0.0
E. Moldozhunusov,Eldar Iminov Moldozhunusov,-80496,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,"CF, LAMF",CF,58,LAMF,11,,0,30.0,1995-09-15,0,,24,2150,8,9.03,3,1.42,19.05,36.92,Kyrgyzstan,['Kyrgyzstan'],,181,78,False,3.81,3.31,65.82,5.94,35.21,0.0,0.0,0.13,1.63,2.67,1.09,2,0.08,0,0.0,3.01,0.33,6,0.25,0.38,1,0.04,56,2.34,44.64,14.286,0.13,2.05,26.53,1.26,33.33,0.67,18.75,0.33,2.89,49.28,7.95,28.95,3.47,1.34,0.17,12.56,2.39,0.88,17.5,73.44,4.19,59.0,5.27,90.48,14.19,80.53,1.38,63.64,19.04,27.53,0.06,0.67,0.04,0.04,0.0,0.0,0.25,1.88,51.11,1.9300000000000002,36.96,0.04,100.0,0.42,0.67,2.18,78.85,71.67,5.02,0,,0,,0,0.0,0.0,0.0,,,0.04,,5.94,0.29,0.13,33.33,0.46,4,50.0
A. Sharshenbekov,Arlen Sharshenbekov,-80546,Asiagoal,Asiagoal,https://cdn5.wyscout.com/photos/team/public/g-23432_120x120.png,Shoro Premier League,"LCMF, LCMF3, AMF",LCMF,31,LCMF3,18,AMF,12,25.0,2000-01-18,0,,22,2123,1,1.79,2,1.56,14.16,47.9,Kyrgyzstan,['Kyrgyzstan'],,173,71,False,6.78,5.64,62.41,0.98,47.83,0.25,0.4,0.08,3.01,4.71,0.85,3,0.13,0,0.0,1.53,0.04,1,0.04,0.08,0,0.0,48,2.03,25.0,2.083,0.08,0.89,19.05,0.55,30.77,0.34,0.0,0.13,1.6099999999999999,47.37,5.98,35.46,0.76,0.93,0.0,31.03,0.38,0.47000000000000003,41.16,77.86,13.78,62.15,6.53,90.91,36.63,81.94,3.65,51.16,19.72,37.56,0.07,0.98,0.0,0.04,0.30000000000000004,28.57,0.25,7.59,58.66,2.12,34.0,0.64,26.67,0.72,0.21,7.59,76.54,85.52,15.52,0,,0,,0,0.0,0.0,0.0,,,0.51,,0.98,1.1,0.25,16.67,1.82,0,0.0
A. Mishchenko,Aleksandr Mishchenko,359523,Dordoi Bishkek,Dordoi Bishkek,https://cdn5.wyscout.com/photos/team/public/g13094_120x120.png,Shoro Premier League,RB,RB,98,,0,,0,28.0,1997-07-30,150000,2025-12-31,21,2105,0,0.08,3,1.53,12.95,59.41,Kyrgyzstan,"['Kyrgyzstan', 'Germany']",right,174,68,False,8.81,6.03,70.92,1.62,47.37,0.6000000000000001,0.9400000000000001,0.17,3.93,6.2,0.51,2,0.09,0,0.0,1.45,0.0,0,0.0,0.0,0,0.0,6,0.26,0.0,0.0,0.13,2.22,36.54,0.0,0.0,2.22,36.54,0.13,0.81,73.68,3.46,56.79,0.26,1.15,0.04,32.32,2.7800000000000002,1.28,48.19,81.19,23.77,78.78,4.66,88.99,37.33,87.86,8.72,64.22,21.44,39.08,0.07,0.73,0.04,0.04,0.04,100.0,0.47000000000000003,10.26,79.17,3.33,53.85,0.56,61.54,1.07,0.77,15.31,80.73,83.58,14.58,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.62,0.26,0.09,0.0,0.04,0,0.0
