Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Lurot,Pierre  Lurot,-435203,Sporting KC II,Sporting KC II,https://cdn5.wyscout.com/photos/team/public/g35680_120x120.png,MLS Next Pro,"RCB, RB, CB",RCB,75,RB,13,CB,10,24.0,2002-03-11,0,2026-12-31,12,1171,0,1.05,0,0.28,8.07,59.05,France,['France'],unknown,190,77,False,6.76,3.38,72.73,1.69,63.64,0.15,0.17,0.61,4.15,4.72,0.15,1,0.08,0,0.0,0.46,0.0,0,0.0,0.08,0,0.0,8,0.61,12.5,0.0,0.0,0.54,28.57,0.08,0.0,0.46,33.33,0.08,0.31,75.0,2.31,40.0,0.92,0.54,0.08,52.57,0.46,0.85,68.48,91.25,29.13,84.7,2.54,100.0,60.56,95.3,7.38,62.5,20.14,39.02,0.02,0.23,0.23,0.0,0.08,0.0,0.0,6.84,78.65,0.92,41.67,0.38,40.0,0.31,0.15,12.53,80.37,96.48,30.59,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,1.69,0.0,0.0,0.0,0.0,0,0.0
M. Vanney,Maison Vanney,-383240,Ventura County,Ventura County,https://cdn5.wyscout.com/photos/team/public/g27577_120x120.png,MLS Next Pro,"RB, RWB",RB,79,RWB,20,,0,18.0,2007-11-29,0,,12,1161,1,0.35000000000000003,1,0.63,14.57,51.06,United States,['United States'],unknown,0,0,False,8.91,8.84,57.89,1.4,38.89,0.23,0.31,0.23,3.5700000000000003,4.8100000000000005,1.01,2,0.16,0,0.0,1.63,0.08,1,0.08,0.03,0,0.0,4,0.31,50.0,25.0,0.08,3.8,26.53,0.0,0.0,3.8,26.53,0.31,0.78,60.0,3.41,38.64,1.71,1.32,0.08,34.26,4.42,0.7000000000000001,43.33,80.14,10.31,62.41,14.73,94.21,38.45,87.1,1.16,20.0,18.43,36.12,0.05,0.7000000000000001,0.08,0.0,0.0,0.0,0.31,2.02,53.85,2.64,44.12,0.08,0.0,0.39,0.7000000000000001,5.12,50.0,77.85,11.55,0,,0,,0,0.0,0.0,0.0,,,1.24,,1.4,0.0,0.0,0.0,0.08,0,0.0
D. Vanney,Dylan Vanney,-383243,Ventura County,Ventura County,https://cdn5.wyscout.com/photos/team/public/g27577_120x120.png,MLS Next Pro,"LWF, CF, AMF",LWF,33,CF,33,AMF,33,18.0,2007-11-29,0,,12,1155,6,2.84,1,1.73,12.39,45.91,United States,['United States'],unknown,0,0,False,4.29,4.52,56.9,0.86,45.45,0.0,0.0,0.08,1.71,2.32,1.71,1,0.08,0,0.0,2.49,0.47000000000000003,6,0.47000000000000003,0.22,0,0.0,39,3.04,38.46,15.385,0.08,1.6400000000000001,28.57,1.48,31.58,0.16,0.0,0.16,2.65,32.35,6.47,39.76,1.87,1.48,0.23,30.31,1.48,1.17,35.3,78.81,7.95,62.75,10.21,89.31,31.25,84.54,2.49,40.63,16.86,32.52,0.13,0.86,0.0,0.0,0.08,0.0,0.47000000000000003,4.21,70.37,2.5700000000000003,39.39,0.31,0.0,0.78,0.47000000000000003,4.75,62.3,79.71,10.75,0,,0,,0,0.0,0.0,0.0,,,0.08,,0.86,1.01,0.55,28.57,1.87,0,0.0
M. Rodríguez,Missael Rodríguez Padilla,-169327,Sporting KC II,Sporting KC II,https://cdn5.wyscout.com/photos/team/public/g35680_120x120.png,MLS Next Pro,"LW, RWF, LWF",LW,33,RWF,23,LWF,22,23.0,2003-02-09,0,,12,1084,3,3.61,1,1.38,13.95,50.6,United States,"['United States', 'Mexico']",right,175,73,False,4.57,3.9,59.57,1.16,42.86,0.42,0.46,0.08,1.83,2.02,0.58,0,0.0,0,0.0,4.15,0.25,3,0.25,0.30000000000000004,0,0.0,42,3.49,33.33,7.143,0.08,2.66,43.75,0.8300000000000001,40.0,1.83,45.45,0.42,3.24,56.41,7.72,47.31,4.15,2.74,0.25,25.16,3.65,1.4100000000000001,26.65,77.57,6.31,67.11,6.48,93.59,22.25,83.21,2.08,56.0,18.23,41.27,0.11,1.08,0.08,0.0,0.25,0.0,0.66,2.49,70.0,2.66,53.13,0.42,20.0,1.0,1.0,4.98,71.67,71.84,8.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.16,0.75,0.58,57.14,0.17,1,0.0
S. Nava,Sebastian Nava,-170013,Los Angeles II,Los Angeles II,https://cdn5.wyscout.com/photos/team/public/g-18057_120x120.png,MLS Next Pro,"RCMF3, LCMF3, DMF",RCMF3,25,LCMF3,24,DMF,18,23.0,2003-03-10,0,2026-12-31,11,1082,2,0.91,2,1.29,12.23,48.98,United States,['United States'],,173,68,False,6.16,4.66,55.36,0.58,28.57,0.08,0.11,0.25,3.49,4.67,0.8300000000000001,1,0.08,0,0.0,1.4100000000000001,0.17,2,0.17,0.08,0,0.0,12,1.0,25.0,16.667,0.17,1.58,36.84,0.8300000000000001,30.0,0.75,44.44,0.08,1.4100000000000001,35.29,6.07,45.21,1.0,2.08,0.08,41.17,0.33,0.8300000000000001,53.32,91.73,13.97,85.12,9.07,99.08,50.32,94.21,1.4100000000000001,64.71,17.47,22.86,0.11,1.08,0.25,0.0,0.08,100.0,0.42,5.66,86.76,2.83,61.76,0.17,50.0,0.91,0.58,6.16,85.14,93.48,22.96,0,,0,,0,0.0,0.0,0.0,,,0.42,,0.58,1.33,0.25,0.0,3.66,0,0.0
S. Donovan,Shane Donovan,-594629,Sporting KC II,Sporting KC II,https://cdn5.wyscout.com/photos/team/public/g35680_120x120.png,MLS Next Pro,"RW, LWF, LCMF3",RW,20,LWF,19,LCMF3,16,19.0,2007-01-06,0,2026-12-31,11,1061,3,2.08,0,0.64,12.55,39.19,United States,['United States'],,0,0,False,3.22,3.8200000000000003,48.89,0.85,30.0,0.0,0.0,0.08,1.3599999999999999,1.55,0.93,1,0.08,0,0.0,1.78,0.25,3,0.25,0.18,1,0.08,22,1.87,40.91,13.636,0.0,1.19,42.86,0.76,55.56,0.42,20.0,0.0,1.27,33.33,5.77,33.82,2.88,0.85,0.0,24.26,1.3599999999999999,1.53,30.11,87.04,7.38,78.16,9.16,99.07,27.91,89.97,1.1,53.85,14.82,24.24,0.05,0.76,0.0,0.08,0.08,100.0,0.17,2.63,77.42,1.78,57.14,0.0,0.0,1.19,0.42,3.9,71.74,87.5,7.46,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.85,0.34,0.0,0.0,1.1,0,0.0
T. Mihalić,Tommy Mihalić,512849,Los Angeles II,Los Angeles II,https://cdn5.wyscout.com/photos/team/public/g-18057_120x120.png,MLS Next Pro,"LWF, LAMF, LW",LWF,58,LAMF,20,LW,15,23.0,2002-11-09,0,2026-12-31,11,1060,6,4.43,0,0.8200000000000001,14.43,66.47,Croatia,"['Croatia', 'United States']",right,180,75,False,4.25,3.91,69.57,1.1,69.23,0.08,0.11,0.0,1.44,1.92,0.76,2,0.17,0,0.0,5.6,0.51,6,0.51,0.38,0,0.0,37,3.14,37.84,16.216,0.0,2.8,33.33,2.63,29.03,0.0,0.0,0.34,4.16,83.67,8.58,66.34,5.26,3.74,0.0,24.79,2.38,1.78,29.21,80.52,5.35,66.67,12.14,95.1,25.47,87.67,1.19,28.57,18.99,36.4,0.07,0.51,0.0,0.0,0.0,0.0,0.51,1.53,55.56,2.38,64.29,0.0,0.0,1.02,0.93,5.01,67.8,73.0,8.49,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.1,0.0,0.0,0.0,0.0,0,0.0
S. Vigilante,Sam Vigilante,-352339,Minnesota United II,Minnesota United II,https://cdn5.wyscout.com/photos/team/public/g-15450_120x120.png,MLS Next Pro,"RB, LCMF3, AMF",RB,39,LCMF3,17,AMF,13,21.0,2004-06-28,0,,11,1048,1,2.03,1,0.73,20.87,51.85,United States,['United States'],unknown,180,74,False,10.31,8.85,65.05,4.12,52.08,0.43,0.53,0.34,4.12,5.05,1.37,0,0.0,0,0.0,1.63,0.09,1,0.09,0.17,0,0.0,11,0.9400000000000001,27.27,9.091,0.09,1.98,26.09,0.43,40.0,1.46,17.65,0.26,1.72,50.0,5.84,33.82,2.23,1.12,0.17,20.18,0.6900000000000001,1.03,30.66,75.07,10.99,70.31,4.12,95.83,26.36,81.11,2.4,50.0,17.84,37.65,0.06,1.03,0.09,0.09,0.09,0.0,0.6000000000000001,4.8100000000000005,75.0,2.49,48.28,0.17,0.0,1.03,0.6000000000000001,6.53,67.11,73.45,9.7,0,,0,,0,0.0,0.0,0.0,,,0.43,,4.12,0.26,0.0,0.0,0.0,0,0.0
M. Caldeira,Marcus Caldeira,-335474,Minnesota United II,Minnesota United II,https://cdn5.wyscout.com/photos/team/public/g-15450_120x120.png,MLS Next Pro,CF,CF,100,,0,,0,21.0,2004-10-14,0,2026-12-31,11,1042,5,7.43,1,1.06,15.72,41.21,Canada,['Canada'],right,185,84,False,2.25,1.9,59.09,5.96,37.68,0.0,0.0,0.26,1.12,1.37,1.3,0,0.0,0,0.0,2.16,0.43,4,0.35000000000000003,0.64,1,0.09,32,2.76,37.5,15.625,0.09,0.78,55.56,0.26,66.67,0.52,50.0,0.0,1.21,57.14,6.31,41.1,4.58,0.6000000000000001,0.09,11.14,1.38,1.04,15.55,75.56,3.11,58.33,3.63,90.48,14.25,76.97,0.78,66.67,17.51,22.06,0.09,0.6900000000000001,0.0,0.0,0.0,0.0,0.78,1.3,80.0,1.81,57.14,0.0,0.0,1.55,0.35000000000000003,2.25,69.23,80.65,5.36,0,,0,,0,0.0,0.0,0.0,,,1.12,,5.96,0.09,0.09,0.0,0.0,1,100.0
E. Nys,Edouard Nys,-739272,North Texas,North Texas,https://cdn5.wyscout.com/photos/team/public/g-9624_120x120.png,MLS Next Pro,"CF, AMF, RCMF3",CF,28,AMF,25,RCMF3,14,21.0,2004-09-22,0,,11,1037,7,5.87,4,3.32,14.06,45.68,Belgium,['Belgium'],unknown,173,0,False,3.56,2.52,41.38,0.87,40.0,0.09,0.1,0.0,2.43,2.83,0.43,2,0.17,0,0.0,4.17,0.61,7,0.61,0.51,0,0.0,35,3.04,40.0,20.0,0.35000000000000003,1.48,35.29,0.87,30.0,0.61,42.86,0.09,3.21,67.57,9.46,44.04,3.04,2.7800000000000002,0.61,30.46,1.04,2.17,36.02,80.72,10.76,73.39,8.07,91.4,32.37,84.18,2.43,60.71,16.92,37.73,0.29,1.74,0.26,0.0,0.35000000000000003,75.0,1.04,4.69,68.52,2.7800000000000002,62.5,0.52,50.0,1.48,0.52,5.73,69.7,77.57,9.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.87,1.04,0.17,0.0,1.82,1,0.0
