Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Yeboah,Paul Yeboah,-489849,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,RCB,RCB,90,,0,,0,,,0,,11,1244,1,0.4,0,0.03,18.09,68.0,Ghana,['Ghana'],unknown,185,0,False,9.26,4.49,74.19,7.16,72.73,0.14,0.23,0.65,5.79,9.02,0.58,2,0.14,0,0.0,0.43,0.07,1,0.07,0.03,1,0.07,5,0.36,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,66.67,3.91,55.56,0.36,0.29,0.0,33.86,0.07,1.88,57.37,88.65,23.66,80.12,2.17,96.67,49.99,93.49,7.38,55.88,20.39,36.52,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.21,59.72,0.22,66.67,0.14,0.0,0.14,0.0,10.71,69.59,95.66,25.03,0,,0,,0,0.0,0.0,0.0,,,1.45,,7.16,0.0,0.0,0.0,0.0,0,0
B. Seel,Braden Seel,-463806,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,"LDMF, DMF, RDMF",LDMF,41,DMF,26,RDMF,19,,,0,,11,1244,2,1.57,1,0.62,11.72,56.17,United States,['United States'],unknown,182,70,False,5.93,4.41,70.49,1.88,53.85,0.07,0.11,0.14,2.75,4.29,0.51,0,0.0,0,0.0,1.3,0.14,1,0.07,0.11,0,0.0,14,1.01,28.57,14.286,0.07,0.36,40.0,0.0,0.0,0.36,40.0,0.07,1.37,63.16,4.49,45.16,0.51,0.72,0.0,31.54,0.36,0.43,44.06,81.94,14.47,70.0,6.87,91.58,39.0,86.64,4.7,46.15,18.27,39.65,0.04,1.01,0.07,0.0,0.0,0.0,0.29,9.19,66.93,2.39,48.48,0.58,0.0,1.01,0.14,7.23,74.0,88.32,15.48,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.88,0.0,0.0,0.0,0.0,1,100
M. Madsen,Mikkel Holk Madsen,-370520,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,LCB,LCB,91,,0,,0,26.0,1999-05-05,0,,11,1244,0,0.38,0,0.1,14.32,53.03,Denmark,['Denmark'],unknown,0,0,False,6.87,4.63,65.63,4.05,46.43,0.29,0.45,0.22,3.55,5.53,1.23,3,0.22,0,0.0,0.36,0.0,0,0.0,0.03,0,0.0,4,0.29,0.0,0.0,0.0,0.22,33.33,0.22,33.33,0.0,0.0,0.0,0.58,50.0,3.33,47.83,0.29,1.09,0.0,39.5,0.07,1.3,58.6,89.26,24.67,80.94,3.26,95.56,49.12,95.14,9.26,59.38,21.94,40.73,0.01,0.14,0.0,0.0,0.0,0.0,0.0,8.46,64.1,1.3,50.0,0.72,30.0,0.51,0.07,10.85,82.0,96.22,24.89,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.05,0.07,0.07,0.0,0.0,0,0
G. Krenecki,Gavin Krenecki,522297,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,GK,GK,100,,0,,0,22.0,2003-03-08,0,,11,1244,0,0.0,0,0.0,1.23,70.59,United States,['United States'],,183,78,False,1.01,0.07,100.0,0.8,63.64,0.0,0.0,0.0,0.9400000000000001,1.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,7.23,0.14,0.22,12.81,81.36,6.95,67.71,0.0,0.0,8.03,100.0,4.7,50.77,32.44,49.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,47.83,0.0,0.0,0.07,0.0,0.0,0.0,3.18,65.91,98.11,3.83,10,0.72,48,3.47,4,79.17,10.41,0.75,0.41000000000000003,0.03,0.0,1.37,0.8,,,,0.0,0,0
M. Bakken,Martin Dreyer Bakken,340729,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,"LAMF, AMF, LW",LAMF,38,AMF,33,LW,10,21.0,2004-07-19,0,,11,1238,6,3.2,1,2.11,17.45,39.58,Norway,['Norway'],,185,0,False,3.7800000000000002,3.27,57.78,2.76,28.95,0.15,0.23,0.0,1.74,2.71,1.02,0,0.0,0,0.0,2.69,0.44,6,0.44,0.23,1,0.07,27,1.96,40.74,22.222,0.07,1.16,25.0,0.87,16.67,0.29,50.0,0.07,3.13,48.84,9.6,36.36,2.54,2.25,0.07,23.34,2.11,1.02,32.13,75.11,7.5600000000000005,54.81,8.36,92.17,29.22,78.11,1.74,58.33,16.13,33.16,0.15,1.6,0.0,0.0,0.36,20.0,0.51,3.71,64.71,2.76,31.58,0.36,20.0,0.73,0.36,4.43,63.93,76.19,9.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.76,0.22,0.07,0.0,2.11,0,0
J. Abonnel,Jeremi  Abonnel,-463811,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-2958_120x120.png,NCAA D1 Atlantic 10,GK,GK,100,,0,,0,,,0,,11,1215,0,0.0,0,0.0,0.44,83.33,France,['France'],,183,86,False,1.63,0.07,100.0,0.22,66.67,0.0,0.0,0.0,1.56,2.46,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.07,0.0,10.67,0.07,0.07,17.78,88.33,7.63,73.79,0.07,100.0,13.11,98.87,4.67,58.73,25.18,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,52.63,0.15,0.0,0.0,0.0,0.0,0.0,3.41,69.57,99.14,8.59,6,0.44,36,2.67,6,83.33,9.53,0.71,3.5300000000000002,0.261,0.0,0.59,0.22,,,,0.0,0,0
Q. Blair,Quinten Blair,-170000,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-2958_120x120.png,NCAA D1 Atlantic 10,"RCB, LCB",RCB,68,LCB,24,,0,22.0,2003-01-01,0,,11,1215,2,1.96,0,0.0,10.59,53.15,United States,['United States'],,183,0,False,6.0,4.0,70.37,3.11,50.0,0.15,0.23,0.37,3.04,4.8,0.81,0,0.0,0,0.0,0.37,0.15,0,0.0,0.15,0,0.0,5,0.37,40.0,40.0,0.0,0.22,33.33,0.15,50.0,0.07,0.0,0.0,0.22,66.67,2.22,30.0,0.81,0.89,0.07,50.15,0.15,0.52,63.04,90.48,20.89,79.08,3.11,95.24,57.63,94.99,5.19,42.86,20.57,40.56,0.0,0.0,0.0,0.0,0.07,0.0,0.0,5.48,60.81,0.74,30.0,0.44,16.67,0.15,0.07,8.0,70.37,97.22,34.59,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.11,0.0,0.0,0.0,0.0,2,100
D. Dobruna,Dren Dobruna,-334212,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,LB,LB,91,,0,,0,20.0,2005-07-25,0,,11,1213,1,1.5,4,2.23,15.51,52.63,United States,"['United States', 'Kosovo']",unknown,175,0,False,7.2,4.97,62.69,2.0,55.56,0.0,0.0,0.22,4.08,6.35,0.59,2,0.15,0,0.0,3.34,0.07,1,0.07,0.11,0,0.0,18,1.34,22.22,5.556,0.30000000000000004,3.49,40.43,3.04,39.02,0.45,50.0,0.8200000000000001,3.12,50.0,7.42,46.0,1.19,2.45,0.30000000000000004,34.35,2.08,1.4100000000000001,45.7,79.22,19.14,72.87,8.68,94.87,36.5,86.99,6.01,53.09,19.51,39.66,0.17,1.26,0.0,0.0,0.07,100.0,0.37,8.9,72.5,3.71,50.0,0.37,20.0,0.67,1.48,12.69,83.63,80.54,11.06,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.0,1.19,0.30000000000000004,25.0,3.19,0,0
J. Cortez,JC Cortez,-737747,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-2958_120x120.png,NCAA D1 Atlantic 10,"LCB, LB",LCB,66,LB,25,,0,,,0,,11,1198,0,0.06,0,0.54,8.64,57.39,United States,['United States'],unknown,183,0,False,6.91,4.58,70.49,1.58,66.67,0.30000000000000004,0.47000000000000003,0.38,3.38,5.27,0.53,1,0.08,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.45,50.0,0.15,50.0,0.23,66.67,0.0,0.15,50.0,1.8,29.17,0.30000000000000004,1.35,0.08,48.23,0.30000000000000004,0.23,63.33,88.85,17.35,69.7,4.58,98.36,56.64,95.09,6.24,34.94,20.86,43.22,0.04,0.45,0.0,0.0,0.0,0.0,0.08,6.24,51.81,1.35,44.44,0.53,28.57,0.30000000000000004,0.23,7.14,65.26,97.33,36.51,0,,0,,0,0.0,0.0,0.0,,,1.9500000000000002,,1.58,0.6000000000000001,0.0,0.0,0.9,0,0
T. Gray,Thomas Gray,-368207,Fordham Rams,Fordham Rams,https://cdn5.wyscout.com/photos/team/public/g-3008_120x120.png,NCAA D1 Atlantic 10,"RCB3, LCB, RCB",RCB3,53,LCB,24,RCB,19,23.0,2002-02-04,0,,10,1081,0,0.09,0,0.02,14.4,53.76,Scotland,['Scotland'],unknown,193,84,False,7.58,4.25,58.82,6.49,57.69,0.08,0.09,0.42,5.0,5.25,1.5,2,0.17,0,0.0,0.33,0.0,0,0.0,0.01,0,0.0,2,0.17,50.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.33,50.0,2.66,40.63,0.5,0.25,0.0,15.57,0.42,0.5,33.22,73.18,17.82,62.62,1.5,94.44,24.81,83.22,8.41,43.56,24.62,43.35,0.0,0.17,0.0,0.0,0.0,0.0,0.08,6.83,47.56,1.08,30.77,0.17,0.0,0.17,0.0,9.32,60.71,86.57,11.16,0,,0,,0,0.0,0.0,0.0,,,0.33,,6.49,0.0,0.0,0.0,0.0,0,0
