Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Dominguez,Martin  Dominguez,-462736,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,,,0,,12,1361,0,0.0,0,0.0,0.73,54.55,United States,['United States'],unknown,180,84,False,0.73,0.13,0.0,0.4,83.33,0.0,0.0,0.0,0.73,1.12,0.13,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.13,50.0,0.0,0.0,0.0,6.48,0.07,0.07,12.23,84.86,4.96,64.0,0.0,0.0,8.2,99.19,4.03,55.74,31.2,47.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,31.25,0.0,0.0,0.0,0.0,0.0,0.0,2.25,70.59,98.94,6.22,12,0.79,45,2.98,5,73.33,12.52,0.8300000000000001,0.52,0.034,0.0,0.99,0.4,,,,0.0,0,0
S. Starnes,Slade Starnes,-353017,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"CB, LCB",CB,55,LCB,39,,0,,,0,,12,1361,1,0.5,1,0.1,17.39,68.44,United States,['United States'],unknown,191,84,False,8.8,3.9,81.36,10.25,68.39,0.4,0.61,0.73,5.22,8.06,0.93,1,0.07,0,0.0,0.2,0.07,1,0.07,0.03,1,0.07,6,0.4,50.0,16.667,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.73,63.64,0.6000000000000001,0.07,0.07,23.87,0.2,1.06,36.04,86.42,12.5,72.49,1.65,100.0,32.27,90.78,3.77,49.12,20.88,34.71,0.01,0.07,0.0,0.07,0.0,0.0,0.07,1.72,46.15,0.07,0.0,0.2,0.0,0.13,0.0,5.69,50.0,95.8,18.91,0,,0,,0,0.0,0.0,0.0,,,1.26,,10.25,0.0,0.0,0.0,0.0,0,0
V. Nørgaard Landsperg,Villads Nørgaard Landsperg,-135108,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"LCB3, LB",LCB3,55,LB,40,,0,22.0,2003-04-14,0,,12,1345,0,0.07,0,0.89,9.97,62.42,Denmark,['Denmark'],left,184,0,False,7.76,4.95,72.97,1.81,55.56,0.47000000000000003,0.73,0.33,3.68,5.75,0.54,1,0.07,0,0.0,0.9400000000000001,0.0,0,0.0,0.0,0,0.0,2,0.13,50.0,0.0,0.0,1.1400000000000001,47.06,0.8,50.0,0.27,50.0,0.2,0.74,45.45,2.2800000000000002,47.06,0.2,1.47,0.13,38.14,0.47000000000000003,0.4,51.12,83.9,25.7,75.78,3.88,94.83,40.95,91.01,9.1,56.62,22.53,40.91,0.06,0.4,0.07,0.0,0.0,0.0,0.13,9.3,69.06,1.94,44.83,0.54,25.0,0.47000000000000003,0.47000000000000003,11.84,74.01,93.55,16.59,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.81,0.0,0.0,0.0,0.0,0,0
C. Brunet,Charles-Emile Brunet,-612576,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"LCMF, LCMF3, RCMF",LCMF,70,LCMF3,19,RCMF,10,,,0,,12,1293,1,0.96,2,1.3,12.74,54.1,Canada,['Canada'],unknown,173,66,False,5.5,5.43,56.41,1.04,53.33,0.21,0.33,0.07,2.23,3.5,1.18,2,0.14,0,0.0,2.02,0.07,1,0.07,0.07,0,0.0,23,1.6,21.74,4.348,0.14,2.16,45.16,0.84,16.67,1.32,63.16,0.21,1.3900000000000001,45.0,5.08,50.68,1.04,0.84,0.14,32.09,0.28,1.67,46.5,87.87,11.76,79.88,9.33,98.51,41.97,92.04,2.51,55.56,18.84,32.25,0.09,1.04,0.07,0.0,0.07,100.0,0.0,4.39,79.37,2.65,52.63,0.28,25.0,0.49,0.9,6.89,69.7,89.77,18.38,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,1.04,1.53,0.14,0.0,1.46,0,0
Alex Villanueva,Alex Salvo Villanueva,-194195,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"RCMF, DMF",RCMF,71,DMF,19,,0,22.0,2003-01-20,0,,12,1270,0,0.08,0,0.13,10.77,57.89,Spain,['Spain'],,185,70,False,7.94,5.17,76.71,2.69,42.11,0.28,0.41000000000000003,0.07,3.69,5.36,0.64,2,0.14,0,0.0,0.28,0.0,0,0.0,0.01,0,0.0,2,0.14,0.0,0.0,0.0,0.43,33.33,0.21,33.33,0.21,33.33,0.0,0.14,50.0,1.63,30.43,0.35000000000000003,0.28,0.14,16.37,0.0,0.43,30.61,83.33,9.85,63.31,4.68,96.97,26.86,89.45,3.33,40.43,18.19,31.52,0.01,0.28,0.07,0.0,0.07,100.0,0.07,3.26,78.26,0.5,42.86,0.14,50.0,0.14,0.14,4.75,49.25,96.18,11.13,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.69,0.0,0.0,0.0,0.0,0,0
E. Panozzo,Enzo  Panozzo,-462741,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"RCB3, RCB, RB",RCB3,58,RCB,27,RB,14,,,0,,12,1262,1,0.37,0,1.5,12.98,57.69,United States,['United States'],unknown,185,86,False,6.35,4.71,65.15,3.7800000000000002,56.6,0.36,0.53,0.21,2.92,4.32,0.93,2,0.14,0,0.0,1.35,0.07,1,0.07,0.03,1,0.07,3,0.21,33.33,33.333,0.0,1.07,66.67,0.0,0.0,1.07,66.67,0.07,0.64,77.78,2.5,54.29,0.43,1.43,0.07,28.03,1.28,0.5700000000000001,36.94,76.64,18.33,66.93,2.2800000000000002,90.63,30.1,83.41,5.85,43.9,22.01,41.33,0.11,0.5,0.0,0.0,0.07,100.0,0.14,7.84,60.0,1.57,40.91,0.36,20.0,0.07,0.64,9.48,59.4,90.06,12.19,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.7800000000000002,0.07,0.0,0.0,0.0,0,0
D. Escorcia Celi,Daniel Felipe Escorcia Celi,-571125,SMU Mustangs,SMU Mustangs,https://cdn5.wyscout.com/photos/team/public/g27517_120x120.png,NCAA D1 Atlantic Coast,"RW, RCMF3, AMF",RW,41,RCMF3,16,AMF,16,24.0,2001-03-25,0,,12,1238,0,0.16,0,1.44,25.01,51.45,United States,['United States'],unknown,0,64,False,7.63,7.12,70.41,1.74,29.17,0.51,0.8,0.15,2.11,3.32,1.24,2,0.15,0,0.0,3.2,0.0,0,0.0,0.01,0,0.0,2,0.15,50.0,0.0,0.0,1.53,28.57,0.22,0.0,1.31,33.33,0.22,3.93,59.26,14.32,45.18,0.73,1.38,0.0,19.05,0.36,2.54,32.64,74.83,13.96,67.71,5.53,88.16,28.64,78.43,2.47,61.76,17.28,32.53,0.1,0.87,0.15,0.0,0.58,62.5,0.22,5.82,70.0,2.98,56.1,1.02,57.14,1.31,0.44,7.49,70.87,82.41,7.85,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.74,0.0,0.0,0.0,1.31,0,0
S. Popp,Sebastian Popp,88509,Virginia Cavaliers,Virginia Cavaliers,https://cdn5.wyscout.com/photos/team/public/g27807_120x120.png,NCAA D1 Atlantic Coast,CB,CB,92,,0,,0,42.0,1983-06-03,0,,11,1233,1,0.64,0,0.04,9.93,61.03,Germany,['Germany'],,0,0,False,6.72,4.23,70.69,2.7,64.86,0.0,0.0,0.44,3.7199999999999998,5.46,0.73,1,0.07,0,0.0,0.51,0.07,1,0.07,0.05,1,0.07,4,0.29,50.0,25.0,0.0,0.29,25.0,0.15,50.0,0.15,0.0,0.0,0.36,80.0,1.75,45.83,0.44,0.8,0.0,30.66,0.22,0.29,43.8,91.67,19.05,86.59,2.12,100.0,39.42,95.93,4.16,54.39,19.66,33.66,0.0,0.07,0.0,0.07,0.0,0.0,0.0,4.45,72.13,0.22,0.0,0.07,0.0,0.0,0.07,6.28,73.26,95.93,19.71,0,,0,,0,0.0,0.0,0.0,,,1.17,,2.7,0.0,0.0,0.0,0.0,0,0
T. Hut,Tomas Hut,-270755,Syracuse Orange,Syracuse Orange,https://cdn5.wyscout.com/photos/team/public/g27623_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,,,0,,11,1228,0,0.0,0,0.0,1.25,82.35,United States,['United States'],unknown,191,92,False,3.08,0.0,0.0,1.1,86.67,0.0,0.0,0.0,3.08,4.27,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.15,0.15,13.56,69.73,10.26,60.71,0.07,0.0,5.86,87.5,7.7,56.19,42.46,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,40.0,0.37,20.0,0.22,0.0,0.07,0.0,5.57,77.63,100.0,2.93,16,1.17,63,4.62,5,74.6,19.52,1.43,3.52,0.258,0.0,2.27,1.1,,,,0.0,0,0
T. Brdaric,Tim Thomas Brdaric,497154,Syracuse Orange,Syracuse Orange,https://cdn5.wyscout.com/photos/team/public/g27623_120x120.png,NCAA D1 Atlantic Coast,"CB, RCB, RB",CB,36,RCB,36,RB,13,25.0,2000-07-04,25000,,11,1166,2,1.65,0,0.11,14.13,54.1,Germany,['Germany'],both,195,0,False,10.27,4.25,69.09,7.26,45.74,0.23,0.32,0.93,7.1,9.86,0.54,2,0.15,0,0.0,0.31,0.15,2,0.15,0.13,1,0.08,7,0.54,42.86,28.571,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.08,0.0,0.85,72.73,1.0,0.15,0.08,7.8,0.15,0.93,21.38,64.98,12.97,58.33,0.93,91.67,15.28,74.24,6.02,41.03,22.89,35.39,0.01,0.15,0.0,0.0,0.0,0.0,0.0,4.01,44.23,0.39,20.0,0.08,0.0,0.15,0.08,6.64,54.65,80.28,5.48,0,,0,,0,0.0,0.0,0.0,,,0.39,,7.26,0.0,0.0,0.0,0.0,0,0
