Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Durham,Kyle Durham,-563562,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,GK,GK,100,,0,,0,20.0,2005-10-19,0,,10,1100,0,0.0,0,0.0,0.9,90.91,United States,['United States'],unknown,193,0,False,2.29,0.08,100.0,0.74,88.89,0.0,0.0,0.0,2.21,3.24,0.08,1,0.08,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.08,100.0,0.0,0.0,0.0,8.1,0.16,0.25,16.12,78.17,9.33,68.42,0.0,0.0,9.16,92.86,6.95,58.82,33.99,44.32,0.0,0.0,0.08,0.08,0.0,0.0,0.0,1.47,61.11,0.08,0.0,0.0,0.0,0.0,0.0,5.15,66.67,90.91,6.3,12,0.98,57,4.66,4,78.95,14.39,1.18,2.39,0.196,0.0,1.3900000000000001,0.74,,,,0.0,0,0
A. Lajhar,Ayoub Lajhar,-468816,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,LB,LB,99,,0,,0,,,0,,10,1100,1,0.14,2,1.9,17.67,56.02,Libya,['Libya'],unknown,183,76,False,8.84,7.36,57.78,2.37,55.17,0.33,0.48,0.41000000000000003,4.25,6.24,1.23,2,0.16,0,0.0,3.68,0.08,1,0.08,0.01,0,0.0,4,0.33,25.0,25.0,0.16,4.09,36.0,4.01,36.73,0.0,0.0,0.49,2.95,72.22,6.63,51.85,1.8,3.19,0.8200000000000001,21.27,2.13,0.65,33.87,67.15,13.83,57.99,5.07,88.71,25.77,77.46,4.34,35.85,21.07,40.06,0.16,0.9,0.08,0.0,0.0,0.0,0.41000000000000003,3.6,47.73,3.03,54.05,0.16,0.0,0.5700000000000001,1.31,8.67,60.38,75.45,9.0,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.37,0.33,0.0,0.0,0.0,0,0
N. Tomerius,Nicolas Tomerius,-93273,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,"RB, LCMF3, LAMF",RB,49,LCMF3,18,LAMF,17,23.0,2002-01-15,0,,10,1094,0,0.42,0,0.5,19.09,52.59,Germany,['Germany'],right,175,70,False,9.54,8.14,60.61,1.8900000000000001,47.83,0.0,0.0,0.16,4.61,6.75,0.49,1,0.08,0,0.0,3.29,0.0,0,0.0,0.03,0,0.0,6,0.49,50.0,0.0,0.0,2.55,35.48,0.66,50.0,1.8900000000000001,30.43,0.33,3.21,66.67,7.82,45.26,0.99,2.63,0.25,22.21,0.66,0.99,35.79,79.77,13.24,70.81,6.91,95.24,28.38,88.12,5.18,55.56,19.57,35.43,0.04,0.33,0.08,0.08,0.0,0.0,0.16,4.36,67.92,1.8900000000000001,43.48,0.08,0.0,0.25,0.66,6.66,65.43,77.68,9.21,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.8900000000000001,0.0,0.0,0.0,0.0,0,0
K. Roudette-Gregory,Khaya Roudette-Gregory,-148885,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,"RCB, LCB",RCB,69,LCB,29,,0,23.0,2002-03-22,0,,10,1083,0,0.8,0,0.0,16.45,59.6,England,['England'],,195,93,False,8.48,7.5600000000000005,68.13,4.9,61.02,0.08,0.12,0.58,3.24,4.72,1.0,3,0.25,0,0.0,0.33,0.0,0,0.0,0.07,0,0.0,4,0.33,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,1.99,29.17,0.42,0.8300000000000001,0.0,19.36,0.58,0.33,34.57,81.49,15.12,69.23,2.16,92.31,27.59,89.76,6.98,48.81,23.0,41.96,0.0,0.08,0.0,0.0,0.0,0.0,0.0,5.07,50.82,0.33,0.0,0.25,66.67,0.0,0.0,7.65,63.04,93.1,14.46,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,4.9,0.0,0.0,0.0,0.0,0,0
A. Brummett,Austin Russell Brummett,-123115,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,"CF, AMF, RCMF",CF,61,AMF,24,RCMF,12,21.0,2004-02-12,0,,10,1065,2,2.08,2,1.38,22.48,39.1,United States,['United States'],right,183,86,False,5.15,4.14,63.27,8.79,38.46,0.25,0.37,0.34,2.2800000000000002,3.33,2.37,3,0.25,0,0.0,1.18,0.17,2,0.17,0.18,0,0.0,20,1.69,35.0,10.0,0.17,0.68,50.0,0.17,50.0,0.51,50.0,0.08,0.85,20.0,5.92,28.57,3.21,0.51,0.0,17.32,1.94,1.44,26.54,75.16,6.59,57.69,5.92,91.43,23.66,78.93,2.2,42.31,15.8,30.55,0.12,0.76,0.08,0.0,0.08,100.0,0.51,3.7199999999999998,59.09,1.44,35.29,0.25,66.67,0.68,0.42,3.04,55.56,77.0,8.45,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.79,0.08,0.08,100.0,0.0,0,0
M. Helfrich,Matthew Helfrich,-468802,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-2821_120x120.png,NCAA D1 Big East,RB,RB,93,,0,,0,,,0,,10,1029,0,0.33,1,0.96,11.55,45.45,United States,['United States'],unknown,175,72,False,6.82,5.07,60.34,2.36,29.63,0.35000000000000003,0.44,0.17,3.41,4.25,0.61,0,0.0,0,0.0,1.1400000000000001,0.0,0,0.0,0.03,0,0.0,3,0.26,66.67,0.0,0.09,1.8399999999999999,23.81,0.0,0.0,1.75,20.0,0.61,0.7000000000000001,75.0,2.9699999999999998,38.24,1.92,1.57,0.09,29.39,2.1,0.35000000000000003,42.07,77.34,15.83,62.98,9.36,97.2,34.72,86.4,5.51,38.1,20.81,37.44,0.08,0.52,0.0,0.0,0.0,0.0,0.09,6.3,62.5,1.8399999999999999,28.57,0.35000000000000003,0.0,0.61,0.44,7.78,65.17,79.37,11.02,0,,0,,0,0.0,0.0,0.0,,,0.87,,2.36,0.0,0.0,0.0,0.0,0,0
M. Gummesson,Max Gummesson,-414365,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,"DMF, RDMF, LCMF",DMF,38,RDMF,29,LCMF,23,22.0,2003-11-11,0,,10,993,2,0.8,1,0.33,17.67,54.36,Sweden,['Sweden'],unknown,185,71,False,9.7,9.7,65.42,2.7199999999999998,33.33,0.09,0.14,0.27,3.26,4.89,1.99,2,0.18,0,0.0,0.8200000000000001,0.18,2,0.18,0.07,1,0.09,6,0.54,66.67,33.333,0.09,0.27,33.33,0.18,50.0,0.09,0.0,0.0,0.63,42.86,3.63,37.5,0.27,0.73,0.0,20.94,0.0,1.0,33.35,81.25,12.05,69.92,4.8,98.11,29.27,86.38,3.81,45.24,18.42,38.35,0.03,0.27,0.0,0.0,0.18,50.0,0.09,5.17,63.16,0.91,70.0,0.27,66.67,0.54,0.18,5.89,63.08,87.79,11.87,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.7199999999999998,0.09,0.0,0.0,1.3599999999999999,0,0
M. Dreas,Matthew  Dreas,-349832,Akron Zips,Akron Zips,https://cdn5.wyscout.com/photos/team/public/g-2377_120x120.png,NCAA D1 Big East,"DMF, RDMF",DMF,76,RDMF,13,,0,20.0,2005-06-27,0,,9,978,0,0.5700000000000001,0,0.38,21.17,53.48,United States,['United States'],,178,66,False,11.41,7.18,69.23,6.26,48.53,0.37,0.6000000000000001,0.28,6.07,9.85,1.47,1,0.09,0,0.0,0.64,0.0,0,0.0,0.05,0,0.0,6,0.55,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,50.0,4.88,37.74,0.74,0.74,0.0,18.68,0.18,1.47,40.31,80.37,16.2,68.18,5.71,93.55,36.26,84.26,4.05,45.45,18.36,33.59,0.04,0.37,0.0,0.0,0.18,50.0,0.18,7.55,57.32,1.29,21.43,0.55,33.33,0.74,0.0,7.36,68.75,91.3,12.7,0,,0,,0,0.0,0.0,0.0,,,1.01,,6.26,0.0,0.0,0.0,0.09,0,0
M. Budler,Mitchell Budler,-190937,Akron Zips,Akron Zips,https://cdn5.wyscout.com/photos/team/public/g-2377_120x120.png,NCAA D1 Big East,GK,GK,100,,0,,0,22.0,2003-01-03,0,,9,978,0,0.0,0,0.0,0.8300000000000001,88.89,United States,['United States'],right,193,90,False,1.47,0.09,0.0,0.64,100.0,0.09,0.15,0.0,1.38,2.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,15.74,0.28,0.18,25.49,88.45,11.78,77.34,0.09,100.0,15.92,98.84,9.57,71.15,31.16,46.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,57.69,0.0,0.0,0.0,0.0,0.0,0.0,6.26,76.47,97.83,12.7,11,1.01,30,2.76,3,63.33,7.25,0.67,-3.75,-0.34500000000000003,0.09,1.56,0.64,,,,0.0,0,0
C. Dickerson,Charlie Dickerson,-471734,Providence Friars,Providence Friars,https://cdn5.wyscout.com/photos/team/public/g-2950_120x120.png,NCAA D1 Big East,LCB,LCB,93,,0,,0,23.0,2002-08-01,0,,9,973,0,0.58,0,0.01,12.67,59.85,England,['England'],unknown,183,77,False,8.14,4.35,70.21,4.72,43.14,0.09,0.14,0.92,4.99,7.53,0.46,3,0.28,0,0.0,0.37,0.0,0,0.0,0.05,0,0.0,4,0.37,25.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.18,100.0,1.85,70.0,0.74,0.55,0.0,39.59,0.09,1.02,60.12,83.85,26.18,69.96,3.05,96.97,47.91,94.02,12.12,43.51,25.74,44.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,10.27,50.45,0.8300000000000001,33.33,0.28,0.0,0.18,0.09,12.12,72.52,95.65,27.66,0,,0,,0,0.0,0.0,0.0,,,2.4,,4.72,0.0,0.0,0.0,0.0,0,0
