Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Horrocks,Alan Horrocks,-374833,Gardner-Webb Bulldogs,Gardner-Webb Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2431_120x120.png,NCAA D1 Big South,GK,GK,100,,0,,0,,,0,,9,992,0,0.0,0,0.0,1.45,75.0,Argentina,['Argentina'],unknown,183,86,False,1.45,0.09,0.0,1.0,90.91,0.0,0.0,0.0,1.45,2.62,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,17.78,0.09,0.09,27.13,71.91,16.69,58.7,0.0,0.0,14.33,96.2,12.79,44.68,35.63,50.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,45.0,0.27,0.0,0.36,0.0,0.0,0.0,8.98,59.6,94.23,9.44,8,0.73,31,2.81,5,74.19,6.4,0.58,-1.6,-0.145,0.0,1.9100000000000001,1.0,,,,0.0,0,0
J. Wuerslin,Jarrett  Wuerslin,-463841,USC Upstate Spartans,USC Upstate Spartans,https://cdn5.wyscout.com/photos/team/public/g-3028_120x120.png,NCAA D1 Big South,GK,GK,100,,0,,0,,,0,,9,991,0,0.0,0,0.0,1.09,83.33,United States,['United States'],unknown,0,0,False,2.63,0.18,50.0,0.8200000000000001,100.0,0.0,0.0,0.0,2.54,3.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,14.62,0.09,0.09,24.7,80.88,12.44,67.15,0.0,0.0,15.62,96.51,8.99,54.55,32.07,46.35,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.7199999999999998,43.33,0.0,0.0,0.09,100.0,0.0,0.0,6.27,63.77,95.31,11.62,14,1.27,41,3.7199999999999998,3,65.85,9.61,0.87,-4.39,-0.399,0.0,2.0,0.8200000000000001,,,,0.0,0,0
E. Tomas,Ewan Tomas,-653789,USC Upstate Spartans,USC Upstate Spartans,https://cdn5.wyscout.com/photos/team/public/g-3028_120x120.png,NCAA D1 Big South,"LCB, LCB3",LCB,64,LCB3,34,,0,22.0,2003-02-15,0,,9,983,0,1.12,0,0.30000000000000004,11.26,59.35,France,['France'],unknown,0,0,False,7.6,4.49,75.51,3.02,51.52,0.46,0.66,0.64,3.75,5.37,0.92,0,0.0,0,0.0,0.55,0.0,0,0.0,0.1,0,0.0,7,0.64,14.29,0.0,0.0,0.27,66.67,0.27,66.67,0.0,0.0,0.0,0.64,42.86,1.65,44.44,0.8200000000000001,1.1,0.0,28.66,0.46,0.37,47.98,85.5,22.52,77.24,2.47,85.19,39.46,90.49,8.24,62.22,21.64,34.4,0.03,0.18,0.09,0.09,0.0,0.0,0.09,5.77,71.43,0.8200000000000001,33.33,0.64,28.57,0.09,0.18,9.43,68.93,95.73,19.32,0,,0,,0,0.0,0.0,0.0,,,0.92,,3.02,0.27,0.18,0.0,0.0,0,0
T. Campos,Tiago Campos,421295,Gardner-Webb Bulldogs,Gardner-Webb Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2431_120x120.png,NCAA D1 Big South,"LDMF, RCMF, RDMF",LDMF,33,RCMF,17,RDMF,16,29.0,1996-07-25,0,,9,955,0,0.48,0,0.42,14.98,53.46,Brazil,['Brazil'],,0,0,False,8.29,6.03,75.0,1.98,52.38,0.09,0.17,0.09,3.68,6.69,0.47000000000000003,1,0.09,0,0.0,1.32,0.0,0,0.0,0.04,0,0.0,9,0.85,22.22,0.0,0.0,1.88,25.0,0.47000000000000003,60.0,1.32,14.29,0.19,1.13,58.33,5.94,33.33,0.85,1.23,0.0,28.55,0.85,1.13,42.79,82.38,12.91,67.88,9.99,94.34,36.94,89.54,4.05,44.19,18.92,37.95,0.04,0.85,0.0,0.0,0.0,0.0,0.0,5.28,66.07,2.64,39.29,0.09,100.0,0.38,0.38,6.69,69.01,86.84,14.32,0,,0,,0,0.0,0.0,0.0,,,0.75,,1.98,0.19,0.0,0.0,1.23,0,0
J. Caron,Josh Caron,-355458,High Point Panthers,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g-2428_120x120.png,NCAA D1 Big South,GK,GK,100,,0,,0,,,0,,9,945,0,0.0,0,0.0,0.1,100.0,United States,['United States'],unknown,183,75,False,1.43,0.1,100.0,0.0,0.0,0.1,0.13,0.0,1.24,1.72,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,15.05,80.38,7.14,61.33,0.0,0.0,9.9,96.15,5.05,50.94,30.39,47.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.33,60.0,98.7,7.33,1,0.1,17,1.62,7,94.12,2.5700000000000003,0.24,1.57,0.15,0.0,0.67,0.0,,,,0.0,0,0
J. Chopin,Jorhan Chopin,-363181,USC Upstate Spartans,USC Upstate Spartans,https://cdn5.wyscout.com/photos/team/public/g-3028_120x120.png,NCAA D1 Big South,"RDMF, DMF, LCMF",RDMF,49,DMF,17,LCMF,12,21.0,2004-01-07,0,,9,932,0,0.74,2,0.14,21.05,48.62,France,['France'],unknown,185,73,False,10.72,8.02,63.86,5.31,50.91,0.0,0.0,0.19,5.6,7.73,1.16,1,0.1,0,0.0,0.39,0.0,0,0.0,0.07,0,0.0,4,0.39,50.0,0.0,0.19,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.58,33.33,5.79,26.67,0.68,0.19,0.0,25.78,0.77,1.16,42.39,77.68,16.32,63.31,5.7,86.44,37.85,80.87,4.44,52.17,18.81,33.0,0.01,0.39,0.0,0.19,0.0,0.0,0.39,8.3,61.63,0.77,37.5,0.19,0.0,0.39,0.0,6.47,62.69,87.9,15.16,0,,0,,0,0.0,0.0,0.0,,,0.48,,5.31,0.0,0.0,0.0,0.0,0,0
L. Kamrath,Lukas Kamrath,-471742,High Point Panthers,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g-2428_120x120.png,NCAA D1 Big South,"LCB, LCB3",LCB,84,LCB3,12,,0,22.0,2003-06-03,0,,9,923,2,1.07,0,0.01,12.09,63.71,United States,['United States'],unknown,193,90,False,6.83,3.32,67.65,5.5600000000000005,73.68,0.0,0.0,0.2,4.58,6.35,0.78,0,0.0,0,0.0,0.59,0.2,2,0.2,0.1,0,0.0,11,1.07,18.18,18.182,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.2,0.2,100.0,0.88,66.67,1.27,1.27,0.0,37.44,1.37,0.59,57.14,82.94,29.15,72.91,3.12,93.75,44.27,91.63,12.58,54.26,24.18,44.52,0.0,0.1,0.0,0.0,0.2,100.0,0.0,13.26,62.5,1.85,26.32,1.6600000000000001,52.94,0.68,0.1,13.94,72.73,93.93,20.87,0,,0,,0,0.0,0.0,0.0,,,1.37,,5.5600000000000005,0.1,0.1,100.0,0.0,0,0
T. Benjamin Baerwalde,Tim  Benjamin Baerwalde,-737965,Presbyterian BlueHose,Presbyterian BlueHose,https://cdn5.wyscout.com/photos/team/public/g-2432_120x120.png,NCAA D1 Big South,GK,GK,100,,0,,0,,,0,,9,911,0,0.0,0,0.0,1.78,61.11,Germany,['Germany'],unknown,188,0,False,2.86,0.4,75.0,0.59,100.0,0.2,0.26,0.0,2.37,3.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.49,20.0,0.0,0.0,0.0,16.0,0.2,0.4,27.37,82.67,13.93,65.96,0.0,0.0,18.28,98.92,8.99,50.55,30.37,51.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,40.0,0.2,0.0,0.4,25.0,0.0,0.0,6.82,63.77,100.0,12.35,17,1.6800000000000002,54,5.33,3,68.52,13.07,1.29,-3.93,-0.388,0.0,1.98,0.59,,,,0.0,0,0
J. Sundli-Härdig,Jonas Sundli-Härdig,-582416,Presbyterian BlueHose,Presbyterian BlueHose,https://cdn5.wyscout.com/photos/team/public/g-2432_120x120.png,NCAA D1 Big South,"LDMF, RDMF",LDMF,48,RDMF,30,,0,20.0,2005-03-18,0,,9,905,1,0.28,0,0.22,20.09,51.49,Norway,['Norway'],unknown,183,68,False,10.14,8.35,67.86,2.09,23.81,0.1,0.13,0.0,4.38,5.74,0.7000000000000001,0,0.0,0,0.0,1.8900000000000001,0.1,1,0.1,0.03,0,0.0,6,0.6000000000000001,83.33,16.667,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,2.49,56.0,7.66,46.75,0.4,2.29,0.6000000000000001,35.01,0.2,0.6000000000000001,53.6,87.76,19.89,82.0,8.35,97.62,49.13,90.69,4.38,56.82,16.91,33.74,0.02,0.2,0.0,0.0,0.0,0.0,0.1,6.76,75.0,1.09,54.55,0.2,50.0,0.9,0.0,8.75,73.86,90.63,15.91,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.09,0.4,0.1,0.0,0.2,0,0
P. Ssebulime,Pius  Ssebulime,-738330,Gardner-Webb Bulldogs,Gardner-Webb Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2431_120x120.png,NCAA D1 Big South,"RDMF, DMF, LDMF",RDMF,38,DMF,23,LDMF,19,,,0,,9,903,0,0.19,0,0.22,13.55,55.88,Uganda,['Uganda'],unknown,182,0,False,9.87,6.18,62.9,3.69,56.76,0.1,0.18,0.1,5.88,10.41,0.8,1,0.1,0,0.0,0.6000000000000001,0.0,0,0.0,0.02,0,0.0,4,0.4,0.0,0.0,0.0,0.5,60.0,0.2,50.0,0.30000000000000004,66.67,0.2,0.4,75.0,1.8900000000000001,47.37,0.4,0.5,0.0,32.19,0.4,0.5,53.42,87.87,15.25,77.78,9.37,100.0,47.44,92.23,5.48,52.73,20.44,36.33,0.02,0.5,0.1,0.0,0.0,0.0,0.1,9.37,74.47,0.8,75.0,0.1,0.0,0.4,0.30000000000000004,8.87,77.53,92.74,23.32,0,,0,,0,0.0,0.0,0.0,,,2.39,,3.69,0.0,0.0,0.0,0.0,0,0
