Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Goodman,Luke Goodman,-355127,UC Davis Aggies,UC Davis Aggies,https://cdn5.wyscout.com/photos/team/public/g-2366_120x120.png,NCAA D1 Big West,"LCB, CB",LCB,77,CB,11,,0,,,0,,11,1167,0,0.08,0,0.64,9.56,59.68,United States,['United States'],unknown,190,74,False,7.33,4.4,56.14,2.54,78.79,0.15,0.19,0.6900000000000001,4.7,5.67,0.6900000000000001,2,0.15,0,0.0,0.39,0.0,0,0.0,0.01,0,0.0,2,0.15,50.0,0.0,0.0,0.31,50.0,0.23,66.67,0.08,0.0,0.0,0.15,100.0,1.47,42.11,0.39,0.39,0.0,22.52,0.15,0.54,37.71,83.84,19.05,76.52,1.0,84.62,27.76,91.67,9.64,62.4,25.94,40.89,0.05,0.31,0.08,0.0,0.0,0.0,0.0,6.4,68.67,0.85,54.55,0.08,0.0,0.39,0.15,10.8,77.86,93.66,15.81,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.54,0.15,0.0,0.0,0.0,0,0.0
G. House,Gavin House,-599775,UC Davis Aggies,UC Davis Aggies,https://cdn5.wyscout.com/photos/team/public/g-2366_120x120.png,NCAA D1 Big West,RCB,RCB,77,,0,,0,,,0,,11,1163,2,1.05,2,0.29,12.38,60.62,United States,['United States'],unknown,0,0,False,8.36,4.72,70.49,3.56,65.22,0.08,0.09,1.08,4.95,5.94,0.93,2,0.15,0,0.0,0.93,0.15,2,0.15,0.08,0,0.0,8,0.62,37.5,25.0,0.15,0.15,50.0,0.0,0.0,0.15,50.0,0.0,0.77,80.0,2.86,45.95,0.93,1.55,0.31,18.26,0.39,0.54,31.57,82.6,14.39,72.58,1.3900000000000001,88.89,24.38,87.62,7.04,65.93,24.69,39.91,0.02,0.39,0.08,0.0,0.0,0.0,0.08,6.27,69.14,0.62,62.5,0.31,50.0,0.54,0.08,8.28,74.77,94.71,13.16,0,,0,,0,0.0,0.0,0.0,,,0.62,,3.56,0.0,0.0,0.0,0.0,0,0.0
C. Möllerberg,Calle Möllerberg,-129894,UC Santa Barbara Gauchos,UC Santa Barbara Gauchos,https://cdn5.wyscout.com/photos/team/public/g-2317_120x120.png,NCAA D1 Big West,"LCB, CB",LCB,76,CB,13,,0,20.0,2004-11-20,0,,11,1156,1,1.05,0,0.24,14.17,62.09,Sweden,['Sweden'],,188,81,False,10.74,6.07,67.95,3.58,63.04,0.39,0.53,1.25,6.23,8.54,0.54,3,0.23,0,0.0,0.62,0.08,1,0.08,0.08,0,0.0,4,0.31,25.0,25.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.78,60.0,2.49,53.13,0.47000000000000003,1.79,0.0,39.78,0.78,1.01,56.91,86.73,23.59,77.89,2.65,97.06,48.81,90.59,7.86,65.35,23.06,39.93,0.02,0.16,0.0,0.0,0.16,50.0,0.0,7.63,70.41,0.54,42.86,0.54,57.14,0.31,0.0,11.44,70.75,94.75,26.7,0,,0,,0,0.0,0.0,0.0,,,1.32,,3.58,0.0,0.0,0.0,0.0,0,0.0
J. O'Shaughnessy,Joe  O'Shaughnessy,-738456,UC Irvine Anteaters,UC Irvine Anteaters,https://cdn5.wyscout.com/photos/team/public/g-2948_120x120.png,NCAA D1 Big West,GK,GK,100,,0,,0,,,0,,11,1151,0,0.0,0,0.0,0.63,100.0,England,['England'],unknown,195,0,False,1.25,0.0,0.0,0.63,100.0,0.0,0.0,0.0,1.25,1.5899999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.08,10.56,78.52,6.65,65.88,0.0,0.0,5.86,96.0,4.61,57.63,35.01,49.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,41.18,0.16,0.0,0.08,0.0,0.0,0.0,3.52,64.44,100.0,3.44,9,0.7000000000000001,37,2.89,4,75.68,7.85,0.61,-1.15,-0.09,0.0,1.88,0.63,,,,0.0,0,0.0
N. Dicenzo,Nolan Dicenzo,-360075,UC Irvine Anteaters,UC Irvine Anteaters,https://cdn5.wyscout.com/photos/team/public/g-2948_120x120.png,NCAA D1 Big West,"RCB, LCB",RCB,77,LCB,22,,0,,,0,,11,1151,0,0.37,0,0.0,8.91,57.02,United States,['United States'],unknown,185,84,False,6.72,3.6,73.91,2.5,50.0,0.0,0.0,0.7000000000000001,4.07,5.17,0.78,2,0.16,0,0.0,0.16,0.0,0,0.0,0.03,0,0.0,3,0.23,66.67,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.6400000000000001,47.62,0.31,1.33,0.0,33.31,0.55,0.31,47.46,86.49,22.44,77.35,1.6400000000000001,95.24,40.35,92.83,7.04,51.11,21.8,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,76.74,0.7000000000000001,11.11,0.31,25.0,0.23,0.0,9.07,71.55,96.88,20.02,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.5,0.0,0.0,0.0,0.0,0,0.0
B. Treinen,Brady Treinen,-252897,UC Irvine Anteaters,UC Irvine Anteaters,https://cdn5.wyscout.com/photos/team/public/g-2948_120x120.png,NCAA D1 Big West,LB,LB,99,,0,,0,21.0,2004-06-19,0,,11,1151,0,0.33,1,1.44,9.38,52.5,United States,['United States'],unknown,183,70,False,8.44,5.32,58.82,1.4100000000000001,38.89,0.16,0.2,0.39,5.16,6.5600000000000005,0.78,1,0.08,0,0.0,1.33,0.0,0,0.0,0.03,0,0.0,7,0.55,14.29,0.0,0.08,1.8,43.48,1.33,29.41,0.47000000000000003,83.33,0.23,0.7000000000000001,66.67,1.72,50.0,0.63,1.6400000000000001,0.0,41.68,2.03,0.31,57.71,77.1,29.56,70.37,7.19,94.57,47.31,85.95,8.68,36.04,19.97,37.91,0.11,1.02,0.0,0.0,0.0,0.0,0.08,11.73,56.67,3.36,41.86,0.16,50.0,0.78,0.86,14.78,73.54,80.71,15.4,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.4100000000000001,0.78,0.08,100.0,0.86,0,0.0
N. Baltazar,Nico  Baltazar,-599803,Cal Poly Mustangs,Cal Poly Mustangs,https://cdn5.wyscout.com/photos/team/public/g-2373_120x120.png,NCAA D1 Big West,"RB, LCB",RB,50,LCB,49,,0,,,0,,11,1139,2,1.27,0,0.23,11.38,68.06,United States,['United States'],unknown,183,68,False,7.9,5.61,83.1,2.77,60.0,0.0,0.0,0.32,3.24,4.68,0.47000000000000003,0,0.0,0,0.0,0.87,0.16,2,0.16,0.1,1,0.08,6,0.47000000000000003,33.33,33.333,0.0,0.87,45.45,0.0,0.0,0.87,45.45,0.0,0.4,60.0,1.6600000000000001,42.86,0.71,0.9500000000000001,0.0,27.97,1.9,0.47000000000000003,42.51,81.6,19.52,71.26,5.29,97.01,35.0,88.71,6.64,48.81,21.18,35.82,0.02,0.4,0.0,0.0,0.08,100.0,0.08,7.66,64.95,1.34,64.71,0.4,60.0,0.4,0.32,9.88,79.2,90.66,14.38,0,,0,,0,0.0,0.0,0.0,,,0.87,,2.77,0.0,0.0,0.0,0.08,0,0.0
N. McCune,Nicky McCune,-355535,Cal Poly Mustangs,Cal Poly Mustangs,https://cdn5.wyscout.com/photos/team/public/g-2373_120x120.png,NCAA D1 Big West,GK,GK,100,,0,,0,,,0,,11,1139,0,0.0,0,0.0,0.87,90.91,United States,['United States'],unknown,188,84,False,1.26,0.0,0.0,0.87,90.91,0.0,0.0,0.0,1.26,1.83,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,0.0,0.16,17.78,79.11,10.83,70.8,0.0,0.0,9.4,98.32,8.14,59.22,37.56,51.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,53.66,0.16,50.0,0.0,0.0,0.08,0.0,5.77,73.97,95.18,6.5600000000000005,7,0.55,38,3.0,5,81.58,6.26,0.49,-0.74,-0.058,0.0,1.82,0.87,,,,0.0,0,0.0
J. Gault,Josh Gault,-738382,UC Davis Aggies,UC Davis Aggies,https://cdn5.wyscout.com/photos/team/public/g-2366_120x120.png,NCAA D1 Big West,RB,RB,69,,0,,0,,,0,,11,1128,0,0.03,0,0.76,13.72,46.51,,[],unknown,0,0,False,5.27,4.95,51.61,1.9100000000000001,50.0,0.08,0.09,0.24,2.63,3.12,0.48,0,0.0,0,0.0,1.76,0.0,0,0.0,0.0,0,0.0,2,0.16,50.0,0.0,0.0,2.71,23.53,0.32,25.0,2.39,23.33,0.16,1.99,48.0,6.3,41.77,0.56,3.51,1.04,18.91,0.64,0.24,29.28,71.12,14.2,67.42,2.79,88.57,23.86,78.93,2.87,47.22,19.44,40.76,0.06,0.48,0.0,0.0,0.08,100.0,0.0,5.51,65.22,2.71,35.29,0.24,33.33,0.4,0.8,8.14,69.61,75.24,8.38,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.9100000000000001,0.0,0.0,0.0,0.0,0,0.0
N. Banks,Nami Banks,-451988,UC Davis Aggies,UC Davis Aggies,https://cdn5.wyscout.com/photos/team/public/g-2366_120x120.png,NCAA D1 Big West,"DMF, RCMF, RDMF",DMF,54,RCMF,16,RDMF,15,18.0,2007-05-22,0,,11,1126,2,0.87,0,0.4,16.63,55.29,United States,['United States'],unknown,0,0,False,8.87,6.71,65.48,5.44,55.88,0.08,0.09,0.56,4.4,5.11,0.56,0,0.0,0,0.0,1.28,0.16,2,0.16,0.07,0,0.0,15,1.2,20.0,13.333,0.0,0.8,40.0,0.16,50.0,0.64,37.5,0.16,1.04,69.23,2.8,42.86,1.6,0.88,0.24,14.71,0.32,0.4,29.49,73.17,11.19,62.14,3.76,87.23,24.7,79.94,4.0,38.0,19.37,33.58,0.03,0.4,0.0,0.0,0.0,0.0,0.24,6.47,60.49,1.28,37.5,0.16,0.0,0.56,0.32,4.88,63.93,84.21,10.63,0,,0,,0,0.0,0.0,0.0,,,0.08,,5.44,0.0,0.0,0.0,0.0,0,0.0
