Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Wilson,Nicholas Wilson,-359944,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,RCB,RCB,100,,0,,0,,,0,,11,1187,0,0.56,1,0.21,12.06,62.26,United States,['United States'],unknown,0,0,False,9.78,4.78,76.19,4.02,49.06,0.38,0.48,0.8300000000000001,5.76,7.31,0.45,0,0.0,0,0.0,0.38,0.0,0,0.0,0.04,0,0.0,5,0.38,20.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,80.0,1.44,57.89,0.76,0.61,0.0,19.41,0.45,0.68,37.53,75.35,22.22,66.89,1.3599999999999999,83.33,27.83,83.92,9.71,50.78,23.8,38.33,0.02,0.08,0.08,0.0,0.0,0.0,0.08,6.67,64.77,0.61,25.0,0.38,60.0,0.15,0.0,11.3,61.07,92.91,10.69,0,,0,,0,0.0,0.0,0.0,,,0.61,,4.02,0.0,0.0,0.0,0.0,0,0
J. Orson,Jamie Orson,-278021,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,LCB,LCB,100,,0,,0,,,0,,11,1187,3,0.52,0,0.06,10.61,66.43,United States,['United States'],unknown,190,84,False,5.76,2.43,84.38,4.25,60.71,0.23,0.29,0.45,3.49,4.42,0.38,2,0.15,0,0.0,0.30000000000000004,0.23,3,0.23,0.04,3,0.23,5,0.38,80.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.44,52.63,0.68,0.08,0.0,17.97,0.53,1.67,30.71,78.52,14.79,68.21,0.53,85.71,22.37,85.42,8.34,60.0,23.75,37.9,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.34,54.55,0.30000000000000004,0.0,0.30000000000000004,25.0,0.08,0.0,8.64,64.04,89.88,12.74,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,4.25,0.0,0.0,0.0,0.0,0,0
A. Fleury,Alex Fleury,-226091,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,"AMF, LW, LCMF3",AMF,58,LW,14,LCMF3,13,23.0,2002-01-01,0,,11,1094,3,2.84,2,2.54,21.39,36.92,Italy,['Italy'],,0,0,False,5.02,4.77,50.0,3.95,43.75,0.16,0.2,0.0,2.47,3.0,1.4,1,0.08,0,0.0,2.88,0.25,3,0.25,0.23,0,0.0,17,1.4,41.18,17.647,0.16,1.15,42.86,0.41000000000000003,40.0,0.74,44.44,0.16,3.13,52.63,10.94,30.83,1.65,1.97,0.16,21.39,0.9,1.65,32.66,78.34,8.64,66.67,7.49,86.81,29.04,80.45,2.47,70.0,17.55,36.1,0.21,1.65,0.0,0.0,0.25,66.67,0.49,4.52,81.82,1.97,75.0,0.49,83.33,1.23,0.41000000000000003,6.25,67.11,84.06,11.35,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.95,3.37,0.16,0.0,2.71,1,0
H. Hermannsson,Heiðar Mani Hermannsson,-281977,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,GK,GK,100,,0,,0,20.0,2005-10-12,0,,10,1085,0,0.0,0,0.0,0.5,100.0,Iceland,['Iceland'],right,0,0,False,0.58,0.0,0.0,0.33,100.0,0.0,0.0,0.0,0.58,0.73,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,3.98,0.0,0.17,12.03,84.83,6.72,75.31,0.0,0.0,6.22,100.0,5.8100000000000005,68.57,32.68,46.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,70.49,96.43,4.65,12,1.0,43,3.5700000000000003,4,72.09,10.88,0.9,-1.12,-0.093,0.0,1.49,0.33,,,,0.0,0,0
J. Leavitt,Jackson Leavitt,-275165,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2916_120x120.png,NCAA D1 Coastal Athletic Association,GK,GK,100,,0,,0,22.0,2003-03-23,0,,10,1065,0,0.0,0,0.0,0.25,100.0,United States,['United States'],unknown,183,77,False,1.35,0.0,0.0,0.17,100.0,0.0,0.0,0.0,1.35,1.9,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66,0.08,0.08,19.35,84.72,7.86,67.74,0.0,0.0,14.79,97.14,4.39,46.15,26.44,46.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,18.18,0.0,0.0,0.0,0.0,0.0,0.0,3.3,53.85,97.32,9.46,8,0.68,36,3.04,6,77.78,11.87,1.0,3.87,0.327,0.0,1.27,0.17,,,,0.0,0,0
F. Oliver,Finlay Oliver,-494477,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,"RAMF, RW, RWF",RAMF,46,RW,17,RWF,15,,,0,,11,1061,5,2.18,1,1.29,27.4,50.77,United States,['United States'],unknown,196,81,False,8.82,6.19,64.38,7.63,48.89,0.25,0.30000000000000004,0.25,4.58,5.35,0.85,3,0.25,0,0.0,4.5,0.42,5,0.42,0.18,1,0.08,15,1.27,53.33,33.333,0.08,3.65,16.28,0.0,0.0,3.65,16.28,0.42,4.75,67.86,10.52,44.35,3.8200000000000003,2.9699999999999998,0.76,15.61,2.71,1.3599999999999999,24.68,61.86,7.8,63.04,4.58,72.22,20.61,69.96,0.85,40.0,17.55,27.97,0.11,0.59,0.08,0.08,0.0,0.0,0.17,2.46,58.62,2.71,25.0,0.0,0.0,0.59,0.51,4.41,59.62,48.68,6.45,0,,0,,0,0.0,0.0,0.0,,,0.08,,7.63,0.0,0.0,0.0,0.0,0,0
C. Mucchetti,Connor Mucchetti,-366612,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2916_120x120.png,NCAA D1 Coastal Athletic Association,"RDMF, LDMF, RCMF",RDMF,54,LDMF,21,RCMF,16,,,0,,10,1024,0,0.59,0,0.16,12.83,51.37,United States,['United States'],unknown,180,77,False,6.77,4.04,76.09,2.7199999999999998,58.06,0.18,0.25,0.44,3.52,4.94,0.18,0,0.0,0,0.0,0.35000000000000003,0.0,0,0.0,0.05,0,0.0,3,0.26,33.33,0.0,0.0,0.44,0.0,0.18,0.0,0.18,0.0,0.0,0.7000000000000001,37.5,3.7800000000000002,30.23,0.88,0.53,0.0,25.4,0.26,0.7000000000000001,41.22,77.61,12.39,57.45,6.86,96.15,35.07,84.46,5.71,41.54,20.23,38.73,0.01,0.53,0.09,0.0,0.09,0.0,0.0,6.33,52.78,1.49,52.94,0.44,60.0,0.79,0.0,7.03,58.75,83.24,15.73,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0
B. Penney,Bruno Penney,-303316,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,"LDMF, DMF, LCMF",LDMF,42,DMF,31,LCMF,22,21.0,2004-02-21,0,,10,1009,0,0.37,1,0.36,19.98,54.46,New Zealand,['New Zealand'],unknown,178,0,False,10.7,7.76,63.22,5.35,51.67,0.62,0.77,0.36,5.17,6.42,1.25,2,0.18,0,0.0,0.98,0.0,0,0.0,0.03,0,0.0,5,0.45,0.0,0.0,0.09,1.16,30.77,0.36,25.0,0.8,33.33,0.09,0.89,70.0,3.21,47.22,0.36,0.71,0.18,19.71,0.27,1.43,35.68,76.0,12.93,66.9,3.92,97.73,30.24,81.12,4.28,52.08,19.56,29.78,0.03,0.27,0.0,0.0,0.0,0.0,0.18,5.53,66.13,1.78,30.0,0.18,0.0,0.27,0.27,7.76,60.92,80.92,15.43,0,,0,,0,0.0,0.0,0.0,,,0.09,,5.35,0.09,0.0,0.0,0.0,0,0
M. Kozak,Martin Ignacio Kozak Fernandez,-347807,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2916_120x120.png,NCAA D1 Coastal Athletic Association,"RAMF, LAMF, AMF",RAMF,46,LAMF,18,AMF,13,22.0,2003-03-24,0,,10,994,4,2.63,3,2.01,18.65,39.81,Chile,['Chile'],unknown,0,0,False,5.98,4.16,73.91,3.17,42.86,0.45,0.63,0.0,2.44,3.39,0.72,2,0.18,0,0.0,2.26,0.36,2,0.18,0.24,0,0.0,16,1.45,50.0,25.0,0.27,1.81,20.0,0.54,33.33,1.27,14.29,0.27,2.35,50.0,9.6,24.53,1.09,1.27,0.27,20.82,1.3599999999999999,0.63,30.24,74.55,7.97,59.09,8.96,91.92,26.08,80.9,2.63,44.83,18.08,35.98,0.18,0.72,0.09,0.0,0.0,0.0,0.27,4.07,53.33,2.26,48.0,0.36,75.0,1.0,0.36,5.7,66.67,75.9,7.52,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.17,1.45,0.18,0.0,2.63,2,100
W. Jonke,Weston Jonke,-600979,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2916_120x120.png,NCAA D1 Coastal Athletic Association,"LDMF, RDMF, LCMF",LDMF,58,RDMF,21,LCMF,15,,,0,,10,979,0,0.05,2,0.22,17.93,59.49,United States,['United States'],unknown,0,0,False,11.58,7.08,66.23,1.9300000000000002,57.14,2.11,2.96,0.18,4.78,6.7,1.38,1,0.09,0,0.0,1.01,0.0,0,0.0,0.0,0,0.0,4,0.37,25.0,0.0,0.18,0.28,66.67,0.18,50.0,0.09,100.0,0.0,1.29,57.14,5.42,54.24,0.28,0.55,0.0,31.35,0.46,2.02,46.79,79.76,17.65,62.5,8.92,93.81,41.64,85.43,4.87,32.08,18.6,37.74,0.02,0.37,0.0,0.0,0.09,0.0,0.18,8.73,60.0,1.1,33.33,0.55,16.67,0.0,0.18,6.99,59.21,90.12,14.89,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,1.9300000000000002,0.0,0.0,0.0,0.0,0,0
