Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Hollenbach,Andrew Hollenbach,-485759,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,100,,0,,0,,,0,,11,1166,0,0.45,0,0.0,9.8,58.27,United States,['United States'],unknown,193,0,False,7.26,3.86,58.0,2.55,72.73,0.54,0.7000000000000001,0.54,4.48,5.78,0.46,0,0.0,0,0.0,0.46,0.0,0,0.0,0.03,0,0.0,4,0.31,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,71.43,2.39,41.94,0.39,1.08,0.08,31.65,0.62,0.62,45.77,86.85,18.45,74.06,2.16,100.0,39.21,92.13,6.5600000000000005,55.29,23.43,42.95,0.0,0.08,0.15,0.0,0.0,0.0,0.0,5.48,60.56,0.23,0.0,0.15,0.0,0.0,0.0,8.8,72.81,94.86,22.54,0,,0,,0,0.0,0.0,0.0,,,1.62,,2.55,0.0,0.0,0.0,0.0,0,0
S. Habibi,Sep Habibi,-359757,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,11,1166,0,0.0,0,0.0,1.08,71.43,United States,['United States'],unknown,188,0,False,1.9300000000000002,0.23,66.67,0.62,87.5,0.0,0.0,0.0,1.78,2.29,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,50.0,0.0,0.0,0.0,9.26,0.08,0.54,18.14,82.55,9.34,66.94,0.08,100.0,12.81,98.8,5.33,43.48,28.99,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,31.82,0.08,0.0,0.08,100.0,0.0,0.0,3.24,64.29,99.03,7.95,12,0.93,54,4.17,3,77.78,15.8,1.22,3.8,0.293,0.0,1.7000000000000002,0.62,,,,0.0,0,0
K. Ternes,Karsten Ternes,-599938,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,100,,0,,0,,,0,,11,1153,1,0.5,1,0.52,11.79,63.58,United States,['United States'],unknown,193,0,False,8.27,4.22,64.81,5.54,70.42,0.08,0.1,0.62,5.46,7.05,0.62,3,0.23,0,0.0,0.23,0.08,1,0.08,0.04,1,0.08,3,0.23,33.33,33.333,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,66.67,1.17,40.0,0.86,0.7000000000000001,0.0,30.75,0.7000000000000001,0.39,47.77,79.74,20.37,63.6,1.72,95.45,38.72,87.9,9.05,44.83,23.59,42.11,0.04,0.47000000000000003,0.0,0.08,0.0,0.0,0.08,7.49,50.0,0.62,25.0,0.55,28.57,0.47000000000000003,0.0,9.99,58.59,94.76,22.32,0,,0,,0,0.0,0.0,0.0,,,0.86,,5.54,0.0,0.0,0.0,0.0,0,0
D. Obilo,Dubem  Obilo,-738606,Green Bay Phoenix,Green Bay Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2841_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,98,,0,,0,,,0,,11,1135,0,0.0,0,0.02,11.5,56.55,Canada,['Canada'],unknown,183,0,False,8.48,5.55,70.0,3.41,44.19,0.24,0.32,0.24,4.36,5.96,1.03,2,0.16,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,66.67,1.03,46.15,0.24,1.27,0.0,51.94,0.16,0.63,69.62,91.69,29.02,82.24,2.93,100.0,62.17,95.79,7.45,57.45,22.29,41.22,0.0,0.16,0.0,0.0,0.0,0.0,0.0,8.09,74.51,0.71,11.11,0.48,0.0,0.08,0.0,13.0,81.1,98.79,32.75,0,,0,,0,0.0,0.0,0.0,,,2.06,,3.41,0.0,0.0,0.0,0.0,0,0
O. Arroyo,Oscar Arroyo,-471669,Green Bay Phoenix,Green Bay Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2841_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,90,,0,,0,,,0,,11,1135,0,0.27,0,0.02,10.55,66.92,United States,['United States'],unknown,0,0,False,8.17,5.0,73.02,3.73,65.96,0.4,0.54,0.32,4.12,5.63,0.79,1,0.08,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,2,0.16,0.0,0.0,0.0,0.24,33.33,0.0,0.0,0.24,33.33,0.0,0.16,50.0,0.71,66.67,0.24,0.71,0.0,38.22,0.56,0.24,55.03,85.59,20.06,70.75,2.54,93.75,45.59,93.74,9.28,46.15,24.86,42.76,0.0,0.16,0.0,0.0,0.0,0.0,0.0,6.5,56.1,0.56,28.57,0.87,36.36,0.24,0.08,9.91,70.4,95.15,29.42,0,,0,,0,0.0,0.0,0.0,,,1.82,,3.73,0.0,0.0,0.0,0.0,0,0
J. Murray Powell,Jeloni Murray Powell,-352274,Green Bay Phoenix,Green Bay Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2841_120x120.png,NCAA D1 Non-conference matches,"RDMF, LDMF, DMF",RDMF,43,LDMF,19,DMF,13,,,0,,11,1135,1,0.46,0,0.04,20.22,57.25,United States,['United States'],unknown,0,0,False,10.94,10.63,68.66,2.46,48.39,0.0,0.0,0.16,3.65,4.98,2.06,3,0.24,0,0.0,0.4,0.08,1,0.08,0.04,1,0.08,7,0.56,28.57,14.286,0.0,0.16,0.0,0.08,0.0,0.08,0.0,0.0,0.87,27.27,4.68,35.59,0.56,1.74,0.0,28.63,0.48,1.11,41.47,85.47,13.16,70.48,4.76,93.33,37.51,90.49,3.81,39.58,18.86,37.63,0.0,0.08,0.08,0.0,0.08,0.0,0.0,7.77,71.43,0.56,42.86,0.24,0.0,0.08,0.08,6.03,69.74,94.32,18.16,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.46,0.0,0.0,0.0,0.0,0,0
J.Lane,Josh Lane,-600247,Robert Morris Colonials,Robert Morris Colonials,https://cdn5.wyscout.com/photos/team/public/g-2805_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,22.0,2003-09-11,0,,11,1117,0,0.0,0,0.0,0.64,75.0,England,['England'],unknown,188,78,False,0.64,0.0,0.0,0.64,75.0,0.0,0.0,0.0,0.64,0.78,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5600000000000005,0.16,0.16,11.44,76.76,7.09,67.05,0.0,0.0,6.37,94.94,5.0,54.84,35.49,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,44.0,0.32,0.0,0.16,50.0,0.0,0.0,3.06,73.68,95.56,3.63,12,0.97,48,3.87,3,75.0,13.36,1.08,1.3599999999999999,0.11,0.0,1.37,0.64,,,,0.0,0,0
F. Overkamp,Fabian Overkamp,-200384,Robert Morris Colonials,Robert Morris Colonials,https://cdn5.wyscout.com/photos/team/public/g-2805_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,98,,0,,0,21.0,2004-01-15,0,,11,1117,2,1.75,2,0.28,15.23,54.5,Germany,['Germany'],unknown,188,79,False,6.93,3.46,72.09,9.02,48.21,0.0,0.0,0.89,4.43,5.39,0.81,1,0.08,0,0.0,0.24,0.16,2,0.16,0.14,1,0.08,12,0.97,25.0,16.667,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.45,44.44,1.85,0.64,0.0,24.74,0.16,0.4,40.21,81.56,17.32,64.65,1.69,90.48,32.07,89.45,8.06,51.0,24.91,41.74,0.02,0.16,0.0,0.0,0.0,0.0,0.08,6.53,54.32,0.97,16.67,0.56,28.57,0.16,0.0,8.22,68.63,97.44,18.85,0,,0,,0,0.0,0.0,0.0,,,0.97,,9.02,0.0,0.0,0.0,0.0,0,0
K. Gorbell,Kevin  Gorbell,-738933,Robert Morris Colonials,Robert Morris Colonials,https://cdn5.wyscout.com/photos/team/public/g-2805_120x120.png,NCAA D1 Non-conference matches,LB,LB,100,,0,,0,,,0,,11,1111,0,1.33,0,1.06,14.01,49.71,United States,['United States'],unknown,183,78,False,7.94,5.83,62.5,2.84,48.57,0.0,0.0,0.24,4.29,5.21,0.81,4,0.32,0,0.0,1.46,0.0,0,0.0,0.11,0,0.0,6,0.49,33.33,0.0,0.0,1.94,25.0,1.8599999999999999,26.09,0.08,0.0,0.16,1.22,66.67,3.9699999999999998,42.86,0.5700000000000001,1.38,0.0,19.93,0.73,0.73,33.94,71.36,19.68,67.9,1.94,95.83,26.17,79.26,5.91,52.05,20.23,35.52,0.09,0.65,0.0,0.0,0.0,0.0,0.0,7.86,62.89,2.43,33.33,0.49,16.67,0.41000000000000003,0.41000000000000003,9.32,71.3,78.64,8.34,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.84,1.54,0.0,0.0,1.38,1,0
J. Lee,Jaxson  Lee,-738928,Robert Morris Colonials,Robert Morris Colonials,https://cdn5.wyscout.com/photos/team/public/g-2805_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,100,,0,,0,,,0,,11,1102,0,0.51,0,1.72,11.43,62.14,United States,['United States'],unknown,196,86,False,7.68,3.43,83.33,6.37,57.69,0.0,0.0,0.5700000000000001,4.82,5.78,0.41000000000000003,0,0.0,0,0.0,0.25,0.0,0,0.0,0.04,0,0.0,4,0.33,50.0,0.0,0.0,0.25,0.0,0.16,0.0,0.08,0.0,0.0,0.16,50.0,0.8200000000000001,40.0,0.65,0.25,0.0,22.05,0.16,0.08,35.69,80.32,15.44,62.96,1.72,100.0,29.65,88.43,5.8,42.25,22.65,39.04,0.14,1.31,0.08,0.08,0.0,0.0,0.08,3.43,42.86,0.33,0.0,0.0,0.0,0.16,0.08,7.51,50.0,95.43,16.09,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,6.37,0.0,0.0,0.0,0.0,0,0
