Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Samuels,Andrew Samuels,-779747,Princeton Tigers,Princeton Tigers,https://cdn5.wyscout.com/photos/team/public/g-2378_120x120.png,NCAA D1 Ivy League,GK,GK,100,,0,,0,20.0,2005-03-18,0,,9,923,0,0.0,0,0.0,1.27,84.62,United States,['United States'],unknown,0,0,False,1.76,0.0,0.0,0.88,88.89,0.0,0.0,0.0,1.76,2.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,75.0,0.0,0.0,0.0,12.38,0.0,0.39,23.3,86.61,10.92,71.43,0.0,0.0,15.5,98.11,7.8,63.75,30.69,48.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,68.97,0.1,0.0,0.2,50.0,0.0,0.0,6.14,76.19,100.0,11.41,1,0.1,28,2.73,8,96.43,7.96,0.78,6.96,0.679,0.0,1.56,0.88,,,,0.0,0,0
D. Pepez,Dash  Papez,-600277,Princeton Tigers,Princeton Tigers,https://cdn5.wyscout.com/photos/team/public/g-2378_120x120.png,NCAA D1 Ivy League,RCB,RCB,91,,0,,0,,,0,,9,923,1,0.81,0,0.0,12.87,58.33,United States,['United States'],unknown,0,0,False,8.19,4.68,66.67,4.1,64.29,0.49,0.68,0.98,4.58,6.38,0.88,0,0.0,0,0.0,0.39,0.1,1,0.1,0.08,0,0.0,4,0.39,50.0,25.0,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.29,66.67,1.6600000000000001,47.06,0.59,0.49,0.1,23.69,0.29,0.2,39.88,76.77,17.84,62.84,3.71,94.74,32.28,85.2,7.31,42.67,23.89,43.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.95,45.9,0.78,25.0,0.68,28.57,0.2,0.1,9.65,52.53,88.13,15.6,0,,0,,0,0.0,0.0,0.0,,,3.22,,4.1,0.1,0.0,0.0,0.0,0,0
J. Melly,Justin Melly,-575716,Cornell Big Red,Cornell Big Red,https://cdn5.wyscout.com/photos/team/public/g27815_120x120.png,NCAA D1 Ivy League,LCB,LCB,100,,0,,0,19.0,2006-07-27,0,,9,918,0,0.0,0,0.31,11.57,55.08,United States,['United States'],right,175,70,False,6.57,5.49,62.5,4.02,41.46,0.2,0.28,0.78,2.94,4.27,0.29,0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.0,0.2,50.0,0.2,50.0,0.0,0.0,0.0,0.39,25.0,1.27,53.85,0.0,1.76,0.2,28.73,0.29,0.59,44.51,84.36,19.31,68.53,2.55,100.0,37.25,91.84,7.06,45.83,23.41,38.08,0.03,0.29,0.0,0.2,0.0,0.0,0.1,7.35,65.33,0.98,30.0,0.49,20.0,0.2,0.1,8.43,75.58,97.1,20.29,0,,0,,0,0.0,0.0,0.0,,,2.16,,4.02,0.1,0.0,0.0,0.1,0,0
A. Martin,Aidan William Martin,-494404,Cornell Big Red,Cornell Big Red,https://cdn5.wyscout.com/photos/team/public/g27815_120x120.png,NCAA D1 Ivy League,LB,LB,100,,0,,0,19.0,2006-02-22,0,,9,918,0,1.03,2,1.6099999999999999,12.94,55.3,United States,['United States'],unknown,175,72,False,10.2,4.71,68.75,3.73,50.0,0.2,0.28,0.0,6.76,9.81,0.49,0,0.0,0,0.0,1.57,0.0,0,0.0,0.1,0,0.0,11,1.08,9.09,0.0,0.2,2.16,31.82,2.16,31.82,0.0,0.0,0.29,1.67,47.06,3.04,35.48,2.06,1.96,0.1,28.92,0.98,0.2,45.1,76.96,18.53,70.9,6.67,85.29,38.53,83.21,4.61,44.68,18.81,34.04,0.16,1.57,0.1,0.0,0.2,0.0,0.39,6.47,65.15,2.45,52.0,0.29,0.0,0.98,0.6900000000000001,12.65,68.99,85.27,12.65,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.73,0.6900000000000001,0.0,0.0,2.25,0,0
R. Friedberg,Ryan Friedberg,-317981,Cornell Big Red,Cornell Big Red,https://cdn5.wyscout.com/photos/team/public/g27815_120x120.png,NCAA D1 Ivy League,GK,GK,100,,0,,0,21.0,2004-02-20,0,,9,918,0,0.0,0,0.0,1.08,81.82,United States,['United States'],unknown,0,0,False,1.8599999999999999,0.1,100.0,0.6900000000000001,100.0,0.0,0.0,0.0,1.76,2.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,0.1,0.0,21.57,82.27,12.06,70.73,0.0,0.0,13.33,95.59,8.04,60.98,33.39,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,40.0,0.2,0.0,0.0,0.0,0.0,0.0,6.37,69.23,98.85,8.53,9,0.88,28,2.75,3,67.86,7.26,0.71,-1.74,-0.171,0.0,1.76,0.6900000000000001,,,,0.0,0,0
A. Johnson,Andrew Johnson,484301,Cornell Big Red,Cornell Big Red,https://cdn5.wyscout.com/photos/team/public/g27815_120x120.png,NCAA D1 Ivy League,RCB,RCB,100,,0,,0,22.0,2003-04-09,0,,9,915,1,1.1,0,0.0,13.48,67.88,United States,['United States'],,0,0,False,6.98,3.74,76.32,5.8,64.41,0.30000000000000004,0.43,1.18,3.84,5.57,0.98,0,0.0,0,0.0,0.49,0.1,1,0.1,0.11,0,0.0,6,0.59,50.0,16.667,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.30000000000000004,66.67,1.97,75.0,1.08,0.89,0.0,28.03,0.39,1.08,46.52,80.34,22.43,67.98,3.25,96.97,35.7,90.63,10.72,46.79,23.62,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,47.31,0.98,30.0,0.49,0.0,0.30000000000000004,0.0,10.23,78.85,92.74,17.61,0,,0,,0,0.0,0.0,0.0,,,3.15,,5.8,0.0,0.0,0.0,0.0,0,0
J. Jasinski,Jack Jasinski,-169390,Princeton Tigers,Princeton Tigers,https://cdn5.wyscout.com/photos/team/public/g-2378_120x120.png,NCAA D1 Ivy League,LB,LB,94,,0,,0,21.0,2003-12-04,0,,9,914,0,1.06,1,2.29,16.54,56.55,United States,['United States'],,185,83,False,6.99,4.43,71.11,4.92,58.0,0.1,0.14,0.1,3.74,5.16,0.79,0,0.0,0,0.0,1.28,0.0,0,0.0,0.1,0,0.0,13,1.28,38.46,0.0,0.1,1.28,23.08,0.98,30.0,0.30000000000000004,0.0,0.39,0.98,50.0,4.23,37.21,1.38,1.08,0.1,23.44,0.89,0.59,34.66,72.44,18.32,60.75,5.61,94.74,28.46,82.35,4.92,28.0,20.91,40.02,0.23,1.87,0.0,0.0,0.0,0.0,0.0,6.99,60.56,2.17,40.91,0.30000000000000004,33.33,0.59,0.30000000000000004,8.86,68.89,79.01,7.98,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.92,2.56,0.59,50.0,4.53,0,0
R. Tsunehara,Roka Tsunehara,-484671,Princeton Tigers,Princeton Tigers,https://cdn5.wyscout.com/photos/team/public/g-2378_120x120.png,NCAA D1 Ivy League,RB,RB,93,,0,,0,19.0,2006-05-29,0,,9,879,0,0.13,0,0.16,14.85,58.62,United States,['United States'],unknown,0,0,False,10.03,6.25,63.93,2.05,35.0,0.61,0.84,0.51,5.43,7.4,0.61,1,0.1,0,0.0,1.9500000000000002,0.0,0,0.0,0.01,0,0.0,5,0.51,20.0,0.0,0.0,2.05,25.0,0.0,0.0,2.05,25.0,0.41000000000000003,1.8399999999999999,72.22,5.63,61.82,0.51,1.02,0.1,18.43,0.41000000000000003,1.6400000000000001,31.95,73.4,18.53,71.82,2.35,91.3,24.06,80.85,6.04,57.63,22.45,40.47,0.02,0.1,0.1,0.0,0.0,0.0,0.0,7.27,77.46,2.66,46.15,0.41000000000000003,75.0,0.72,0.41000000000000003,10.24,77.0,72.97,7.58,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.05,0.0,0.0,0.0,0.0,0,0
A. Castel,Alexander Castel,-600303,Harvard Crimson,Harvard Crimson,https://cdn5.wyscout.com/photos/team/public/g-2980_120x120.png,NCAA D1 Ivy League,RCB,RCB,98,,0,,0,,,0,,8,828,0,0.23,1,0.73,9.67,60.67,United States,['United States'],unknown,182,77,False,7.5,4.35,67.5,2.39,63.64,0.22,0.29,0.54,4.35,5.74,0.76,0,0.0,0,0.0,0.33,0.0,0,0.0,0.02,0,0.0,2,0.22,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.33,100.0,1.85,47.06,0.65,1.2,0.0,26.63,0.11,0.22,43.48,79.25,17.83,58.54,2.61,95.83,33.8,89.39,9.57,44.32,25.73,43.8,0.08,0.65,0.0,0.0,0.0,0.0,0.22,8.15,49.33,1.63,26.67,1.4100000000000001,30.77,0.87,0.0,9.78,63.33,95.26,20.65,0,,0,,0,0.0,0.0,0.0,,,2.39,,2.39,0.0,0.0,0.0,0.0,0,0
C. Miller,Connor Miller,-331655,Cornell Big Red,Cornell Big Red,https://cdn5.wyscout.com/photos/team/public/g27815_120x120.png,NCAA D1 Ivy League,"AMF, RCMF, LCMF",AMF,40,RCMF,25,LCMF,24,20.0,2004-11-30,0,,9,824,1,2.67,1,2.47,19.22,54.55,United States,['United States'],unknown,176,72,False,7.97,5.79,75.47,3.8200000000000003,40.0,0.22,0.31,0.0,3.39,4.82,0.66,2,0.22,0,0.0,2.95,0.11,1,0.11,0.29,0,0.0,15,1.6400000000000001,26.67,6.667,0.11,0.76,57.14,0.44,50.0,0.33,66.67,0.33,3.5,56.25,7.54,47.83,1.31,2.4,0.44,26.21,0.55,1.6400000000000001,41.94,76.82,17.37,69.18,4.15,84.21,36.48,82.04,4.7,39.53,18.58,37.88,0.27,2.51,0.11,0.22,0.22,50.0,0.66,8.52,66.67,3.39,51.61,1.2,36.36,1.75,0.44,9.07,77.11,84.75,12.89,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.8200000000000003,0.76,0.22,50.0,2.51,1,0
