Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Thompson,Drew Thompson,-599953,Fairfield Stags,Fairfield Stags,https://cdn5.wyscout.com/photos/team/public/g-2996_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"RWB, RB5, DMF",RWB,37,RB5,18,DMF,12,,,0,,12,1273,0,0.15,1,0.68,10.68,52.98,United States,['United States'],unknown,178,68,False,5.8,5.23,58.11,2.33,48.48,0.07,0.1,0.0,2.69,3.64,0.49,1,0.07,0,0.0,0.92,0.0,0,0.0,0.01,0,0.0,4,0.28,0.0,0.0,0.07,1.98,32.14,0.0,0.0,1.9100000000000001,33.33,0.49,0.49,57.14,1.8399999999999999,38.46,0.64,0.85,0.0,18.45,1.27,0.21,30.33,76.69,9.83,62.59,5.73,90.12,25.73,83.24,2.62,45.95,18.67,29.89,0.05,0.71,0.0,0.0,0.0,0.0,0.42,4.03,68.42,2.26,53.13,0.07,100.0,0.71,0.78,6.08,62.79,79.58,10.04,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.33,0.0,0.0,0.0,0.0,0,0
B. Glinder,Bennet Glinder,-476063,Siena Saints,Siena Saints,https://cdn5.wyscout.com/photos/team/public/g-3006_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,GK,GK,100,,0,,0,,,0,,12,1266,0,0.0,0,0.0,1.21,82.35,Germany,['Germany'],unknown,0,0,False,1.85,0.07,100.0,0.92,84.62,0.07,0.09,0.0,1.71,2.11,0.14,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.14,50.0,0.0,0.0,0.0,16.64,0.21,0.21,25.45,86.03,13.51,76.84,0.0,0.0,17.63,96.77,7.75,62.39,27.4,47.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,37.5,0.07,0.0,0.0,0.0,0.0,0.0,5.76,69.14,96.5,10.17,10,0.71,52,3.7,5,80.77,11.38,0.81,1.38,0.098,0.0,1.28,0.92,,,,0.0,0,0
T. Sams,Thomas Sams,-270708,Siena Saints,Siena Saints,https://cdn5.wyscout.com/photos/team/public/g-3006_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"LCB, LCB3",LCB,76,LCB3,18,,0,,,0,,12,1266,0,0.2,0,0.29,9.74,58.39,England,['England'],unknown,185,79,False,8.18,4.41,70.97,2.99,42.86,0.36,0.44,0.85,4.69,5.8100000000000005,0.5,0,0.0,0,0.0,0.5700000000000001,0.0,0,0.0,0.01,0,0.0,4,0.28,25.0,0.0,0.0,0.28,25.0,0.14,50.0,0.14,0.0,0.0,0.5,85.71,1.28,38.89,0.36,1.56,0.0,31.07,0.5,0.21,44.5,85.3,17.99,74.31,3.06,90.7,38.82,91.39,5.4,44.74,20.34,39.77,0.02,0.07,0.0,0.07,0.0,0.0,0.0,6.47,71.43,0.5,57.14,0.07,100.0,0.28,0.07,7.68,70.37,93.93,17.56,0,,0,,0,0.0,0.0,0.0,,,1.35,,2.99,0.14,0.07,0.0,0.0,0,0
I. Dia,Ismail Dia,-413246,Siena Saints,Siena Saints,https://cdn5.wyscout.com/photos/team/public/g-3006_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"RCB, CB",RCB,76,CB,18,,0,20.0,2005-02-17,0,,12,1255,0,1.3599999999999999,1,0.13,8.68,66.12,Senegal,"['Senegal', 'Switzerland']",unknown,0,0,False,7.75,3.51,81.63,2.29,59.38,0.14,0.18,0.43,4.73,5.91,0.22,1,0.07,0,0.0,0.36,0.0,0,0.0,0.1,0,0.0,5,0.36,20.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,57.14,2.08,48.28,0.72,0.5700000000000001,0.14,26.61,0.5,0.14,42.1,88.76,12.19,74.71,3.3,100.0,37.79,92.03,4.3,60.0,20.96,35.85,0.01,0.14,0.0,0.0,0.0,0.0,0.07,3.3,63.04,0.36,40.0,0.14,0.0,0.14,0.0,5.74,55.0,94.98,22.88,0,,0,,0,0.0,0.0,0.0,,,2.8,,2.29,0.0,0.0,0.0,0.0,0,0
C. Dougherty,Cole Dougherty,-463821,Fairfield Stags,Fairfield Stags,https://cdn5.wyscout.com/photos/team/public/g-2996_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"LCB3, LB",LCB3,75,LB,13,,0,,,0,,12,1250,2,0.86,0,0.21,16.27,53.98,United States,['United States'],unknown,155,81,False,9.36,8.06,60.71,4.46,41.94,0.36,0.48,0.65,4.1,5.52,1.6600000000000001,3,0.22,0,0.0,0.65,0.14,2,0.14,0.06,1,0.07,2,0.14,100.0,100.0,0.0,1.08,20.0,0.5,14.29,0.58,25.0,0.36,0.43,66.67,1.6600000000000001,52.17,0.58,0.79,0.0,23.98,0.43,0.72,38.09,77.5,17.93,66.27,4.46,90.32,29.74,87.17,7.34,47.06,22.37,37.43,0.02,0.36,0.0,0.0,0.0,0.0,0.0,7.06,59.18,1.22,41.18,0.22,66.67,0.36,0.29,9.5,61.36,87.12,11.74,0,,0,,0,0.0,0.0,0.0,,,2.59,,4.46,0.0,0.0,0.0,0.07,0,0
E. Svensson,Eric Svensson,-352629,Siena Saints,Siena Saints,https://cdn5.wyscout.com/photos/team/public/g-3006_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"RB, RCB3",RB,81,RCB3,18,,0,23.0,2002-09-19,0,,12,1245,1,1.38,1,0.35000000000000003,15.98,55.2,Sweden,['Sweden'],unknown,182,0,False,9.33,7.45,68.93,3.18,43.18,0.22,0.27,0.65,3.98,4.97,1.16,0,0.0,0,0.0,1.3,0.07,1,0.07,0.1,0,0.0,11,0.8,36.36,9.091,0.07,1.37,26.32,0.0,0.0,1.37,26.32,0.0,0.8,72.73,4.27,44.07,0.87,2.8200000000000003,0.22,29.71,0.22,0.87,41.28,76.88,18.8,65.38,3.61,94.0,32.17,86.97,7.88,44.04,21.77,39.29,0.03,0.29,0.07,0.07,0.07,100.0,0.22,7.88,59.63,2.31,37.5,0.58,62.5,0.72,0.29,9.69,68.66,86.08,14.02,0,,0,,0,0.0,0.0,0.0,,,1.81,,3.18,0.07,0.0,0.0,0.0,0,0
Will Pierce,William  Pierce,-382915,Fairfield Stags,Fairfield Stags,https://cdn5.wyscout.com/photos/team/public/g-2996_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"LCMF, RCMF, RCMF3",LCMF,31,RCMF,22,RCMF3,14,,,0,,12,1191,2,3.69,3,2.92,18.06,48.12,New Zealand,['New Zealand'],unknown,0,0,False,6.8,4.99,63.64,3.1,48.78,0.38,0.51,0.15,3.25,4.37,0.98,2,0.15,0,0.0,2.34,0.15,2,0.15,0.28,0,0.0,24,1.81,29.17,8.333,0.23,1.13,60.0,0.38,80.0,0.76,50.0,0.08,2.5700000000000003,44.12,7.63,42.57,1.3599999999999999,1.5899999999999999,0.0,20.78,0.68,1.3599999999999999,38.09,73.41,12.92,63.74,5.14,88.24,31.06,81.27,5.97,34.18,18.42,35.24,0.22,1.44,0.08,0.0,0.15,0.0,0.23,7.93,54.29,1.74,69.57,0.68,11.11,0.68,0.68,6.88,65.93,74.74,14.36,0,,0,,0,0.0,0.0,0.0,,,0.15,,3.1,0.76,0.08,0.0,2.04,2,0
G. Wyles,Grant  Wyles,-739777,Niagara Purple Eagles,Niagara Purple Eagles,https://cdn5.wyscout.com/photos/team/public/g27698_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,GK,GK,100,,0,,0,,,0,,11,1174,0,0.0,0,0.0,1.38,61.11,Canada,['Canada'],unknown,185,0,False,2.45,0.38,60.0,0.6900000000000001,66.67,0.0,0.0,0.0,2.22,2.76,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,9.05,0.08,0.08,19.24,81.27,10.81,69.5,0.0,0.0,12.04,96.82,7.21,55.32,30.94,45.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,33.33,0.23,33.33,0.08,0.0,0.08,0.0,5.06,69.7,97.85,7.13,17,1.3,69,5.29,3,75.36,18.26,1.4,1.26,0.097,0.0,1.8399999999999999,0.6900000000000001,,,,0.0,0,0
M. Nana-Sinkam,Marques Nana-Sinkam,-738852,Fairfield Stags,Fairfield Stags,https://cdn5.wyscout.com/photos/team/public/g-2996_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,"CB, LCMF, LCB",CB,26,LCMF,21,LCB,18,,,0,,11,1173,0,0.07,0,0.02,14.12,54.89,United States,['United States'],unknown,185,0,False,8.06,5.75,65.33,4.45,51.72,0.15,0.21,0.23,4.14,5.7,1.15,2,0.15,0,0.0,0.23,0.0,0,0.0,0.01,0,0.0,5,0.38,20.0,0.0,0.0,0.23,0.0,0.08,0.0,0.15,0.0,0.0,0.38,40.0,2.07,37.04,0.15,0.0,0.0,22.94,0.38,0.61,36.6,84.91,14.19,70.27,2.69,97.14,31.0,91.58,5.37,50.0,21.11,35.67,0.0,0.15,0.0,0.08,0.0,0.0,0.0,5.75,64.0,1.23,37.5,0.38,20.0,0.31,0.0,6.45,76.19,95.17,15.88,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,4.45,0.0,0.0,0.0,0.0,0,0
L. Marinelli,Luca  Marinelli,-276330,SHU Pioneers,SHU Pioneers,https://cdn5.wyscout.com/photos/team/public/g-3024_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,GK,GK,100,,0,,0,,,0,,11,1160,0,0.0,0,0.0,2.02,96.15,Italy,['Italy'],unknown,180,75,False,1.16,0.08,0.0,1.63,100.0,0.0,0.0,0.0,1.16,1.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,11.95,0.08,0.39,22.58,84.54,12.8,74.55,0.0,0.0,11.87,98.04,10.71,69.57,31.19,44.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,55.0,0.16,50.0,0.0,0.0,0.08,0.0,7.76,74.0,97.5,9.31,10,0.78,44,3.41,4,77.27,11.37,0.88,1.37,0.106,0.0,2.87,1.63,,,,0.0,0,0
