Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Héctor Gil,Héctor Gil Jareño,-257922,UIC Flames,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-2766_120x120.png,NCAA D1 Missouri Valley,LCB,LCB,100,,0,,0,20.0,2005-03-13,0,,9,926,1,0.15,0,0.0,7.19,55.41,Spain,['Spain'],unknown,0,0,False,4.86,3.6,59.46,2.33,50.0,0.0,0.0,0.29,2.7199999999999998,4.2,0.58,0,0.0,0,0.0,0.1,0.1,1,0.1,0.01,1,0.1,1,0.1,100.0,100.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.49,1.3599999999999999,0.0,35.28,0.29,0.19,52.48,86.11,22.16,75.44,4.08,97.62,44.9,92.21,7.39,51.32,22.4,39.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,73.53,0.49,0.0,0.29,0.0,0.0,0.0,10.69,65.45,95.0,23.33,0,,0,,0,0.0,0.0,0.0,,,3.4,,2.33,0.0,0.0,0.0,0.0,0,0
A. Alonso,Alan Alonso,-600124,UIC Flames,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-2766_120x120.png,NCAA D1 Missouri Valley,"DMF, LDMF, RCB",DMF,52,LDMF,32,RCB,11,,,0,,9,922,0,0.11,0,0.0,17.38,51.69,United States,['United States'],unknown,175,64,False,11.23,6.54,65.67,4.49,43.48,0.39,0.6000000000000001,0.49,6.54,10.05,1.07,1,0.1,0,0.0,0.29,0.0,0,0.0,0.01,0,0.0,3,0.29,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.1,100.0,0.1,0.49,40.0,4.39,44.44,0.1,0.1,0.2,29.38,0.2,0.98,48.12,85.4,17.38,75.84,6.44,93.94,42.95,89.55,5.08,50.0,18.18,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.42,78.95,0.39,100.0,0.2,50.0,0.2,0.1,7.8100000000000005,58.75,89.89,18.35,0,,0,,0,0.0,0.0,0.0,,,1.17,,4.49,0.0,0.0,0.0,0.0,0,0
C. Shannon,Christian Shannon,-476054,Western Michigan Broncos,Western Michigan Broncos,https://cdn5.wyscout.com/photos/team/public/g-2855_120x120.png,NCAA D1 Missouri Valley,"CB, RCB",CB,53,RCB,44,,0,,,0,,9,905,0,0.71,1,0.47000000000000003,12.23,54.47,United States,['United States'],unknown,183,82,False,5.47,4.08,63.41,5.37,50.0,0.1,0.13,0.9,2.7800000000000002,3.56,0.7000000000000001,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.07,0,0.0,6,0.6000000000000001,33.33,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,1.29,61.54,0.99,0.0,0.0,7.5600000000000005,0.0,0.9,17.9,66.67,10.24,50.49,0.9,55.56,11.34,83.33,6.5600000000000005,37.88,26.92,40.06,0.05,0.2,0.0,0.0,0.0,0.0,0.2,3.98,42.5,0.4,25.0,0.2,0.0,0.30000000000000004,0.0,4.77,58.33,96.61,5.87,0,,0,,0,0.0,0.0,0.0,,,0.2,,5.37,0.0,0.0,0.0,0.0,0,0
E. Nys,Edouard Nys,-739272,UIC Flames,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-2766_120x120.png,NCAA D1 Missouri Valley,"LAMF, LWF, CF",LAMF,22,LWF,22,CF,18,,,0,,9,905,6,5.25,0,1.92,20.78,52.63,Belgium,['Belgium'],unknown,173,0,False,3.58,2.29,82.61,0.6000000000000001,83.33,0.0,0.0,0.0,1.69,2.63,0.1,0,0.0,0,0.0,6.86,0.6000000000000001,6,0.6000000000000001,0.52,0,0.0,41,4.08,48.78,14.634,0.0,3.58,25.0,1.79,27.78,1.69,23.53,0.5,7.26,53.42,16.01,48.45,3.58,3.98,0.1,41.47,2.59,2.98,49.03,72.41,18.3,67.93,4.77,89.58,40.28,79.51,5.17,50.0,19.18,37.12,0.19,1.8900000000000001,0.0,0.0,0.30000000000000004,33.33,0.6000000000000001,8.65,65.52,5.97,55.0,0.8,37.5,2.39,0.9,10.74,83.33,77.53,17.7,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.6000000000000001,1.5899999999999999,0.4,50.0,2.19,1,0
M. Beuvain,Mathieu  Beuvain,-506621,Western Michigan Broncos,Western Michigan Broncos,https://cdn5.wyscout.com/photos/team/public/g-2855_120x120.png,NCAA D1 Missouri Valley,"LCB3, LCB",LCB3,53,LCB,46,,0,,,0,,9,904,1,0.32,1,0.18,12.25,66.67,France,['France'],unknown,182,0,False,9.76,6.47,78.46,3.68,59.46,0.30000000000000004,0.38,0.7000000000000001,4.38,5.52,0.4,0,0.0,0,0.0,0.30000000000000004,0.1,1,0.1,0.03,0,0.0,4,0.4,25.0,25.0,0.1,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.5,40.0,0.9,22.22,0.30000000000000004,0.6000000000000001,0.0,10.55,0.1,0.4,23.3,70.51,15.23,63.4,0.5,100.0,13.44,85.93,9.56,51.04,27.25,38.0,0.02,0.1,0.0,0.0,0.0,0.0,0.1,6.97,58.57,0.8,12.5,0.30000000000000004,33.33,0.0,0.0,8.96,76.67,83.61,6.07,0,,0,,0,0.0,0.0,0.0,,,0.1,,3.68,0.0,0.0,0.0,0.0,0,0
A. Lindewirth,Alex Lindewirth,-360858,Western Michigan Broncos,Western Michigan Broncos,https://cdn5.wyscout.com/photos/team/public/g-2855_120x120.png,NCAA D1 Missouri Valley,GK,GK,100,,0,,0,,,0,,9,901,0,0.0,0,0.0,1.4,92.86,United States,['United States'],unknown,190,82,False,1.4,0.1,0.0,0.9,100.0,0.0,0.0,0.0,1.4,1.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,7.29,71.23,5.59,64.29,0.0,0.0,2.6,88.46,4.69,61.7,45.73,53.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,76.19,0.2,0.0,0.0,0.0,0.0,0.0,3.8,81.58,93.33,1.5,8,0.8,37,3.7,2,78.38,10.41,1.04,2.41,0.241,0.0,2.5,0.9,,,,0.0,0,0
B. Arpachinda,Braxton Arpachinda,-476028,Western Michigan Broncos,Western Michigan Broncos,https://cdn5.wyscout.com/photos/team/public/g-2855_120x120.png,NCAA D1 Missouri Valley,"LCMF, RDMF, DMF",LCMF,40,RDMF,20,DMF,18,,,0,,9,894,2,1.06,1,1.2,11.28,55.36,United States,['United States'],unknown,168,68,False,6.64,4.33,67.44,2.62,61.54,0.2,0.26,0.2,3.52,4.55,0.6000000000000001,2,0.2,1,0.1,2.01,0.2,2,0.2,0.11,0,0.0,11,1.11,63.64,18.182,0.1,1.9100000000000001,31.58,1.4100000000000001,35.71,0.5,20.0,0.30000000000000004,1.31,53.85,3.52,45.71,0.6000000000000001,1.11,0.1,17.11,0.4,0.7000000000000001,31.81,75.63,14.6,71.72,2.62,84.62,24.16,85.42,5.74,49.12,22.44,35.44,0.12,1.11,0.0,0.0,0.0,0.0,0.30000000000000004,7.45,59.46,2.01,45.0,0.7000000000000001,28.57,0.30000000000000004,0.7000000000000001,8.15,79.01,82.86,10.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.62,2.42,0.6000000000000001,83.33,3.32,0,0
D. Turcios,Darrell Turcios,-476345,UIC Flames,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-2766_120x120.png,NCAA D1 Missouri Valley,"AMF, CF, LCMF",AMF,40,CF,16,LCMF,14,,,0,,9,870,0,0.86,0,0.68,14.59,39.01,United States,['United States'],unknown,175,74,False,5.28,3.21,61.29,3.83,40.54,1.24,1.8599999999999999,0.1,2.07,3.09,1.55,4,0.41000000000000003,0,0.0,0.62,0.0,0,0.0,0.09,0,0.0,7,0.72,28.57,0.0,0.0,0.62,33.33,0.41000000000000003,25.0,0.21,50.0,0.0,0.72,28.57,4.66,26.67,2.07,0.62,0.0,21.0,0.8300000000000001,0.72,30.83,81.88,9.0,68.97,5.48,96.23,28.45,85.82,1.8599999999999999,33.33,15.04,17.51,0.07,0.8300000000000001,0.0,0.0,0.0,0.0,0.21,3.31,68.75,0.93,55.56,0.21,50.0,0.72,0.21,3.7199999999999998,63.89,82.76,9.0,0,,0,,0,0.0,0.0,0.0,,,0.21,,3.83,0.0,0.0,0.0,0.0,0,0
S. Cole,Schrage  Cole,-491188,Drake Bulldogs,Drake Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2895_120x120.png,NCAA D1 Missouri Valley,"LB, LB5",LB,52,LB5,40,,0,21.0,2004-05-01,0,,8,839,0,0.22,1,1.21,19.42,53.59,United States,['United States'],,184,0,False,10.08,8.15,69.74,2.68,44.0,0.21,0.27,0.21,4.18,5.27,1.29,0,0.0,0,0.0,2.9,0.0,0,0.0,0.02,0,0.0,10,1.07,40.0,0.0,0.11,4.51,30.95,4.29,30.0,0.21,50.0,0.54,2.15,50.0,5.69,37.74,1.3900000000000001,3.33,0.21,21.78,1.82,1.18,33.9,63.92,13.52,55.56,6.97,92.31,24.99,74.25,4.72,38.64,21.15,39.13,0.13,1.18,0.0,0.0,0.0,0.0,0.75,5.47,52.94,3.22,33.33,0.43,0.0,0.32,1.3900000000000001,8.37,69.23,63.29,8.47,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.68,0.0,0.0,0.0,0.0,0,0
S. DeLong,Sam DeLong,-408068,Drake Bulldogs,Drake Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2895_120x120.png,NCAA D1 Missouri Valley,"RCB, CB, RCB3",RCB,52,CB,29,RCB3,18,20.0,2005-07-13,0,,8,839,0,0.62,0,0.17,10.51,65.31,United States,['United States'],unknown,0,0,False,5.15,3.54,63.64,4.72,65.91,0.11,0.14,0.64,2.79,3.51,0.21,0,0.0,0,0.0,0.64,0.0,0,0.0,0.07,0,0.0,7,0.75,14.29,0.0,0.0,0.97,11.11,0.21,0.0,0.75,14.29,0.21,0.43,100.0,0.86,50.0,0.97,0.97,0.0,23.6,0.32,0.54,41.84,74.36,18.45,58.72,3.54,93.94,31.32,84.93,9.55,46.07,23.23,38.12,0.02,0.11,0.0,0.0,0.0,0.0,0.11,6.54,59.02,1.5,35.71,0.43,50.0,0.54,0.11,10.51,60.2,89.54,16.41,0,,0,,0,0.0,0.0,0.0,,,2.68,,4.72,0.32,0.0,0.0,0.0,0,0
T. Butkovic,Tomas Butkovic,-305301,Drake Bulldogs,Drake Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2895_120x120.png,NCAA D1 Missouri Valley,GK,GK,100,,0,,0,21.0,2003-12-03,0,,8,839,0,0.0,0,0.0,0.75,85.71,Australia,['Australia'],unknown,0,0,False,1.9300000000000002,0.0,0.0,0.54,100.0,0.0,0.0,0.0,1.9300000000000002,2.43,0.0,1,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,50.0,0.0,0.0,0.11,11.59,0.21,0.21,20.06,78.61,13.41,69.6,0.0,0.0,7.51,98.57,12.55,66.67,41.01,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,69.23,0.54,20.0,0.11,0.0,0.0,0.0,8.69,85.19,98.31,6.33,6,0.64,22,2.36,4,72.73,5.23,0.56,-0.77,-0.083,0.0,1.72,0.54,,,,0.0,0,0
E. Furre Gjerde,Eskil Furre Gjerde,-264469,Drake Bulldogs,Drake Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2895_120x120.png,NCAA D1 Missouri Valley,"LCMF, LDMF, RCMF",LCMF,51,LDMF,16,RCMF,14,22.0,2003-05-25,0,,8,839,0,0.35000000000000003,0,0.06,22.85,60.09,Norway,['Norway'],,0,0,False,11.37,6.87,76.56,6.54,59.02,0.43,0.54,0.11,5.69,7.16,1.6099999999999999,3,0.32,0,0.0,0.54,0.0,0,0.0,0.04,0,0.0,5,0.54,20.0,0.0,0.0,0.32,66.67,0.21,50.0,0.11,100.0,0.0,0.64,33.33,6.87,50.0,0.64,0.97,0.0,24.14,0.43,1.07,43.34,77.72,12.34,60.87,7.51,90.0,39.37,80.93,3.65,44.12,18.52,34.72,0.01,0.32,0.0,0.0,0.0,0.0,0.0,7.19,64.18,1.07,50.0,0.32,33.33,0.32,0.21,6.01,62.5,86.42,17.38,0,,0,,0,0.0,0.0,0.0,,,0.43,,6.54,0.11,0.0,0.0,0.0,0,0
A. Biaggi,Adrian Biaggi,-463801,UIC Flames,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-2766_120x120.png,NCAA D1 Missouri Valley,"CF, RCMF, RCMF3",CF,37,RCMF,21,RCMF3,13,20.0,2005-04-13,0,,9,831,1,1.45,0,0.41000000000000003,28.38,40.46,Puerto Rico,['Puerto Rico'],unknown,182,74,False,7.15,5.96,61.82,9.1,36.9,0.22,0.32,0.0,3.25,4.79,1.9500000000000002,2,0.22,0,0.0,1.52,0.11,1,0.11,0.16,0,0.0,9,0.97,66.67,11.111,0.0,0.43,75.0,0.22,100.0,0.22,50.0,0.0,1.08,40.0,9.1,27.38,2.27,0.54,0.0,27.94,2.17,1.08,43.1,83.42,9.31,69.77,10.4,91.67,41.26,84.78,1.4100000000000001,46.15,14.63,26.6,0.04,0.87,0.0,0.0,0.11,100.0,0.22,2.6,79.17,0.97,77.78,0.11,100.0,1.19,0.32,4.44,65.85,89.74,12.67,0,,0,,0,0.0,0.0,0.0,,,0.43,,9.1,0.0,0.0,0.0,0.0,0,0
