Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. O'Keefe,Connor O'Keefe,-739321,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,RCB,RCB,100,,0,,0,,,0,,10,1049,0,0.4,0,0.0,14.41,66.07,United States,['United States'],unknown,191,90,False,9.27,4.29,74.0,6.95,71.6,0.34,0.46,0.9400000000000001,5.75,7.67,0.6900000000000001,0,0.0,0,0.0,0.26,0.0,0,0.0,0.03,0,0.0,4,0.34,50.0,0.0,0.0,0.34,25.0,0.09,100.0,0.26,0.0,0.0,0.0,0.0,1.97,34.78,0.43,1.2,0.0,32.6,0.34,0.6000000000000001,46.67,80.51,21.11,68.29,1.2,85.71,35.69,89.66,10.64,51.61,25.01,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,58.89,0.77,11.11,0.09,0.0,0.0,0.09,11.58,65.19,92.86,21.62,0,,0,,0,0.0,0.0,0.0,,,0.51,,6.95,0.0,0.0,0.0,0.0,0,0
D. Garciarena,Diego Garciarena,-598875,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,GK,GK,100,,0,,0,,,0,,10,1049,0,0.0,0,0.0,0.77,100.0,United States,['United States'],unknown,185,84,False,2.32,0.0,0.0,0.51,100.0,0.0,0.0,0.0,2.32,3.09,0.09,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,6.26,0.09,0.17,14.93,74.14,8.41,58.16,0.0,0.0,7.72,96.67,7.21,50.0,35.26,50.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,18.52,0.26,0.0,0.0,0.0,0.0,0.0,4.2,59.18,93.75,5.49,8,0.6900000000000001,45,3.86,5,82.22,10.2,0.88,2.2,0.189,0.0,1.8900000000000001,0.51,,,,0.0,0,0
M. Wernicke,Mika Wernicke,-521202,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,LCB,LCB,100,,0,,0,,,0,,10,1049,1,0.97,0,0.03,12.44,68.97,Germany,['Germany'],unknown,188,82,False,10.3,5.41,80.95,3.17,83.78,0.51,0.6900000000000001,0.86,5.41,7.21,0.43,0,0.0,0,0.0,0.34,0.09,1,0.09,0.08,0,0.0,6,0.51,50.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,1.8900000000000001,36.36,0.6900000000000001,1.03,0.0,29.51,0.17,0.51,45.04,84.57,13.64,66.04,2.23,92.31,38.87,90.29,6.18,48.61,24.43,36.68,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.09,55.56,0.09,0.0,0.0,0.0,0.09,0.0,8.15,48.42,95.6,27.28,0,,0,,0,0.0,0.0,0.0,,,1.2,,3.17,0.09,0.09,100.0,0.0,0,0
W. Dupell,Wyatt  Dupell,-476421,Le Moyne Dolphins,Le Moyne Dolphins,https://cdn5.wyscout.com/photos/team/public/g-16525_120x120.png,NCAA D1 Northeast,GK,GK,100,,0,,0,,,0,,10,1045,0,0.0,0,0.0,0.78,77.78,United States,['United States'],unknown,187,86,False,1.6400000000000001,0.09,0.0,0.43,100.0,0.0,0.0,0.0,1.6400000000000001,2.11,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.26,66.67,0.0,0.0,0.09,11.2,0.34,0.09,19.03,80.09,9.9,66.09,0.0,0.0,11.11,98.45,7.84,54.95,30.62,43.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,42.86,0.0,0.0,0.0,0.0,0.0,0.0,5.6,70.77,97.85,8.01,13,1.12,47,4.05,5,72.34,14.4,1.24,1.4,0.121,0.0,1.21,0.43,,,,0.0,0,0
R. Kopay,Ryan  Kopay,-488140,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7512_120x120.png,NCAA D1 Northeast,LB,LB,89,,0,,0,,,0,,11,1044,0,0.84,3,1.04,16.12,51.87,United States,['United States'],unknown,170,64,False,8.02,5.78,73.13,3.1,38.89,0.34,0.6000000000000001,0.0,3.45,6.0,0.86,1,0.09,0,0.0,1.38,0.0,0,0.0,0.07,0,0.0,4,0.34,50.0,0.0,0.26,1.12,53.85,1.12,53.85,0.0,0.0,0.0,1.47,41.18,5.26,36.07,1.47,2.59,0.17,41.81,1.55,0.6900000000000001,56.03,89.38,18.45,82.71,14.31,97.59,52.67,91.82,2.33,51.85,16.16,31.3,0.09,0.6000000000000001,0.09,0.0,0.0,0.0,0.34,7.07,80.49,1.12,69.23,0.09,0.0,0.6000000000000001,0.52,8.36,81.44,93.83,13.97,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,3.1,0.0,0.0,0.0,0.0,0,0
A. Isreal,Andre Isreal,-365662,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,RB,RB,97,,0,,0,,,0,,10,1032,0,0.02,2,0.91,14.39,57.58,United States,['United States'],unknown,173,75,False,9.16,7.67,72.73,1.31,40.0,0.09,0.12,0.17,3.49,4.63,0.35000000000000003,1,0.09,0,0.0,1.57,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.17,1.74,35.0,0.0,0.0,1.74,35.0,0.26,1.4,68.75,3.92,40.0,0.09,1.57,0.26,20.32,1.13,0.44,31.74,75.55,14.65,66.07,6.37,94.52,26.77,81.76,3.23,45.95,17.76,34.01,0.08,0.44,0.0,0.09,0.0,0.0,0.17,4.8,61.82,2.35,48.15,0.0,0.0,0.44,0.78,7.76,65.17,78.95,6.63,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.31,0.0,0.0,0.0,0.0,0,0
C. Reilly,Connor Reilly,-591738,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7512_120x120.png,NCAA D1 Northeast,"LCMF, RCMF",LCMF,42,RCMF,21,,0,17.0,2008-09-16,0,,11,1028,3,2.12,0,0.32,16.02,60.11,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,8.84,6.39,72.6,2.89,66.67,0.26,0.45,0.18,3.94,6.75,1.23,3,0.26,0,0.0,1.31,0.26,3,0.26,0.19,2,0.18,10,0.88,40.0,30.0,0.0,0.96,45.45,0.53,50.0,0.35000000000000003,25.0,0.18,0.61,85.71,4.29,53.06,1.05,0.44,0.0,35.46,0.35000000000000003,1.49,52.7,83.55,18.12,69.08,7.09,97.53,42.81,89.78,8.93,57.84,19.92,35.02,0.03,0.35000000000000003,0.0,0.09,0.09,0.0,0.09,11.64,72.93,2.2800000000000002,57.69,0.61,28.57,0.88,0.44,9.28,83.02,90.48,20.22,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.89,0.35000000000000003,0.0,0.0,0.0,0,0
H. Skurek,Harvey Skurek,-197621,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,LB,LB,100,,0,,0,21.0,2004-05-09,0,,10,982,0,0.08,0,0.56,14.21,60.0,England,['England'],,175,68,False,9.26,6.97,77.63,1.74,10.53,0.37,0.49,0.09,3.48,4.67,0.73,1,0.09,0,0.0,0.46,0.0,0,0.0,0.01,0,0.0,2,0.18,0.0,0.0,0.0,1.1,16.67,1.1,16.67,0.0,0.0,0.0,0.46,60.0,3.94,53.49,0.09,1.28,0.09,26.21,1.65,1.47,37.03,75.25,16.96,59.46,6.05,100.0,28.14,86.64,7.79,42.35,21.41,37.05,0.05,0.73,0.0,0.0,0.0,0.0,0.09,7.24,58.23,1.37,26.67,0.27,0.0,0.18,0.18,9.16,61.0,87.0,9.16,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.74,0.46,0.09,0.0,1.65,0,0
D. Naumoski,Damian Naumoski,-276380,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7512_120x120.png,NCAA D1 Northeast,"RCB, LCB",RCB,76,LCB,14,,0,,,0,,11,975,0,0.33,0,0.1,9.05,70.41,United States,['United States'],unknown,183,77,False,7.2,3.9699999999999998,79.07,3.14,70.59,0.37,0.63,0.28,3.69,6.28,0.65,1,0.09,0,0.0,0.18,0.0,0,0.0,0.03,0,0.0,1,0.09,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.18,50.0,0.92,50.0,0.18,1.38,0.0,44.68,0.8300000000000001,0.28,59.17,90.95,21.88,80.59,4.52,100.0,54.46,94.58,4.62,48.0,19.39,32.61,0.01,0.18,0.0,0.0,0.0,0.0,0.0,5.17,73.21,0.18,0.0,0.28,33.33,0.18,0.0,7.2,70.51,97.68,27.88,0,,0,,0,0.0,0.0,0.0,,,2.95,,3.14,0.0,0.0,0.0,0.0,0,0
J. Wolf,Jonah Elijah Wolf,-134794,SFU Red Flash,SFU Red Flash,https://cdn5.wyscout.com/photos/team/public/g-2763_120x120.png,NCAA D1 Northeast,"RDMF, RCMF, LDMF",RDMF,34,RCMF,26,LDMF,21,21.0,2003-12-18,0,,10,962,2,2.8,2,0.54,29.75,50.63,Germany,['Germany'],,186,79,False,10.1,9.36,66.0,6.36,50.0,0.09,0.12,0.09,3.84,4.94,1.78,1,0.09,0,0.0,2.34,0.19,2,0.19,0.26,0,0.0,17,1.5899999999999999,47.06,11.765,0.19,0.47000000000000003,60.0,0.28,66.67,0.09,100.0,0.09,2.81,46.67,11.04,37.29,1.5,1.6800000000000002,0.47000000000000003,15.16,0.37,1.5899999999999999,26.76,81.47,9.26,68.69,4.68,94.0,24.04,85.99,2.34,40.0,17.48,34.55,0.05,0.65,0.0,0.0,0.19,0.0,0.19,4.77,58.82,1.12,75.0,0.37,25.0,0.56,0.19,3.56,78.95,88.61,7.39,0,,0,,0,0.0,0.0,0.0,,,0.09,,6.36,0.0,0.0,0.0,0.0,0,0
