Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Aitken,Alex  Aitken,-367170,HCU Huskies,HCU Huskies,https://cdn5.wyscout.com/photos/team/public/g-3013_120x120.png,NCAA D1 Ohio Valley,GK,GK,100,,0,,0,21.0,2004-01-14,0,,12,1236,0,0.0,0,0.0,0.8,100.0,England,['England'],unknown,183,82,False,1.24,0.0,0.0,0.58,100.0,0.0,0.0,0.0,1.24,1.67,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.22,100.0,0.0,0.07,0.0,22.14,0.15,0.15,37.5,85.24,18.57,72.55,0.0,0.0,22.35,98.37,15.15,65.87,31.1,45.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,52.78,0.0,0.0,0.22,66.67,0.0,0.0,10.78,71.62,97.57,17.99,10,0.73,51,3.71,6,80.39,9.33,0.68,-0.67,-0.049,0.0,1.46,0.58,,,,0.0,0,0
M. Lennon,Mikey Lennon,-601089,Lindenwood Lions,Lindenwood Lions,https://cdn5.wyscout.com/photos/team/public/g-16419_120x120.png,NCAA D1 Ohio Valley,"LCB, CB",LCB,81,CB,18,,0,,,0,,12,1226,0,0.04,0,0.0,9.25,59.52,England,['England'],unknown,191,88,False,5.14,4.26,74.14,4.33,44.07,0.0,0.0,0.73,1.98,2.31,0.29,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.29,0.15,0.0,33.4,0.29,0.0,42.87,87.84,14.09,68.23,0.66,88.89,36.48,95.57,6.39,43.68,23.44,37.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,33.33,0.44,16.67,0.15,0.0,0.0,0.0,6.24,58.82,98.57,25.62,0,,0,,0,0.0,0.0,0.0,,,0.44,,4.33,0.07,0.0,0.0,0.0,0,0
N. Kröss,Nico Kröss,-202128,HCU Huskies,HCU Huskies,https://cdn5.wyscout.com/photos/team/public/g-3013_120x120.png,NCAA D1 Ohio Valley,"LCB, RCB",LCB,66,RCB,33,,0,21.0,2004-06-25,0,,12,1219,1,1.11,0,0.0,11.44,61.94,Germany,['Germany'],,187,86,False,8.64,4.58,69.35,5.46,60.81,0.15,0.2,1.18,5.32,7.13,0.59,2,0.15,0,0.0,0.15,0.07,1,0.07,0.08,1,0.07,3,0.22,66.67,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,33.33,0.30000000000000004,0.30000000000000004,0.0,43.41,0.44,0.44,57.66,89.76,21.04,78.95,4.21,98.25,52.72,93.42,4.95,50.75,20.94,38.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,64.15,0.44,33.33,0.30000000000000004,0.0,0.15,0.0,8.56,65.52,96.61,28.28,0,,0,,0,0.0,0.0,0.0,,,3.25,,5.46,0.0,0.0,0.0,0.0,0,0
T. Beck,Tyler Beck,-744818,Liberty Flames,Liberty Flames,https://cdn5.wyscout.com/photos/team/public/g-2775_120x120.png,NCAA D1 Ohio Valley,GK,GK,100,,0,,0,,,0,,12,1210,0,0.0,0,0.0,1.04,85.71,United States,['United States'],,195,88,False,1.9300000000000002,0.0,0.0,0.67,100.0,0.0,0.0,0.0,1.9300000000000002,2.46,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,10.34,0.07,0.22,18.15,87.7,8.63,75.86,0.0,0.0,14.36,95.34,3.79,58.82,25.99,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,58.7,98.25,8.48,11,0.8200000000000001,43,3.2,3,74.42,12.96,0.96,1.96,0.146,0.0,1.71,0.67,,,,0.0,0,0
S. Moler,Spencer Moler,-600485,Liberty Flames,Liberty Flames,https://cdn5.wyscout.com/photos/team/public/g-2775_120x120.png,NCAA D1 Ohio Valley,"LCMF, RCMF, LCB",LCMF,29,RCMF,28,LCB,16,,,0,,12,1210,1,2.7,0,0.53,17.26,53.88,United States,['United States'],unknown,0,0,False,10.19,7.74,63.46,4.31,43.1,0.0,0.0,0.22,5.28,6.72,0.8200000000000001,0,0.0,0,0.0,1.12,0.07,1,0.07,0.2,1,0.07,14,1.04,42.86,7.143,0.0,0.37,60.0,0.0,0.0,0.37,60.0,0.22,0.89,41.67,3.7199999999999998,46.0,1.12,1.12,0.0,29.38,0.07,0.8200000000000001,45.82,81.49,16.96,65.35,4.39,94.92,39.57,86.65,5.88,48.1,19.69,40.83,0.04,0.45,0.0,0.0,0.07,100.0,0.30000000000000004,7.29,57.14,1.26,41.18,0.37,0.0,0.67,0.22,7.51,71.29,92.31,18.37,0,,0,,0,0.0,0.0,0.0,,,0.67,,4.31,0.0,0.0,0.0,0.0,0,0
N. Scheidweiler,Noah Scheidweiler,-303691,SIUE Cougars,SIUE Cougars,https://cdn5.wyscout.com/photos/team/public/g-2979_120x120.png,NCAA D1 Ohio Valley,GK,GK,100,,0,,0,21.0,2004-08-29,0,,12,1209,0,0.0,0,0.0,0.45,83.33,Luxembourg,['Luxembourg'],,192,78,False,1.12,0.07,100.0,0.15,100.0,0.0,0.0,0.0,1.04,1.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,10.12,0.07,0.07,17.87,82.5,11.09,74.5,0.0,0.0,9.83,97.73,7.89,65.09,36.16,51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,55.56,0.15,0.0,0.15,0.0,0.0,0.0,6.4,81.4,97.7,6.48,12,0.89,53,3.95,5,77.36,11.9,0.89,-0.1,-0.007,0.0,0.52,0.15,,,,0.0,0,0
W. Gibson,Wes Gibson,-215142,SIUE Cougars,SIUE Cougars,https://cdn5.wyscout.com/photos/team/public/g-2979_120x120.png,NCAA D1 Ohio Valley,"RCB, RCB3",RCB,70,RCB3,26,,0,,,0,,12,1209,1,1.77,1,0.49,6.4,63.95,United States,['United States'],unknown,186,82,False,5.88,2.5300000000000002,67.65,2.38,62.5,0.07,0.09,0.8200000000000001,4.09,5.22,0.45,4,0.30000000000000004,0,0.0,0.45,0.07,1,0.07,0.13,0,0.0,3,0.22,66.67,33.333,0.07,0.37,60.0,0.0,0.0,0.37,60.0,0.07,0.07,100.0,0.45,83.33,0.22,0.67,0.0,36.18,0.67,0.52,48.68,86.85,20.1,73.7,2.68,97.22,41.91,92.18,6.4,53.49,21.5,38.99,0.04,0.30000000000000004,0.0,0.07,0.07,0.0,0.07,8.64,63.79,1.27,41.18,0.45,33.33,0.30000000000000004,0.22,11.32,80.92,95.9,21.81,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,2.38,0.0,0.0,0.0,0.0,1,0
C. McCarthy,Casey  McCarthy,-355394,Liberty Flames,Liberty Flames,https://cdn5.wyscout.com/photos/team/public/g-2775_120x120.png,NCAA D1 Ohio Valley,"RCB, LCB",RCB,82,LCB,11,,0,,,0,,12,1206,0,0.42,1,0.68,12.31,61.82,United States,['United States'],unknown,183,78,False,8.88,5.0,76.12,3.73,42.0,0.15,0.19,0.75,4.93,6.25,0.67,1,0.07,0,0.0,0.45,0.0,0,0.0,0.03,0,0.0,5,0.37,0.0,0.0,0.07,0.22,33.33,0.0,0.0,0.22,33.33,0.0,0.45,83.33,2.09,64.29,0.6000000000000001,1.49,0.0,39.48,0.37,1.19,60.45,85.56,31.72,76.47,3.96,96.23,48.66,92.79,11.57,56.13,23.62,42.86,0.05,0.30000000000000004,0.15,0.0,0.0,0.0,0.15,12.46,59.28,1.49,30.0,1.04,28.57,0.22,0.07,13.58,82.42,95.62,20.45,0,,0,,0,0.0,0.0,0.0,,,3.13,,3.73,0.0,0.0,0.0,0.0,0,0
B. Pauly,Bobby Pauly,-476492,SIUE Cougars,SIUE Cougars,https://cdn5.wyscout.com/photos/team/public/g-2979_120x120.png,NCAA D1 Ohio Valley,"RB, LCB3, LCB",RB,36,LCB3,24,LCB,22,,,0,,12,1191,0,0.01,0,0.63,10.5,55.4,United States,['United States'],unknown,183,74,False,5.59,4.01,58.49,2.7199999999999998,41.67,0.0,0.0,0.30000000000000004,3.25,4.1,0.38,1,0.08,0,0.0,1.13,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.91,33.33,0.38,20.0,0.53,42.86,0.0,1.21,68.75,2.87,65.79,0.23,1.6600000000000001,0.08,33.93,0.76,0.98,47.53,87.12,18.14,76.25,4.76,96.83,40.28,92.87,6.35,58.33,20.54,37.16,0.05,0.45,0.0,0.0,0.0,0.0,0.23,8.46,75.89,1.6600000000000001,31.82,0.38,20.0,0.30000000000000004,0.38,9.37,81.45,93.84,20.86,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0
P. Blay,Perry Blay,-342768,Liberty Flames,Liberty Flames,https://cdn5.wyscout.com/photos/team/public/g-2775_120x120.png,NCAA D1 Ohio Valley,"RB, LB",RB,47,LB,42,,0,21.0,2004-02-06,0,,12,1182,0,0.09,1,1.01,15.15,49.75,United States,['United States'],,0,0,False,8.22,6.02,68.35,1.22,31.25,0.08,0.1,0.0,4.04,5.1,0.84,2,0.15,0,0.0,1.52,0.0,0,0.0,0.01,0,0.0,2,0.15,0.0,0.0,0.08,2.21,31.03,0.6900000000000001,22.22,1.52,35.0,0.61,1.37,61.11,6.47,37.65,0.30000000000000004,1.6800000000000002,0.23,27.34,1.6800000000000002,1.29,40.51,76.5,15.38,63.37,7.92,95.19,34.34,84.48,4.11,33.33,17.83,35.15,0.08,0.76,0.08,0.08,0.23,0.0,0.38,6.09,66.25,2.89,23.68,0.46,0.0,0.23,0.61,8.68,64.04,76.12,10.2,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.22,0.0,0.0,0.0,0.0,0,0
