Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Wilson,Seth Wilson,513326,UNCG Spartans,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-2964_120x120.png,NCAA D1 Southern,GK,GK,100,,0,,0,23.0,2002-03-15,0,,7,751,0,0.0,0,0.0,0.0,0.0,United States,['United States'],,195,84,False,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,0.0,0.0,15.82,87.88,8.27,82.61,0.0,0.0,12.1,95.05,3.6,66.67,26.17,40.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,33.33,0.0,0.0,0.0,0.0,0.0,0.0,2.64,54.55,93.33,7.19,6,0.72,21,2.52,3,71.43,5.88,0.7000000000000001,-0.12,-0.014,0.0,1.2,0.0,,,,0.0,0,0
S. Lachekar,Sami Lachekar,-270922,UNCG Spartans,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-2964_120x120.png,NCAA D1 Southern,RCB,RCB,97,,0,,0,22.0,2003-01-10,0,,7,698,0,0.32,1,0.16,10.7,62.65,France,['France'],unknown,0,0,False,6.19,2.9699999999999998,73.91,3.22,56.0,0.13,0.24,0.39,3.87,7.2,1.29,1,0.13,0,0.0,0.77,0.0,0,0.0,0.04,0,0.0,2,0.26,0.0,0.0,0.13,0.13,100.0,0.0,0.0,0.13,100.0,0.0,0.77,83.33,3.22,68.0,0.64,3.61,0.0,59.18,0.52,0.39,77.75,91.87,31.46,85.66,1.55,91.67,72.34,96.26,5.29,31.71,21.03,41.0,0.02,0.13,0.0,0.26,0.0,0.0,0.13,14.57,74.34,0.9,42.86,0.13,0.0,0.52,0.13,15.47,89.17,96.38,39.2,0,,0,,0,0.0,0.0,0.0,,,0.52,,3.22,0.0,0.0,0.0,0.0,0,0
M. Sumaila,Mohammed Sumaila,-600849,UNCG Spartans,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-2964_120x120.png,NCAA D1 Southern,LCB,LCB,98,,0,,0,,,0,,7,678,0,0.06,0,0.02,7.57,64.91,United States,['United States'],unknown,185,68,False,4.78,3.32,72.0,1.99,60.0,0.0,0.0,0.27,2.39,4.43,0.66,1,0.13,0,0.0,0.27,0.0,0,0.0,0.01,0,0.0,2,0.27,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.46,54.55,0.4,1.19,0.0,66.5,0.13,0.53,77.26,93.99,26.95,87.19,3.58,100.0,73.94,96.77,3.32,32.0,19.83,32.22,0.0,0.13,0.0,0.0,0.0,0.0,0.13,6.11,73.91,0.4,33.33,0.13,0.0,0.27,0.0,8.1,83.61,97.76,41.42,0,,0,,0,0.0,0.0,0.0,,,2.52,,1.99,0.0,0.0,0.0,0.0,0,0
I. Haruna,Issah Haruna,-592666,UNCG Spartans,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-2964_120x120.png,NCAA D1 Southern,"AMF, LCMF",AMF,47,LCMF,14,,0,,,0,,7,663,0,1.13,1,1.08,15.07,38.74,Ghana,['Ghana'],unknown,0,0,False,3.94,3.39,52.0,2.31,17.65,0.0,0.0,0.0,2.17,4.07,0.9500000000000001,1,0.14,0,0.0,2.44,0.0,0,0.0,0.15,0,0.0,16,2.17,37.5,0.0,0.14,0.27,50.0,0.14,0.0,0.0,0.0,0.0,1.9,71.43,8.01,40.68,2.58,2.44,0.27,34.75,0.9500000000000001,1.09,46.83,86.96,13.44,74.75,8.96,96.97,45.07,88.25,1.49,54.55,15.62,20.56,0.15,1.22,0.14,0.0,0.27,50.0,0.41000000000000003,6.38,74.47,1.76,69.23,0.41000000000000003,33.33,2.04,0.14,6.52,75.0,90.35,15.48,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.31,0.0,0.0,0.0,0.0,0,0
K. Fritz,Kimito  Fritz,-497118,UNCG Spartans,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-2964_120x120.png,NCAA D1 Southern,RB,RB,93,,0,,0,,,0,,7,662,1,1.04,1,0.30000000000000004,13.73,65.35,Japan,['Japan'],unknown,180,75,False,6.93,3.81,85.71,4.08,66.67,0.41000000000000003,0.76,0.27,3.26,6.05,0.14,0,0.0,0,0.0,1.22,0.14,0,0.0,0.14,0,0.0,6,0.8200000000000001,66.67,16.667,0.14,1.5,18.18,0.0,0.0,1.5,18.18,0.0,0.68,60.0,4.21,45.16,0.54,1.22,0.14,32.76,0.8200000000000001,1.22,42.69,81.53,16.45,71.07,7.34,92.59,38.61,87.32,2.7199999999999998,30.0,18.78,35.15,0.04,0.54,0.0,0.0,0.0,0.0,0.27,9.79,75.0,2.04,20.0,0.41000000000000003,66.67,0.41000000000000003,0.41000000000000003,7.34,74.07,86.41,14.0,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,4.08,0.0,0.0,0.0,0.0,1,100
G. Betancourt,Gabriel Betancourt,-353070,ETSU Buccaneers,ETSU Buccaneers,https://cdn5.wyscout.com/photos/team/public/g-2774_120x120.png,NCAA D1 Southern,"AMF, LCMF, LCMF3",AMF,25,LCMF,24,LCMF3,13,,,0,,6,641,0,0.01,1,0.45,12.92,50.0,United States,['United States'],unknown,0,0,False,5.2,3.51,56.0,0.84,50.0,0.0,0.0,0.14,3.23,4.29,0.56,0,0.0,0,0.0,0.7000000000000001,0.0,0,0.0,0.0,0,0.0,1,0.14,0.0,0.0,0.14,1.12,12.5,0.7000000000000001,20.0,0.42,0.0,0.42,0.84,50.0,5.9,42.86,0.42,1.12,0.28,32.43,0.42,0.84,44.37,87.97,13.2,82.98,9.41,92.54,40.58,92.39,2.67,52.63,18.71,29.63,0.06,0.84,0.0,0.14,0.14,100.0,0.14,5.76,73.17,1.6800000000000002,50.0,0.28,50.0,0.7000000000000001,0.28,5.2,81.08,89.83,16.57,0,,0,,0,0.0,0.0,0.0,,,1.12,,0.84,0.0,0.0,0.0,0.0,0,0
N. Brocca,Nicola Brocca,-290617,ETSU Buccaneers,ETSU Buccaneers,https://cdn5.wyscout.com/photos/team/public/g-2774_120x120.png,NCAA D1 Southern,RCB,RCB,98,,0,,0,22.0,2003-02-04,0,,6,641,0,0.12,0,0.02,8.85,47.62,Italy,['Italy'],,0,0,False,7.3,3.79,62.96,3.09,40.91,0.42,0.56,0.98,4.49,5.96,0.56,2,0.28,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,2,0.28,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.56,50.0,0.28,1.4,0.0,48.86,0.84,0.42,61.22,85.78,25.98,75.68,2.67,89.47,51.53,92.37,9.55,51.47,22.62,37.43,0.0,0.14,0.0,0.0,0.0,0.0,0.0,9.55,66.18,0.56,0.0,0.7000000000000001,40.0,0.0,0.0,12.22,68.97,94.12,28.64,0,,0,,0,0.0,0.0,0.0,,,2.25,,3.09,0.0,0.0,0.0,0.14,0,0
E. Holmberg,Emil Holmberg,-739675,ETSU Buccaneers,ETSU Buccaneers,https://cdn5.wyscout.com/photos/team/public/g-2774_120x120.png,NCAA D1 Southern,GK,GK,100,,0,,0,,,0,,6,636,0,0.0,0,0.0,2.26,75.0,Sweden,['Sweden'],unknown,182,74,False,1.8399999999999999,0.14,100.0,1.42,80.0,0.0,0.0,0.0,1.7000000000000002,2.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.42,66.67,0.0,0.0,0.0,20.24,0.42,0.71,31.98,92.92,11.75,84.34,0.0,0.0,25.75,99.45,5.94,69.05,26.77,44.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,65.63,99.27,19.39,13,1.8399999999999999,46,6.51,0,71.74,14.48,2.05,1.48,0.209,0.0,2.55,1.42,,,,0.0,0,0
A. Celik,Adam Celik,-205561,Wofford Terriers,Wofford Terriers,https://cdn5.wyscout.com/photos/team/public/g-2770_120x120.png,NCAA D1 Southern,"LCB, RCB",LCB,67,RCB,27,,0,21.0,2004-01-01,0,,6,636,1,0.99,0,0.06,11.6,57.32,Sweden,['Sweden'],,0,0,False,7.22,4.67,69.7,3.8200000000000003,44.44,0.0,0.0,0.28,3.96,4.91,0.99,0,0.0,0,0.0,0.85,0.14,1,0.14,0.14,1,0.14,8,1.13,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,100.0,1.7000000000000002,66.67,1.42,1.8399999999999999,0.0,38.35,0.0,0.42,54.34,87.24,19.81,73.57,2.41,94.12,46.42,93.6,7.92,50.0,23.66,42.73,0.01,0.14,0.0,0.0,0.0,0.0,0.0,7.36,57.69,0.5700000000000001,25.0,0.28,0.0,0.14,0.0,9.34,74.24,96.06,28.73,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,3.8200000000000003,0.0,0.0,0.0,0.0,0,0
P. Hinterschuster,Pepe  Hinterschuster,-362661,Wofford Terriers,Wofford Terriers,https://cdn5.wyscout.com/photos/team/public/g-2770_120x120.png,NCAA D1 Southern,GK,GK,100,,0,,0,21.0,2004-09-21,0,,6,631,0,0.0,0,0.0,0.5700000000000001,75.0,Germany,['Germany'],unknown,190,84,False,1.1400000000000001,0.14,0.0,0.43,100.0,0.0,0.0,0.0,1.1400000000000001,1.4100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,0.14,0.0,17.4,75.41,10.84,63.16,0.14,0.0,8.13,96.49,9.13,57.81,36.97,51.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,50.0,0.29,0.0,0.14,0.0,0.0,0.0,6.42,73.33,100.0,5.5600000000000005,14,2.0,29,4.14,1,51.72,8.46,1.21,-5.54,-0.79,0.0,0.5700000000000001,0.43,,,,0.0,0,0
