Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Degorce,Gwendal Degorce,-205199,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,99,,0,,0,,,0,,12,1306,0,0.15,0,0.02,6.48,60.64,France,['France'],,0,0,False,4.96,2.41,68.57,3.03,61.36,0.0,0.0,0.48,3.31,4.34,0.34,1,0.07,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,0.76,36.36,0.07,1.17,0.14,46.52,0.14,0.28,61.61,90.72,25.7,82.57,4.07,100.0,56.23,94.73,5.38,48.72,20.79,34.8,0.0,0.07,0.14,0.07,0.0,0.0,0.0,6.27,73.63,0.34,20.0,0.14,50.0,0.07,0.0,11.92,78.03,97.56,28.19,0,,0,,0,0.0,0.0,0.0,,,3.51,,3.03,0.0,0.0,0.0,0.0,0,0
J. Munoz,Juanvi Munoz,-166373,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,12,1306,0,0.0,0,0.0,1.03,80.0,Spain,['Spain'],,0,0,False,0.55,0.07,0.0,0.76,90.91,0.0,0.0,0.0,0.55,0.72,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,16.13,0.14,0.14,23.91,85.88,11.09,70.81,0.0,0.0,17.99,96.55,5.93,53.49,27.88,51.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,36.84,0.21,0.0,0.41000000000000003,33.33,0.0,0.0,3.58,59.62,99.44,12.34,14,0.96,54,3.7199999999999998,3,74.07,13.6,0.9400000000000001,-0.4,-0.028,0.0,1.31,0.76,,,,0.0,0,0
J. Alves,Joao Alves,-739731,Marshall Thundering Herd,Marshall Thundering Herd,https://cdn5.wyscout.com/photos/team/public/g-2811_120x120.png,NCAA D1 Non-conference matches,"LCB, LCB3",LCB,82,LCB3,16,,0,,,0,,12,1291,1,1.19,1,1.1,10.81,54.19,United States,['United States'],unknown,0,0,False,6.07,5.16,60.81,2.51,47.22,0.07,0.12,0.14,2.86,4.73,1.19,4,0.28,0,0.0,0.56,0.07,0,0.0,0.08,0,0.0,6,0.42,16.67,16.667,0.07,0.14,50.0,0.07,0.0,0.07,100.0,0.0,0.7000000000000001,60.0,2.3,48.48,0.63,2.58,0.0,42.87,0.14,0.42,56.54,88.16,24.12,81.5,2.44,91.43,49.43,92.52,6.97,58.0,20.88,39.54,0.08,0.42,0.0,0.0,0.07,0.0,0.21,6.69,67.71,0.84,33.33,0.42,33.33,0.42,0.07,10.39,77.85,95.76,23.01,0,,0,,0,0.0,0.0,0.0,,,1.32,,2.51,0.42,0.0,0.0,0.0,1,100
M. Dejesus,Mateus  Dejesus,-739753,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,LB,LB,99,,0,,0,,,0,,12,1269,1,0.71,1,0.8,15.89,52.23,United States,['United States'],unknown,185,0,False,8.37,6.17,68.97,2.98,45.24,0.14,0.18,0.21,3.9699999999999998,5.15,0.28,0,0.0,0,0.0,0.85,0.07,1,0.07,0.05,1,0.07,5,0.35000000000000003,40.0,20.0,0.07,0.21,0.0,0.21,0.0,0.0,0.0,0.14,0.92,69.23,5.53,41.03,0.92,0.99,0.07,22.98,1.13,1.13,31.77,84.82,13.05,73.91,7.73,96.33,29.65,89.0,1.9100000000000001,29.63,15.82,29.97,0.06,0.28,0.0,0.0,0.07,100.0,0.28,4.18,74.58,0.78,54.55,0.0,0.0,0.64,0.0,5.11,62.5,91.11,6.38,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.98,0.0,0.0,0.0,0.0,0,0
C. Awoudor,Clarence Awoudor,-140915,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,"CF, AMF",CF,58,AMF,39,,0,22.0,2003-09-23,0,,12,1267,3,4.32,4,3.77,11.58,49.08,France,['France'],,0,0,False,3.05,2.27,62.5,0.99,50.0,0.21,0.27,0.0,1.42,1.82,0.78,2,0.14,0,0.0,3.62,0.21,3,0.21,0.31,0,0.0,40,2.84,42.5,7.5,0.28,1.92,29.63,1.35,31.58,0.5700000000000001,25.0,0.28,2.56,69.44,6.96,48.98,2.49,2.63,0.36,24.93,0.85,1.49,30.4,74.3,8.67,58.2,5.4,94.74,26.5,81.5,2.06,20.69,17.15,36.34,0.27,1.99,0.07,0.0,0.28,25.0,0.5700000000000001,5.68,52.5,3.05,44.19,0.5,28.57,0.99,0.5700000000000001,4.48,68.25,74.38,11.37,0,,0,,0,0.0,0.0,0.0,,,0.07,,0.99,1.28,0.36,20.0,3.84,0,0
M. Bonnaire,Marc Bonnaire,-215287,West Virginia Mountaineers,West Virginia Mountaineers,https://cdn5.wyscout.com/photos/team/public/g-2374_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,11,1256,0,0.0,0,0.0,0.5700000000000001,100.0,United States,['United States'],unknown,190,79,False,0.72,0.0,0.0,0.36,100.0,0.0,0.0,0.0,0.72,1.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,5.73,0.21,0.14,10.68,90.6,4.73,81.82,0.14,50.0,8.24,99.13,2.36,63.64,24.64,46.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,33.33,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,74.07,98.53,4.87,11,0.79,35,2.51,4,68.57,11.8,0.85,0.8,0.057,0.07,0.93,0.36,,,,0.0,0,0
Younes Boudinar,Younes Boudinar,-313247,UCF Knights,UCF Knights,https://cdn5.wyscout.com/photos/team/public/g-2356_120x120.png,NCAA D1 Non-conference matches,"LCMF, LDMF, DMF",LCMF,47,LDMF,33,DMF,17,21.0,2004-01-01,0,,12,1241,0,0.15,0,0.22,17.7,56.97,France,['France'],unknown,0,0,False,9.86,7.83,64.81,2.76,57.89,0.8,1.02,0.07,3.99,5.12,2.03,4,0.29,0,0.0,1.16,0.0,0,0.0,0.01,0,0.0,12,0.87,8.33,0.0,0.0,0.22,33.33,0.15,50.0,0.07,0.0,0.0,1.23,70.59,5.95,48.78,0.0,0.65,0.0,31.47,0.0,1.02,43.22,85.23,12.4,67.84,9.21,97.64,38.94,89.57,4.06,46.43,19.51,37.49,0.02,0.22,0.07,0.07,0.22,66.67,0.15,7.11,67.35,1.02,78.57,0.51,85.71,0.65,0.07,6.45,74.16,91.81,16.83,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,2.76,0.07,0.07,0.0,0.15,0,0
E. DeMarco,Edward DeMarco,-352246,Marshall Thundering Herd,Marshall Thundering Herd,https://cdn5.wyscout.com/photos/team/public/g-2811_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,21.0,2004-07-09,0,,11,1237,0,0.0,0,0.54,0.65,77.78,United States,['United States'],unknown,188,0,False,0.8,0.07,0.0,0.44,83.33,0.0,0.0,0.0,0.8,1.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,8.51,0.07,0.22,13.46,82.16,8.15,73.21,0.0,0.0,8.08,97.3,5.38,59.46,31.4,51.89,0.04,0.07,0.0,0.0,0.0,0.0,0.07,1.96,55.56,0.15,0.0,0.36,20.0,0.0,0.0,4.37,71.67,96.72,4.44,13,0.9500000000000001,39,2.84,4,66.67,10.07,0.73,-2.93,-0.213,0.0,0.8,0.44,,,,0.0,0,0
N. Pakhomov,Nikita Pakhomov,-739706,Marshall Thundering Herd,Marshall Thundering Herd,https://cdn5.wyscout.com/photos/team/public/g-2811_120x120.png,NCAA D1 Non-conference matches,"LDMF, LCMF, RCMF",LDMF,24,LCMF,23,RCMF,17,,,0,,12,1233,0,0.89,0,0.07,11.82,56.79,Russia,['Russia'],unknown,193,0,False,6.72,4.67,65.63,2.34,40.63,0.44,0.68,0.29,3.21,4.98,1.46,1,0.07,0,0.0,1.02,0.0,0,0.0,0.06,0,0.0,10,0.73,40.0,0.0,0.0,0.51,28.57,0.36,40.0,0.15,0.0,0.0,0.58,100.0,3.65,58.0,1.02,0.73,0.0,25.55,0.07,0.73,35.69,84.46,10.73,71.43,6.57,98.89,32.77,86.64,2.41,66.67,18.93,35.57,0.0,0.15,0.07,0.07,0.07,0.0,0.0,3.94,74.07,1.17,75.0,0.07,0.0,0.58,0.15,5.62,67.53,88.07,12.85,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.34,0.0,0.0,0.0,0.0,0,0
S. Conlon,Sebastian Conlon,-127567,Kentucky Wildcats,Kentucky Wildcats,https://cdn5.wyscout.com/photos/team/public/g-2310_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,22.0,2003-06-02,0,,11,1217,0,0.0,0,0.0,0.96,84.62,United States,['United States'],,189,81,False,2.29,0.07,100.0,0.52,100.0,0.0,0.0,0.0,2.22,3.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,11.54,0.07,0.22,20.04,91.51,10.35,83.57,0.0,0.0,14.27,99.48,5.77,71.79,28.75,48.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,47.37,0.0,0.0,0.0,0.0,0.0,0.0,4.07,80.0,100.0,8.8,10,0.74,43,3.18,5,76.74,11.01,0.81,1.01,0.075,0.0,1.4100000000000001,0.52,,,,0.0,0,0
