Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carter,Keshon  Carter,-613836,Southern Nazarene Crimson Storm,Southern Nazarene Crimson Storm,https://cdn5.wyscout.com/photos/team/public/g-18326_120x120.png,NCAA D2 Great American Conference,"CB, RCB",CB,79,RCB,20,,0,,,0,,10,1028,0,0.53,0,0.0,8.93,61.76,Trinidad and Tobago,['Trinidad and Tobago'],unknown,190,0,False,7.0,2.63,73.33,3.68,69.05,0.0,0.0,1.1400000000000001,5.08,7.84,0.61,1,0.09,0,0.0,0.18,0.0,0,0.0,0.05,0,0.0,3,0.26,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,38.46,0.53,0.0,0.0,21.71,0.35000000000000003,0.35000000000000003,35.98,86.62,13.92,72.96,1.58,88.89,31.17,91.01,4.82,58.18,22.98,41.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,60.0,0.26,33.33,0.44,40.0,0.09,0.0,6.04,57.97,97.62,18.39,0,,0,,0,0.0,0.0,0.0,,,0.96,,3.68,0.0,0.0,0.0,0.0,0,0
A. Aramendia,Aimar Aramendia,-608294,Southern Nazarene Crimson Storm,Southern Nazarene Crimson Storm,https://cdn5.wyscout.com/photos/team/public/g-18326_120x120.png,NCAA D2 Great American Conference,GK,GK,100,,0,,0,22.0,2003-03-25,0,,10,976,0,0.0,0,0.54,1.01,81.82,Spain,['Spain'],unknown,190,0,False,2.03,0.09,0.0,0.74,100.0,0.0,0.0,0.0,2.03,3.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,12.45,0.0,0.09,25.45,81.52,12.73,68.84,0.0,0.0,15.58,97.04,9.87,57.01,31.61,49.64,0.05,0.09,0.0,0.0,0.0,0.0,0.09,2.86,48.39,0.18,0.0,0.28,66.67,0.0,0.0,7.47,64.2,94.12,10.97,13,1.2,50,4.61,1,74.0,13.9,1.28,0.9,0.083,0.0,2.03,0.74,,,,0.0,0,0
G. Villalobos,Gibran Villalobos,-767613,Newman Jets,Newman Jets,https://cdn5.wyscout.com/photos/team/public/g-18330_120x120.png,NCAA D2 Great American Conference,"CB, RCB",CB,88,RCB,10,,0,,,0,,8,859,1,0.51,0,0.0,9.22,53.41,Norway,['Norway'],unknown,183,0,False,5.66,2.62,72.0,2.2,66.67,0.31,0.55,0.21,3.46,6.07,0.31,0,0.0,0,0.0,0.52,0.1,1,0.1,0.05,0,0.0,7,0.73,28.57,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,60.0,2.62,28.0,0.21,0.9400000000000001,0.0,23.05,0.52,0.42,36.67,86.57,15.19,74.48,2.7199999999999998,92.31,30.49,90.03,6.18,69.49,22.14,37.96,0.0,0.0,0.1,0.0,0.0,0.0,0.0,5.13,71.43,0.63,50.0,0.1,0.0,0.42,0.0,7.65,68.49,95.36,15.82,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,2.2,0.0,0.0,0.0,0.0,0,0
F. Pinochet,Francisco José Pinochet Fuentes,-346567,Newman Jets,Newman Jets,https://cdn5.wyscout.com/photos/team/public/g-18330_120x120.png,NCAA D2 Great American Conference,GK,GK,100,,0,,0,21.0,2004-05-13,0,,8,859,0,0.0,0,0.0,1.26,58.33,Chile,['Chile'],unknown,185,0,False,1.47,0.0,0.0,0.63,83.33,0.0,0.0,0.0,1.47,2.58,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,33.33,0.0,0.0,0.0,16.45,0.31,0.21,29.34,83.57,14.35,70.8,0.1,0.0,18.65,98.31,10.58,58.42,29.54,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,40.63,0.31,33.33,0.0,0.0,0.1,0.0,6.39,68.85,96.85,13.31,8,0.84,43,4.51,1,81.4,10.63,1.11,2.63,0.276,0.0,1.47,0.63,,,,0.0,0,0
G. Henri,Gregoire Henri,-767614,Newman Jets,Newman Jets,https://cdn5.wyscout.com/photos/team/public/g-18330_120x120.png,NCAA D2 Great American Conference,"LCB3, LCB",LCB3,88,LCB,10,,0,,,0,,8,853,2,1.32,1,0.79,14.88,54.61,France,['France'],unknown,193,0,False,7.49,5.28,58.0,5.59,56.6,0.32,0.55,0.32,4.11,7.18,1.48,1,0.11,0,0.0,1.06,0.21,2,0.21,0.14,1,0.11,16,1.69,50.0,12.5,0.11,0.21,0.0,0.0,0.0,0.21,0.0,0.11,0.53,40.0,1.37,30.77,1.48,1.37,0.0,28.38,1.9,0.63,43.47,73.54,24.9,63.98,2.95,96.43,35.03,82.23,8.23,38.46,20.76,37.78,0.08,0.32,0.11,0.0,0.0,0.0,0.11,8.34,51.9,0.84,37.5,0.21,0.0,0.42,0.0,10.45,63.64,86.11,11.4,0,,0,,0,0.0,0.0,0.0,,,1.48,,5.59,0.21,0.11,0.0,0.0,0,0
L. Yzaguirre,Leandro Yzaguirre,-600473,Southern Nazarene Crimson Storm,Southern Nazarene Crimson Storm,https://cdn5.wyscout.com/photos/team/public/g-18326_120x120.png,NCAA D2 Great American Conference,"LCB3, LB",LCB3,71,LB,17,,0,23.0,2002-10-05,0,,9,851,0,0.0,0,0.24,16.5,56.41,United States,['United States'],unknown,180,74,False,9.73,7.93,65.33,2.33,59.09,0.42,0.66,0.53,4.12,6.46,0.32,0,0.0,0,0.0,0.74,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.21,1.27,58.33,4.97,42.55,0.0,1.16,0.11,22.74,1.37,1.06,36.8,78.74,19.25,70.33,3.17,96.67,30.46,86.81,5.61,45.28,21.21,40.9,0.03,0.53,0.0,0.0,0.0,0.0,0.0,6.03,61.4,1.48,28.57,0.11,0.0,0.32,0.0,9.41,62.92,88.78,10.36,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.33,0.11,0.0,0.0,0.42,0,0
P. Arbizu,Pedro Arbizu,-745705,Southern Nazarene Crimson Storm,Southern Nazarene Crimson Storm,https://cdn5.wyscout.com/photos/team/public/g-18326_120x120.png,NCAA D2 Great American Conference,"RCB3, LDMF, DMF",RCB3,48,LDMF,13,DMF,12,25.0,1999-11-22,0,,9,829,1,1.65,0,0.29,13.14,59.5,Spain,['Spain'],unknown,183,0,False,7.17,4.23,64.1,4.5600000000000005,69.05,0.11,0.15,0.43,4.34,6.19,1.09,3,0.33,0,0.0,0.76,0.11,1,0.11,0.18,1,0.11,10,1.09,40.0,10.0,0.0,0.22,0.0,0.11,0.0,0.11,0.0,0.22,0.43,75.0,2.17,45.0,1.3,0.87,0.11,26.92,0.33,0.43,41.91,83.16,18.24,73.81,3.58,93.94,36.04,89.46,5.65,46.15,21.16,34.48,0.03,0.33,0.0,0.0,0.0,0.0,0.11,5.97,58.18,0.65,33.33,0.33,33.33,0.43,0.0,8.25,67.11,90.38,16.94,0,,0,,0,0.0,0.0,0.0,,,1.19,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0
E. Santos,Eduardo Dos Santos,-767615,Newman Jets,Newman Jets,https://cdn5.wyscout.com/photos/team/public/g-18330_120x120.png,NCAA D2 Great American Conference,"LB5, LWB, LB",LB5,63,LWB,24,LB,11,,,0,,8,823,0,0.04,1,1.46,18.59,50.0,Brazil,['Brazil'],unknown,173,0,False,8.42,5.69,59.62,1.42,38.46,0.33,0.56,0.11,4.7,7.96,0.98,1,0.11,0,0.0,3.94,0.0,0,0.0,0.0,0,0.0,3,0.33,0.0,0.0,0.11,4.8100000000000005,36.36,4.59,33.33,0.22,100.0,0.55,3.7199999999999998,58.82,8.75,46.25,1.2,1.09,0.11,23.18,2.08,0.87,36.31,73.49,9.95,57.14,7.87,93.06,27.89,83.92,3.94,44.44,20.07,37.26,0.16,1.75,0.0,0.0,0.0,0.0,0.33,3.7199999999999998,52.94,3.7199999999999998,41.18,0.22,0.0,0.22,1.6400000000000001,6.89,63.49,71.57,11.15,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.42,0.87,0.11,0.0,2.08,0,0
B. Auvray,Baptiste Auvray,-341338,Southern Nazarene Crimson Storm,Southern Nazarene Crimson Storm,https://cdn5.wyscout.com/photos/team/public/g-18326_120x120.png,NCAA D2 Great American Conference,"RCMF, DMF, RCMF3",RCMF,31,DMF,28,RCMF3,14,22.0,2003-05-26,0,,10,799,1,0.79,0,0.07,19.94,61.58,France,['France'],unknown,0,0,False,11.71,9.8,62.07,3.83,67.65,0.23,0.30000000000000004,0.56,5.41,7.31,1.46,2,0.23,0,0.0,1.01,0.11,1,0.11,0.09,0,0.0,2,0.23,50.0,50.0,0.0,0.56,20.0,0.45,0.0,0.11,100.0,0.11,1.01,77.78,4.28,57.89,0.56,0.79,0.0,18.59,0.45,1.58,33.68,78.93,12.62,66.96,5.63,98.0,28.95,85.21,4.17,43.24,19.32,35.39,0.01,0.23,0.0,0.0,0.0,0.0,0.0,5.41,64.58,0.68,33.33,0.34,0.0,0.0,0.11,6.53,63.79,85.44,11.6,0,,0,,0,0.0,0.0,0.0,,,0.68,,3.83,0.0,0.0,0.0,0.0,0,0
C. Schroder,Cameron Schroder,-605117,Newman Jets,Newman Jets,https://cdn5.wyscout.com/photos/team/public/g-18330_120x120.png,NCAA D2 Great American Conference,"RCMF, LCMF",RCMF,61,LCMF,20,,0,,,0,,8,796,2,1.31,0,0.25,18.2,49.69,Canada,['Canada'],unknown,175,0,False,7.24,5.43,60.42,5.99,45.28,0.11,0.19,0.34,3.84,6.38,0.9,1,0.11,0,0.0,1.3599999999999999,0.23,2,0.23,0.15,0,0.0,10,1.13,50.0,20.0,0.0,0.9,25.0,0.45,0.0,0.45,50.0,0.23,0.9,62.5,3.62,59.38,0.9,0.45,0.0,22.61,1.02,1.3599999999999999,36.86,76.38,13.57,66.67,5.31,89.36,33.24,79.93,2.71,50.0,16.45,24.94,0.03,0.5700000000000001,0.11,0.0,0.0,0.0,0.11,5.88,76.92,1.58,42.86,0.11,0.0,0.5700000000000001,0.23,7.12,65.08,83.05,13.34,0,,0,,0,0.0,0.0,0.0,,,0.11,,5.99,0.0,0.0,0.0,0.0,0,0
