Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Oestlund,Linus  Oestlund,-634701,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,"RDMF, LDMF, LCMF",RDMF,42,LDMF,34,LCMF,13,,,0,,14,1413,1,0.03,0,0.78,14.08,56.56,Germany,['Germany'],unknown,183,73,False,9.17,6.24,69.39,3.06,56.25,0.19,0.27,0.38,4.65,6.66,0.5700000000000001,1,0.06,0,0.0,1.02,0.06,1,0.06,0.0,0,0.0,5,0.32,20.0,20.0,0.0,0.96,40.0,0.32,40.0,0.5700000000000001,44.44,0.19,0.8300000000000001,69.23,2.99,42.55,0.19,0.96,0.0,31.72,0.51,0.5700000000000001,50.7,85.55,12.61,70.71,6.94,95.41,43.18,91.15,6.5600000000000005,55.34,22.25,39.03,0.05,0.51,0.0,0.06,0.0,0.0,0.13,7.39,67.24,1.97,48.39,0.76,33.33,0.7000000000000001,0.32,7.07,77.48,91.48,26.18,0,,0,,0,0.0,0.0,0.0,,,1.85,,3.06,1.4,0.06,0.0,0.06,0,0
L. Bekovic,Luka Bekovic,-618621,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,RCB,RCB,97,,0,,0,,,0,,14,1388,2,2.81,0,0.4,9.73,65.33,United States,['United States'],,185,75,False,5.9,2.59,70.0,3.96,75.41,0.39,0.56,0.58,3.7,5.28,0.58,2,0.13,0,0.0,0.58,0.13,1,0.06,0.18,1,0.06,18,1.17,33.33,11.111,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.13,100.0,1.43,54.55,0.84,2.33,0.32,43.05,1.56,0.58,61.21,85.7,27.82,74.13,2.85,97.73,50.58,92.82,10.57,51.53,24.18,39.4,0.03,0.19,0.0,0.0,0.06,0.0,0.13,11.87,65.03,0.97,53.33,0.52,37.5,0.52,0.06,14.72,78.41,94.95,26.97,0,,0,,0,0.0,0.0,0.0,,,2.33,,3.96,0.06,0.06,100.0,0.0,1,100
W. Smestad,Will Smestad,-754607,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,LCB,LCB,99,,0,,0,,,0,,14,1325,1,1.5,0,0.13,11.14,56.1,United States,['United States'],unknown,183,77,False,5.5,4.21,58.06,4.14,55.74,0.07,0.1,0.41000000000000003,2.99,4.2,0.9500000000000001,2,0.14,0,0.0,0.41000000000000003,0.07,1,0.07,0.1,0,0.0,7,0.48,42.86,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,60.0,1.29,57.89,0.75,1.02,0.0,46.26,0.68,0.68,65.14,86.24,27.31,78.11,2.92,90.7,58.01,90.63,7.13,50.48,21.97,37.46,0.01,0.07,0.0,0.07,0.0,0.0,0.07,5.71,65.48,0.68,20.0,0.54,12.5,0.14,0.0,13.72,63.86,94.0,29.41,0,,0,,0,0.0,0.0,0.0,,,2.17,,4.14,0.0,0.0,0.0,0.0,0,0
L. Howe,Lucas Howe,-124601,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,LB,LB,93,,0,,0,21.0,2004-01-13,0,,14,1324,1,0.8200000000000001,0,0.47000000000000003,14.95,58.18,England,['England'],,190,84,False,7.55,4.83,61.97,4.89,69.44,0.0,0.0,0.0,4.55,6.34,0.68,2,0.14,0,0.0,2.7199999999999998,0.07,1,0.07,0.06,1,0.07,10,0.68,70.0,10.0,0.0,3.81,39.29,3.67,38.89,0.14,50.0,0.54,1.43,52.38,3.74,43.64,1.09,2.31,0.2,37.05,3.13,0.88,51.53,76.25,19.51,63.76,8.84,95.38,41.19,83.5,6.59,51.55,20.94,34.24,0.03,0.48,0.07,0.07,0.07,0.0,0.14,7.95,60.68,4.42,36.92,0.8200000000000001,25.0,0.41000000000000003,1.56,12.92,65.26,80.31,17.61,0,,0,,0,0.0,0.0,0.0,,,1.09,,4.89,0.0,0.0,0.0,0.0,0,0
F. Hellman,Fabian Hellman,-754613,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,"RDMF, LDMF, RCMF",RDMF,38,LDMF,38,RCMF,15,,,0,,14,1229,0,0.38,0,0.34,16.26,52.7,Sweden,['Sweden'],unknown,188,79,False,8.35,7.76,61.32,2.93,55.0,0.44,0.61,0.22,3.15,4.36,1.6800000000000002,2,0.15,0,0.0,0.59,0.0,0,0.0,0.03,0,0.0,5,0.37,20.0,0.0,0.0,0.44,50.0,0.07,0.0,0.29,50.0,0.15,0.37,80.0,2.7800000000000002,39.47,0.51,0.29,0.0,19.33,0.07,0.88,33.91,85.1,8.71,70.59,5.86,93.75,30.76,87.38,2.71,64.86,18.37,33.22,0.02,0.29,0.0,0.0,0.0,0.0,0.22,3.88,64.15,0.44,33.33,0.0,0.0,0.29,0.29,4.98,61.76,91.19,14.13,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.93,0.0,0.0,0.0,0.0,0,0
D. Ruiz Ospina,David Ruiz Ospina,-122764,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,GK,GK,100,,0,,0,24.0,2001-05-05,0,,12,1219,0,0.0,0,0.0,0.59,87.5,Colombia,['Colombia'],,0,0,False,1.18,0.0,0.0,0.37,80.0,0.0,0.0,0.0,1.18,1.6800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,21.04,0.52,0.30000000000000004,31.97,90.76,10.34,72.86,0.07,100.0,25.18,98.53,6.79,61.96,26.45,42.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,47.06,0.22,33.33,0.15,0.0,0.07,0.0,3.47,59.57,99.26,19.93,13,0.96,52,3.84,4,75.0,13.14,0.97,0.14,0.01,0.07,2.07,0.37,,,,0.0,0,0
G. Argint,Gabriele Argint,-522731,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,RB,RB,98,,0,,0,19.0,2006-03-10,0,2026-06-30,12,1134,0,0.06,2,1.77,17.54,62.44,Italy,['Italy'],right,0,0,False,8.49,6.9,77.01,1.51,31.58,0.0,0.0,0.0,3.17,4.62,0.9500000000000001,2,0.16,1,0.08,4.84,0.0,0,0.0,0.0,0,0.0,3,0.24,0.0,0.0,0.16,5.48,40.58,0.0,0.0,5.48,40.58,0.32,3.02,84.21,6.98,59.09,0.71,2.7,0.32,33.17,2.06,0.87,48.73,75.08,17.94,66.81,7.86,92.93,38.97,83.1,4.68,49.15,19.94,38.52,0.14,1.11,0.08,0.0,0.08,100.0,0.48,8.1,66.67,4.44,46.43,0.4,20.0,0.56,1.9,12.3,76.77,72.77,16.03,0,,0,,0,0.0,0.0,0.0,,,1.19,,1.51,0.0,0.0,0.0,0.0,0,0
V. Radovanovic,Veljko Radovanovic,-476349,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,"AMF, CF, LAMF",AMF,47,CF,31,LAMF,11,,,0,,13,928,0,1.3900000000000001,1,0.98,22.6,49.36,Serbia,"['Serbia', 'United States']",unknown,185,76,False,5.63,5.72,64.41,1.3599999999999999,21.43,0.1,0.11,0.19,1.8399999999999999,2.13,1.07,0,0.0,0,0.0,4.27,0.0,0,0.0,0.13,0,0.0,36,3.49,5.5600000000000005,0.0,0.1,1.07,27.27,0.48,20.0,0.58,33.33,0.1,6.21,60.94,13.48,46.04,2.62,1.3599999999999999,0.0,18.14,1.16,1.3599999999999999,28.51,74.15,7.47,50.65,6.89,94.37,23.57,80.25,3.88,50.0,20.04,36.97,0.09,0.87,0.0,0.0,0.1,0.0,0.39,3.59,51.35,2.33,29.17,0.78,37.5,0.68,0.19,3.2,63.64,77.68,10.86,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.3599999999999999,0.58,0.19,0.0,0.48,0,0
F. Senf,Florian Senf,-278711,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,"AMF, LDMF, RCMF3",AMF,54,LDMF,12,RCMF3,10,20.0,2005-06-06,0,,13,775,0,1.21,1,0.48,24.62,44.81,Germany,['Germany'],unknown,0,0,False,6.97,7.78,64.18,2.44,33.33,0.46,0.53,0.12,1.51,1.72,1.97,0,0.0,0,0.0,2.79,0.0,0,0.0,0.14,0,0.0,13,1.51,30.77,0.0,0.12,1.8599999999999999,31.25,0.46,25.0,1.3900000000000001,33.33,0.0,3.7199999999999998,40.63,9.75,38.1,1.8599999999999999,1.74,0.23,17.07,1.63,1.74,29.85,75.1,7.78,65.67,6.62,87.72,26.71,79.13,1.3900000000000001,58.33,17.22,19.96,0.06,1.05,0.0,0.0,0.46,50.0,0.12,2.9,64.0,2.21,52.63,0.23,50.0,1.05,0.46,4.18,75.0,72.15,9.17,0,,0,,0,0.0,0.0,0.0,,,0.23,,2.44,0.0,0.0,0.0,0.0,0,0
D. Stadler,Dario Stadler,-475612,Lake Erie Storm,Lake Erie Storm,https://cdn5.wyscout.com/photos/team/public/g-18321_120x120.png,NCAA D2 Great Midwest Athletic Conference,"LAMF, RAMF",LAMF,48,RAMF,28,,0,,,0,,14,744,3,1.43,1,1.06,22.26,45.11,Switzerland,['Switzerland'],unknown,185,0,False,5.2,5.44,64.44,2.18,16.67,0.12,0.13,0.0,1.57,1.6400000000000001,1.33,1,0.12,0,0.0,4.84,0.36,3,0.36,0.17,0,0.0,17,2.06,29.41,17.647,0.12,2.9,25.0,1.33,36.36,1.57,15.38,0.24,5.2,67.44,12.1,44.0,3.75,2.66,0.0,20.08,1.45,1.45,29.03,70.0,10.16,60.71,6.05,92.0,23.95,77.78,2.3,42.11,17.28,23.12,0.13,1.21,0.0,0.0,0.0,0.0,0.12,3.75,58.06,1.81,53.33,0.36,33.33,0.73,0.85,5.8100000000000005,66.67,69.84,7.62,0,,0,,0,0.0,0.0,0.0,,,0.12,,2.18,0.0,0.0,0.0,0.24,0,0
