Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Cabanas,Victor Cabanas,-747157,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,"LCB, LCB3",LCB,88,LCB3,11,,0,,,0,,10,1069,0,0.0,0,0.0,9.26,54.55,United States,['United States'],unknown,181,77,False,7.24,3.12,78.38,1.94,56.52,0.34,0.56,0.67,4.46,7.43,0.25,0,0.0,0,0.0,0.42,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.17,50.0,0.08,100.0,0.08,0.0,0.0,0.51,66.67,2.95,40.0,0.0,0.34,0.08,33.26,0.51,0.84,54.13,86.0,24.75,76.53,3.03,100.0,47.65,90.99,6.31,49.33,21.03,35.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,63.64,0.67,50.0,0.17,0.0,0.34,0.08,9.26,65.45,95.37,21.81,0,,0,,0,0.0,0.0,0.0,,,1.77,,1.94,0.0,0.0,0.0,0.0,0,0
B. Lanier,Brian Lanier,-270833,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,GK,GK,100,,0,,0,,,0,,10,1056,0,0.0,0,0.0,0.34,100.0,United States,['United States'],unknown,195,0,False,0.68,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.68,1.1400000000000001,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,10.14,0.17,0.09,17.81,96.65,4.35,90.2,0.0,0.0,15.94,98.4,1.79,85.71,22.8,35.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,66.67,99.32,12.53,14,1.19,40,3.41,0,65.0,9.55,0.81,-4.45,-0.379,0.0,1.11,0.17,,,,0.0,0,0
C. Dyer,Charlie Dyer,-604620,Western Washington Vikings,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g-18349_120x120.png,NCAA D2 Great Northwest Athletic Conference,GK,GK,100,,0,,0,,,0,,10,1023,0,0.0,0,0.0,0.7000000000000001,50.0,,[],unknown,0,0,False,2.29,0.18,50.0,0.35000000000000003,50.0,0.0,0.0,0.0,2.2,2.4,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,5.89,0.09,0.0,13.55,81.17,8.27,71.28,0.0,0.0,6.33,100.0,7.21,64.63,36.61,49.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,60.87,0.09,0.0,0.0,0.0,0.0,0.0,5.01,80.7,96.43,4.93,16,1.4100000000000001,34,2.99,3,52.94,9.14,0.8,-6.86,-0.604,0.0,1.4100000000000001,0.35000000000000003,,,,0.0,0,0
K. Toevs,Kasey Toevs,-747165,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,"RCB, CB",RCB,86,CB,13,,0,,,0,,9,940,0,0.68,0,0.25,14.17,61.49,United States,['United States'],unknown,187,82,False,9.48,6.03,69.84,4.5,61.7,0.19,0.31,0.19,5.07,8.28,0.86,4,0.38,1,0.1,0.19,0.0,0,0.0,0.07,0,0.0,4,0.38,25.0,0.0,0.0,0.38,25.0,0.0,0.0,0.38,25.0,0.0,0.19,0.0,2.11,36.36,0.96,0.1,0.0,29.59,0.1,0.67,47.59,85.71,19.44,75.37,2.01,90.48,41.55,90.09,5.74,56.67,22.13,34.3,0.02,0.48,0.0,0.1,0.0,0.0,0.0,3.06,53.13,0.48,40.0,0.0,0.0,0.1,0.1,6.61,52.17,94.58,22.98,0,,0,,0,0.0,0.0,0.0,,,0.96,,4.5,0.0,0.0,0.0,0.0,0,0
R. Buri-Brown,Reiley  Buri-Brown,-604573,Western Washington Vikings,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g-18349_120x120.png,NCAA D2 Great Northwest Athletic Conference,"LB, LB5, LWB",LB,76,LB5,13,LWB,10,,,0,,10,917,1,0.22,4,2.61,11.19,60.53,,[],unknown,0,0,False,8.54,6.97,64.79,1.08,36.36,0.49,0.49,0.2,3.5300000000000002,3.51,0.49,1,0.1,0,0.0,1.47,0.1,1,0.1,0.02,0,0.0,4,0.39,75.0,25.0,0.39,3.24,21.21,2.94,23.33,0.29,0.0,0.88,0.59,83.33,1.96,55.0,0.2,0.88,0.0,26.79,1.28,0.59,37.49,71.73,16.68,59.41,7.46,96.05,26.11,86.09,8.34,44.71,24.16,40.11,0.26,1.8599999999999999,0.1,0.0,0.0,0.0,0.59,8.83,57.78,4.32,25.0,1.77,22.22,0.49,0.59,9.52,78.35,71.57,10.01,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.08,1.57,0.29,66.67,2.94,0,0
S. Hanson,Soren Hanson,-755101,Saint Martin's Saints,Saint Martin's Saints,https://cdn5.wyscout.com/photos/team/public/g-18351_120x120.png,NCAA D2 Great Northwest Athletic Conference,"CF, AMF, LCMF",CF,45,AMF,15,LCMF,10,,,0,,9,905,1,1.65,0,0.45,21.17,34.55,United States,['United States'],,175,0,False,3.99,4.54,46.34,2.44,18.18,0.0,0.0,0.0,1.88,2.1,0.78,1,0.1,0,0.0,2.44,0.1,0,0.0,0.18,0,0.0,14,1.55,28.57,7.143,0.0,1.6600000000000001,20.0,0.89,37.5,0.78,0.0,0.11,2.99,55.56,11.86,36.45,1.77,2.44,0.44,15.63,2.99,2.44,22.61,72.55,5.32,54.17,6.32,87.72,19.4,80.0,1.77,31.25,19.26,30.9,0.05,0.33,0.0,0.0,0.0,0.0,0.0,2.77,60.0,0.67,66.67,0.0,0.0,0.44,0.22,2.88,50.0,73.08,5.76,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.44,0.33,0.22,0.0,0.22,1,100
C. Leistiko,Connor  Leistiko,-488289,Saint Martin's Saints,Saint Martin's Saints,https://cdn5.wyscout.com/photos/team/public/g-18351_120x120.png,NCAA D2 Great Northwest Athletic Conference,GK,GK,100,,0,,0,,,0,,9,905,0,0.0,0,0.0,1.33,75.0,United States,['United States'],unknown,178,0,False,3.88,0.22,50.0,0.33,66.67,0.0,0.0,0.0,3.77,4.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,83.33,0.0,0.0,0.0,21.06,0.22,0.67,33.47,86.42,14.52,71.76,0.0,0.0,20.95,97.35,12.52,68.14,31.86,41.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,37.5,0.0,0.0,0.0,0.0,0.0,0.0,7.98,55.56,97.6,18.51,27,2.99,74,8.2,0,63.51,24.84,2.75,-2.16,-0.23900000000000002,0.0,1.44,0.33,,,,0.0,0,0
C. Kreider,Cameron Kreider,-468431,Saint Martin's Saints,Saint Martin's Saints,https://cdn5.wyscout.com/photos/team/public/g-18351_120x120.png,NCAA D2 Great Northwest Athletic Conference,"RCB, DMF, RCMF",RCB,33,DMF,25,RCMF,16,,,0,,9,905,0,0.0,0,0.14,16.51,51.01,United States,['United States'],unknown,183,0,False,9.53,9.2,57.83,2.0,55.56,0.0,0.0,0.33,4.21,4.69,1.11,3,0.30000000000000004,0,0.0,0.11,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.22,50.0,0.0,0.0,0.11,100.0,0.0,0.22,0.0,3.88,31.43,0.11,0.11,0.0,26.27,1.11,0.67,43.23,82.56,16.74,74.17,7.76,92.86,37.8,86.22,5.21,57.45,18.65,31.6,0.02,0.22,0.0,0.0,0.0,0.0,0.0,4.54,60.98,0.78,42.86,0.0,0.0,0.11,0.0,6.76,57.38,85.71,14.74,0,,0,,0,0.0,0.0,0.0,,,4.32,,2.0,0.22,0.0,0.0,0.78,0,0
J. Tidblom,Joar  Tidblom,-461336,Western Washington Vikings,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g-18349_120x120.png,NCAA D2 Great Northwest Athletic Conference,"RCMF, LDMF, LCMF",RCMF,40,LDMF,16,LCMF,15,,,0,,10,904,7,4.32,1,0.62,27.78,53.41,Sweden,['Sweden'],,185,0,False,10.35,10.06,59.41,7.67,51.95,0.6000000000000001,0.6000000000000001,0.2,3.7800000000000002,3.77,2.59,3,0.30000000000000004,0,0.0,1.29,0.7000000000000001,5,0.5,0.43,2,0.2,31,3.09,38.71,22.581,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,33.33,5.38,46.3,2.09,0.7000000000000001,0.0,22.1,1.19,2.29,36.64,73.64,13.84,54.68,5.87,89.83,31.66,77.67,4.98,48.0,19.46,36.63,0.06,0.5,0.1,0.0,0.0,0.0,0.2,8.36,54.76,1.1,36.36,0.2,0.0,0.6000000000000001,0.0,6.27,63.49,87.83,11.45,0,,0,,0,0.0,0.0,0.0,,,0.2,,7.67,0.30000000000000004,0.30000000000000004,33.33,0.0,2,100
D. Lopez,Diego  Lopez,-604609,Western Washington Vikings,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g-18349_120x120.png,NCAA D2 Great Northwest Athletic Conference,"RB, RB5, RCB3",RB,74,RB5,13,RCB3,12,,,0,,10,901,0,0.0,0,0.19,11.29,57.52,,[],unknown,0,0,False,7.99,6.09,62.3,1.8,77.78,0.2,0.2,0.30000000000000004,4.0,3.93,0.8,1,0.1,0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,2,0.2,0.0,0.0,0.0,0.6000000000000001,33.33,0.0,0.0,0.6000000000000001,33.33,0.0,0.2,100.0,2.2,36.36,0.1,0.30000000000000004,0.0,13.68,1.0,0.8,22.67,74.45,9.19,65.22,4.79,87.5,19.08,82.2,3.1,35.48,21.1,33.64,0.02,0.4,0.0,0.0,0.0,0.0,0.0,4.1,53.66,0.6000000000000001,33.33,0.1,100.0,0.1,0.1,4.69,55.32,83.05,5.89,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.8,0.0,0.0,0.0,0.0,0,0
