Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Stovall,Jaxson Stovall,-617476,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"LCB, LB, LCB3",LCB,61,LB,26,LCB3,10,,,0,,7,665,0,0.15,1,0.6000000000000001,11.5,65.88,United States,['United States'],unknown,178,70,False,8.26,4.47,69.7,5.55,65.85,0.27,0.31,0.81,4.87,5.63,0.81,1,0.14,0,0.0,0.27,0.0,0,0.0,0.02,0,0.0,3,0.41000000000000003,66.67,0.0,0.14,0.41000000000000003,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.68,40.0,0.27,0.14,0.0,28.69,1.08,0.41000000000000003,43.98,73.54,20.3,60.67,3.52,96.15,33.97,83.67,9.74,40.28,24.56,39.32,0.08,0.41000000000000003,0.14,0.0,0.0,0.0,0.14,7.17,45.28,1.35,10.0,1.08,12.5,0.14,0.14,10.42,50.65,87.5,17.32,0,,0,,0,0.0,0.0,0.0,,,2.3,,5.55,0.81,0.14,100.0,0.54,0,0
W. Kenne,William Kenne,-491310,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"RCB, RCB3",RCB,85,RCB3,13,,0,,,0,,7,615,0,0.17,0,0.0,7.9,66.67,Sweden,['Sweden'],unknown,182,80,False,5.41,3.8,76.92,2.2,46.67,0.0,0.0,0.59,2.49,2.77,0.44,0,0.0,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,5,0.73,0.0,0.0,0.0,0.73,40.0,0.15,0.0,0.59,50.0,0.29,0.29,50.0,0.88,66.67,0.44,1.6099999999999999,0.15,30.73,0.88,0.44,45.66,70.83,23.12,51.9,2.93,100.0,29.71,89.16,15.37,37.14,29.58,44.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,39.19,2.63,16.67,1.17,12.5,0.15,0.29,10.98,60.0,90.91,17.71,0,,0,,0,0.0,0.0,0.0,,,2.63,,2.2,0.0,0.0,0.0,0.0,0,0
N. Becker,Niclas Becker,-362461,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,GK,GK,100,,0,,0,21.0,2004-02-09,0,,5,506,0,0.0,0,0.0,1.96,81.82,Germany,['Germany'],unknown,187,84,False,2.13,0.18,100.0,1.78,80.0,0.0,0.0,0.0,1.96,2.16,0.0,1,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05,0.18,0.18,22.59,88.98,6.94,64.1,0.0,0.0,16.72,97.87,5.87,63.64,29.32,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,50.0,0.36,0.0,0.36,0.0,0.0,0.0,3.2,88.89,100.0,13.7,8,1.42,20,3.56,0,60.0,4.74,0.84,-3.26,-0.58,0.0,3.02,1.78,,,,0.0,0,0
O. Sosa,Oscar Sosa,-491371,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"LB, CF, LW",LB,55,CF,17,LW,10,,,0,,7,493,0,1.06,2,0.8300000000000001,12.96,47.89,United States,['United States'],unknown,183,73,False,7.3,4.38,58.33,3.1,41.18,0.18,0.16,0.55,4.5600000000000005,3.91,0.18,0,0.0,0,0.0,2.56,0.0,0,0.0,0.19,0,0.0,6,1.1,33.33,0.0,0.37,2.37,38.46,1.6400000000000001,33.33,0.73,50.0,0.37,1.6400000000000001,77.78,4.38,50.0,1.46,0.91,0.18,22.09,1.6400000000000001,0.73,33.23,74.73,9.49,65.38,10.04,92.73,26.84,83.67,4.02,36.36,19.5,34.8,0.15,0.55,0.0,0.0,0.0,0.0,0.55,3.29,61.11,2.37,46.15,0.18,100.0,0.55,0.91,7.48,58.54,69.09,10.04,0,,0,,0,0.0,0.0,0.0,,,0.73,,3.1,0.0,0.0,0.0,1.46,1,0
J. Gonzalez,Javi Gonzalez,-748461,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"RDMF, RCMF, RCMF3",RDMF,23,RCMF,20,RCMF3,15,,,0,,7,480,0,0.31,1,0.19,23.44,57.6,United States,['United States'],unknown,178,68,False,13.13,10.5,71.43,2.44,38.46,2.25,2.05,0.19,3.38,3.07,1.5,2,0.38,0,0.0,1.69,0.0,0,0.0,0.06,0,0.0,5,0.9400000000000001,0.0,0.0,0.19,1.31,0.0,0.38,0.0,0.9400000000000001,0.0,0.19,3.0,56.25,6.94,43.24,1.5,1.69,0.19,14.06,1.5,0.9400000000000001,32.06,66.67,13.5,50.0,4.88,88.46,26.81,73.43,3.94,42.86,20.79,33.7,0.04,0.75,0.0,0.0,0.19,0.0,0.56,7.69,51.22,1.13,33.33,0.38,50.0,0.38,0.19,6.5600000000000005,51.43,81.48,10.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.44,0.0,0.0,0.0,0.0,0,0
N. Coutino,Noe Coutino,-328360,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"CF, LAMF, RAMF",CF,54,LAMF,13,RAMF,13,22.0,2003-09-30,0,,7,463,2,1.18,1,0.6900000000000001,21.58,41.44,United States,['United States'],unknown,182,74,False,5.44,6.41,63.64,4.28,40.91,0.0,0.0,0.0,1.3599999999999999,1.15,0.78,1,0.19,0,0.0,2.92,0.39,2,0.39,0.23,1,0.19,8,1.56,75.0,25.0,0.19,1.17,33.33,0.19,0.0,0.97,40.0,0.0,2.92,46.67,8.16,33.33,3.69,1.56,0.39,15.75,1.94,0.58,21.77,68.75,5.05,65.38,4.86,88.0,19.63,73.27,0.97,20.0,17.23,17.1,0.13,1.17,0.0,0.0,0.0,0.0,0.39,2.5300000000000002,61.54,1.75,55.56,0.19,0.0,0.58,0.58,3.11,50.0,55.81,8.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.28,0.0,0.0,0.0,0.58,0,0
S. Cleofe,Sid Cleofe,-491365,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"RB, DMF, RCMF",RB,42,DMF,26,RCMF,12,,,0,,7,427,0,0.07,0,0.0,13.91,57.58,United States,['United States'],unknown,172,0,False,10.96,5.9,67.86,3.16,60.0,0.42,0.33,0.84,6.53,5.14,0.0,1,0.21,0,0.0,0.21,0.0,0,0.0,0.01,0,0.0,3,0.63,33.33,0.0,0.0,0.84,0.0,0.0,0.0,0.84,0.0,0.21,0.42,0.0,2.32,36.36,0.21,0.42,0.0,13.91,0.63,0.84,23.82,66.37,11.59,60.0,2.11,80.0,18.97,75.56,4.0,36.84,20.39,31.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,54.17,1.05,0.0,0.0,0.0,0.0,0.0,5.69,59.26,71.43,7.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.16,0.21,0.0,0.0,0.0,0,0
N. Vasileiou,Niko Vasileiou,-632811,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"LW, RAMF, AMF",LW,15,RAMF,13,AMF,12,,,0,,7,392,1,0.46,0,0.0,14.01,44.26,Germany,['Germany'],,172,65,False,4.59,4.13,77.78,1.38,16.67,0.23,0.19,0.0,1.15,0.93,0.0,0,0.0,0,0.0,2.98,0.23,1,0.23,0.11,0,0.0,4,0.92,50.0,25.0,0.0,3.44,33.33,1.6099999999999999,42.86,1.8399999999999999,25.0,0.46,3.44,40.0,6.43,32.14,1.38,1.6099999999999999,0.0,18.6,1.8399999999999999,0.92,24.34,64.15,7.35,43.75,4.13,94.44,19.06,73.49,1.8399999999999999,25.0,17.3,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.23,3.9,64.71,3.9,47.06,0.23,0.0,0.6900000000000001,1.15,3.67,75.0,63.89,8.27,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.38,0.0,0.0,0.0,1.38,0,0
A. Benitez,Angel Benitez,-769582,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"RB, LB",RB,50,LB,43,,0,,,0,,6,354,0,0.02,0,0.17,19.32,63.16,United States,['United States'],unknown,177,74,False,14.49,8.9,80.0,4.32,52.94,1.78,1.74,0.51,5.59,5.45,0.51,0,0.0,0,0.0,1.27,0.0,0,0.0,0.01,0,0.0,1,0.25,0.0,0.0,0.0,0.76,33.33,0.0,0.0,0.76,33.33,0.25,2.03,50.0,3.81,53.33,0.0,1.78,0.25,21.86,0.76,1.02,36.86,73.1,15.76,58.06,7.12,100.0,32.29,77.95,3.81,40.0,19.66,31.76,0.04,0.51,0.0,0.0,0.0,0.0,0.0,5.34,61.9,1.53,33.33,0.0,0.0,0.25,0.25,8.64,61.76,82.5,10.17,0,,0,,0,0.0,0.0,0.0,,,0.25,,4.32,0.0,0.0,0.0,0.0,0,0
C. Stiglets,Carson Stiglets,-326834,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,"DMF, RDMF, LDMF",DMF,55,RDMF,16,LDMF,12,20.0,2005-02-16,0,,7,335,0,0.04,0,0.0,13.43,56.0,United States,['United States'],unknown,167,65,False,9.67,7.25,74.07,3.76,42.86,0.54,0.4,0.0,3.76,2.8200000000000003,1.07,0,0.0,0,0.0,0.27,0.0,0,0.0,0.01,0,0.0,1,0.27,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,20.0,0.27,0.0,0.0,18.27,0.27,0.0,29.55,75.45,11.28,64.29,2.96,81.82,26.87,80.0,2.69,30.0,19.15,26.59,0.0,0.27,0.0,0.0,0.0,0.0,0.0,5.91,72.73,1.6099999999999999,33.33,0.54,0.0,0.54,0.0,6.18,65.22,82.61,12.36,0,,0,,0,0.0,0.0,0.0,,,0.27,,3.76,0.0,0.0,0.0,0.0,0,0
