Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Solá Martínez,Javier  Solá Martínez,-768264,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,GK,GK,100,,0,,0,,,0,,6,588,0,0.0,0,0.0,1.53,80.0,Spain,['Spain'],unknown,186,0,False,6.12,0.31,50.0,1.22,87.5,0.31,0.39,0.0,5.66,7.16,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,0.15,0.15,27.86,73.63,17.45,61.4,0.0,0.0,12.4,92.59,15.46,58.42,38.97,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,47.22,0.46,0.0,0.15,100.0,0.0,0.0,9.8,75.0,93.33,9.18,11,1.6800000000000002,39,5.97,1,71.79,12.38,1.9,1.38,0.211,0.0,3.83,1.22,,,,0.0,0,0
P. Botasso,Pietro  Botasso,-618041,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,CF,CF,90,,0,,0,,,0,,6,588,1,1.21,0,0.51,33.21,41.01,Italy,['Italy'],unknown,185,0,False,3.83,3.98,65.38,7.04,39.13,0.0,0.0,0.0,1.22,1.55,1.53,3,0.46,0,0.0,3.98,0.15,1,0.15,0.19,0,0.0,14,2.14,42.86,7.143,0.0,1.53,20.0,0.31,0.0,1.22,25.0,0.31,4.74,54.84,16.99,36.04,2.3,1.22,0.46,13.01,4.13,3.52,18.83,63.41,6.43,47.62,1.99,92.31,15.77,71.84,1.6800000000000002,18.18,18.77,24.98,0.08,0.61,0.0,0.0,0.31,50.0,0.31,2.14,57.14,1.6800000000000002,36.36,0.46,33.33,0.77,0.31,2.6,52.94,60.87,7.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.04,0.0,0.0,0.0,0.0,0,0
C. Christensen,Cornelius  Christensen,-488363,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"CB, RCB, RCB3",CB,64,RCB,20,RCB3,14,,,0,,6,502,0,0.09,0,0.4,8.96,54.0,Norway,['Norway'],unknown,188,0,False,8.61,4.12,60.87,2.69,46.67,0.0,0.0,1.43,6.1,7.5,0.18,0,0.0,0,0.0,0.72,0.0,0,0.0,0.02,0,0.0,2,0.36,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,66.67,1.08,50.0,0.36,0.0,0.0,11.83,0.18,0.36,26.0,67.59,14.16,58.23,1.6099999999999999,88.89,19.36,70.37,6.63,59.46,23.95,42.22,0.07,0.36,0.0,0.0,0.0,0.0,0.0,4.48,48.0,0.36,0.0,0.0,0.0,0.0,0.0,7.53,47.62,81.82,7.89,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.69,1.6099999999999999,0.0,0.0,0.36,0,0
S. Pullan,Sam Pullan,-768340,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"LCB3, LWB, LB",LCB3,43,LWB,29,LB,27,,,0,,5,440,0,0.17,0,0.01,20.45,50.0,England,['England'],unknown,183,0,False,10.64,8.39,53.66,3.48,58.82,0.41000000000000003,0.5,0.41000000000000003,5.73,7.06,0.8200000000000001,0,0.0,0,0.0,1.23,0.0,0,0.0,0.04,0,0.0,1,0.2,100.0,0.0,0.0,1.6400000000000001,25.0,1.6400000000000001,25.0,0.0,0.0,0.41000000000000003,0.61,100.0,5.73,42.86,0.41000000000000003,2.25,0.0,22.3,2.45,1.43,38.05,69.89,16.98,61.45,7.98,89.74,30.27,78.38,6.14,40.0,21.69,38.84,0.0,0.2,0.0,0.0,0.0,0.0,0.0,7.77,55.26,1.43,0.0,0.41000000000000003,0.0,0.0,0.2,9.41,56.52,64.1,7.98,0,,0,,0,0.0,0.0,0.0,,,2.25,,3.48,1.02,0.0,0.0,0.41000000000000003,0,0
L. Riby-Williams,Leonard  Riby-Williams,-488563,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"RCB3, CB",RCB3,69,CB,23,,0,,,0,,6,424,0,0.1,0,0.0,16.13,59.21,United States,['United States'],unknown,190,0,False,9.55,8.07,65.79,4.46,66.67,0.21,0.27,0.42,4.03,5.14,2.55,2,0.42,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,40.0,0.42,0.0,0.0,11.46,0.0,0.21,25.26,70.59,13.58,62.5,2.55,91.67,20.17,76.84,5.09,45.83,17.58,29.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,58.33,0.0,0.0,0.0,0.0,0.21,0.0,6.16,41.38,84.38,6.79,0,,0,,0,0.0,0.0,0.0,,,2.12,,4.46,0.0,0.0,0.0,0.0,0,0
J. Albano,Joseph Albano,-255280,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"RCMF, LCMF, RCB3",RCMF,58,LCMF,24,RCB3,11,,,0,,6,414,0,0.58,0,0.01,21.52,50.51,United States,['United States'],unknown,0,0,False,10.43,8.26,47.37,5.43,56.0,0.65,0.76,0.43,5.87,6.86,2.39,0,0.0,0,0.0,0.43,0.0,0,0.0,0.13,0,0.0,3,0.65,33.33,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.43,50.0,3.04,35.71,0.22,0.65,0.0,13.26,0.43,0.65,32.39,69.13,15.65,58.33,4.57,95.24,26.96,74.19,5.22,45.83,18.82,35.49,0.0,0.22,0.0,0.0,0.0,0.0,0.0,6.3,58.62,0.0,0.0,0.65,0.0,0.0,0.0,6.74,61.29,82.35,7.39,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.43,0.22,0.0,0.0,0.0,0,0
T. Ferreira,Tyler  Ferreira,-488475,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"RCMF, LCMF, RDMF",RCMF,45,LCMF,33,RDMF,20,,,0,,6,403,0,0.29,0,0.2,18.09,41.98,United States,['United States'],unknown,173,0,False,9.83,6.03,70.37,4.47,30.0,0.45,0.49,0.0,5.14,5.66,1.34,2,0.45,0,0.0,0.45,0.0,0,0.0,0.06,0,0.0,2,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,28.57,4.24,31.58,0.22,0.22,0.0,21.66,0.45,1.12,40.87,74.32,16.53,56.76,6.25,85.71,35.29,79.11,5.58,44.0,17.18,35.16,0.04,0.67,0.0,0.0,0.0,0.0,0.22,7.15,53.13,0.22,100.0,0.67,33.33,0.22,0.0,6.03,55.56,85.71,10.94,0,,0,,0,0.0,0.0,0.0,,,0.67,,4.47,0.0,0.0,0.0,0.22,0,0
G. Afonso,Guilherme Afonso,-484444,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"LCB3, LCB",LCB3,72,LCB,27,,0,,,0,,5,384,0,0.0,0,0.06,12.66,72.22,Portugal,['Portugal'],unknown,188,0,False,8.91,5.86,80.0,3.98,70.59,0.0,0.0,0.23,4.22,5.29,0.47000000000000003,1,0.23,0,0.0,0.47000000000000003,0.0,0,0.0,0.0,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,66.67,1.88,75.0,0.23,0.47000000000000003,0.0,21.09,0.9400000000000001,0.23,34.69,68.24,21.09,62.22,1.6400000000000001,85.71,21.8,81.72,12.89,45.45,28.32,40.91,0.01,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,9.38,47.5,0.7000000000000001,0.0,0.7000000000000001,0.0,0.0,0.0,11.02,65.96,75.61,9.61,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.98,1.6400000000000001,0.23,0.0,0.9400000000000001,0,0
T. Lafayette,Thomas  Lafayette,-488382,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"RWB, LWB, RB",RWB,37,LWB,34,RB,27,,,0,,6,369,0,0.07,0,0.12,21.22,52.87,United States,['United States'],unknown,175,0,False,12.93,10.73,68.18,0.98,50.0,0.49,0.51,0.0,5.12,5.34,0.0,0,0.0,0,0.0,1.46,0.0,0,0.0,0.02,0,0.0,2,0.49,0.0,0.0,0.0,1.71,28.57,0.98,25.0,0.73,33.33,0.49,1.46,66.67,6.83,32.14,0.0,1.46,0.0,22.44,1.71,0.73,31.71,73.85,17.07,67.14,2.68,100.0,24.88,82.35,5.37,50.0,20.21,42.59,0.03,0.73,0.0,0.0,0.0,0.0,0.0,6.34,53.85,2.44,30.0,0.24,0.0,0.24,0.24,8.78,77.78,70.59,8.29,0,,0,,0,0.0,0.0,0.0,,,0.73,,0.98,0.0,0.0,0.0,0.0,0,0
H. Peleja,Henrique Peleja,-768302,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"AMF, CF",AMF,54,CF,40,,0,,,0,,5,292,0,0.07,0,0.21,27.12,37.5,Portugal,['Portugal'],unknown,189,0,False,7.09,7.71,56.0,2.47,12.5,0.0,0.0,0.0,2.77,3.03,2.77,1,0.31,1,0.31,3.08,0.0,0,0.0,0.02,0,0.0,1,0.31,100.0,0.0,0.0,1.54,20.0,1.23,0.0,0.31,100.0,0.62,3.39,63.64,12.95,28.57,1.23,0.92,0.0,16.95,0.62,2.16,31.13,60.4,12.02,46.15,6.47,85.71,27.43,65.17,2.16,28.57,16.31,28.86,0.06,0.62,0.0,0.0,0.62,50.0,0.0,5.55,44.44,3.08,50.0,0.31,0.0,1.54,0.31,4.93,81.25,60.0,6.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.47,0.62,0.0,0.0,2.16,0,0
