Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. O'Brien,Shawn  O'Brien,-622220,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,"RB, LB",RB,80,LB,19,,0,,,0,,12,1132,0,0.86,1,0.12,15.66,56.35,United States,['United States'],unknown,180,68,False,10.26,6.52,65.85,2.15,74.07,0.08,0.14,0.16,5.88,10.18,1.11,0,0.0,0,0.0,1.83,0.0,0,0.0,0.07,0,0.0,20,1.5899999999999999,25.0,0.0,0.08,0.9500000000000001,58.33,0.16,100.0,0.8,50.0,0.08,2.23,39.29,5.8,39.73,0.8,2.54,0.8,47.15,1.5899999999999999,1.11,61.7,82.99,22.98,66.44,10.02,97.62,53.83,88.18,7.08,47.19,19.71,40.36,0.01,0.4,0.08,0.08,0.32,0.0,0.24,11.37,68.53,2.39,53.33,0.87,18.18,0.56,0.4,13.2,72.29,92.89,20.11,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.15,0.48,0.0,0.0,0.9500000000000001,0,0
G. Ruiz,Gael Ruiz,-254179,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,"DMF, RCB, LDMF",DMF,42,RCB,27,LDMF,14,23.0,2002-10-09,0,,12,1130,0,0.13,0,0.21,12.27,51.3,United States,['United States'],,183,72,False,5.8100000000000005,4.06,62.75,1.43,66.67,0.4,0.67,0.4,2.87,4.84,0.88,0,0.0,0,0.0,1.04,0.0,0,0.0,0.01,0,0.0,4,0.32,25.0,0.0,0.0,0.16,100.0,0.08,100.0,0.08,100.0,0.0,1.12,64.29,5.26,48.48,0.24,2.07,0.08,59.34,0.32,0.8,77.97,91.52,28.35,83.15,7.33,97.83,69.21,95.63,8.6,58.33,17.76,38.35,0.02,0.48,0.08,0.16,0.16,50.0,0.24,9.48,77.31,1.04,53.85,1.04,38.46,0.32,0.16,11.87,75.84,96.46,29.23,0,,0,,0,0.0,0.0,0.0,,,1.67,,1.43,0.16,0.16,0.0,0.08,0,0
R. Doyle,Ryan Doyle,-461633,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,LCB,LCB,94,,0,,0,,,0,,12,1057,1,0.65,0,0.0,12.6,58.11,United States,['United States'],unknown,178,74,False,6.5600000000000005,5.02,71.19,4.0,55.32,0.0,0.0,0.43,2.98,5.02,1.02,1,0.09,0,0.0,0.68,0.09,1,0.09,0.06,1,0.09,6,0.51,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,60.0,2.7199999999999998,46.88,0.34,1.62,0.43,49.73,0.26,0.43,63.26,89.37,22.82,79.85,4.26,100.0,59.18,92.23,4.09,47.92,20.23,36.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,72.0,0.43,40.0,0.0,0.0,0.09,0.0,9.28,58.72,96.1,30.57,0,,0,,0,0.0,0.0,0.0,,,2.64,,4.0,0.0,0.0,0.0,0.0,0,0
K. Hamada,Koki Hamada,-482888,Hawaii Hilo Vulcans,Hawaii Hilo Vulcans,https://cdn5.wyscout.com/photos/team/public/g-18461_120x120.png,NCAA D2 Championship,"LCB, RCB",LCB,67,RCB,31,,0,,,0,,10,1025,1,0.53,1,0.05,12.12,58.7,United States,['United States'],unknown,188,84,False,6.59,2.99,70.59,6.85,57.69,0.0,0.0,0.44,4.48,5.84,1.1400000000000001,1,0.09,0,0.0,0.26,0.09,1,0.09,0.05,1,0.09,9,0.79,33.33,11.111,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,60.0,1.23,0.7000000000000001,0.0,20.46,0.09,0.79,36.26,79.42,17.3,67.01,3.34,94.74,28.62,87.42,7.64,49.43,22.33,33.27,0.0,0.09,0.0,0.09,0.0,0.0,0.09,3.51,57.5,0.18,50.0,0.0,0.0,0.26,0.0,8.52,53.61,92.16,13.43,0,,0,,0,0.0,0.0,0.0,,,2.9,,6.85,0.0,0.0,0.0,0.0,0,0
Z. Okyere-Yeboah,Zion  Okyere-Yeboah,-518837,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,LB,LB,95,,0,,0,,,0,,12,1000,0,0.7000000000000001,1,0.66,17.82,51.01,United States,['United States'],unknown,183,70,False,8.73,6.57,71.23,2.07,69.57,0.36,0.59,0.09,3.69,6.09,0.81,1,0.09,0,0.0,1.35,0.0,0,0.0,0.06,0,0.0,5,0.45,60.0,0.0,0.09,0.54,0.0,0.45,0.0,0.09,0.0,0.09,2.7,40.0,7.29,28.4,1.08,1.8900000000000001,0.0,37.17,1.8900000000000001,0.45,47.88,83.65,14.58,71.6,10.53,95.73,45.27,85.88,2.07,56.52,16.58,24.04,0.06,0.72,0.09,0.0,0.09,0.0,0.27,3.96,68.18,1.17,38.46,0.09,0.0,0.81,0.0,7.02,58.97,85.53,13.68,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.07,0.09,0.09,100.0,0.9,0,0
P. Ingvason,Palli Ingvason,-482908,Hawaii Hilo Vulcans,Hawaii Hilo Vulcans,https://cdn5.wyscout.com/photos/team/public/g-18461_120x120.png,NCAA D2 Championship,"LB, LCB, AMF",LB,46,LCB,15,AMF,11,,,0,,10,977,0,0.14,2,1.3900000000000001,12.25,51.88,United States,['United States'],unknown,180,79,False,7.09,5.07,63.64,2.58,46.43,0.0,0.0,0.0,3.87,4.88,0.46,1,0.09,0,0.0,0.55,0.0,0,0.0,0.01,0,0.0,5,0.46,20.0,0.0,0.18,1.11,8.33,0.92,10.0,0.18,0.0,0.0,0.8300000000000001,44.44,3.59,38.46,0.28,0.55,0.0,19.16,0.37,1.38,35.37,78.91,16.03,71.84,6.72,95.89,30.77,85.33,3.59,43.59,19.53,23.19,0.13,1.38,0.0,0.0,0.0,0.0,0.18,5.8,69.84,1.29,35.71,0.18,100.0,0.28,0.09,6.63,68.06,78.1,9.67,0,,0,,0,0.0,0.0,0.0,,,1.75,,2.58,2.21,0.09,0.0,2.4,0,0
A. Strickler,Aidan Strickler,-468759,Westmont Warriors,Westmont Warriors,https://cdn5.wyscout.com/photos/team/public/g-13612_120x120.png,NCAA D2 Pacific West Conference,GK,GK,100,,0,,0,,,0,,9,964,0,0.0,0,0.0,1.21,84.62,United States,['United States'],unknown,191,90,False,2.24,0.19,100.0,0.75,87.5,0.0,0.0,0.0,2.05,3.17,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,18.77,0.19,0.19,29.22,91.05,10.74,81.74,0.19,100.0,21.94,96.6,7.28,74.36,25.27,44.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,72.73,0.09,100.0,0.09,0.0,0.09,0.0,5.13,69.09,97.02,15.68,22,2.05,55,5.13,1,60.0,18.13,1.69,-3.87,-0.361,0.0,1.4,0.75,,,,0.0,0,0
C. Friesen,Cole  Friesen,-478945,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,"CF, RWF",CF,59,RWF,10,,0,,,0,,12,961,7,5.88,1,1.1400000000000001,17.04,34.62,United States,['United States'],unknown,180,68,False,3.47,3.65,43.59,1.5899999999999999,35.29,0.19,0.29,0.0,1.69,2.62,1.03,2,0.19,0,0.0,3.18,0.66,7,0.66,0.55,0,0.0,32,3.0,59.38,21.875,0.09,0.47000000000000003,20.0,0.0,0.0,0.47000000000000003,20.0,0.09,3.09,39.39,8.9,32.63,4.03,1.12,0.0,13.77,1.31,1.5,19.2,72.2,6.74,62.5,4.21,91.11,16.58,76.27,2.15,52.17,18.0,32.3,0.11,0.9400000000000001,0.09,0.0,0.09,100.0,0.75,2.9,58.06,1.22,53.85,0.47000000000000003,60.0,1.03,0.0,3.2800000000000002,77.14,68.89,4.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.5899999999999999,0.0,0.0,0.0,0.0,1,0
E. Layman,Emmett Layman,-461232,Point Loma Sea Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-18457_120x120.png,NCAA D2 Pacific West Conference,"LWF, LAMF, LW",LWF,39,LAMF,29,LW,28,,,0,,12,950,10,6.65,1,1.76,24.44,39.92,United States,['United States'],unknown,180,72,False,4.17,4.36,50.0,0.76,62.5,0.09,0.14,0.09,1.8900000000000001,2.9,1.23,1,0.09,0,0.0,6.35,0.9500000000000001,8,0.76,0.63,0,0.0,36,3.41,52.78,27.778,0.09,1.6099999999999999,11.76,1.52,12.5,0.0,0.0,0.19,8.05,52.94,17.15,36.46,5.31,5.4,0.28,21.03,1.71,1.04,26.34,79.5,4.45,70.21,9.66,93.14,23.87,84.52,0.9500000000000001,60.0,14.95,20.5,0.17,1.23,0.0,0.0,0.09,100.0,0.5700000000000001,1.04,72.73,1.71,55.56,0.09,100.0,1.23,0.28,2.08,68.18,73.53,6.44,0,,0,,0,0.0,0.0,0.0,,,0.09,,0.76,0.09,0.0,0.0,0.0,2,100
F. Drizinsky,Felix Drizinsky,-506619,Hawaii Hilo Vulcans,Hawaii Hilo Vulcans,https://cdn5.wyscout.com/photos/team/public/g-18461_120x120.png,NCAA D2 Championship,RB,RB,94,,0,,0,,,0,,10,948,1,1.09,3,3.19,15.85,59.88,Germany,['Germany'],unknown,193,93,False,9.11,6.55,66.67,3.51,48.65,0.0,0.0,0.19,4.75,5.73,0.47000000000000003,0,0.0,0,0.0,3.51,0.09,1,0.09,0.1,1,0.09,7,0.66,42.86,14.286,0.28,3.42,33.33,0.09,0.0,3.23,32.35,1.04,3.04,68.75,4.94,57.69,1.52,1.6099999999999999,0.19,12.53,2.18,0.28,22.22,65.81,10.25,65.74,1.33,100.0,16.23,73.1,2.75,58.62,20.35,31.71,0.30000000000000004,1.9,0.19,0.0,0.0,0.0,0.66,3.04,62.5,2.66,53.57,0.09,100.0,0.76,1.1400000000000001,7.59,68.75,65.85,7.78,0,,0,,0,0.0,0.0,0.0,,,0.19,,3.51,0.0,0.0,0.0,0.0,0,0
