Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Crnac,Anel Crnac,-470238,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"RCB, LCB",RCB,56,LCB,35,,0,,,0,,11,1111,0,0.06,0,0.29,13.29,65.85,Iceland,['Iceland'],unknown,190,88,False,9.23,5.35,65.15,4.29,73.58,0.16,0.2,0.5700000000000001,5.59,6.92,1.46,3,0.24,0,0.0,0.24,0.0,0,0.0,0.01,0,0.0,1,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.08,100.0,1.38,58.82,0.41000000000000003,0.24,0.0,27.87,0.32,0.97,40.42,80.56,16.77,67.63,1.7000000000000002,85.71,31.67,89.77,8.67,46.73,23.64,39.43,0.02,0.08,0.0,0.08,0.0,0.0,0.08,3.65,48.89,0.32,25.0,0.41000000000000003,20.0,0.0,0.08,8.91,50.91,92.11,18.47,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.29,0.0,0.0,0.0,0.0,0,0
A. Rojas,Anel Rojas,-470206,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,CF,CF,94,,0,,0,,,0,,11,1016,5,4.73,2,1.45,17.98,35.96,Panama,['Panama'],unknown,178,75,False,2.83,2.21,68.0,5.23,37.29,0.18,0.2,0.0,1.15,1.3,1.06,0,0.0,0,0.0,3.01,0.44,5,0.44,0.42,0,0.0,30,2.66,60.0,16.667,0.18,1.15,30.77,0.18,0.0,0.89,40.0,0.53,2.04,52.17,7.97,27.78,3.7199999999999998,0.97,0.0,11.78,2.5700000000000003,1.15,15.15,70.18,3.99,55.56,3.37,86.84,13.11,73.65,0.89,70.0,16.64,25.07,0.13,0.89,0.0,0.0,0.18,0.0,0.53,2.3,69.23,1.24,28.57,0.18,0.0,0.35000000000000003,0.35000000000000003,1.77,75.0,71.15,4.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.23,0.09,0.09,0.0,0.0,0,0
L. Dettmer,Lasse Dettmer,-66454,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,GK,GK,100,,0,,0,22.0,2003-04-08,0,,9,970,0,0.0,0,0.0,0.28,66.67,Germany,['Germany'],right,188,0,False,0.93,0.0,0.0,0.19,100.0,0.0,0.0,0.0,0.93,1.2,0.09,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,6.87,0.28,0.0,13.64,81.63,7.61,68.29,0.0,0.0,8.35,96.67,5.29,57.89,33.5,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,23.81,0.19,0.0,0.09,0.0,0.0,0.0,3.06,84.85,98.44,5.94,14,1.3,32,2.9699999999999998,1,56.25,8.99,0.8300000000000001,-5.01,-0.465,0.0,1.02,0.19,,,,0.0,0,0
S. Kino,Shotaro Kino,-628127,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LB, RB",LB,78,RB,16,,0,,,0,,11,951,0,0.0,0,0.05,10.41,63.64,Japan,['Japan'],unknown,168,67,False,8.23,5.87,70.97,1.8,57.89,0.47000000000000003,0.55,0.19,3.6,4.16,0.47000000000000003,0,0.0,0,0.0,0.38,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.76,37.5,0.5700000000000001,33.33,0.19,50.0,0.09,0.19,50.0,1.04,63.64,0.19,0.5700000000000001,0.0,25.74,1.6099999999999999,0.66,37.48,79.04,17.13,70.17,5.58,91.53,33.03,84.24,3.69,41.03,17.49,40.53,0.01,0.09,0.0,0.0,0.0,0.0,0.0,3.6,63.16,0.47000000000000003,40.0,0.09,100.0,0.09,0.28,8.52,54.44,88.37,8.14,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.8,0.0,0.0,0.0,0.0,0,0
P. Overfeld,Pablo Overfeld,-75336,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,LCB,LCB,96,,0,,0,24.0,2001-04-04,0,,9,948,0,0.31,0,0.25,9.4,58.59,Germany,['Germany'],right,188,83,False,7.22,3.51,70.27,4.18,52.27,0.28,0.36,0.76,4.46,5.71,0.85,0,0.0,0,0.0,0.09,0.0,0,0.0,0.03,0,0.0,2,0.19,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.09,0.0,0.0,0.19,100.0,0.47000000000000003,0.19,0.0,17.28,0.09,0.09,27.53,85.86,9.11,71.88,0.85,100.0,23.73,90.8,3.7,53.85,22.07,39.43,0.02,0.09,0.0,0.0,0.0,0.0,0.09,2.37,60.0,0.09,100.0,0.0,0.0,0.09,0.09,4.75,58.0,93.63,14.91,0,,0,,0,0.0,0.0,0.0,,,0.38,,4.18,0.0,0.0,0.0,0.0,0,0
D. Lowther,Dylan  Lowther,-486293,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,"RB, LB",RB,85,LB,10,,0,,,0,,9,900,0,0.25,2,0.65,16.4,55.49,England,['England'],unknown,173,0,False,7.6,6.1,62.3,1.9,63.16,0.1,0.13,0.2,3.7,4.63,1.0,1,0.1,0,0.0,2.6,0.0,0,0.0,0.03,0,0.0,4,0.4,25.0,0.0,0.2,2.4,33.33,0.2,0.0,2.2,36.36,0.2,2.8,60.71,6.5,50.77,0.7000000000000001,2.4,0.7000000000000001,19.4,0.7000000000000001,2.1,31.7,72.87,15.0,60.67,2.9,100.0,24.0,84.17,5.3,39.62,21.65,32.71,0.07,0.30000000000000004,0.1,0.0,0.0,0.0,0.30000000000000004,5.3,50.94,2.7,37.04,0.7000000000000001,14.29,0.30000000000000004,0.8,7.4,64.86,83.33,9.6,0,,0,,0,0.0,0.0,0.0,,,1.1,,1.9,0.0,0.0,0.0,0.0,0,0
V. Danielsson,Viktor Danielsson,-628150,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LCB, RCB",LCB,46,RCB,42,,0,,,0,,9,892,0,0.18,0,0.09,12.11,61.67,Sweden,['Sweden'],unknown,185,75,False,8.27,5.35,71.7,3.23,56.25,0.1,0.13,0.4,4.34,5.44,1.11,2,0.2,0,0.0,0.1,0.0,0,0.0,0.02,0,0.0,2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,100.0,1.21,50.0,0.71,0.71,0.0,28.15,0.2,0.61,42.78,88.68,18.77,80.65,3.43,94.12,35.31,95.71,7.37,56.16,22.17,36.02,0.01,0.1,0.1,0.0,0.0,0.0,0.0,3.5300000000000002,45.71,0.5,20.0,0.61,50.0,0.1,0.0,5.35,66.04,94.48,16.45,0,,0,,0,0.0,0.0,0.0,,,2.12,,3.23,0.0,0.0,0.0,0.0,0,0
R. Vega,Rodolfo Alejandro Vega Iguala,-151367,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LDMF, RDMF, AMF",LDMF,36,RDMF,16,AMF,11,22.0,2003-06-12,25000,,11,882,2,1.9100000000000001,1,0.35000000000000003,18.16,47.19,Panama,['Panama'],right,168,0,False,9.9,7.96,53.85,1.8399999999999999,44.44,0.1,0.1,0.2,5.51,5.45,2.35,5,0.51,0,0.0,1.33,0.2,2,0.2,0.19,1,0.1,12,1.22,33.33,16.667,0.1,0.31,33.33,0.1,0.0,0.2,50.0,0.1,1.22,66.67,6.53,40.63,0.71,0.92,0.1,30.41,1.22,1.63,46.94,82.39,19.18,72.34,7.76,96.05,41.12,86.85,5.51,51.85,19.14,43.68,0.04,1.22,0.1,0.0,0.41000000000000003,0.0,0.1,10.61,64.42,2.04,30.0,1.22,8.33,0.61,0.1,8.67,74.12,88.14,12.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8399999999999999,0.31,0.0,0.0,0.31,0,0
V. Escala,Virgilio Escala,-628141,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,RB,RB,99,,0,,0,,,0,,9,852,0,0.28,1,0.6900000000000001,16.06,57.24,Panama,['Panama'],unknown,177,73,False,8.98,7.18,60.29,1.69,56.25,0.32,0.39,0.11,4.33,5.3,0.9500000000000001,3,0.32,0,0.0,2.64,0.0,0,0.0,0.03,0,0.0,11,1.16,18.18,0.0,0.11,2.43,34.78,0.0,0.0,2.43,34.78,0.42,2.43,65.22,5.49,57.69,0.11,2.64,0.21,27.99,1.48,0.9500000000000001,40.25,72.7,17.43,67.27,5.6,94.34,31.69,79.67,6.13,51.72,19.31,30.93,0.07,0.63,0.0,0.11,0.0,0.0,0.32,6.76,59.38,2.11,40.0,0.11,100.0,0.0,0.85,9.93,68.09,73.45,11.94,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.69,0.0,0.0,0.0,0.0,0,0
T. Baierlein,Tim Baierlein,-276896,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,CF,CF,99,,0,,0,20.0,2005-04-29,0,,9,829,4,4.17,0,1.5,19.22,37.85,Germany,['Germany'],unknown,191,0,False,4.02,3.47,53.13,4.34,47.5,0.22,0.25,0.22,1.9500000000000002,2.29,0.54,2,0.22,0,0.0,2.61,0.43,3,0.33,0.45,1,0.11,21,2.2800000000000002,52.38,19.048,0.0,1.3,50.0,0.22,0.0,1.09,60.0,0.11,1.52,50.0,9.34,27.91,2.93,0.98,0.22,11.94,2.8200000000000003,1.85,14.66,71.85,3.26,66.67,3.91,86.11,12.38,75.44,0.98,55.56,15.7,23.05,0.16,1.4100000000000001,0.0,0.0,0.0,0.0,0.76,0.87,25.0,1.52,50.0,0.11,0.0,0.76,0.65,1.9500000000000002,77.78,71.05,4.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.34,0.0,0.0,0.0,0.0,1,100
