Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. McCoy,Carter McCoy,-386547,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RCB, RCB3",RCB,80,RCB3,10,,0,,,0,,12,1171,0,0.42,0,0.65,9.91,62.02,United States,['United States'],unknown,188,79,False,7.38,4.77,69.35,3.46,62.22,0.23,0.33,0.46,3.84,5.47,0.6900000000000001,2,0.15,0,0.0,0.31,0.0,0,0.0,0.03,0,0.0,3,0.23,100.0,0.0,0.0,0.23,33.33,0.0,0.0,0.23,33.33,0.0,0.0,0.0,0.54,28.57,0.38,0.31,0.0,19.14,0.54,0.23,31.97,79.09,16.14,68.57,1.54,90.0,25.98,86.98,5.76,45.33,21.77,37.22,0.05,0.15,0.0,0.0,0.0,0.0,0.08,3.38,68.18,0.92,50.0,0.23,66.67,0.38,0.08,6.99,62.64,92.31,12.99,0,,0,,0,0.0,0.0,0.0,,,1.31,,3.46,0.0,0.0,0.0,0.0,0,0
T. Lynch,Tim Lynch,-386658,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCB, RB, RDMF",LCB,38,RB,13,RDMF,11,,,0,,11,1026,1,0.28,0,0.24,17.37,54.04,United States,['United States'],unknown,175,73,False,10.44,7.11,65.43,6.05,49.28,0.26,0.35000000000000003,0.44,5.53,7.41,0.53,0,0.0,0,0.0,0.53,0.09,1,0.09,0.02,0,0.0,3,0.26,33.33,33.333,0.0,0.35000000000000003,50.0,0.09,100.0,0.26,33.33,0.09,0.26,100.0,2.11,41.67,0.09,0.53,0.0,29.3,0.61,0.53,48.77,78.78,24.91,71.13,2.19,92.0,41.14,85.5,7.28,42.17,20.9,35.11,0.02,0.35000000000000003,0.0,0.0,0.0,0.0,0.18,8.42,63.54,1.58,22.22,0.35000000000000003,0.0,0.18,0.26,11.23,70.31,88.94,17.46,0,,0,,0,0.0,0.0,0.0,,,0.96,,6.05,0.0,0.0,0.0,0.0,0,0
S. Catino,Sean Catino,-386510,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RDMF, DMF, LDMF",RDMF,51,DMF,16,LDMF,16,,,0,,11,854,0,0.03,0,0.03,23.82,52.65,United States,['United States'],unknown,175,75,False,9.8,8.64,69.51,4.64,45.45,0.11,0.13,0.53,3.69,4.53,1.79,0,0.0,0,0.0,0.9500000000000001,0.0,0,0.0,0.0,0,0.0,3,0.32,0.0,0.0,0.0,0.21,50.0,0.11,0.0,0.11,100.0,0.0,1.16,63.64,7.27,40.58,0.11,0.84,0.0,23.71,0.32,1.48,38.36,81.32,12.22,61.21,5.16,100.0,36.04,83.92,2.11,40.0,19.66,30.07,0.0,0.11,0.0,0.0,0.32,33.33,0.0,6.53,61.29,0.74,28.57,0.21,50.0,0.11,0.11,6.01,68.42,91.77,16.65,0,,0,,0,0.0,0.0,0.0,,,0.21,,4.64,0.0,0.0,0.0,0.0,0,0
K. Krysztoforski,Konrad  Krysztoforski,-386538,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCB, LB, CB",LCB,41,LB,37,CB,10,,,0,,9,821,1,0.39,0,0.27,15.13,55.8,Poland,['Poland'],unknown,188,86,False,8.44,4.49,53.66,5.59,66.67,0.44,0.5700000000000001,0.44,5.59,7.22,0.88,0,0.0,0,0.0,1.1,0.11,1,0.11,0.04,1,0.11,5,0.55,40.0,20.0,0.0,0.88,12.5,0.66,0.0,0.0,0.0,0.33,0.99,77.78,2.85,46.15,1.21,0.66,0.0,17.21,0.55,0.77,33.87,71.52,16.88,63.64,2.19,90.0,27.19,78.23,5.8100000000000005,49.06,20.89,34.16,0.03,0.66,0.0,0.0,0.0,0.0,0.11,6.14,73.21,1.21,36.36,0.22,0.0,0.44,0.11,10.41,63.16,85.0,10.96,0,,0,,0,0.0,0.0,0.0,,,1.1,,5.59,0.0,0.0,0.0,0.0,0,0
J. Mercieri,Jackson Mercieri,-745348,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"AMF, RB, LB",AMF,29,RB,27,LB,14,,,0,,10,779,0,0.46,0,0.79,19.64,54.12,United States,['United States'],unknown,180,75,False,9.36,7.86,69.12,4.51,38.46,0.23,0.32,0.23,3.7,5.16,1.04,0,0.0,0,0.0,2.08,0.0,0,0.0,0.05,0,0.0,7,0.81,57.14,0.0,0.0,1.16,40.0,0.46,50.0,0.6900000000000001,33.33,0.12,2.2,52.63,4.74,48.78,1.73,2.31,0.0,23.8,1.27,0.92,39.28,69.41,17.91,58.71,4.39,86.84,30.39,76.43,7.74,46.27,19.86,32.22,0.09,0.6900000000000001,0.0,0.0,0.0,0.0,0.23,7.74,47.76,1.62,42.86,0.46,25.0,0.58,0.46,8.43,67.12,79.63,12.48,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,4.51,0.35000000000000003,0.0,0.0,0.12,0,0
A. Sheehan,Aidan Sheehan,-505178,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"AMF, LAMF, LDMF",AMF,37,LAMF,18,LDMF,13,,,0,,11,770,3,1.56,4,0.97,31.56,45.19,United States,['United States'],,183,82,False,10.29,7.25,70.97,5.96,45.1,0.0,0.0,0.47000000000000003,5.14,5.71,0.8200000000000001,0,0.0,0,0.0,3.74,0.35000000000000003,3,0.35000000000000003,0.18,0,0.0,21,2.45,38.1,14.286,0.47000000000000003,0.9400000000000001,62.5,0.12,100.0,0.8200000000000001,57.14,0.0,3.51,63.33,14.38,34.15,2.22,1.75,0.0,18.58,1.75,0.8200000000000001,31.21,67.04,10.52,51.11,3.74,84.38,26.53,71.81,3.74,34.38,19.58,37.26,0.11,1.4,0.12,0.0,0.0,0.0,0.58,5.84,50.0,1.87,43.75,0.35000000000000003,66.67,0.47000000000000003,0.58,6.08,57.69,74.75,11.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.96,0.9400000000000001,0.12,0.0,2.22,0,0
C. Rooney,Conor  Rooney,-386620,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RAMF, LAMF, AMF",RAMF,26,LAMF,23,AMF,16,,,0,,11,724,2,1.11,2,1.03,20.26,34.97,United States,['United States'],unknown,173,70,False,6.34,4.72,71.05,3.73,13.33,0.0,0.0,0.0,2.98,3.24,0.75,0,0.0,0,0.0,2.73,0.25,2,0.25,0.14,0,0.0,7,0.87,71.43,28.571,0.25,2.73,13.64,1.12,22.22,1.37,9.09,0.12,4.1,42.42,9.57,27.27,2.49,1.74,0.12,22.13,1.12,0.25,33.56,71.48,10.32,53.01,7.83,92.06,28.22,81.06,2.73,27.27,18.31,29.28,0.13,0.87,0.12,0.0,0.25,0.0,0.37,4.23,58.82,2.98,45.83,0.25,0.0,1.24,0.5,6.59,67.92,74.12,10.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.73,0.0,0.0,0.0,0.12,0,0
E. Harrison,Ethan Harrison,-473640,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,GK,GK,100,,0,,0,23.0,2002-09-07,0,,7,685,0,0.0,0,0.28,0.92,71.43,Georgia,['Georgia'],unknown,188,86,False,0.92,0.0,0.0,0.53,75.0,0.0,0.0,0.0,0.92,1.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,66.67,0.0,0.0,0.0,4.99,0.0,0.13,11.3,68.6,8.41,64.06,0.0,0.0,3.42,96.15,7.88,56.67,40.07,49.04,0.04,0.13,0.0,0.0,0.0,0.0,0.0,2.76,57.14,0.0,0.0,0.0,0.0,0.0,0.0,4.86,75.68,80.0,2.63,4,0.53,28,3.68,4,85.71,6.23,0.8200000000000001,2.23,0.293,0.0,1.45,0.53,,,,0.0,0,0
F. Mills,Fisher  Mills,-386661,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"CF, LAMF, RAMF",CF,33,LAMF,26,RAMF,17,,,0,,10,602,2,0.92,1,1.47,31.1,42.79,United States,['United States'],unknown,183,73,False,8.07,7.62,74.51,3.89,23.08,0.15,0.17,0.0,2.24,2.62,1.2,0,0.0,0,0.0,4.78,0.30000000000000004,2,0.30000000000000004,0.14,1,0.15,14,2.09,35.71,14.286,0.15,1.79,41.67,1.05,42.86,0.75,40.0,0.45,6.43,48.84,16.74,32.14,3.44,1.79,0.0,20.78,1.94,0.9,34.39,71.3,10.91,57.53,8.97,85.0,29.15,76.92,3.44,39.13,16.64,34.89,0.22,1.79,0.0,0.0,0.15,100.0,0.45,4.04,59.26,2.99,60.0,0.15,100.0,0.9,0.9,5.38,72.22,76.27,8.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.89,0.9,0.15,0.0,0.9,0,0
D. McClay-Ward,Drew  McClay-Ward,-745370,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LB, RB, LWB",LB,41,RB,31,LWB,10,,,0,,8,571,0,0.03,0,0.26,23.96,55.26,United States,['United States'],unknown,178,75,False,12.77,7.88,72.0,5.83,59.46,0.47000000000000003,0.67,0.32,6.62,9.33,1.42,2,0.32,0,0.0,2.68,0.0,0,0.0,0.0,0,0.0,2,0.32,50.0,0.0,0.0,2.05,53.85,1.1,28.57,0.9500000000000001,83.33,0.16,2.99,47.37,9.46,40.0,0.9500000000000001,1.42,0.0,15.29,1.1,1.8900000000000001,33.89,74.42,16.71,68.87,5.36,88.24,28.37,79.44,3.63,43.48,18.44,25.33,0.04,0.63,0.0,0.16,0.0,0.0,0.16,5.83,78.38,2.36,60.0,0.16,0.0,0.47000000000000003,0.9500000000000001,9.46,73.33,75.51,7.72,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,5.83,0.16,0.0,0.0,0.0,0,0
S. Cochran,Sam  Cochran,-627461,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,CF,CF,96,,0,,0,,,0,,9,506,2,1.6099999999999999,0,0.18,24.9,33.57,United States,['United States'],unknown,185,79,False,3.38,2.49,57.14,8.36,40.43,0.0,0.0,0.0,1.96,1.85,1.25,1,0.18,1,0.18,2.67,0.36,2,0.36,0.29,1,0.18,10,1.78,40.0,20.0,0.0,0.53,33.33,0.0,0.0,0.53,33.33,0.0,2.67,66.67,9.6,24.07,2.49,1.25,0.36,10.32,2.13,1.07,17.96,63.37,4.45,60.0,4.98,64.29,16.01,65.56,1.42,50.0,17.25,19.49,0.03,0.53,0.0,0.0,0.0,0.0,0.0,3.02,58.82,1.07,50.0,0.0,0.0,0.53,0.18,2.49,64.29,75.0,4.98,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.36,0.0,0.0,0.0,0.0,0,0
B. O'Toole,Brady O'Toole,-627439,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,GK,GK,100,,0,,0,,,0,,5,493,0,0.0,0,0.0,0.91,80.0,United States,['United States'],unknown,195,77,False,1.83,0.0,0.0,0.73,75.0,0.0,0.0,0.0,1.83,2.7,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,9.68,0.0,0.18,19.9,85.32,11.32,74.19,0.18,100.0,11.14,98.36,8.76,68.75,31.9,50.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,72.22,0.55,33.33,0.0,0.0,0.0,0.0,6.94,84.21,100.0,6.57,5,0.91,17,3.1,1,70.59,4.38,0.8,-0.62,-0.113,0.0,2.19,0.73,,,,0.0,0,0
E. Nunes,Ethan  Nunes,-512672,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RAMF, AMF, RW",RAMF,35,AMF,23,RW,15,,,0,,10,406,2,0.89,2,1.67,28.6,47.29,United States,['United States'],unknown,172,73,False,10.64,10.42,70.21,3.99,16.67,0.22,0.25,0.0,3.1,3.56,2.0,1,0.22,0,0.0,4.88,0.44,2,0.44,0.2,0,0.0,15,3.33,26.67,13.333,0.44,3.99,33.33,1.33,16.67,2.66,41.67,0.22,5.76,46.15,12.19,40.0,2.0,2.22,0.22,23.05,0.67,1.33,39.01,68.18,12.64,59.65,9.09,95.12,31.03,77.14,4.43,35.0,19.62,23.03,0.37,1.55,0.0,0.0,0.22,0.0,0.89,5.54,56.0,3.1,42.86,0.67,33.33,1.11,0.67,6.87,61.29,59.09,9.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.99,2.88,0.67,0.0,2.22,0,0
G. Scagliarini,Garrett Scagliarini,-745385,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LDMF, RAMF, LCMF",LDMF,38,RAMF,20,LCMF,13,,,0,,9,372,0,0.23,0,0.11,26.37,56.88,United States,['United States'],unknown,182,82,False,12.1,7.98,84.85,8.71,58.33,0.0,0.0,0.0,5.32,5.28,0.97,1,0.24,0,0.0,1.45,0.0,0,0.0,0.06,0,0.0,2,0.48,0.0,0.0,0.0,0.97,50.0,0.48,50.0,0.24,100.0,0.24,1.21,80.0,5.5600000000000005,26.09,0.48,0.48,0.0,16.21,0.73,1.21,37.5,62.58,16.45,52.94,4.35,83.33,30.73,68.5,5.8100000000000005,33.33,17.24,23.14,0.03,0.24,0.0,0.0,0.0,0.0,0.0,7.98,39.39,1.21,40.0,0.48,0.0,0.0,0.73,8.95,62.16,65.12,10.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.71,0.0,0.0,0.0,0.48,0,0
L. Stapleton,Liam Stapleton,-625244,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LDMF, LAMF",LDMF,72,LAMF,14,,0,,,0,,7,326,0,0.08,0,0.0,23.19,39.29,United States,['United States'],unknown,182,79,False,6.07,3.87,42.86,3.59,38.46,0.8300000000000001,0.87,0.28,3.59,3.79,0.28,0,0.0,0,0.0,1.38,0.0,0,0.0,0.02,0,0.0,2,0.55,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.0,3.31,41.67,12.42,40.0,0.55,3.31,0.55,30.92,0.8300000000000001,1.38,43.07,76.28,15.46,50.0,7.45,100.0,38.93,80.14,3.87,42.86,16.52,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,45.45,1.6600000000000001,16.67,0.28,0.0,0.28,0.0,5.52,65.0,96.36,15.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.59,0.0,0.0,0.0,0.0,0,0
K. Montalvo,Kyle Montalvo,-627451,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LB, RB",LB,66,RB,20,,0,,,0,,4,310,1,0.66,0,0.0,21.77,50.67,United States,['United States'],unknown,177,79,False,9.58,6.68,65.22,4.35,53.33,0.0,0.0,0.0,5.23,6.92,0.87,0,0.0,0,0.0,2.32,0.29,1,0.29,0.19,0,0.0,1,0.29,100.0,100.0,0.0,0.87,0.0,0.58,0.0,0.29,0.0,0.0,3.48,58.33,7.84,44.44,0.58,1.74,0.0,13.94,0.29,1.45,30.48,72.38,15.68,68.52,3.48,100.0,27.0,79.57,2.61,22.22,18.64,15.39,0.0,0.29,0.0,0.0,0.0,0.0,0.29,4.94,58.82,0.87,33.33,0.29,0.0,0.29,0.0,7.26,52.0,73.91,6.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.35,0.0,0.0,0.0,0.0,0,0
N. Ferrara,Nick Ferrara,-745366,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RB, LCB3, RCB3",RB,38,LCB3,24,RCB3,16,,,0,,6,289,0,0.04,0,0.0,18.37,54.24,United States,['United States'],unknown,173,70,False,8.41,5.29,64.71,6.23,55.0,0.0,0.0,0.0,4.98,6.67,0.62,1,0.31,0,0.0,1.56,0.0,0,0.0,0.01,0,0.0,2,0.62,50.0,0.0,0.0,1.25,0.0,0.31,0.0,0.93,0.0,0.31,1.56,80.0,5.29,47.06,0.0,0.31,0.31,22.11,0.31,0.31,36.75,71.19,17.44,60.71,3.11,80.0,31.14,79.0,4.36,35.71,19.25,36.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,36.36,0.93,33.33,0.0,0.0,0.31,0.0,7.79,60.0,86.84,11.83,0,,0,,0,0.0,0.0,0.0,,,0.93,,6.23,0.0,0.0,0.0,0.0,0,0
T. Perrault,Travis  Perrault,-386618,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"CF, RAMF",CF,41,RAMF,29,,0,,,0,,9,262,0,0.37,0,0.28,21.98,45.31,United States,['United States'],unknown,175,75,False,7.9,6.87,65.0,6.18,33.33,0.34,0.38,0.0,3.09,3.38,0.34,0,0.0,0,0.0,0.34,0.0,0,0.0,0.13,0,0.0,3,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,16.67,6.53,36.84,1.03,1.37,0.34,14.43,1.37,1.72,22.33,78.46,6.18,61.11,7.9,95.65,18.89,85.45,3.44,40.0,19.31,26.77,0.1,1.03,0.0,0.0,0.0,0.0,0.34,2.06,50.0,1.37,75.0,0.0,0.0,0.6900000000000001,0.0,3.44,60.0,82.35,5.84,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.18,0.0,0.0,0.0,0.0,0,0
