Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Griffin,Matt Griffin,-644359,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,RCB,RCB,97,,0,,0,,,0,,8,730,1,0.27,0,0.19,11.96,59.79,United States,['United States'],unknown,190,0,False,7.27,4.19,82.35,3.08,56.0,0.0,0.0,0.25,3.8200000000000003,7.05,0.12,0,0.0,0,0.0,0.74,0.12,1,0.12,0.03,1,0.12,4,0.49,25.0,25.0,0.0,0.37,100.0,0.12,100.0,0.25,100.0,0.0,0.62,40.0,2.84,39.13,0.49,3.95,0.0,28.73,0.62,0.25,50.05,84.24,26.01,77.73,1.11,88.89,42.66,89.31,7.15,53.45,21.52,41.89,0.02,0.25,0.12,0.0,0.0,0.0,0.25,8.63,74.29,0.62,60.0,0.12,0.0,0.12,0.25,14.3,68.97,93.57,17.26,0,,0,,0,0.0,0.0,0.0,,,0.12,,3.08,0.12,0.0,0.0,0.0,0,0
K. Forrest,Kessler Forrest,-644389,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,GK,GK,100,,0,,0,,,0,,8,727,0,0.0,0,0.0,1.49,83.33,United States,['United States'],unknown,188,0,False,1.24,0.0,0.0,1.24,90.0,0.0,0.0,0.0,1.24,2.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.12,4.95,85.0,2.48,70.0,0.0,0.0,3.22,100.0,1.73,57.14,31.32,33.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.99,87.5,100.0,2.23,1,0.12,15,1.8599999999999999,7,93.33,3.62,0.45,2.62,0.324,0.0,1.98,1.24,,,,0.0,0,0
G. Shreiner,Grant Shreiner,-644393,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"DMF, LDMF, RDMF",DMF,51,LDMF,23,RDMF,11,,,0,,8,724,0,0.37,0,0.44,16.28,57.25,United States,['United States'],unknown,168,0,False,6.84,3.85,61.29,3.48,64.29,0.37,0.68,0.0,4.1,7.5,0.62,1,0.12,0,0.0,1.62,0.0,0,0.0,0.05,0,0.0,11,1.37,27.27,0.0,0.0,0.25,0.0,0.12,0.0,0.12,0.0,0.12,1.37,81.82,7.09,52.63,0.62,1.99,0.0,42.27,0.12,1.37,64.27,91.88,18.65,85.33,7.96,96.88,61.78,92.56,2.24,83.33,18.13,30.43,0.05,0.87,0.12,0.0,0.12,100.0,0.0,11.06,86.52,1.12,77.78,0.12,100.0,0.5,0.0,8.33,88.06,94.63,30.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.48,0.5,0.0,0.0,2.36,0,0
D. Rody,Davis Rody,-310873,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,RB,RB,100,,0,,0,,,0,,8,612,0,0.32,1,0.47000000000000003,17.65,62.5,United States,['United States'],unknown,177,0,False,8.53,8.24,80.36,3.68,36.0,0.0,0.0,0.29,1.9100000000000001,3.02,0.74,0,0.0,0,0.0,1.32,0.0,0,0.0,0.05,0,0.0,3,0.44,0.0,0.0,0.15,1.32,55.56,0.0,0.0,1.32,55.56,0.15,1.03,57.14,4.26,62.07,0.74,2.5,0.15,40.44,2.35,0.74,60.0,83.58,30.44,75.36,7.35,100.0,53.53,86.54,5.15,60.0,18.3,42.88,0.07,0.74,0.0,0.0,0.0,0.0,0.29,12.21,74.7,1.62,72.73,0.0,0.0,0.59,0.44,15.0,81.37,91.3,13.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.68,0.0,0.0,0.0,0.0,0,0
D. Pagett,Davis Pagett,-644397,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"RW, RAMF",RW,54,RAMF,35,,0,,,0,,8,572,3,2.16,0,1.6,18.57,50.85,United States,['United States'],unknown,177,0,False,5.82,4.41,71.43,1.73,54.55,0.31,0.46,0.0,2.36,3.46,0.47000000000000003,0,0.0,0,0.0,7.71,0.47000000000000003,3,0.47000000000000003,0.34,0,0.0,18,2.83,50.0,16.667,0.0,6.29,37.5,0.16,0.0,5.98,39.47,1.1,6.29,62.5,11.01,42.86,7.71,3.62,0.16,38.71,3.62,0.31,49.25,72.52,13.53,68.6,11.17,87.32,42.01,79.03,1.57,40.0,16.37,30.84,0.25,2.36,0.0,0.0,0.0,0.0,0.47000000000000003,4.41,57.14,6.61,57.14,0.0,0.0,3.3,1.57,6.45,85.37,65.17,14.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.73,0.31,0.0,0.0,0.63,0,0
G. Redcay,Gabe Redcay,-644370,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,LB,LB,99,,0,,0,,,0,,8,564,0,0.04,2,1.44,9.73,50.82,United States,['United States'],unknown,170,0,False,7.66,3.83,75.0,1.12,57.14,0.0,0.0,0.16,4.79,7.2,0.16,0,0.0,0,0.0,1.76,0.0,0,0.0,0.01,0,0.0,1,0.16,0.0,0.0,0.32,3.19,45.0,2.39,40.0,0.8,60.0,0.32,0.96,33.33,3.51,18.18,0.16,2.39,0.0,45.48,2.07,0.16,62.55,78.06,32.07,74.13,6.06,92.11,53.3,84.13,6.38,45.0,17.57,33.63,0.23,2.23,0.0,0.16,0.0,0.0,0.32,11.33,71.83,3.19,35.0,0.0,0.0,0.32,1.12,17.71,76.58,78.43,16.28,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.12,0.32,0.0,0.0,5.11,0,0
P. Lee,Patrick Lee,-644375,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"RCMF, AMF, LCMF",RCMF,39,AMF,22,LCMF,10,,,0,,8,537,1,3.08,2,1.21,26.48,50.63,United States,['United States'],unknown,180,0,False,5.7,4.02,54.17,5.7,50.0,0.17,0.24,0.17,3.35,4.8,1.51,0,0.0,0,0.0,6.54,0.17,1,0.17,0.52,0,0.0,24,4.02,41.67,4.167,0.34,4.02,41.67,1.17,42.86,2.85,41.18,0.84,4.53,70.37,13.58,51.85,7.04,2.18,0.0,49.27,1.17,3.52,66.2,80.0,19.61,72.65,8.72,94.23,59.16,83.29,3.18,68.42,18.85,40.58,0.2,2.85,0.0,0.17,0.0,0.0,1.34,8.55,66.67,6.7,65.0,0.0,0.0,2.85,1.6800000000000002,10.56,87.3,86.79,26.65,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.7,0.84,0.17,0.0,0.34,1,0
J. Marcantonio,Jack Marcantonio,-743191,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,LCB,LCB,100,,0,,0,,,0,,8,512,0,0.2,0,0.0,12.13,62.32,United States,['United States'],unknown,188,0,False,5.1,3.52,75.0,5.45,64.52,0.0,0.0,0.18,2.46,3.5,0.53,0,0.0,0,0.0,0.7000000000000001,0.0,0,0.0,0.04,0,0.0,3,0.53,66.67,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,0.18,100.0,1.05,33.33,0.7000000000000001,0.35000000000000003,0.0,20.92,0.18,0.35000000000000003,34.98,80.4,16.17,72.83,1.23,71.43,31.11,84.18,3.69,47.62,19.08,33.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,71.43,0.35000000000000003,100.0,0.18,0.0,0.35000000000000003,0.18,8.61,48.98,90.0,14.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.45,0.0,0.0,0.0,0.0,0,0
S. Phillips,Sam Phillips,-644383,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"LW, LAMF",LW,52,LAMF,38,,0,,,0,,8,499,2,3.44,3,2.69,29.22,47.53,United States,['United States'],unknown,183,0,False,5.59,4.51,68.0,3.43,52.63,0.0,0.0,0.18,2.5300000000000002,3.59,0.54,0,0.0,0,0.0,11.9,0.36,2,0.36,0.62,1,0.18,33,5.95,48.48,6.061,0.54,6.49,41.67,6.49,41.67,0.0,0.0,1.62,11.36,55.56,19.3,40.19,10.1,6.13,0.0,31.56,1.08,0.9,41.48,70.0,8.3,60.87,9.92,87.27,32.1,75.28,3.25,72.22,17.85,29.11,0.48,2.16,0.18,0.0,0.0,0.0,1.44,3.79,47.62,5.59,41.94,0.0,0.0,1.62,2.5300000000000002,6.31,74.29,66.28,15.51,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.43,0.0,0.0,0.0,0.0,0,0
K. Spodnik,Kyle Spodnik,-644377,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"CF, LCMF",CF,62,LCMF,30,,0,,,0,,8,496,2,2.76,1,0.9,18.51,36.27,United States,['United States'],unknown,175,0,False,3.27,2.54,57.14,4.72,42.31,0.18,0.24,0.18,1.63,2.18,0.36,0,0.0,0,0.0,3.81,0.36,2,0.36,0.5,0,0.0,15,2.7199999999999998,53.33,13.333,0.18,3.27,27.78,1.63,33.33,1.45,25.0,0.0,1.81,80.0,8.89,30.61,5.99,1.09,0.0,35.2,0.54,1.27,45.54,83.67,8.53,78.72,12.7,92.86,41.73,89.13,1.09,33.33,15.79,15.72,0.16,0.91,0.0,0.0,0.0,0.0,0.36,4.54,76.0,3.08,35.29,0.0,0.0,0.91,0.73,4.35,79.17,76.25,14.52,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.72,0.0,0.0,0.0,0.36,0,0
