Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Ziegler,Ben Ziegler,-511896,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,GK,GK,100,,0,,0,,,0,,11,1128,0,0.0,0,0.0,1.3599999999999999,94.12,United States,['United States'],unknown,183,79,False,1.6800000000000002,0.08,100.0,0.88,100.0,0.0,0.0,0.0,1.6,2.96,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,14.84,0.24,0.32,23.46,87.07,8.3,69.23,0.0,0.0,16.28,98.04,7.18,62.22,27.05,42.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,50.0,96.23,12.69,16,1.28,41,3.27,3,60.98,13.93,1.11,-2.07,-0.165,0.0,1.9100000000000001,0.88,,,,0.0,0,0
G. Shreiner,Grant Shreiner,-644393,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Middle Atlantic Conference Commonwealth,"DMF, RDMF, LDMF",DMF,54,RDMF,22,LDMF,13,,,0,,11,1015,1,1.88,1,1.8399999999999999,19.77,55.16,United States,['United States'],unknown,168,0,False,9.93,6.65,80.0,3.37,44.74,0.35000000000000003,0.54,0.09,4.26,6.52,0.53,0,0.0,0,0.0,1.9500000000000002,0.09,1,0.09,0.17,0,0.0,14,1.24,42.86,7.143,0.09,0.35000000000000003,100.0,0.18,100.0,0.18,100.0,0.27,1.33,80.0,7.45,38.1,0.89,2.66,0.09,42.92,0.35000000000000003,1.15,68.1,90.1,24.38,84.73,8.69,93.88,66.59,90.68,1.15,53.85,16.18,26.12,0.16,1.24,0.0,0.09,0.09,0.0,0.27,10.11,85.96,1.42,81.25,0.09,0.0,0.62,0.35000000000000003,10.64,83.33,92.61,25.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.37,1.33,0.0,0.0,1.06,0,0
A. Singh,Amar Singh,-618417,Southwestern Pirates,Southwestern Pirates,https://cdn5.wyscout.com/photos/team/public/g-20093_120x120.png,NCAA D3 Southern Athletic Association,LCB3,LCB3,87,,0,,0,,,0,,10,981,0,0.07,0,0.19,12.57,62.77,United States,['United States'],unknown,0,0,False,8.9,6.61,72.22,2.48,48.15,0.64,1.01,0.09,3.49,5.51,0.46,2,0.18,0,0.0,1.01,0.0,0,0.0,0.01,0,0.0,1,0.09,100.0,0.0,0.0,0.92,40.0,0.8300000000000001,33.33,0.09,100.0,0.28,0.73,75.0,2.29,56.0,0.18,0.73,0.09,26.24,0.18,0.37,42.39,76.62,27.06,70.51,2.5700000000000003,92.86,32.2,82.62,9.45,59.22,22.65,39.67,0.02,0.18,0.0,0.0,0.0,0.0,0.0,10.73,65.81,1.9300000000000002,42.86,0.73,75.0,0.64,0.55,16.97,73.51,89.58,8.81,0,,0,,0,0.0,0.0,0.0,,,0.64,,2.48,0.09,0.0,0.0,0.0,0,0
R. Sharma,Raghav  Sharma,-520310,Southwestern Pirates,Southwestern Pirates,https://cdn5.wyscout.com/photos/team/public/g-20093_120x120.png,NCAA D3 Southern Athletic Association,CB,CB,87,,0,,0,,,0,,10,978,4,3.86,1,0.0,11.13,60.33,United States,['United States'],unknown,188,0,False,7.18,2.3,84.0,7.09,62.34,0.37,0.5700000000000001,0.8300000000000001,4.88,7.61,0.55,0,0.0,0,0.0,1.01,0.37,3,0.28,0.36,2,0.18,21,1.9300000000000002,52.38,19.048,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.74,25.0,2.39,0.0,0.0,22.45,0.28,0.09,37.09,83.62,14.63,67.3,0.55,66.67,31.47,90.94,5.61,42.62,24.62,43.05,0.0,0.0,0.18,0.0,0.0,0.0,0.0,2.21,29.17,0.55,50.0,0.18,100.0,0.46,0.0,6.53,57.75,95.33,19.69,0,,0,,0,0.0,0.0,0.0,,,0.28,,7.09,0.0,0.0,0.0,0.0,2,50
S. Johnson,Scott  Johnson,-520300,Southwestern Pirates,Southwestern Pirates,https://cdn5.wyscout.com/photos/team/public/g-20093_120x120.png,NCAA D3 Southern Athletic Association,GK,GK,100,,0,,0,,,0,,10,975,0,0.0,0,0.07,0.55,83.33,United States,['United States'],unknown,185,0,False,0.74,0.09,100.0,0.37,100.0,0.0,0.0,0.0,0.65,1.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.09,0.0,6.74,60.27,6.09,57.58,0.0,0.0,0.92,90.0,5.82,55.56,46.02,50.41,0.01,0.09,0.0,0.0,0.0,0.0,0.0,2.86,48.39,0.09,0.0,0.09,0.0,0.0,0.0,3.88,76.19,85.71,0.65,6,0.55,32,2.95,5,81.25,5.91,0.55,-0.09,-0.008,0.0,1.6600000000000001,0.37,,,,0.0,0,0
M. Burke,Mikey Burke,-463523,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RCB, RCB3",RCB,50,RCB3,41,,0,,,0,,10,970,0,0.05,1,0.37,10.95,61.86,United States,['United States'],unknown,180,73,False,5.94,2.88,74.19,3.62,69.23,0.28,0.49,0.46,3.5300000000000002,6.23,0.56,0,0.0,0,0.0,0.74,0.0,0,0.0,0.0,0,0.0,6,0.56,16.67,0.0,0.09,0.28,66.67,0.09,100.0,0.19,50.0,0.0,0.74,62.5,2.51,40.74,0.0,0.84,0.0,30.9,1.3,0.56,46.21,75.9,24.96,64.31,3.62,97.44,33.87,86.58,12.06,46.15,23.97,42.07,0.03,0.37,0.0,0.0,0.0,0.0,0.19,9.37,49.5,1.48,56.25,0.46,20.0,0.84,0.19,12.71,67.15,87.14,12.99,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.62,0.09,0.0,0.0,0.0,0,0
K. Wong,Kyle Wong,-751140,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LB, LCB3",LB,51,LCB3,41,,0,,,0,,10,950,0,0.0,1,0.27,13.07,56.52,United States,['United States'],unknown,182,63,False,8.05,7.01,60.81,2.27,66.67,0.38,0.6900000000000001,0.28,3.41,6.21,1.23,3,0.28,0,0.0,0.47000000000000003,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.47000000000000003,80.0,2.56,44.44,0.0,0.66,0.0,31.55,0.5700000000000001,0.76,44.72,85.81,18.0,73.16,5.78,96.72,39.41,89.18,5.21,61.82,18.98,36.71,0.03,0.09,0.0,0.0,0.09,100.0,0.09,4.45,72.34,0.28,33.33,0.28,100.0,0.09,0.0,7.77,62.2,93.25,15.44,0,,0,,0,0.0,0.0,0.0,,,3.32,,2.27,0.0,0.0,0.0,0.0,0,0
K. Bassuk,Kol  Bassuk,-463577,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LCB, CB",LCB,52,CB,45,,0,,,0,,10,942,2,1.25,2,0.23,14.62,60.13,United States,['United States'],unknown,190,84,False,7.64,3.06,75.0,6.97,61.64,0.0,0.0,0.38,5.35,10.12,0.5700000000000001,0,0.0,0,0.0,1.34,0.19,2,0.19,0.12,1,0.1,6,0.5700000000000001,50.0,33.333,0.19,0.76,37.5,0.48,20.0,0.29,66.67,0.1,1.24,61.54,3.25,50.0,0.76,0.5700000000000001,0.0,36.31,0.0,0.38,57.52,84.88,26.56,74.82,3.34,97.14,46.91,92.06,9.94,53.85,22.1,42.75,0.02,0.67,0.1,0.1,0.0,0.0,0.0,6.88,58.33,1.24,38.46,0.29,33.33,0.29,0.19,10.32,62.04,92.92,21.59,0,,0,,0,0.0,0.0,0.0,,,2.58,,6.97,0.0,0.0,0.0,0.1,0,0
T. Moran,Tyler Moran,-463526,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LCMF, DMF, LCMF3",LCMF,34,DMF,25,LCMF3,21,,,0,,11,930,0,0.17,0,0.09,18.39,52.63,United States,['United States'],unknown,170,68,False,10.26,9.0,72.04,1.55,37.5,0.39,0.7000000000000001,0.1,3.39,6.14,1.45,1,0.1,0,0.0,0.87,0.0,0,0.0,0.02,0,0.0,7,0.68,28.57,0.0,0.0,0.39,25.0,0.39,25.0,0.0,0.0,0.1,1.06,54.55,4.94,35.29,0.19,0.77,0.0,30.19,0.29,1.06,47.13,85.01,9.77,63.37,11.71,98.35,42.68,89.8,4.06,40.48,16.39,36.54,0.01,0.19,0.0,0.0,0.1,0.0,0.1,4.45,65.22,0.97,30.0,0.29,0.0,0.1,0.1,4.65,54.17,87.12,15.77,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.55,0.1,0.1,0.0,0.0,0,0
R. Lord,Ryan Lord,-636033,East Texas Baptist Tigers,East Texas Baptist Tigers,https://cdn5.wyscout.com/photos/team/public/g-21677_120x120.png,NCAA D3 American Southwest Conference,GK,GK,100,,0,,0,20.0,2005-05-12,0,,9,893,0,0.0,0,0.0,1.4100000000000001,71.43,United States,['United States'],unknown,182,0,False,3.02,0.1,0.0,1.01,90.0,0.0,0.0,0.0,3.02,4.11,0.1,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,7.86,0.0,0.2,18.24,75.69,13.2,67.94,0.0,0.0,7.46,94.59,10.78,62.62,38.52,46.33,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.8200000000000003,71.43,0.1,0.0,0.1,100.0,0.0,0.0,7.5600000000000005,80.0,95.92,4.94,12,1.21,51,5.14,2,76.47,11.97,1.21,-0.03,-0.003,0.0,1.81,1.01,,,,0.0,0,0
