Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Larson,Stig Larson,-741748,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,GK,GK,100,,0,,0,,,0,,11,1117,0,0.0,0,0.0,1.45,66.67,United States,['United States'],unknown,178,75,False,3.06,0.32,25.0,0.64,75.0,0.0,0.0,0.0,2.98,4.76,0.16,3,0.24,0,0.0,0.24,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.4,100.0,0.0,0.08,0.0,23.93,0.56,0.16,39.88,83.84,16.11,63.0,0.0,0.0,27.8,97.1,11.92,54.05,32.09,50.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,38.33,0.16,0.0,0.16,0.0,0.0,0.0,7.65,64.21,98.55,22.24,8,0.64,33,2.66,4,75.76,8.6,0.6900000000000001,0.6000000000000001,0.048,0.0,1.37,0.64,,,,0.0,0,0
C. Hallman,Colin Hallman,-649541,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RCB, RB",RCB,63,RB,34,,0,,,0,,11,1109,0,1.11,1,1.16,16.47,60.1,United States,['United States'],,183,75,False,8.68,5.52,72.06,4.22,48.08,0.65,1.04,0.32,4.06,6.49,0.32,4,0.32,0,0.0,1.79,0.0,0,0.0,0.09,0,0.0,11,0.89,36.36,0.0,0.08,0.89,36.36,0.08,0.0,0.81,40.0,0.41000000000000003,1.7000000000000002,66.67,4.63,56.14,1.38,1.46,0.0,30.68,1.3,1.1400000000000001,45.61,74.02,21.59,62.03,4.46,87.27,35.38,83.26,9.5,42.74,23.52,43.44,0.09,0.41000000000000003,0.0,0.0,0.0,0.0,0.08,10.87,51.49,1.54,52.63,0.24,100.0,0.89,0.24,10.71,78.03,87.89,15.42,0,,0,,0,0.0,0.0,0.0,,,2.11,,4.22,0.08,0.0,0.0,0.0,0,0
M. Jimenez,Mauricio  Jimenez,-476983,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,LCB,LCB,98,,0,,0,,,0,,11,1109,0,0.07,0,0.01,8.12,66.0,United States,['United States'],unknown,183,72,False,7.55,3.9,77.08,2.03,60.0,0.24,0.39,0.49,4.3,6.88,0.32,1,0.08,0,0.0,0.24,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.32,25.0,0.32,25.0,0.0,0.0,0.0,0.24,66.67,0.65,62.5,0.08,0.97,0.0,39.93,0.65,0.32,55.1,83.21,25.97,70.63,2.6,96.88,43.74,94.06,11.04,41.91,24.44,41.17,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10.79,50.38,2.11,23.08,1.46,16.67,0.41000000000000003,0.08,11.85,80.82,94.81,23.45,0,,0,,0,0.0,0.0,0.0,,,2.35,,2.03,0.08,0.0,0.0,0.0,0,0
O. Edwards,Owen Edwards,-741775,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RB, LB",RB,71,LB,27,,0,,,0,,10,1002,2,0.65,0,0.30000000000000004,15.63,60.34,United States,['United States'],unknown,188,66,False,10.42,8.08,76.67,2.69,53.33,0.81,1.27,0.09,3.41,5.38,1.08,2,0.18,0,0.0,1.8,0.18,2,0.18,0.06,0,0.0,9,0.81,33.33,22.222,0.0,1.26,35.71,0.45,20.0,0.81,44.44,0.18,1.98,54.55,3.86,37.21,0.63,0.81,0.0,20.84,1.8900000000000001,0.45,32.6,75.21,11.68,55.38,6.38,91.55,27.31,83.22,4.22,36.17,20.7,35.96,0.03,0.27,0.0,0.0,0.0,0.0,0.0,4.94,47.27,2.34,38.46,0.63,28.57,0.54,0.36,5.48,72.13,82.41,9.7,0,,0,,0,0.0,0.0,0.0,,,1.44,,2.69,0.27,0.0,0.0,0.0,0,0
T. Petz,Tyler  Petz,-476988,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,LB,LB,100,,0,,0,,,0,,9,797,1,0.98,2,1.72,19.08,62.72,United States,['United States'],unknown,178,72,False,9.71,6.21,76.36,3.05,59.26,0.68,1.02,0.0,4.29,6.48,0.45,1,0.11,1,0.11,3.27,0.11,1,0.11,0.11,0,0.0,10,1.13,30.0,10.0,0.23,2.37,28.57,2.26,25.0,0.11,100.0,0.68,2.94,76.92,6.89,55.74,1.02,1.47,0.0,26.2,2.15,2.15,42.57,66.58,21.68,53.65,5.87,94.23,32.52,77.43,7.9,34.29,22.74,38.93,0.19,1.02,0.0,0.0,0.11,0.0,0.23,8.92,45.57,3.95,31.43,0.79,28.57,1.02,0.56,11.74,67.31,77.42,10.5,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.05,2.03,0.11,100.0,0.23,0,0
V. Ovalle-Mares,Victor Ovalle Mares,-476956,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"LCMF, RCMF, AMF",LCMF,39,RCMF,25,AMF,24,,,0,,11,678,2,1.09,1,0.88,18.32,38.41,United States,['United States'],unknown,170,63,False,4.78,3.7199999999999998,78.57,1.46,36.36,0.0,0.0,0.13,1.8599999999999999,2.12,0.4,1,0.13,0,0.0,2.79,0.27,2,0.27,0.15,0,0.0,15,1.99,26.67,13.333,0.13,1.5899999999999999,41.67,0.66,60.0,0.93,28.57,0.4,4.25,37.5,11.95,27.78,0.93,1.06,0.0,12.61,0.93,1.46,20.44,77.27,6.77,58.82,3.58,92.59,17.52,85.61,1.33,10.0,18.33,20.17,0.12,0.93,0.13,0.0,0.13,0.0,0.27,2.39,66.67,1.73,38.46,0.27,0.0,0.13,0.66,3.05,69.57,88.24,6.77,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.46,0.66,0.13,0.0,3.45,0,0
K. Nova Euceda,Kevin Nova Euceda,-649564,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RCMF, LCMF, DMF",RCMF,44,LCMF,25,DMF,17,,,0,,11,668,0,0.18,1,0.92,18.73,64.75,United States,['United States'],,173,70,False,10.24,7.28,72.22,4.58,58.82,0.13,0.15,0.13,4.85,5.43,1.21,1,0.13,0,0.0,1.62,0.0,0,0.0,0.02,0,0.0,8,1.08,25.0,0.0,0.13,1.08,50.0,0.0,0.0,1.08,50.0,0.13,1.21,66.67,4.45,66.67,0.27,0.4,0.0,21.96,0.27,2.16,38.8,73.26,15.36,56.14,5.12,89.47,31.93,78.48,5.79,48.84,21.27,33.24,0.12,1.21,0.0,0.0,0.13,0.0,0.4,7.54,58.93,2.83,38.1,1.21,22.22,0.54,0.54,7.95,72.88,90.91,13.34,0,,0,,0,0.0,0.0,0.0,,,1.21,,4.58,1.48,0.27,50.0,0.0,0,0
Z. Johnston,Zakky  Johnston,-476925,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"LW, CF, LAMF",LW,34,CF,24,LAMF,20,,,0,,11,654,2,1.44,0,0.8300000000000001,23.12,49.4,United States,['United States'],unknown,178,72,False,7.57,6.33,73.91,2.61,57.89,0.55,0.59,0.0,2.34,2.5,0.41000000000000003,0,0.0,0,0.0,3.44,0.28,2,0.28,0.2,1,0.14,10,1.38,40.0,20.0,0.0,1.51,63.64,0.6900000000000001,40.0,0.8300000000000001,83.33,0.0,3.58,53.85,12.52,35.16,2.61,2.2,0.14,12.11,1.51,1.24,18.72,75.74,2.61,73.68,5.23,89.47,16.65,76.86,0.8300000000000001,83.33,15.8,19.27,0.11,1.24,0.14,0.0,0.0,0.0,0.28,0.96,71.43,1.1,62.5,0.0,0.0,0.41000000000000003,0.6900000000000001,2.34,58.82,75.0,6.06,0,,0,,0,0.0,0.0,0.0,,,0.14,,2.61,0.14,0.0,0.0,0.0,0,0
K. Sawyer,Kaden Sawyer,-492053,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RCB, RCMF, LCMF",RCB,65,RCMF,13,LCMF,12,,,0,,11,627,0,0.11,0,0.12,9.19,43.75,United States,['United States'],,183,79,False,5.45,3.01,57.14,2.73,47.37,0.72,1.03,0.14,3.01,4.32,0.14,0,0.0,0,0.0,0.43,0.0,0,0.0,0.02,0,0.0,2,0.29,0.0,0.0,0.0,0.43,100.0,0.14,100.0,0.29,100.0,0.14,0.14,0.0,1.87,15.38,0.14,0.43,0.0,33.73,0.5700000000000001,0.43,46.51,82.72,17.37,70.25,2.73,84.21,38.61,89.22,7.46,48.08,20.6,35.08,0.02,0.14,0.0,0.0,0.0,0.0,0.0,8.04,55.36,1.29,44.44,0.72,60.0,0.43,0.43,9.47,75.76,94.48,20.81,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.73,0.43,0.0,0.0,0.0,0,0
M. Dudley,Mason Dudley,-649542,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RW, RAMF",RW,52,RAMF,22,,0,,,0,,11,595,3,2.45,0,1.01,19.82,39.69,United States,['United States'],,180,75,False,7.71,6.96,58.7,3.18,28.57,0.45,0.49,0.15,3.18,3.44,1.21,2,0.30000000000000004,0,0.0,2.12,0.45,3,0.45,0.37,0,0.0,10,1.51,80.0,30.0,0.0,1.3599999999999999,33.33,0.61,25.0,0.76,40.0,0.15,1.06,42.86,7.5600000000000005,26.0,2.5700000000000003,0.76,0.0,18.91,1.51,0.61,28.59,70.9,8.92,45.76,6.05,92.5,24.2,77.5,3.03,35.0,18.63,25.15,0.15,0.91,0.0,0.0,0.0,0.0,0.30000000000000004,3.33,40.91,2.27,33.33,0.30000000000000004,0.0,0.91,0.30000000000000004,4.69,64.52,81.03,8.77,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,3.18,0.0,0.0,0.0,0.30000000000000004,0,0
W. Stebbings,Walker  Stebbings,-476934,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,CF,CF,100,,0,,0,,,0,,10,574,2,1.2,0,0.99,22.74,28.97,United States,['United States'],unknown,188,77,False,3.14,3.92,48.0,2.98,31.58,0.0,0.0,0.0,1.25,1.21,1.72,1,0.16,0,0.0,2.51,0.31,2,0.31,0.19,0,0.0,8,1.25,50.0,25.0,0.0,0.63,50.0,0.63,50.0,0.0,0.0,0.31,3.14,50.0,11.76,26.67,5.02,1.1,0.0,9.41,2.04,0.78,14.58,65.59,2.8200000000000003,50.0,2.51,75.0,13.8,67.05,0.16,0.0,15.83,2.81,0.15,1.25,0.16,0.0,0.0,0.0,0.16,1.4100000000000001,55.56,1.1,57.14,0.0,0.0,1.1,0.31,1.25,62.5,66.67,4.7,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.98,0.0,0.0,0.0,0.0,0,0
C. Letson,Charlie Letson,-476834,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"CF, AMF",CF,88,AMF,11,,0,,,0,,10,534,1,2.3,0,0.17,23.09,35.04,United States,['United States'],unknown,180,77,False,5.22,4.72,53.57,5.5600000000000005,36.36,0.17,0.16,0.17,2.5300000000000002,2.39,2.36,1,0.17,0,0.0,2.7,0.17,0,0.0,0.39,0,0.0,18,3.03,44.44,5.556,0.0,1.18,14.29,0.67,25.0,0.51,0.0,0.34,2.19,53.85,8.76,25.0,4.21,0.34,0.0,12.3,3.03,1.52,18.03,57.01,5.9,34.29,3.37,95.0,13.31,70.89,3.71,18.18,19.7,43.89,0.03,0.67,0.0,0.0,0.0,0.0,0.0,5.5600000000000005,30.3,0.84,20.0,0.0,0.0,0.51,0.17,1.85,63.64,54.84,5.22,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.5600000000000005,0.0,0.0,0.0,0.0,1,100
"J. Delaney,",Jack Delaney,-649543,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"LW, LAMF",LW,54,LAMF,28,,0,,,0,,11,533,0,0.79,0,0.53,18.07,36.45,United States,['United States'],,173,68,False,6.08,4.39,69.23,2.87,23.53,0.51,0.5700000000000001,0.0,2.5300000000000002,2.85,1.01,1,0.17,0,0.0,1.69,0.0,0,0.0,0.13,0,0.0,6,1.01,33.33,0.0,0.0,0.34,100.0,0.34,100.0,0.0,0.0,0.0,1.69,60.0,8.78,25.0,1.35,0.51,0.17,15.87,0.51,0.84,26.51,86.62,6.75,80.0,6.42,97.37,24.32,86.81,1.8599999999999999,81.82,18.4,19.14,0.09,1.01,0.0,0.0,0.0,0.0,0.0,3.55,90.48,1.18,57.14,0.0,0.0,0.51,0.34,4.22,84.0,90.91,9.29,0,,0,,0,0.0,0.0,0.0,,,0.51,,2.87,0.17,0.0,0.0,1.01,0,0
C. Mason,Colin Mason,-649563,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RW, LW",RW,64,LW,24,,0,,,0,,9,475,0,0.55,1,0.75,25.77,43.38,United States,['United States'],,188,75,False,10.42,8.91,72.34,2.65,35.71,0.19,0.17,0.0,3.79,3.45,1.33,0,0.0,0,0.0,2.65,0.0,0,0.0,0.1,0,0.0,3,0.5700000000000001,66.67,0.0,0.19,3.03,25.0,0.19,0.0,2.84,26.67,0.38,2.84,46.67,10.04,30.19,1.1400000000000001,0.9500000000000001,0.19,13.64,0.76,1.1400000000000001,24.63,66.15,7.39,46.15,8.15,95.35,18.76,78.79,2.84,26.67,18.87,32.78,0.14,0.9500000000000001,0.0,0.0,0.38,50.0,0.38,3.41,38.89,3.03,25.0,0.5700000000000001,33.33,0.38,0.76,4.74,64.0,57.69,4.93,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.65,0.0,0.0,0.0,0.0,0,0
