Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. L'Hommedieu,Cal L'Hommedieu,-463382,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,GK,GK,100,,0,,0,,,0,,7,704,0,0.0,0,0.0,0.51,100.0,United States,['United States'],unknown,185,0,False,0.89,0.0,0.0,0.51,100.0,0.0,0.0,0.0,0.89,1.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.13,0.0,14.32,84.82,6.01,74.47,0.0,0.0,9.46,93.24,4.86,68.42,27.27,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,50.0,0.13,0.0,0.13,0.0,0.0,0.0,3.84,63.33,92.59,6.9,4,0.51,30,3.84,5,86.67,4.44,0.5700000000000001,0.44,0.056,0.0,1.53,0.51,,,,0.0,0,0
J. Hayeems,Jack Hayeems,-746801,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"DMF, RDMF, RCMF",DMF,58,RDMF,24,RCMF,12,,,0,,7,699,0,0.01,0,0.0,20.86,56.17,United States,['United States'],unknown,170,0,False,13.26,8.88,75.36,3.09,37.5,1.29,2.07,0.13,5.28,8.48,0.77,0,0.0,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,1,0.13,100.0,0.0,0.0,0.26,50.0,0.0,0.0,0.26,50.0,0.0,1.29,50.0,6.82,45.28,0.13,1.03,0.0,29.1,0.0,3.09,47.77,82.48,13.26,66.02,7.85,90.16,43.65,85.84,3.86,46.67,16.99,29.21,0.0,0.0,0.0,0.13,0.0,0.0,0.13,6.31,65.31,0.0,0.0,0.13,0.0,0.0,0.13,6.82,66.04,92.72,19.44,0,,0,,0,0.0,0.0,0.0,,,0.26,,3.09,0.0,0.0,0.0,0.0,0,0
B. Ziegler,Ben Ziegler,-511896,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,GK,GK,100,,0,,0,,,0,,7,695,0,0.0,0,0.0,1.6800000000000002,92.31,United States,['United States'],unknown,183,79,False,1.55,0.13,100.0,0.91,100.0,0.0,0.0,0.13,1.42,1.6600000000000001,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,12.3,0.26,0.39,19.17,79.05,8.81,61.76,0.0,0.0,10.49,97.53,8.68,56.72,30.76,43.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,16.67,0.0,0.0,0.0,0.0,0.0,0.0,5.31,53.66,92.65,8.81,9,1.17,29,3.76,2,68.97,10.16,1.32,1.16,0.15,0.0,1.81,0.91,,,,0.0,0,0
D. Steinacher,Daniel Steinacher,-481531,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RCB, LCB",RCB,50,LCB,41,,0,,,0,,7,695,0,0.1,0,0.0,8.55,63.64,United States,['United States'],right,188,86,False,6.73,3.24,72.0,4.01,58.06,0.0,0.0,0.52,4.4,5.13,0.39,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.26,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.39,66.67,0.91,0.0,0.0,32.5,0.26,0.13,52.06,85.57,24.99,76.17,2.2,88.24,39.76,92.18,12.17,64.89,22.44,37.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,62.07,0.78,16.67,0.26,0.0,0.26,0.0,10.49,58.02,95.35,22.27,0,,0,,0,0.0,0.0,0.0,,,1.55,,4.01,0.13,0.0,0.0,0.0,0,0
T. Moran,Tyler Moran,-463526,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,LCMF,LCMF,94,,0,,0,,,0,,7,695,0,0.11,0,0.34,20.98,49.38,United States,['United States'],unknown,170,68,False,11.4,10.23,56.96,2.2,41.18,0.26,0.30000000000000004,0.39,5.31,6.18,1.81,1,0.13,0,0.0,0.52,0.0,0,0.0,0.01,0,0.0,9,1.17,0.0,0.0,0.0,0.39,66.67,0.0,0.0,0.39,66.67,0.0,0.78,33.33,5.31,31.71,0.26,1.04,0.0,20.85,0.39,1.81,36.0,77.7,8.94,53.62,8.16,100.0,32.12,82.66,3.5,33.33,16.61,36.69,0.04,0.52,0.0,0.0,0.13,0.0,0.26,4.53,51.43,1.29,40.0,0.39,0.0,0.52,0.13,3.76,41.38,79.31,11.27,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.2,0.13,0.0,0.0,0.0,0,0
M. Burke,Mikey Burke,-463523,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RB, RCB",RB,62,RCB,29,,0,,,0,,7,660,0,0.31,0,0.46,14.45,65.09,United States,['United States'],unknown,180,73,False,11.45,6.95,74.51,3.41,72.0,0.68,0.8,0.68,5.59,6.58,0.41000000000000003,2,0.27,0,0.0,1.09,0.0,0,0.0,0.04,0,0.0,3,0.41000000000000003,0.0,0.0,0.0,1.5,45.45,0.0,0.0,1.5,45.45,0.0,0.41000000000000003,100.0,2.73,35.0,0.68,0.55,0.0,28.23,0.9500000000000001,0.55,42.0,75.97,20.32,65.1,6.14,95.56,32.32,84.81,8.32,47.54,21.86,37.54,0.06,0.68,0.14,0.0,0.0,0.0,0.41000000000000003,6.55,47.92,2.18,37.5,0.55,25.0,0.41000000000000003,0.55,11.45,61.9,85.23,12.0,0,,0,,0,0.0,0.0,0.0,,,1.09,,3.41,0.14,0.0,0.0,0.0,0,0
S. Ballesteros,Sebastian Ballesteros,-751148,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,RCMF,RCMF,99,,0,,0,,,0,,7,638,0,0.56,0,0.2,19.04,57.04,United States,['United States'],unknown,182,68,False,11.71,9.31,74.24,0.85,50.0,0.42,0.46,0.14,4.37,4.77,0.71,0,0.0,0,0.0,1.4100000000000001,0.0,0,0.0,0.08,0,0.0,7,0.99,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.14,100.0,0.0,1.97,57.14,6.91,40.82,0.71,0.85,0.0,27.93,0.0,0.85,45.0,84.95,11.71,67.47,9.31,93.94,42.6,87.42,2.26,37.5,16.91,29.06,0.03,0.42,0.0,0.0,0.28,50.0,0.28,5.64,62.5,0.99,57.14,0.42,33.33,0.14,0.14,5.78,60.98,89.29,15.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.85,0.0,0.0,0.0,0.0,0,0
N. szpak,Nathan  szpak,-463353,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"RCB, RB",RCB,52,RB,47,,0,,,0,,7,622,0,0.56,0,0.0,23.3,59.01,United States,['United States'],unknown,182,0,False,12.44,8.83,68.85,5.64,66.67,0.72,1.17,0.43,5.64,9.14,1.3,2,0.29,0,0.0,0.58,0.0,0,0.0,0.08,0,0.0,5,0.72,20.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.72,60.0,4.05,50.0,0.72,2.75,0.0,29.81,0.0,1.16,48.62,82.14,21.13,70.55,4.63,90.63,44.57,86.36,3.91,37.04,19.23,36.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,64.29,0.72,0.0,0.43,0.0,0.0,0.0,6.37,61.36,94.44,15.63,0,,0,,0,0.0,0.0,0.0,,,0.87,,5.64,0.0,0.0,0.0,0.0,0,0
A. Alamery,Ali  Alamery,-604487,Chicago Maroons,Chicago Maroons,https://cdn5.wyscout.com/photos/team/public/g-19288_120x120.png,NCAA D3 University Athletic Association,GK,GK,100,,0,,0,,,0,,6,613,0,0.0,0,0.0,0.88,66.67,United States,['United States'],unknown,183,81,False,3.23,0.15,0.0,0.44,66.67,0.15,0.19,0.0,3.08,3.99,0.15,1,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,0.15,0.44,22.02,80.67,12.04,73.17,0.15,100.0,13.07,92.13,8.96,63.93,33.09,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,66.67,0.29,50.0,0.15,100.0,0.15,0.0,6.9,68.09,89.66,8.52,5,0.73,25,3.67,2,80.0,6.9,1.01,1.9,0.279,0.0,1.32,0.44,,,,0.0,0,0
N. Lorr,Nick Lorr,-478899,Chicago Maroons,Chicago Maroons,https://cdn5.wyscout.com/photos/team/public/g-19288_120x120.png,NCAA D3 University Athletic Association,"LCB, RCB, CB",LCB,55,RCB,23,CB,13,,,0,,6,613,0,0.0,0,0.0,9.54,53.85,United States,['United States'],unknown,182,74,False,6.46,2.5,70.59,4.55,45.16,0.0,0.0,1.03,4.7,6.08,0.15,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15,100.0,0.15,100.0,0.0,0.0,0.0,0.0,0.0,1.17,37.5,0.15,0.15,0.0,22.9,0.29,0.88,38.61,86.31,16.74,73.68,2.94,100.0,32.15,91.78,6.31,58.14,21.8,37.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,60.0,0.15,100.0,0.0,0.0,0.15,0.15,6.02,48.78,96.23,15.56,0,,0,,0,0.0,0.0,0.0,,,2.35,,4.55,0.0,0.0,0.0,0.0,0,0
E. Wirtschafter,Ethan Wirtschafter,-463417,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,CF,CF,100,,0,,0,,,0,,7,606,4,3.98,0,0.4,26.29,41.81,United States,['United States'],unknown,188,0,False,5.64,4.6,67.74,5.79,58.97,0.0,0.0,0.30000000000000004,2.52,3.81,1.63,1,0.15,0,0.0,3.27,0.59,4,0.59,0.59,1,0.15,17,2.52,52.94,23.529,0.0,2.08,7.14,0.59,0.0,1.49,10.0,0.45,3.56,50.0,12.77,26.74,4.9,0.89,0.15,17.52,2.67,1.63,25.4,66.08,4.9,48.48,7.28,89.8,22.87,72.73,0.59,0.0,15.98,18.39,0.06,0.89,0.0,0.0,0.0,0.0,0.0,1.34,55.56,1.34,22.22,0.0,0.0,0.89,0.15,2.23,40.0,56.67,4.46,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.79,0.0,0.0,0.0,0.0,0,0
M. Newman,Miles Newman,-746759,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"LB, LCB",LB,78,LCB,21,,0,,,0,,6,599,0,0.53,1,0.47000000000000003,16.38,63.3,United States,['United States'],unknown,182,0,False,10.97,7.8100000000000005,69.23,2.4,68.75,0.30000000000000004,0.49,0.6000000000000001,5.26,8.54,0.45,1,0.15,0,0.0,1.35,0.0,0,0.0,0.08,0,0.0,4,0.6000000000000001,25.0,0.0,0.15,1.2,25.0,1.2,25.0,0.0,0.0,0.30000000000000004,1.5,50.0,4.51,50.0,0.45,1.65,0.0,30.5,0.9,1.05,45.08,72.0,22.24,64.86,3.01,90.0,38.31,76.86,5.5600000000000005,48.65,18.06,30.94,0.07,0.6000000000000001,0.0,0.0,0.15,100.0,0.30000000000000004,5.71,68.42,1.65,27.27,0.45,33.33,0.15,0.45,11.27,52.0,82.22,13.52,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.4,0.45,0.15,100.0,0.75,0,0
D. Kochen,Daniel Kochen,-746779,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"RCMF, AMF, RCMF3",RCMF,40,AMF,18,RCMF3,13,,,0,,7,588,4,1.51,0,0.27,30.61,37.5,Spain,['Spain'],unknown,180,0,False,7.96,7.35,68.75,2.6,41.18,0.46,0.7000000000000001,0.15,2.45,3.75,1.99,1,0.15,0,0.0,2.76,0.61,4,0.61,0.23,1,0.15,13,1.99,46.15,30.769,0.0,0.92,33.33,0.31,0.0,0.61,50.0,0.31,4.29,35.71,18.21,25.21,1.53,2.45,0.31,21.12,1.07,2.76,34.59,84.51,6.89,68.89,10.41,97.06,33.06,86.57,0.77,40.0,13.71,16.67,0.04,0.15,0.0,0.0,0.0,0.0,0.0,2.45,68.75,0.92,33.33,0.15,0.0,0.15,0.31,3.21,57.14,82.26,9.49,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.6,0.15,0.15,0.0,0.0,0,0
M. Bisenic,Milos Bisenic,-481471,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,LW,LW,92,,0,,0,,,0,,7,573,2,2.67,1,1.32,22.15,48.94,Serbia,['Serbia'],unknown,185,72,False,10.52,7.54,68.75,3.14,25.0,0.0,0.0,0.16,5.34,5.13,0.47000000000000003,1,0.16,0,0.0,3.93,0.31,2,0.31,0.42,1,0.16,18,2.83,38.89,11.111,0.16,1.57,30.0,1.26,25.0,0.31,50.0,0.47000000000000003,5.34,44.12,9.9,34.92,2.51,2.36,0.16,21.05,1.26,1.57,30.47,74.74,12.41,68.35,4.87,90.32,24.35,80.65,4.55,58.62,18.37,31.57,0.21,2.2,0.0,0.0,0.0,0.0,0.47000000000000003,5.65,58.33,2.51,37.5,0.47000000000000003,0.0,0.79,0.63,9.11,75.86,71.43,7.7,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.14,2.2,0.63,25.0,4.24,0,0
E. Kanellos,Evan Kanellos,-478911,Chicago Maroons,Chicago Maroons,https://cdn5.wyscout.com/photos/team/public/g-19288_120x120.png,NCAA D3 University Athletic Association,"DMF, RDMF, RCMF",DMF,42,RDMF,25,RCMF,11,,,0,,6,566,0,0.25,0,0.01,28.94,51.1,United States,['United States'],unknown,155,0,False,12.08,11.77,68.92,4.13,46.15,0.32,0.38,0.32,3.66,4.37,1.75,1,0.16,0,0.0,1.43,0.0,0,0.0,0.04,0,0.0,6,0.9500000000000001,33.33,0.0,0.0,0.16,100.0,0.16,100.0,0.0,0.0,0.0,2.23,42.86,10.34,33.85,0.32,0.8,0.0,17.81,0.32,2.54,32.92,83.09,10.81,64.71,7.63,95.83,29.1,86.89,3.66,52.17,19.83,39.25,0.0,0.16,0.0,0.0,0.0,0.0,0.16,4.13,69.23,0.16,0.0,0.48,0.0,0.0,0.0,6.04,60.53,91.43,11.13,0,,0,,0,0.0,0.0,0.0,,,0.48,,4.13,0.16,0.16,100.0,0.0,0,0
W. Quintin,Quentin Wallace,-626476,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"LCMF, LDMF, LB",LCMF,35,LDMF,25,LB,17,,,0,,7,544,0,0.35000000000000003,0,0.24,25.15,55.92,United States,['United States'],unknown,176,0,False,13.9,10.75,81.54,3.9699999999999998,29.17,0.8300000000000001,1.32,0.33,4.3,6.84,1.16,0,0.0,0,0.0,0.66,0.0,0,0.0,0.06,0,0.0,2,0.33,0.0,0.0,0.0,0.5,0.0,0.17,0.0,0.33,0.0,0.17,0.8300000000000001,80.0,6.62,42.5,0.17,0.66,0.33,22.0,0.0,1.49,35.74,81.48,7.78,61.7,8.27,92.0,32.92,84.92,2.48,46.67,17.07,33.39,0.04,0.5,0.0,0.0,0.0,0.0,0.33,2.81,76.47,1.32,50.0,0.33,50.0,0.66,0.0,3.9699999999999998,58.33,87.67,12.08,0,,0,,0,0.0,0.0,0.0,,,0.17,,3.9699999999999998,0.0,0.0,0.0,0.0,0,0
J. Danielian,Jasper Danielian,-751144,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LB, RB, RWB",LB,57,RB,27,RWB,10,,,0,,7,544,0,0.0,0,0.07,14.39,59.77,United States,['United States'],unknown,180,74,False,11.08,7.11,81.4,2.15,23.08,0.5,0.52,0.33,4.8,5.06,0.33,2,0.33,0,0.0,0.99,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.66,75.0,0.0,0.0,0.66,75.0,0.17,0.99,50.0,2.98,44.44,0.0,1.32,0.0,24.98,1.16,0.66,35.24,77.0,16.05,67.01,5.63,94.12,29.78,83.89,4.8,34.48,16.69,31.62,0.01,0.33,0.0,0.0,0.0,0.0,0.33,5.46,63.64,1.16,42.86,0.17,0.0,0.0,0.66,8.27,60.0,87.23,7.78,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.15,0.0,0.0,0.0,0.33,0,0
S. Valdes,Sebastian Valdes,-746783,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"LW, LAMF, LWF",LW,49,LAMF,30,LWF,11,,,0,,7,541,0,0.37,1,0.71,27.78,39.52,United States,['United States'],unknown,170,0,False,8.65,6.49,71.79,1.33,37.5,0.0,0.0,0.17,3.99,5.5,0.33,0,0.0,0,0.0,4.49,0.0,0,0.0,0.06,0,0.0,7,1.16,14.29,0.0,0.17,2.0,25.0,1.83,27.27,0.17,0.0,0.17,8.48,45.1,18.47,28.83,2.0,2.5,0.33,22.13,0.5,0.67,33.77,70.44,9.65,60.34,6.82,92.68,30.44,73.77,1.83,54.55,14.56,25.62,0.12,1.5,0.33,0.0,0.17,0.0,0.33,2.0,58.33,3.33,60.0,0.67,25.0,2.33,0.5,5.66,61.76,66.67,9.48,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.33,1.0,0.0,0.0,2.33,0,0
