Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. van Amerongen,Thijs van Amerongen,-327020,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,"LCB3, LCB, CB",LCB3,34,LCB,24,CB,19,27.0,1999-04-09,0,,15,1481,2,1.97,0,0.0,10.15,70.06,Netherlands,['Netherlands'],right,192,0,False,9.12,5.35,78.41,3.2800000000000002,64.81,0.30000000000000004,0.44,1.09,4.62,6.65,0.67,2,0.12,0,0.0,0.36,0.12,2,0.12,0.12,1,0.06,14,0.85,35.71,14.286,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,0.49,25.0,1.15,0.36,0.0,33.42,0.18,0.0,50.26,87.55,20.3,74.85,3.1,100.0,45.64,92.28,4.5600000000000005,40.0,21.96,36.86,0.0,0.06,0.0,0.0,0.0,0.0,0.0,6.68,68.18,0.24,50.0,0.06,0.0,0.12,0.0,9.12,70.67,97.61,22.85,0,,0,,0,0.0,0.0,0.0,,,2.43,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
D. Nižić,Danijel Nižić,327603,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,31.0,1995-03-15,150000,,15,1481,0,0.04,0,0.0,0.85,71.43,Australia,"['Australia', 'Croatia']",left,195,77,False,1.4,0.0,0.0,0.85,71.43,0.0,0.0,0.0,1.4,2.01,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,12.46,0.18,0.12,20.48,75.96,12.03,60.61,0.0,0.0,11.85,97.95,8.57,46.1,36.32,54.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,3.4,37.5,0.30000000000000004,0.0,0.06,0.0,0.0,0.0,5.41,62.92,97.56,7.47,22,1.34,86,5.23,3,74.42,19.26,1.17,-2.74,-0.167,0.0,2.01,0.85,,,,0.0,0,0
J. Seeto,Jayden Seeto,-562170,St. George Saints ,St. George Saints ,https://cdn5.wyscout.com/photos/team/public/g20232_120x120.png,New South Wales NPL,LB,LB,94,,0,,0,23.0,2003-01-01,0,,15,1472,0,0.35000000000000003,0,0.35000000000000003,19.57,66.25,Australia,['Australia'],unknown,0,0,False,12.41,8.38,75.91,3.55,62.07,0.18,0.24,0.18,5.87,7.7,0.55,1,0.06,0,0.0,1.22,0.0,0,0.0,0.02,0,0.0,3,0.18,33.33,0.0,0.0,1.16,21.05,1.16,21.05,0.0,0.0,0.06,1.16,78.95,5.75,58.51,0.31,1.9,0.24,40.05,0.86,2.08,58.33,84.38,26.41,78.01,7.46,92.62,50.5,90.56,6.85,48.21,18.61,37.73,0.02,0.55,0.06,0.0,0.0,0.0,0.06,7.46,69.67,1.28,42.86,0.49,25.0,0.31,0.18,11.98,68.37,92.55,15.59,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.55,0.0,0.0,0.0,0.0,0,0
D. Solsky,Daniel Solsky,-593512,Wollongong Wolves,Wollongong Wolves,https://cdn5.wyscout.com/photos/team/public/g155_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,23.0,2003-02-25,0,,15,1466,0,0.0,0,0.0,2.58,85.71,Australia,['Australia'],,0,0,False,2.76,0.49,50.0,1.47,100.0,0.06,0.08,0.0,2.46,3.02,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,13.44,0.12,0.49,27.81,85.65,15.29,77.11,0.0,0.0,20.01,98.16,7.67,54.4,27.64,47.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,45.45,0.12,0.0,0.18,0.0,0.0,0.0,6.26,58.82,98.3,10.8,14,0.86,78,4.79,5,82.05,21.17,1.3,7.17,0.44,0.0,2.95,1.47,,,,0.0,0,0
J. Wade,Joel  Wade,-429133,Marconi Stallions,Marconi Stallions,https://cdn5.wyscout.com/photos/team/public/g146_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,22.0,2004-01-03,0,,15,1464,0,0.0,0,0.0,0.61,80.0,Australia,['Australia'],,0,0,False,1.54,0.12,0.0,0.43,100.0,0.0,0.0,0.0,1.54,2.07,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53,0.55,0.06,17.4,71.38,11.99,59.49,0.0,0.0,8.42,94.16,8.98,50.0,37.06,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4.3,37.14,0.74,8.33,0.92,33.33,0.12,0.0,5.1,81.93,97.56,5.04,11,0.68,39,2.4,6,71.79,11.72,0.72,0.72,0.044,0.0,1.97,0.43,,,,0.0,0,0
G. Daniel,George Daniel,-409076,Marconi Stallions,Marconi Stallions,https://cdn5.wyscout.com/photos/team/public/g146_120x120.png,New South Wales NPL,LB,LB,99,,0,,0,22.0,2003-11-10,0,,15,1464,0,0.22,0,0.16,20.1,52.6,Australia,['Australia'],unknown,0,0,False,7.99,7.87,65.63,1.97,40.63,0.0,0.0,0.25,2.83,3.8,1.23,3,0.18,0,0.0,2.52,0.0,0,0.0,0.01,0,0.0,10,0.61,10.0,0.0,0.0,2.95,35.42,2.77,33.33,0.18,66.67,0.43,2.46,57.5,8.24,44.78,0.31,1.78,0.25,16.17,0.61,1.6,27.36,66.07,14.39,62.39,3.44,94.64,19.18,76.28,5.23,45.88,20.99,34.05,0.01,0.43,0.0,0.0,0.0,0.0,0.06,5.53,66.67,2.4,35.9,0.37,16.67,0.0,0.98,8.11,62.88,59.34,5.59,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.97,0.18,0.0,0.0,0.61,0,0
N. Olsen,Nicholas John Olsen,331329,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,"CF, RW, RWF",CF,41,RW,24,RWF,17,30.0,1995-09-26,0,,15,1457,5,5.85,3,4.4,17.23,43.73,Australia,"['Australia', 'Denmark']",left,175,64,False,3.4,3.15,64.71,1.79,44.83,0.0,0.0,0.0,1.3599999999999999,1.94,1.05,2,0.12,0,0.0,3.64,0.31,2,0.12,0.36,0,0.0,37,2.29,35.14,13.514,0.19,2.04,36.36,0.93,33.33,1.11,38.89,0.56,3.95,50.0,10.01,37.65,2.29,2.04,0.37,18.72,1.79,1.67,25.94,78.57,8.96,71.03,5.37,90.8,20.69,85.67,3.21,59.62,18.58,31.34,0.27,1.9100000000000001,0.06,0.0,0.19,66.67,0.62,4.57,72.97,3.71,58.33,0.8,61.54,1.54,0.68,4.69,86.84,78.99,7.35,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.79,1.67,0.19,0.0,2.1,4,75
B. Giason,Ben Giason,-414469,Sydney Olympic,Sydney Olympic,https://cdn5.wyscout.com/photos/team/public/g150_120x120.png,New South Wales NPL,"RB, LB",RB,70,LB,29,,0,21.0,2004-11-17,0,,15,1455,0,0.08,2,0.88,16.21,50.38,Australia,['Australia'],right,169,0,False,9.28,8.41,64.71,2.91,36.17,0.06,0.07,0.19,3.77,4.43,0.56,2,0.12,0,0.0,1.6099999999999999,0.0,0,0.0,0.0,0,0.0,4,0.25,25.0,0.0,0.12,2.29,45.95,0.31,40.0,1.92,48.39,0.12,1.11,44.44,3.65,32.2,0.49,1.8599999999999999,0.19,29.07,1.11,0.19,41.26,74.36,21.03,69.12,5.07,93.9,33.77,81.14,5.26,42.35,19.46,37.23,0.05,0.49,0.0,0.0,0.12,0.0,0.31,5.57,52.22,2.23,55.56,0.43,14.29,0.31,0.99,10.58,68.42,81.53,9.71,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.91,0.12,0.0,0.0,0.0,0,0
J. Piriz,Jesse Piriz,-186229,Manly United,Manly United,https://cdn5.wyscout.com/photos/team/public/g10491_120x120.png,New South Wales NPL,RB,RB,93,,0,,0,26.0,1999-08-22,0,,15,1447,0,0.54,2,1.52,15.92,51.95,Australia,['Australia'],,0,0,False,10.51,6.78,56.88,3.23,55.77,0.75,0.97,0.5,5.91,7.64,1.6800000000000002,3,0.19,0,0.0,2.3,0.0,0,0.0,0.03,0,0.0,11,0.68,36.36,0.0,0.12,2.3,48.65,0.0,0.0,2.3,48.65,0.25,1.49,62.5,3.92,47.62,0.68,0.87,0.06,25.75,2.36,0.68,38.0,74.3,17.48,62.99,5.04,95.06,27.99,82.22,7.71,53.23,22.02,38.61,0.09,0.62,0.0,0.0,0.06,0.0,0.31,6.78,59.63,2.36,55.26,0.44,71.43,0.44,1.06,10.51,66.27,81.87,10.64,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.23,0.0,0.0,0.0,0.0,0,0
O. Kalac,Oliver Kalac,-123070,APIA Leichhardt Tigers,APIA Leichhardt Tigers,https://cdn5.wyscout.com/photos/team/public/g10487_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,23.0,2002-11-09,0,,15,1445,0,0.0,0,0.0,0.25,50.0,Australia,['Australia'],right,187,79,False,1.49,0.12,0.0,0.12,100.0,0.0,0.0,0.0,1.49,2.09,0.12,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,0.0,0.0,19.0,77.05,9.16,63.27,0.0,0.0,12.46,96.0,6.54,40.95,32.31,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,15.38,0.06,0.0,0.12,0.0,0.0,0.0,3.99,45.31,90.0,9.34,18,1.12,57,3.55,3,68.42,14.41,0.9,-3.59,-0.224,0.0,0.93,0.12,,,,0.0,0,0
