Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Lawal,Ayuba Lawal,-529928,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,"DMF, LCB, LCMF",DMF,39,LCB,18,LCMF,15,19.0,2006-03-24,0,,19,1722,1,1.15,0,0.65,11.6,59.91,Nigeria,['Nigeria'],left,183,63,False,8.05,5.44,66.35,1.88,55.56,0.16,0.18,0.31,4.29,4.8,1.4100000000000001,5,0.26,0,0.0,0.21,0.05,1,0.05,0.06,0,0.0,15,0.78,20.0,6.667,0.0,0.42,12.5,0.26,20.0,0.1,0.0,0.05,0.0,0.0,2.4,56.52,0.47000000000000003,0.84,0.05,19.13,0.05,1.3599999999999999,32.09,82.41,14.32,72.26,3.24,93.55,25.71,88.21,5.96,62.28,21.55,36.47,0.03,0.31,0.05,0.05,0.0,0.0,0.1,4.6,65.91,0.84,18.75,0.26,0.0,0.1,0.05,6.74,72.09,89.37,10.82,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.88,0.21,0.1,0.0,0.16,0,0
A. Abubakar,Abdullahi Abubakar,-530261,Imperial,Imperial,https://cdn5.wyscout.com/photos/team/public/g-20418_120x120.png,Creative Championship,LCB,LCB,94,,0,,0,16.0,2009-09-16,0,,18,1693,0,0.14,0,0.14,7.6,58.04,Nigeria,['Nigeria'],unknown,0,0,False,5.21,3.08,62.07,2.55,66.67,0.16,0.24,0.53,3.14,4.69,1.01,3,0.16,0,0.0,0.16,0.0,0,0.0,0.01,0,0.0,4,0.21,0.0,0.0,0.0,0.11,50.0,0.11,50.0,0.0,0.0,0.0,0.27,40.0,1.06,50.0,0.16,2.18,0.16,47.47,0.37,0.21,63.79,89.92,27.11,82.16,4.36,93.9,58.1,94.42,5.58,43.81,21.33,43.43,0.01,0.21,0.0,0.05,0.05,0.0,0.05,7.66,61.81,0.64,8.33,0.8,33.33,0.11,0.0,9.73,78.69,96.62,26.74,3,,5,,0,40.0,2.1,0.11,,,3.51,,2.55,0.0,0.0,0.0,0.0,0,0
C. Nchoje,Chinedu Nchoje,-688844,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,RB,RB,94,,0,,0,15.0,2010-10-11,0,,18,1644,0,0.71,2,2.05,17.24,59.05,Nigeria,['Nigeria'],right,178,70,False,11.0,8.7,65.41,2.5700000000000003,61.7,0.22,0.25,0.38,5.09,5.86,1.26,2,0.11,0,0.0,1.6400000000000001,0.0,0,0.0,0.04,0,0.0,8,0.44,37.5,0.0,0.11,2.3,28.57,0.05,0.0,2.24,29.27,0.27,1.31,62.5,4.65,48.24,0.66,1.8599999999999999,0.16,16.26,0.77,1.81,27.7,67.39,14.78,66.67,2.52,93.48,19.98,76.44,5.47,50.0,22.39,38.25,0.11,1.15,0.0,0.0,0.0,0.0,0.49,5.86,60.75,2.03,35.14,0.22,25.0,0.33,0.88,8.98,61.59,61.79,6.73,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.5700000000000003,1.5899999999999999,0.05,100.0,0.27,0,0
D. Aiyenugba,Daniel Aiyenugba,-529023,Beyond Limits,Beyond Limits,https://cdn5.wyscout.com/photos/team/public/g-20411_120x120.png,NNL,GK,GK,100,,0,,0,16.0,2009-11-28,0,,17,1636,0,0.0,0,0.35000000000000003,1.05,78.95,Nigeria,['Nigeria'],unknown,0,0,False,1.65,0.11,0.0,0.61,100.0,0.06,0.08,0.0,1.6,2.41,0.11,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,66.67,0.0,0.0,0.0,23.16,0.5,0.28,34.11,90.48,14.91,80.44,0.0,0.0,27.23,98.38,6.77,59.35,25.28,44.1,0.02,0.06,0.0,0.0,0.0,0.0,0.06,1.9300000000000002,48.57,0.22,50.0,0.44,37.5,0.11,0.0,4.35,64.56,98.7,16.89,14,0.77,49,2.7,9,71.43,17.01,0.9400000000000001,3.01,0.166,0.0,2.04,0.61,,,,0.0,0,0
S. Abdulramon,Sefiu Abdulramon,-757742,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,"RCMF, LCMF, RCMF3",RCMF,28,LCMF,20,RCMF3,11,19.0,2007-02-12,0,,19,1608,4,5.05,1,0.55,22.33,52.88,Nigeria,['Nigeria'],unknown,0,0,False,9.85,8.84,56.96,3.81,45.59,0.17,0.19,0.45,4.65,5.23,2.52,3,0.17,0,0.0,2.01,0.22,4,0.22,0.28,1,0.06,48,2.69,33.33,8.333,0.06,0.56,30.0,0.39,42.86,0.17,0.0,0.06,1.62,58.62,6.94,55.65,1.85,1.9,0.17,19.37,1.18,2.13,33.75,70.81,13.77,56.5,5.09,90.11,28.6,75.34,4.59,47.56,20.48,37.12,0.03,0.5,0.0,0.0,0.22,0.0,0.39,8.34,56.38,2.01,27.78,0.34,16.67,0.62,0.17,7.05,69.05,76.47,9.51,0,,0,,0,0.0,0.0,0.0,,,0.28,,3.81,0.22,0.22,25.0,0.0,1,0
G. Namene,Gome Namene,-556674,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,"RW, AMF, RCMF3",RW,16,AMF,13,RCMF3,13,17.0,2008-05-04,0,,19,1575,0,1.3599999999999999,1,0.8,12.06,47.87,Nigeria,['Nigeria'],unknown,165,51,False,5.14,4.23,66.22,2.5700000000000003,26.67,0.0,0.0,0.11,2.34,2.63,1.09,1,0.06,0,0.0,1.43,0.0,0,0.0,0.08,0,0.0,13,0.74,53.85,0.0,0.06,1.8900000000000001,30.3,0.5700000000000001,40.0,1.31,26.09,0.34,0.63,63.64,3.43,46.67,1.49,0.97,0.06,21.6,1.37,1.26,31.83,77.56,11.43,71.0,7.2,92.86,27.43,81.46,2.51,70.45,19.47,32.74,0.05,0.74,0.06,0.11,0.06,100.0,0.34,5.03,75.0,2.34,41.46,0.34,33.33,0.6900000000000001,0.63,6.23,81.65,75.47,9.09,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
D. Effiong,Daniel Effiong,-646476,Dino Sporting,Dino Sporting,https://cdn5.wyscout.com/photos/team/public/g-20414_120x120.png,Creative Championship,"RB, CF",RB,35,CF,26,,0,18.0,2007-11-01,0,,18,1540,5,3.5,0,1.81,22.21,42.37,Nigeria,['Nigeria'],right,180,72,False,7.01,7.31,56.8,2.5700000000000003,22.73,0.18,0.24,0.12,2.69,3.7199999999999998,1.9300000000000002,3,0.18,0,0.0,3.68,0.29,5,0.29,0.2,1,0.06,25,1.46,40.0,20.0,0.0,2.16,40.54,0.7000000000000001,25.0,1.46,48.0,0.29,3.21,61.82,10.11,40.46,2.81,1.75,0.35000000000000003,17.77,1.34,1.81,25.89,74.27,9.58,64.02,4.27,93.15,20.86,80.11,2.98,56.86,18.62,38.9,0.11,1.17,0.06,0.0,0.29,80.0,0.53,4.15,64.79,3.16,55.56,0.58,40.0,1.29,0.8200000000000001,5.38,83.7,77.17,7.42,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.5700000000000003,0.23,0.0,0.0,0.47000000000000003,0,0
A. Muhammed,Abdullahi Muhammed,-529061,Imperial,Imperial,https://cdn5.wyscout.com/photos/team/public/g-20418_120x120.png,Creative Championship,RCB,RCB,93,,0,,0,18.0,2007-08-29,0,,16,1531,4,2.02,0,0.30000000000000004,10.46,61.24,Nigeria,['Nigeria'],unknown,0,0,False,6.05,3.5300000000000002,65.0,4.59,66.67,0.29,0.44,0.59,3.47,5.18,0.53,3,0.18,0,0.0,0.53,0.24,2,0.12,0.12,1,0.06,19,1.12,31.58,21.053,0.0,0.29,40.0,0.12,0.0,0.18,66.67,0.06,0.12,50.0,1.47,40.0,0.71,2.0,0.0,51.55,0.71,0.53,67.43,91.89,27.75,86.44,4.7,98.75,60.37,96.49,6.82,53.45,20.8,41.37,0.02,0.41000000000000003,0.0,0.12,0.0,0.0,0.12,8.64,72.11,0.71,33.33,0.76,30.77,0.24,0.12,9.99,81.76,97.04,29.75,0,,0,,0,0.0,0.0,0.0,,,4.0,,4.59,0.59,0.53,11.11,0.0,2,100
I. Ogbonnaya,Ifeanyi Ogbonnaya,-530259,Valiant,Valiant,https://cdn5.wyscout.com/photos/team/public/g-20419_120x120.png,Creative Championship,"DMF, RDMF, LDMF",DMF,58,RDMF,17,LDMF,17,17.0,2008-09-04,0,,16,1516,0,0.54,1,0.5,13.18,48.2,Nigeria,['Nigeria'],right,173,65,False,9.5,6.17,55.77,2.2,59.46,0.30000000000000004,0.37,0.71,5.76,7.24,1.31,2,0.12,0,0.0,0.89,0.0,0,0.0,0.03,0,0.0,25,1.48,24.0,0.0,0.06,0.42,0.0,0.06,0.0,0.36,0.0,0.06,0.77,53.85,3.8,31.25,0.06,0.59,0.06,25.77,0.24,1.19,42.57,82.01,15.26,73.15,5.7,92.71,37.52,86.39,4.63,53.85,18.88,37.01,0.03,0.30000000000000004,0.0,0.0,0.12,100.0,0.06,6.41,66.67,1.19,30.0,0.8300000000000001,50.0,0.36,0.0,8.07,59.56,85.83,15.08,0,,0,,0,0.0,0.0,0.0,,,1.72,,2.2,0.59,0.12,50.0,0.0,0,0
N. Chibuzor,Nzeadibe Favour Chibuzor,-644826,Iganmu,Iganmu,https://cdn5.wyscout.com/photos/team/public/g-20417_120x120.png,Creative Championship,"LCB, RCB3, RCB",LCB,50,RCB3,18,RCB,15,15.0,2010-05-08,0,,16,1496,0,0.34,0,0.0,13.24,60.0,Nigeria,['Nigeria'],unknown,177,57,False,10.11,6.08,65.35,2.5300000000000002,57.14,0.24,0.30000000000000004,0.66,5.9,7.44,0.72,2,0.12,0,0.0,0.36,0.0,0,0.0,0.02,0,0.0,5,0.30000000000000004,20.0,0.0,0.0,0.24,50.0,0.0,0.0,0.24,50.0,0.0,0.42,42.86,3.37,55.36,0.18,0.84,0.12,17.21,0.36,1.9300000000000002,29.3,77.21,15.7,69.35,2.47,82.93,24.18,83.83,4.87,45.68,21.31,35.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,60.29,0.30000000000000004,20.0,0.06,0.0,0.06,0.06,7.58,54.76,89.93,8.36,0,,0,,0,0.0,0.0,0.0,,,1.26,,2.5300000000000002,0.30000000000000004,0.0,0.0,0.0,0,0
