Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Bergslid,Fredrik Sivertsen Bergslid,-270227,Lysekloster,Lysekloster,https://cdn5.wyscout.com/photos/team/public/g23810_120x120.png,2. Division,GK,GK,100,,0,,0,23.0,2001-11-27,0,2026-12-31,26,2537,0,0.0,0,0.27,1.28,72.22,Norway,['Norway'],unknown,0,0,False,1.6,0.04,0.0,0.74,90.48,0.04,0.04,0.04,1.56,1.9300000000000002,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.35000000000000003,40.0,0.04,0.0,0.0,17.74,0.18,0.25,28.49,84.06,12.7,66.76,0.04,100.0,18.77,98.11,9.72,56.93,30.16,46.83,0.01,0.04,0.04,0.04,0.0,0.0,0.04,3.3,45.16,0.18,20.0,0.14,50.0,0.11,0.0,6.35,67.6,98.01,14.3,35,1.24,125,4.43,10,72.0,33.88,1.2,-1.12,-0.04,0.0,2.06,0.74,,,,0.0,0,0.0
A. Smedplass,Andreas Smedplass,-73789,Arendal,Arendal,https://cdn5.wyscout.com/photos/team/public/g20956_120x120.png,2. Division,GK,GK,100,,0,,0,24.0,2001-02-04,0,2025-12-31,26,2533,0,0.0,0,0.0,0.36,90.0,Norway,['Norway'],right,0,0,False,1.35,0.0,0.0,0.36,90.0,0.0,0.0,0.0,1.35,1.85,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68,0.14,0.11,20.04,80.5,10.06,66.43,0.0,0.0,10.77,98.02,9.24,60.38,34.59,48.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,49.15,0.07,0.0,0.11,0.0,0.0,0.0,6.15,68.21,94.62,9.24,36,1.28,104,3.7,3,65.38,30.67,1.09,-5.33,-0.189,0.0,1.21,0.36,,,,0.0,0,0.0
F. Jacobsen,Felix Adrian Jacobsen,394548,Alta,Alta,https://cdn5.wyscout.com/photos/team/public/1621_120x120.png,2. Division,"LCMF, LCMF3, RCMF",LCMF,42,LCMF3,19,RCMF,12,27.0,1997-11-24,0,2025-12-31,26,2527,8,4.37,4,1.63,14.92,52.74,Norway,['Norway'],right,179,70,False,9.19,6.59,65.41,2.42,48.53,0.53,0.73,0.5700000000000001,4.35,5.9,0.64,3,0.11,0,0.0,1.42,0.28,8,0.28,0.16,1,0.04,42,1.5,38.1,19.048,0.14,0.61,35.29,0.25,42.86,0.28,37.5,0.14,0.93,61.54,3.7800000000000002,42.45,1.99,1.18,0.04,29.38,0.61,0.64,44.8,79.33,15.81,60.14,6.87,96.37,35.33,85.79,8.87,56.63,21.96,38.21,0.06,0.43,0.0,0.0,0.21,33.33,0.18,9.44,64.91,2.03,33.33,0.5700000000000001,12.5,0.71,0.14,8.05,73.01,90.89,17.59,0,,0,,0,0.0,0.0,0.0,,,0.64,,2.42,0.46,0.25,28.57,0.28,0,0.0
L. Kvarekvål,Lars Martin Kvarekvål,-589784,Grorud,Grorud,https://cdn5.wyscout.com/photos/team/public/g20803_120x120.png,2. Division,GK,GK,100,,0,,0,25.0,2000-02-05,0,,26,2526,0,0.0,0,0.0,0.93,88.46,Norway,['Norway'],,0,0,False,1.43,0.07,50.0,0.43,100.0,0.0,0.0,0.0,1.3900000000000001,1.81,0.04,2,0.07,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.18,100.0,0.0,0.0,0.0,15.11,0.14,0.32,29.39,87.15,14.25,75.25,0.07,100.0,20.52,98.26,8.87,61.45,30.29,47.51,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.8900000000000001,47.17,0.07,0.0,0.11,66.67,0.0,0.0,6.8100000000000005,68.59,98.24,14.14,36,1.28,101,3.6,6,64.36,30.88,1.1,-5.12,-0.182,0.04,1.78,0.43,,,,0.0,0,0.0
S. Strand,Sondre Svanes Strand,-152105,Vard,Vard,https://cdn5.wyscout.com/photos/team/public/g1606_120x120.png,2. Division,GK,GK,100,,0,,0,23.0,2002-06-18,0,2026-12-31,26,2523,1,0.51,0,0.01,0.86,62.5,Norway,['Norway'],,0,0,False,3.03,0.07,50.0,0.54,73.33,0.04,0.04,0.0,2.96,3.52,0.0,2,0.07,0,0.0,0.04,0.04,1,0.04,0.02,0,0.0,2,0.07,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,25.0,0.07,0.0,0.0,9.63,0.14,0.11,22.58,86.73,13.02,79.73,0.07,50.0,14.95,95.47,7.63,69.63,33.79,50.24,0.0,0.04,0.0,0.0,0.0,0.0,0.04,2.8200000000000003,63.29,0.25,14.29,0.11,66.67,0.04,0.0,6.8100000000000005,78.53,97.15,8.78,46,1.6400000000000001,146,5.21,1,68.49,39.16,1.4,-6.84,-0.244,0.0,1.8900000000000001,0.54,,,,0.0,0,0.0
S. Østby,Simen Østby,-346066,Pors Grenland,Pors Grenland,https://cdn5.wyscout.com/photos/team/public/g1609_120x120.png,2. Division,RCB,RCB,91,,0,,0,20.0,2005-02-10,0,2025-12-31,26,2523,4,3.22,0,0.21,13.88,63.24,Norway,['Norway'],,0,0,False,9.95,5.03,74.47,4.64,59.23,0.25,0.28,1.21,5.96,6.62,0.68,3,0.11,0,0.0,0.36,0.14,4,0.14,0.11,4,0.14,12,0.43,66.67,33.333,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.04,100.0,1.6400000000000001,52.17,0.86,1.82,0.04,29.75,0.32,0.61,42.27,88.44,15.3,76.46,2.96,96.39,37.88,92.75,4.35,50.82,21.9,40.22,0.01,0.14,0.0,0.04,0.0,0.0,0.04,5.5600000000000005,69.23,0.71,35.0,0.39,18.18,0.21,0.04,7.24,71.92,95.64,21.3,0,,0,,0,0.0,0.0,0.0,,,2.35,,4.64,0.0,0.0,0.0,0.0,0,0.0
P. Hagen,Petter Hagen,-151959,Pors Grenland,Pors Grenland,https://cdn5.wyscout.com/photos/team/public/g1609_120x120.png,2. Division,GK,GK,100,,0,,0,24.0,2001-02-26,0,,26,2523,0,0.0,0,0.36,1.32,83.78,Norway,['Norway'],,0,0,False,2.07,0.11,66.67,0.93,84.62,0.0,0.0,0.0,2.0,2.22,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.21,83.33,0.0,0.0,0.0,24.04,0.36,0.36,39.63,75.52,27.25,65.71,0.0,0.0,19.66,96.91,19.83,54.86,36.78,50.3,0.01,0.07,0.04,0.0,0.0,0.0,0.04,8.85,42.74,1.11,16.13,1.3599999999999999,23.68,0.18,0.0,12.66,73.8,97.82,11.45,48,1.71,158,5.64,4,69.62,44.13,1.57,-3.87,-0.138,0.0,2.35,0.93,,,,0.0,0,0.0
S. Vits,Senne Vits,301745,Strømmen,Strømmen,https://cdn5.wyscout.com/photos/team/public/2608_120x120.png,2. Division,GK,GK,100,,0,,0,29.0,1996-08-31,0,2025-12-31,26,2517,0,0.0,0,0.0,1.04,89.66,Belgium,['Belgium'],right,188,80,False,1.75,0.04,0.0,0.64,88.89,0.0,0.0,0.0,1.75,2.01,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.04,10.66,0.39,0.36,20.6,67.53,16.02,60.27,0.0,0.0,6.87,95.31,13.59,53.95,49.67,60.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,46.29,0.5700000000000001,25.0,0.36,20.0,0.25,0.0,9.58,78.73,95.08,4.36,24,0.86,87,3.11,9,72.41,22.3,0.8,-1.7000000000000002,-0.061,0.0,2.43,0.64,,,,0.0,0,0.0
M. Grasmo,Morten Grasmo,-125766,Sotra,Sotra,https://cdn5.wyscout.com/photos/team/public/g21009_120x120.png,2. Division,GK,GK,100,,0,,0,30.0,1995-08-24,0,,26,2511,0,0.0,0,0.0,0.5700000000000001,75.0,Norway,['Norway'],,0,0,False,1.51,0.04,100.0,0.36,100.0,0.0,0.0,0.0,1.47,1.71,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07,50.0,0.0,0.0,0.0,9.82,0.11,0.04,17.46,72.9,13.26,66.49,0.0,0.0,7.46,95.19,9.96,56.47,38.52,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,44.23,0.25,0.0,0.22,16.67,0.0,0.0,7.46,72.12,93.52,3.87,26,0.93,91,3.26,10,71.43,26.44,0.9500000000000001,0.44,0.016,0.0,1.22,0.36,,,,0.0,0,0.0
J. Skille,Jakob Römo Skille,-143422,Ullensaker / Kisa,Ullensaker / Kisa,https://cdn5.wyscout.com/photos/team/public/4497_120x120.png,2. Division,CF,CF,100,,0,,0,24.0,2001-02-06,0,,26,2509,20,16.6,3,2.31,14.85,37.2,Norway,['Norway'],right,192,0,False,2.83,2.3,57.81,4.52,38.1,0.0,0.0,0.11,1.51,1.97,0.8300000000000001,2,0.07,0,0.0,1.97,0.72,18,0.65,0.6000000000000001,2,0.07,74,2.65,51.35,27.027,0.11,0.39,45.45,0.14,50.0,0.25,42.86,0.04,0.8300000000000001,47.83,5.67,30.38,4.13,0.61,0.29,10.83,3.05,1.0,15.75,72.44,2.87,45.0,5.67,93.67,14.74,74.7,0.61,35.29,16.08,16.52,0.08,0.5700000000000001,0.04,0.0,0.11,33.33,0.36,1.18,51.52,1.08,43.33,0.07,0.0,0.61,0.18,1.33,43.24,72.88,4.23,0,,0,,0,0.0,0.0,0.0,,,0.11,,4.52,0.11,0.11,33.33,0.0,2,100.0
