Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Machado,Adolfo Abdiel Machado,73169,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/g8128_120x120.png,LPF,"RCB, LCB",RCB,69,LCB,26,,0,40.0,1985-02-14,25000,2025-12-31,31,3082,0,0.08,0,1.48,9.29,59.75,Panama,['Panama'],right,181,71,False,7.36,3.56,68.85,3.62,56.45,0.2,0.26,0.58,4.7,5.93,0.41000000000000003,5,0.15,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,2,0.06,0.0,0.0,0.0,0.32,54.55,0.15,80.0,0.18,33.33,0.03,0.0,0.0,0.53,33.33,0.09,0.15,0.0,9.55,0.09,0.32,22.08,76.72,13.02,68.83,0.85,96.55,16.0,82.85,5.78,60.61,24.37,34.56,0.04,0.88,0.03,0.0,0.0,0.0,0.09,3.33,62.28,0.29,50.0,0.23,50.0,0.06,0.15,6.57,67.56,89.67,7.07,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.62,0.38,0.0,0.0,0.0,0,0.0
J. Guerra,José Carlos Guerra,350067,Tauro,Tauro,https://cdn5.wyscout.com/photos/team/public/3946_120x120.png,LPF,GK,GK,100,,0,,0,31.0,1994-09-12,125000,,30,2942,0,0.0,0,0.0,0.7000000000000001,78.26,Panama,['Panama'],,185,68,False,1.53,0.15,20.0,0.34,90.91,0.0,0.0,0.0,1.5,2.2800000000000002,0.06,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,12.6,0.15,0.12,21.9,88.55,11.62,81.05,0.03,0.0,15.69,98.83,6.18,62.87,31.24,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,64.29,0.06,0.0,0.21,71.43,0.0,0.0,4.8,78.98,97.5,9.79,46,1.4100000000000001,157,4.8,5,70.7,48.56,1.49,2.56,0.078,0.0,1.32,0.34,,,,0.0,0,0.0
E. Chanis,Emanuel Raphael Chanis Muñoz,409592,CD Universitario,CD Universitario,https://cdn5.wyscout.com/photos/team/public/g-8835_120x120.png,LPF,RCB,RCB,84,,0,,0,26.0,1998-12-21,125000,,30,2835,2,1.1400000000000001,1,0.5700000000000001,11.21,60.91,Panama,['Panama'],,174,76,False,8.1,5.11,70.19,4.0,55.56,0.51,0.77,0.54,4.0,6.09,0.73,8,0.25,1,0.03,0.35000000000000003,0.06,2,0.06,0.04,1,0.03,29,0.92,13.79,6.897,0.03,0.1,33.33,0.0,0.0,0.1,33.33,0.0,0.22,85.71,0.86,59.26,0.73,0.48,0.03,20.98,0.44,0.35000000000000003,35.37,84.83,15.49,75.2,1.9,95.0,27.21,91.95,8.1,61.57,25.96,42.44,0.02,0.1,0.0,0.0,0.0,0.0,0.03,4.41,54.68,0.41000000000000003,38.46,0.13,75.0,0.16,0.03,8.19,72.87,93.85,16.0,0,,0,,0,0.0,0.0,0.0,,,1.56,,4.0,0.41000000000000003,0.38,16.67,0.0,0,0.0
Sergio Ramírez,Sergio Vidal Ramírez Chavez,-72575,Independiente,Independiente,https://cdn5.wyscout.com/photos/team/public/g24398_120x120.png,LPF,"RCB, CB",RCB,61,CB,22,,0,28.0,1996-12-27,150000,2027-12-31,28,2747,0,0.8200000000000001,0,0.08,14.19,64.67,Panama,['Panama'],right,182,0,False,8.26,6.52,74.87,5.05,58.44,0.0,0.0,0.33,3.37,4.82,0.88,7,0.23,0,0.0,0.26,0.0,0,0.0,0.03,0,0.0,11,0.36,27.27,0.0,0.0,0.1,33.33,0.03,0.0,0.07,50.0,0.0,0.16,80.0,1.24,55.26,0.36,0.56,0.0,23.36,0.23,0.59,36.37,86.13,17.2,76.38,1.8,94.55,30.47,92.69,5.8,52.54,23.02,40.31,0.0,0.07,0.0,0.03,0.0,0.0,0.03,5.14,65.61,0.49,33.33,0.52,31.25,0.07,0.03,8.45,74.03,96.66,14.71,0,,0,,0,0.0,0.0,0.0,,,1.24,,5.05,0.0,0.0,0.0,0.0,0,0.0
Héctor Hurtado,Héctor Humberto Hurtado Biscanio,-244972,Independiente,Independiente,https://cdn5.wyscout.com/photos/team/public/g24398_120x120.png,LPF,"DMF, RCMF, LCMF",DMF,20,RCMF,19,LCMF,16,26.0,1998-12-23,150000,,28,2708,2,1.0,1,2.04,14.76,54.28,Panama,['Panama'],,0,0,False,7.25,7.15,63.26,1.46,36.36,0.0,0.0,0.07,2.73,3.77,1.3599999999999999,5,0.17,1,0.03,1.0,0.07,2,0.07,0.03,0,0.0,25,0.8300000000000001,32.0,8.0,0.03,0.53,18.75,0.23,0.0,0.30000000000000004,33.33,0.1,0.86,61.54,4.52,49.26,0.30000000000000004,0.93,0.1,32.24,0.47000000000000003,0.8300000000000001,46.2,83.17,16.52,71.03,4.59,94.2,39.28,87.9,6.45,58.76,21.4,37.85,0.07,0.7000000000000001,0.03,0.0,0.13,75.0,0.17,9.97,67.0,1.96,44.07,0.63,47.37,0.63,0.1,9.34,81.14,90.76,20.14,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.46,0.27,0.17,60.0,0.13,0,0.0
G. Torres,Gabriel Arturo Torres Tejada,22326,Tauro,Tauro,https://cdn5.wyscout.com/photos/team/public/3946_120x120.png,LPF,CF,CF,80,,0,,0,37.0,1988-10-31,100000,2025-12-31,32,2693,7,8.16,4,4.39,12.9,39.12,Panama,['Panama'],right,180,78,False,2.07,2.84,42.35,1.34,35.0,0.03,0.05,0.03,0.84,1.2,1.4,7,0.23,0,0.0,1.94,0.23,4,0.13,0.27,0,0.0,50,1.67,42.0,14.0,0.13,1.04,32.26,0.53,43.75,0.5,20.0,0.17,1.4,61.9,6.62,38.38,1.77,0.7000000000000001,0.03,14.2,2.04,1.74,18.38,71.45,5.65,56.21,3.51,88.57,15.51,77.16,1.97,45.76,18.85,31.12,0.15,1.34,0.07,0.0,0.1,33.33,0.47000000000000003,3.51,61.9,1.9,38.6,0.47000000000000003,28.57,1.04,0.33,3.04,79.12,76.5,6.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.34,1.27,0.30000000000000004,44.44,1.47,4,75.0
Rodrigo Tello,Rodrigo Tello Valor,-336843,Sporting San Miguelito,Sporting San Miguelito,https://cdn5.wyscout.com/photos/team/public/g8135_120x120.png,LPF,"DMF, RCMF, LCMF",DMF,25,RCMF,17,LCMF,15,22.0,2003-08-18,0,,28,2691,5,2.7800000000000002,2,1.3900000000000001,14.05,53.1,Panama,['Panama'],unknown,0,0,False,5.82,4.55,64.71,2.37,40.85,0.17,0.25,0.30000000000000004,2.71,4.0,0.9,6,0.2,0,0.0,1.3,0.17,5,0.17,0.09,2,0.07,37,1.24,29.73,13.514,0.07,0.7000000000000001,33.33,0.27,12.5,0.4,50.0,0.03,1.07,59.38,5.72,48.54,0.67,0.97,0.07,24.35,0.33,1.74,36.92,77.45,17.32,66.8,3.04,89.01,28.63,85.4,7.59,51.54,21.0,38.25,0.05,0.64,0.03,0.03,0.30000000000000004,22.22,0.43,9.46,61.84,2.68,46.25,1.6400000000000001,34.69,1.0,0.23,9.43,80.14,88.35,11.77,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.37,0.37,0.0,0.0,0.0,0,0.0
E. Góndola,Edgar Góndola Antioco,502106,San Francisco,San Francisco,https://cdn5.wyscout.com/photos/team/public/3803_120x120.png,LPF,RCB,RCB,90,,0,,0,32.0,1993-03-13,100000,2025-12-31,28,2687,1,0.78,2,0.33,10.22,58.69,Panama,['Panama'],right,182,78,False,8.04,4.49,61.94,3.92,58.97,0.07,0.11,0.37,5.19,8.35,0.97,8,0.27,0,0.0,0.13,0.03,1,0.03,0.03,1,0.03,7,0.23,28.57,14.286,0.07,0.07,100.0,0.03,100.0,0.03,100.0,0.03,0.03,0.0,0.7000000000000001,38.1,0.47000000000000003,0.37,0.0,21.1,0.2,0.33,35.47,85.84,17.12,76.71,3.08,97.83,27.97,91.62,7.44,63.96,22.74,34.83,0.01,0.07,0.0,0.0,0.0,0.0,0.03,3.55,60.38,0.30000000000000004,22.22,0.23,42.86,0.07,0.07,7.74,72.73,94.95,13.26,0,,0,,0,0.0,0.0,0.0,,,2.58,,3.92,0.0,0.0,0.0,0.0,0,0.0
Orman Davis,Orman Davis,-243730,Independiente,Independiente,https://cdn5.wyscout.com/photos/team/public/g24398_120x120.png,LPF,"LCB, LCB3",LCB,55,LCB3,31,,0,22.0,2002-12-25,150000,,30,2687,1,0.8300000000000001,0,0.72,11.79,62.22,Panama,['Panama'],left,0,0,False,9.08,5.79,72.83,3.48,51.92,0.0,0.0,0.5700000000000001,4.86,7.04,0.87,6,0.2,0,0.0,0.30000000000000004,0.03,1,0.03,0.03,0,0.0,6,0.2,50.0,16.667,0.0,0.27,37.5,0.27,37.5,0.0,0.0,0.07,0.07,100.0,1.0,56.67,0.33,0.5700000000000001,0.03,27.83,0.37,0.54,43.68,82.59,22.61,72.15,2.18,95.38,34.53,91.76,8.88,48.3,23.5,39.23,0.02,0.17,0.0,0.03,0.07,50.0,0.17,6.97,57.69,1.21,27.78,0.77,21.74,0.23,0.1,10.28,70.36,95.64,16.14,0,,0,,0,0.0,0.0,0.0,,,1.67,,3.48,0.07,0.07,50.0,0.0,0,0.0
E. Carrasquilla,Edilson Denilson Carrasquilla Alcazar,498455,San Francisco,San Francisco,https://cdn5.wyscout.com/photos/team/public/3803_120x120.png,LPF,"RCMF, RCMF3, LCMF3",RCMF,17,RCMF3,16,LCMF3,16,23.0,2002-06-06,125000,2025-12-31,29,2683,1,1.46,0,0.56,14.86,55.3,Panama,['Panama'],,0,0,False,6.94,5.57,68.07,2.65,50.63,0.03,0.05,0.1,3.12,4.87,1.27,5,0.17,0,0.0,1.07,0.03,1,0.03,0.05,0,0.0,22,0.74,31.82,4.545,0.0,0.5700000000000001,29.41,0.1,0.0,0.47000000000000003,35.71,0.13,1.1400000000000001,58.82,5.13,46.41,0.67,1.58,0.1,27.94,0.81,1.27,38.48,85.09,13.32,73.8,5.64,94.64,34.95,89.92,2.99,38.2,19.1,32.06,0.02,0.30000000000000004,0.07,0.0,0.07,0.0,0.1,6.31,72.34,1.1400000000000001,41.18,0.47000000000000003,14.29,0.30000000000000004,0.2,6.07,74.59,90.93,14.79,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,2.65,0.0,0.0,0.0,0.0,0,0.0
