Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rodrigo Pinto,Rodrigo Carvalho Peixinho Pinto,-339942,Gil Vicente U19,Gil Vicente U19,https://cdn5.wyscout.com/photos/team/public/g30341_120x120.png,Júniores U19,"RCB, RCB3",RCB,76,RCB3,21,,0,19.0,2007-01-29,0,,27,2570,0,0.92,0,0.17,10.37,59.46,Portugal,['Portugal'],,0,0,False,7.32,5.18,69.59,3.15,56.67,0.07,0.08,0.56,3.64,4.42,0.42,2,0.07,0,0.0,0.11,0.0,0,0.0,0.03,0,0.0,9,0.32,11.11,0.0,0.0,0.07,50.0,0.04,0.0,0.04,100.0,0.04,0.11,33.33,0.9500000000000001,25.93,0.56,0.28,0.04,22.03,0.28,0.35000000000000003,35.09,84.03,14.71,70.0,2.07,93.22,27.98,91.11,7.04,56.22,24.1,42.12,0.01,0.14,0.04,0.04,0.0,0.0,0.04,3.96,59.29,0.46,23.08,0.35000000000000003,40.0,0.14,0.04,7.8100000000000005,62.78,95.81,15.86,0,,0,,0,0.0,0.0,0.0,,,1.44,,3.15,0.0,0.0,0.0,0.0,0,0.0
Miguel Almeida,Miguel Dias de Almeida,-541564,Sporting CP U23,Sporting CP U19,https://cdn5.wyscout.com/photos/team/public/g-8986_120x120.png,Liga Revelação Sub 23,"CF, AMF",CF,78,AMF,15,,0,19.0,2007-02-01,0,,26,2479,17,17.74,0,0.87,17.24,36.63,Portugal,['Portugal'],right,175,65,False,3.41,3.27,55.56,6.39,38.07,0.0,0.0,0.25,1.6,2.85,1.96,5,0.18,0,0.0,1.82,0.62,14,0.51,0.64,5,0.18,76,2.76,46.05,22.368,0.0,0.54,40.0,0.18,40.0,0.36,40.0,0.11,0.65,50.0,4.94,29.41,3.85,0.36,0.04,9.98,2.25,1.16,15.18,77.99,2.47,63.24,5.52,89.47,14.27,80.41,0.44,50.0,14.69,11.37,0.03,0.33,0.0,0.07,0.0,0.0,0.22,0.73,75.0,0.4,54.55,0.0,0.0,0.15,0.15,1.27,54.29,76.47,3.7,0,,0,,0,0.0,0.0,0.0,,,0.44,,6.39,0.0,0.0,0.0,0.04,4,75.0
André Machado,André Cavalleri Machado,-552533,Sporting CP U23,Sporting CP U19,https://cdn5.wyscout.com/photos/team/public/g-8986_120x120.png,Liga Revelação Sub 23,RB,RB,95,,0,,0,18.0,2008-01-16,0,,26,2468,4,2.29,3,3.8200000000000003,15.79,51.73,Portugal,['Portugal'],unknown,0,0,False,8.02,6.97,63.87,2.59,49.3,0.29,0.52,0.26,3.2800000000000002,5.9,0.98,2,0.07,0,0.0,2.12,0.15,4,0.15,0.08,0,0.0,22,0.8,36.36,18.182,0.11,3.03,39.76,0.11,66.67,2.92,38.75,0.44,1.24,41.18,4.27,42.74,0.98,0.84,0.07,24.25,1.31,0.91,34.94,75.05,15.43,68.32,4.8100000000000005,93.18,26.69,83.47,5.47,54.0,20.83,37.49,0.14,1.02,0.07,0.0,0.18,60.0,0.55,5.51,62.91,3.79,50.0,1.06,48.28,0.98,1.09,9.01,75.3,76.98,10.14,0,,0,,0,0.0,0.0,0.0,,,0.84,,2.59,0.15,0.15,25.0,0.07,0,0.0
Martim Marto,Martim Fragoso Marto,-551887,Academico Viseu U23,Academico Viseu U19,https://cdn5.wyscout.com/photos/team/public/g-19192_120x120.png,Liga Revelação Sub 23,LB,LB,91,,0,,0,18.0,2008-03-20,0,,25,2276,0,0.22,0,0.6900000000000001,14.79,64.71,Portugal,['Portugal'],left,170,57,False,9.85,6.68,73.96,2.21,64.29,0.32,0.43,0.12,4.59,6.2,0.51,3,0.12,0,0.0,1.62,0.0,0,0.0,0.01,0,0.0,11,0.43,27.27,0.0,0.0,1.98,30.0,1.82,32.61,0.16,0.0,0.28,1.58,55.0,4.59,56.03,0.28,1.23,0.08,16.25,1.94,1.27,27.09,65.4,13.8,58.45,4.07,85.44,20.88,75.19,4.47,34.51,21.15,39.1,0.03,0.51,0.0,0.0,0.04,100.0,0.12,4.63,50.43,1.98,34.0,0.2,40.0,0.4,0.75,7.47,58.73,69.54,5.97,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.21,0.0,0.0,0.0,0.0,0,0.0
Vasco Silva,Vasco Soares de Melo Duarte Silva,-358672,Torreense U19,Torreense U19,https://cdn5.wyscout.com/photos/team/public/g25075_120x120.png,Júniores U19,RCB,RCB,97,,0,,0,18.0,2007-07-19,0,,24,2272,2,0.91,0,0.03,7.33,68.65,Portugal,['Portugal'],right,190,75,False,5.86,3.13,72.15,2.69,70.59,0.08,0.11,0.55,3.5300000000000002,4.74,0.44,1,0.04,0,0.0,0.28,0.08,2,0.08,0.04,2,0.08,6,0.24,83.33,33.333,0.0,0.12,33.33,0.04,0.0,0.04,100.0,0.0,0.16,25.0,0.67,41.18,0.67,0.12,0.04,22.62,0.08,0.24,37.08,83.65,13.19,64.26,1.54,87.18,31.97,90.46,4.99,41.27,21.04,39.05,0.0,0.16,0.04,0.0,0.0,0.0,0.0,3.25,41.46,0.32,0.0,0.32,0.0,0.08,0.04,6.14,56.77,97.28,18.93,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.69,0.0,0.0,0.0,0.04,0,0.0
Martim Pereira,Martim Alexandre Correia Pereira,-339934,Gil Vicente U23,Gil Vicente U19,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Revelação Sub 23,GK,GK,100,,0,,0,19.0,2007-04-17,0,,23,2218,0,0.0,0,0.28,0.97,87.5,Portugal,['Portugal'],,0,0,False,1.9500000000000002,0.08,0.0,0.6900000000000001,94.12,0.0,0.0,0.0,1.9500000000000002,2.35,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,13.23,0.16,0.45,23.21,80.42,12.62,69.13,0.04,0.0,14.4,93.8,8.81,58.53,34.07,50.71,0.01,0.08,0.0,0.0,0.0,0.0,0.04,2.76,42.65,0.45,18.18,0.16,50.0,0.08,0.0,7.1,71.43,94.07,9.58,35,1.42,151,6.13,7,76.82,42.04,1.71,7.04,0.28600000000000003,0.0,2.19,0.6900000000000001,,,,0.0,0,0.0
Holivan Almeida,Holivan  Oseias Silva Almeida,-551920,Academico Viseu U23,Academico Viseu U19,https://cdn5.wyscout.com/photos/team/public/g-19192_120x120.png,Liga Revelação Sub 23,DMF,DMF,80,,0,,0,19.0,2007-01-26,0,,23,2210,1,0.93,2,0.7000000000000001,21.01,57.56,Angola,['Angola'],unknown,0,0,False,11.32,9.77,69.17,2.48,63.93,0.12,0.16,0.2,4.44,5.96,2.12,4,0.16,2,0.08,0.53,0.04,1,0.04,0.04,0,0.0,10,0.41000000000000003,20.0,10.0,0.08,0.29,14.29,0.2,20.0,0.08,0.0,0.0,0.6900000000000001,58.82,6.07,42.95,0.61,0.5700000000000001,0.12,14.74,0.2,1.02,27.65,83.36,7.57,66.13,4.48,90.0,25.74,86.71,1.63,42.5,17.27,32.36,0.03,0.16,0.04,0.04,0.0,0.0,0.12,2.04,58.0,0.45,63.64,0.0,0.0,0.33,0.0,3.14,50.65,93.08,11.77,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.48,0.0,0.0,0.0,0.0,0,0.0
Rodrigo Fernandes,Rodrigo Esteves  Fernandes,-552287,Torreense U23,Torreense U19,https://cdn5.wyscout.com/photos/team/public/g-19193_120x120.png,Liga Revelação Sub 23,"RCMF, DMF",RCMF,71,DMF,15,,0,18.0,2007-06-22,0,,23,2193,1,0.25,0,0.23,15.64,56.96,Portugal,['Portugal'],right,175,50,False,9.11,6.73,70.12,2.87,47.14,0.33,0.44,0.5700000000000001,4.06,5.5,0.9,3,0.12,0,0.0,0.45,0.04,1,0.04,0.01,0,0.0,7,0.29,14.29,14.286,0.0,0.16,75.0,0.0,0.0,0.16,75.0,0.0,0.37,77.78,4.15,46.53,0.12,0.5700000000000001,0.0,15.02,0.08,1.03,26.18,84.8,7.76,68.25,4.31,97.14,23.93,88.51,2.09,43.14,17.63,32.87,0.01,0.08,0.0,0.08,0.0,0.0,0.04,3.45,53.57,0.78,36.84,0.04,0.0,0.16,0.12,3.45,61.9,91.41,10.51,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.87,0.33,0.04,0.0,0.45,0,0.0
Tomás Correia,Tomás Miguel Costa Correia,-526589,Tondela U19,Tondela U19,https://cdn5.wyscout.com/photos/team/public/g34460_120x120.png,Júniores U19,"RCB, LCB, CB",RCB,49,LCB,23,CB,21,19.0,2007-03-28,0,,23,2174,1,1.19,0,0.06,7.53,67.58,Portugal,['Portugal'],unknown,0,0,False,6.04,3.52,75.29,2.11,62.75,0.17,0.24,0.5,3.23,4.7,0.25,1,0.04,0,0.0,0.33,0.04,1,0.04,0.05,1,0.04,6,0.25,33.33,16.667,0.0,0.17,75.0,0.0,0.0,0.17,75.0,0.04,0.21,60.0,0.91,50.0,0.54,0.37,0.04,13.16,0.08,0.21,26.74,72.14,13.21,57.99,1.2,89.66,18.88,83.77,7.7,43.55,25.35,39.67,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4.64,48.21,0.9500000000000001,39.13,0.66,25.0,0.25,0.12,7.41,55.87,90.51,10.47,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.11,0.0,0.0,0.0,0.0,0,0.0
José Franco,José Francisco Marques Franco,-427859,Santa Clara U23,Santa Clara U19,https://cdn5.wyscout.com/photos/team/public/g-19194_120x120.png,Liga Revelação Sub 23,"LB, LB5, LWB",LB,42,LB5,21,LWB,20,19.0,2007-03-21,0,,22,2147,2,1.92,1,2.9699999999999998,15.51,51.62,Portugal,['Portugal'],,0,0,False,6.79,5.66,64.44,2.22,43.4,0.13,0.19,0.13,3.02,4.53,1.09,2,0.08,0,0.0,1.76,0.08,1,0.04,0.08,1,0.04,14,0.59,57.14,14.286,0.04,1.6800000000000002,25.0,1.63,25.64,0.04,0.0,0.38,1.72,58.54,5.83,42.45,1.34,1.51,0.25,17.52,2.01,1.43,27.41,69.42,13.16,64.01,3.73,84.27,23.6,74.6,2.14,47.06,16.34,29.34,0.12,1.17,0.0,0.0,0.0,0.0,0.17,3.19,59.21,2.1,42.0,0.04,100.0,0.88,0.42,5.78,61.59,68.09,5.91,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.22,0.59,0.04,100.0,1.43,1,100.0
