Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Guilherme Oliveira,Guilherme Mata Oliveira,261874,CF Os Belenenses,CF Os Belenenses,https://cdn5.wyscout.com/photos/team/public/g-13865_120x120.png,Liga 3,GK,GK,100,,0,,0,31.0,1995-04-12,0,2026-06-30,32,3157,0,0.0,0,0.0,0.6000000000000001,80.95,Portugal,['Portugal'],right,189,82,False,1.54,0.0,0.0,0.31,90.91,0.0,0.0,0.0,1.54,2.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.11,50.0,0.0,0.0,0.0,13.57,0.29,0.23,21.32,83.56,11.66,71.39,0.06,50.0,14.2,98.19,7.04,55.06,31.36,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,39.51,0.2,0.0,0.2,14.29,0.0,0.0,4.73,68.67,99.35,8.78,32,0.91,113,3.22,12,71.68,36.26,1.03,4.26,0.121,0.0,1.03,0.31,,,,0.0,0,0.0
Ricardo Teixeira,Ricardo Jorge Martins Teixeira,-162754,Académica,Académica,https://cdn5.wyscout.com/photos/team/public/168_120x120.png,Liga 3,RCB,RCB,88,,0,,0,24.0,2001-06-07,150000,2026-06-30,32,3151,1,1.99,0,0.03,12.37,59.82,Portugal,['Portugal'],right,188,83,False,7.25,3.8,64.66,4.48,53.5,0.46,0.66,0.43,4.34,6.26,0.63,5,0.14,0,0.0,0.29,0.03,1,0.03,0.06,0,0.0,12,0.34,50.0,8.333,0.0,0.14,40.0,0.03,0.0,0.11,50.0,0.0,0.14,40.0,1.4,61.22,0.66,0.6900000000000001,0.09,23.16,0.17,1.09,37.99,84.44,15.08,69.89,2.43,95.29,32.93,90.46,4.91,45.35,21.4,36.38,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.26,61.07,0.29,50.0,0.09,33.33,0.14,0.06,6.94,59.26,95.86,17.25,0,,0,,0,0.0,0.0,0.0,,,1.29,,4.48,0.0,0.0,0.0,0.0,0,0.0
Martim Duarte,Martim  Silva Duarte,-186887,Amarante,Amarante,https://cdn5.wyscout.com/photos/team/public/g11612_120x120.png,Liga 3,GK,GK,100,,0,,0,23.0,2003-01-17,0,,31,3037,0,0.0,0,0.2,0.8,100.0,Portugal,['Portugal'],,185,88,False,1.63,0.06,100.0,0.56,100.0,0.03,0.04,0.0,1.54,1.85,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,11.14,0.21,0.27,19.53,72.69,12.45,58.57,0.06,50.0,8.77,96.96,10.7,53.19,37.33,50.73,0.01,0.03,0.0,0.03,0.0,0.0,0.03,3.56,34.17,0.47000000000000003,18.75,0.44,26.67,0.06,0.0,6.85,71.0,98.61,6.4,26,0.77,116,3.44,12,77.59,32.54,0.96,6.54,0.194,0.0,1.63,0.56,,,,0.0,0,0.0
Carlos Alves,Carlos Reinaldo Moreira Alves,374805,Académica,Académica,https://cdn5.wyscout.com/photos/team/public/168_120x120.png,Liga 3,GK,GK,100,,0,,0,28.0,1998-02-18,0,2026-06-30,30,2982,0,0.0,0,0.0,0.63,85.71,Portugal,['Portugal'],right,187,80,False,1.72,0.09,66.67,0.36,83.33,0.03,0.04,0.0,1.63,2.36,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,9.48,0.18,0.15,15.91,80.27,9.54,70.57,0.0,0.0,8.99,97.99,6.91,57.21,34.35,51.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,47.14,0.15,40.0,0.15,40.0,0.06,0.0,4.53,75.33,93.89,5.43,30,0.91,103,3.11,9,70.87,28.25,0.85,-1.75,-0.053,0.0,1.3,0.36,,,,0.0,0,0.0
Rui Ferreira,Rui Pedro Fernandes Ferreira,-160940,Amarante,Amarante,https://cdn5.wyscout.com/photos/team/public/g11612_120x120.png,Liga 3,"LB5, LWB, LB",LB5,56,LWB,31,LB,11,24.0,2002-04-24,0,2026-06-30,31,2973,2,1.79,3,3.19,15.83,48.37,Portugal,['Portugal'],left,185,75,True,7.78,6.05,62.5,2.24,52.7,0.18,0.22,0.09,3.81,4.57,1.24,6,0.18,0,0.0,2.09,0.06,2,0.06,0.05,0,0.0,25,0.76,24.0,8.0,0.09,2.75,27.47,2.6,26.74,0.15,40.0,0.21,1.79,59.32,5.15,34.12,0.58,0.97,0.15,18.77,1.27,0.64,28.34,69.12,12.26,59.75,4.75,94.27,21.25,80.77,4.45,38.1,20.64,35.85,0.1,0.88,0.06,0.03,0.09,100.0,0.21,4.63,58.17,2.6,34.88,0.36,33.33,0.18,0.7000000000000001,7.27,66.67,69.43,6.93,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.24,1.15,0.03,100.0,2.0,0,0.0
Diogo Gomes,Diogo Miguel Ribeiro Gomes,-136390,Trofense,Trofense,https://cdn5.wyscout.com/photos/team/public/1260_120x120.png,Liga 3,"CB, RCB, DMF",CB,59,RCB,18,DMF,12,25.0,2000-10-06,125000,2026-06-30,30,2957,1,1.96,0,0.31,16.56,63.24,Portugal,['Portugal'],right,197,88,False,9.77,5.27,73.99,6.06,65.33,0.24,0.38,0.61,5.63,8.84,1.25,8,0.24,0,0.0,0.46,0.03,1,0.03,0.06,1,0.03,14,0.43,35.71,7.143,0.0,0.21,28.57,0.12,25.0,0.09,33.33,0.0,0.37,66.67,1.8,33.9,1.1,0.52,0.09,22.37,0.4,0.55,39.05,82.39,16.31,69.78,4.29,95.04,32.72,88.09,6.12,53.73,22.47,40.42,0.01,0.15,0.0,0.0,0.0,0.0,0.03,5.05,55.42,0.55,22.22,0.30000000000000004,40.0,0.15,0.06,7.27,67.78,92.09,15.01,0,,0,,0,0.0,0.0,0.0,,,2.4,,6.06,0.0,0.0,0.0,0.0,0,0.0
João Ricardo,João Ricardo  Meireles Machado,-161438,União Santarém,União Santarém,https://cdn5.wyscout.com/photos/team/public/g-10881_120x120.png,Liga 3,"LWB, LB, LB5",LWB,42,LB,38,LB5,17,24.0,2001-11-02,0,2026-06-30,32,2939,1,0.93,5,3.18,21.41,55.51,Portugal,['Portugal'],left,178,70,False,11.09,7.66,72.0,3.67,45.0,0.61,0.85,0.21,4.96,6.92,1.26,3,0.09,0,0.0,2.24,0.03,1,0.03,0.03,0,0.0,15,0.46,26.67,6.667,0.15,3.64,27.73,3.4,27.03,0.21,28.57,0.43,2.2,50.0,7.41,48.35,1.1,2.45,0.4,22.54,1.5,1.62,35.37,71.69,15.46,62.18,6.31,95.15,26.92,84.3,5.08,33.73,20.4,38.5,0.1,0.89,0.0,0.03,0.0,0.0,0.49,5.05,52.73,3.22,38.1,0.18,16.67,0.52,1.1,7.47,60.25,70.24,8.85,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.67,0.77,0.03,100.0,1.01,0,0.0
António Montez,António Luis Cavaco Silva Sá Montez,-123709,Académica,Académica,https://cdn5.wyscout.com/photos/team/public/168_120x120.png,Liga 3,"DMF, RDMF",DMF,54,RDMF,12,,0,24.0,2001-09-29,0,2026-06-30,30,2851,3,2.93,2,0.44,17.8,51.06,Portugal,['Portugal'],right,184,76,False,8.02,5.75,67.03,6.0,50.0,0.32,0.46,0.22,3.85,5.58,0.98,4,0.13,0,0.0,0.98,0.09,3,0.09,0.09,2,0.06,28,0.88,46.43,10.714,0.06,0.22,42.86,0.03,0.0,0.19,50.0,0.06,0.63,70.0,4.32,37.96,1.2,0.73,0.19,14.43,0.28,0.47000000000000003,25.82,80.81,8.43,64.79,4.64,91.84,23.45,84.66,2.15,42.65,17.88,28.98,0.01,0.22,0.06,0.0,0.06,50.0,0.13,3.5700000000000003,69.91,0.44,64.29,0.16,20.0,0.32,0.06,3.54,64.29,91.78,9.22,0,,0,,0,0.0,0.0,0.0,,,0.44,,6.0,0.0,0.0,0.0,0.0,0,0.0
Leandro Silva,Leandro Miguel Pereira Da Silva,161774,Académica,Académica,https://cdn5.wyscout.com/photos/team/public/168_120x120.png,Liga 3,"RCMF, LCMF, LCMF3",RCMF,21,LCMF,18,LCMF3,13,32.0,1994-05-04,225000,2027-06-30,31,2846,6,5.91,9,8.59,8.79,51.08,Portugal,['Portugal'],right,173,70,False,4.8100000000000005,3.61,59.65,0.98,22.58,0.28,0.41000000000000003,0.06,2.37,3.39,0.79,6,0.19,1,0.03,1.96,0.19,1,0.03,0.19,0,0.0,46,1.45,45.65,13.043,0.28,2.09,34.85,0.66,33.33,1.42,35.56,0.44,0.76,70.83,2.66,51.19,1.1400000000000001,0.7000000000000001,0.03,32.83,0.7000000000000001,0.7000000000000001,46.71,75.9,19.92,64.44,4.93,94.23,34.25,85.5,10.37,52.44,21.95,39.19,0.27,2.56,0.06,0.03,0.09,33.33,0.44,11.38,62.22,3.86,50.82,0.92,55.17,1.1400000000000001,0.89,10.82,78.95,85.54,15.75,0,,0,,0,0.0,0.0,0.0,,,0.73,,0.98,2.18,0.16,60.0,3.26,5,100.0
Kauê Alves,Kauê Luiz Alves de Souza,-438898,Mafra,Mafra,https://cdn5.wyscout.com/photos/team/public/2249_120x120.png,Liga 3,"LCB, LCB3, RCB",LCB,60,LCB3,14,RCB,11,20.0,2006-01-15,0,2026-06-30,30,2834,0,0.9400000000000001,0,0.46,14.26,61.25,Brazil,['Brazil'],unknown,0,0,False,8.23,5.49,75.72,3.5300000000000002,54.95,0.25,0.37,0.48,3.81,5.49,0.8300000000000001,7,0.22,1,0.03,0.64,0.0,0,0.0,0.03,0,0.0,10,0.32,30.0,0.0,0.0,0.67,38.1,0.19,33.33,0.48,40.0,0.06,0.51,50.0,2.51,43.04,0.54,1.05,0.25,19.31,0.38,0.92,33.88,84.25,13.91,72.37,2.89,94.51,28.2,90.88,5.02,53.16,21.91,36.57,0.01,0.13,0.06,0.03,0.06,50.0,0.13,4.22,60.15,0.89,57.14,0.25,25.0,0.25,0.32,6.32,65.83,93.91,14.07,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.5300000000000002,0.0,0.0,0.0,0.0,0,0.0
