Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Xavier Cavaco,Xavier Teixeira Mendes Cavaco,-551694,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCMF, RCMF, LDMF",LCMF,45,RCMF,19,LDMF,13,20.0,2006-02-06,0,,31,3009,4,3.95,1,3.07,16.54,55.7,Portugal,['Portugal'],both,179,65,False,10.65,7.93,69.06,2.7800000000000002,39.78,1.02,1.31,0.30000000000000004,4.16,5.36,0.81,2,0.06,0,0.0,1.4100000000000001,0.12,4,0.12,0.12,0,0.0,38,1.1400000000000001,50.0,10.526,0.03,0.66,50.0,0.33,63.64,0.33,36.36,0.18,0.87,48.28,3.62,46.28,1.76,0.81,0.12,19.83,0.96,1.1400000000000001,30.81,83.11,8.97,70.67,5.02,94.64,27.88,86.16,2.33,56.41,18.31,32.84,0.09,0.48,0.0,0.03,0.21,42.86,0.33,3.92,70.99,1.35,51.11,0.48,18.75,0.45,0.30000000000000004,4.64,65.16,92.04,12.02,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.7800000000000002,0.0,0.0,0.0,0.06,0,0.0
R. Barrett,Ronaldo Barrett,-410498,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCB, LCB3",LCB,83,LCB3,12,,0,19.0,2006-07-04,0,,31,2962,0,0.97,0,0.61,9.3,58.5,Jamaica,['Jamaica'],unknown,0,0,False,7.69,3.46,77.19,2.07,57.35,0.03,0.04,0.76,4.98,6.41,0.27,2,0.06,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,12,0.36,16.67,0.0,0.0,0.18,0.0,0.15,0.0,0.03,0.0,0.0,0.36,58.33,2.04,29.85,0.67,1.37,0.0,27.35,0.46,0.21,43.21,81.29,19.17,68.15,3.4,93.75,34.85,88.84,8.2,50.74,24.04,40.85,0.02,0.12,0.0,0.03,0.03,0.0,0.06,5.96,50.51,0.85,21.43,0.61,35.0,0.18,0.0,9.51,59.42,93.74,17.96,0,,0,,0,0.0,0.0,0.0,,,2.4,,2.07,0.0,0.0,0.0,0.0,0,0.0
Sebastião Leandro,Sebastião Sebastião Leandro,-551921,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LB, RB, LWB",LB,51,RB,23,LWB,12,19.0,2006-10-16,0,,31,2794,4,3.19,1,1.21,19.62,51.72,Portugal,['Portugal'],unknown,0,0,False,10.63,8.92,63.54,2.35,38.36,0.48,0.63,0.16,4.48,5.86,1.3900000000000001,4,0.13,0,0.0,2.03,0.13,4,0.13,0.1,1,0.03,24,0.77,41.67,16.667,0.03,1.71,33.96,1.48,36.96,0.23,14.29,0.35000000000000003,2.16,50.75,6.06,39.89,1.22,1.35,0.06,18.39,1.3900000000000001,1.19,29.7,75.05,12.69,67.01,4.93,93.46,25.71,80.33,2.38,45.95,18.05,31.32,0.04,0.32,0.0,0.06,0.06,50.0,0.13,3.96,65.85,1.6099999999999999,48.0,0.32,30.0,0.29,0.48,6.31,59.69,82.28,7.63,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.35,0.1,0.0,0.0,0.16,0,0.0
David Freitas,David Ramos  Freitas,-551254,Marítimo U23,Marítimo U23,https://cdn5.wyscout.com/photos/team/public/g-8982_120x120.png,Liga Revelação Sub 23,RCB,RCB,98,,0,,0,20.0,2005-09-18,0,,29,2777,2,2.17,0,0.27,11.83,64.66,Portugal,['Portugal'],right,188,80,False,9.95,5.35,67.88,3.56,70.91,0.78,1.0,0.68,5.54,7.13,0.88,4,0.13,1,0.03,0.39,0.06,2,0.06,0.07,1,0.03,16,0.52,18.75,12.5,0.0,0.32,60.0,0.03,0.0,0.29,66.67,0.0,0.16,60.0,1.23,57.89,0.78,0.58,0.06,20.13,0.29,0.75,33.19,78.03,16.4,66.21,2.14,93.94,26.12,85.61,6.74,49.52,22.82,36.97,0.01,0.13,0.0,0.0,0.03,0.0,0.0,4.12,55.91,0.78,20.83,0.78,29.17,0.16,0.16,8.33,59.53,92.41,12.38,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.56,0.03,0.03,0.0,0.0,0,0.0
Francisco Brás,Francisco Mesquita Costa Gomes Brás,-434509,Rio Ave U23,Rio Ave U23,https://cdn5.wyscout.com/photos/team/public/g-8984_120x120.png,Liga Revelação Sub 23,RB,RB,94,,0,,0,19.0,2006-07-04,0,,30,2759,4,2.65,1,2.01,18.43,49.91,Portugal,['Portugal'],right,180,0,False,9.49,7.6,62.66,2.58,56.96,0.33,0.43,0.1,4.4,5.76,0.8200000000000001,1,0.03,0,0.0,1.8599999999999999,0.13,3,0.1,0.09,1,0.03,19,0.62,31.58,21.053,0.03,1.8599999999999999,28.07,0.07,50.0,1.73,28.3,0.29,2.32,47.89,6.07,33.33,1.6,1.34,0.2,17.71,1.63,0.8200000000000001,30.01,71.96,10.63,63.5,4.08,89.6,24.11,78.76,4.11,51.59,20.3,39.84,0.07,0.49,0.03,0.0,0.03,100.0,0.36,4.24,53.08,1.83,39.29,0.42,46.15,0.52,0.55,7.24,67.12,75.45,10.76,0,,0,,0,0.0,0.0,0.0,,,0.88,,2.58,0.1,0.07,50.0,0.0,1,100.0
Italo Cabelinho,Italo de Jesus Barbosa,-164649,Santa Clara U23,Santa Clara U23,https://cdn5.wyscout.com/photos/team/public/g-19194_120x120.png,Liga Revelação Sub 23,"LCB, RCB3, CB",LCB,30,RCB3,29,CB,19,22.0,2004-02-27,0,2026-06-30,28,2727,2,0.93,0,0.12,11.91,63.16,Brazil,['Brazil'],,0,0,False,9.47,6.24,74.6,3.07,63.44,0.26,0.39,0.76,4.55,6.7,1.25,11,0.36,0,0.0,0.30000000000000004,0.07,2,0.07,0.03,2,0.07,7,0.23,28.57,28.571,0.0,0.30000000000000004,44.44,0.1,0.0,0.2,66.67,0.03,0.17,60.0,1.16,28.57,0.6900000000000001,0.2,0.03,24.79,0.07,0.26,38.78,85.19,16.83,73.92,1.88,87.72,33.43,90.42,5.05,52.94,21.56,41.23,0.0,0.17,0.0,0.0,0.0,0.0,0.03,3.56,57.41,0.46,50.0,0.23,28.57,0.2,0.13,6.53,61.62,96.41,16.57,0,,0,,0,0.0,0.0,0.0,,,1.02,,3.07,0.0,0.0,0.0,0.0,0,0.0
Francisco Machado,Francisco Miguel Santos Machado,-390851,Estrela Amadora U23,Estrela Amadora U23,https://cdn5.wyscout.com/photos/team/public/g-16613_120x120.png,Liga Revelação Sub 23,"LB, RB, RCB3",LB,54,RB,19,RCB3,16,20.0,2006-03-20,0,,29,2651,0,0.36,1,1.13,7.23,53.52,Portugal,['Portugal'],unknown,185,69,False,6.62,4.04,63.03,0.85,48.0,0.24,0.31,0.2,3.84,4.93,0.31,0,0.0,0,0.0,0.81,0.0,0,0.0,0.01,0,0.0,9,0.31,44.44,0.0,0.03,1.02,40.0,0.44,38.46,0.54,43.75,0.2,0.44,53.85,1.56,34.78,0.37,0.98,0.1,20.44,1.12,0.27,29.5,78.71,13.24,70.51,4.24,91.2,24.1,85.35,4.41,50.77,20.95,33.62,0.04,0.44,0.03,0.03,0.03,100.0,0.2,4.24,65.6,1.29,55.26,0.41000000000000003,25.0,0.34,0.37,7.13,69.52,87.17,9.0,0,,0,,0,0.0,0.0,0.0,,,1.22,,0.85,0.03,0.0,0.0,0.0,0,0.0
Francisco Machado,Francisco Corga Sousa Soares Machado,-285369,Academico Viseu U23,Academico Viseu U23,https://cdn5.wyscout.com/photos/team/public/g-19192_120x120.png,Liga Revelação Sub 23,LB,LB,90,,0,,0,20.0,2005-07-22,0,2026-06-30,27,2621,3,1.06,3,4.78,19.71,61.85,Portugal,['Portugal'],left,172,60,False,11.78,9.79,70.53,2.4,54.29,0.21,0.30000000000000004,0.24,4.67,6.87,1.2,2,0.07,0,0.0,2.58,0.1,3,0.1,0.04,0,0.0,19,0.65,36.84,15.789,0.1,2.99,29.89,2.8200000000000003,29.27,0.17,40.0,0.55,1.99,72.41,5.7,55.42,1.17,1.55,0.14,22.97,0.55,1.34,36.91,71.26,16.86,62.12,4.94,91.67,28.26,79.95,5.84,49.41,20.59,36.08,0.16,1.2,0.07,0.0,0.0,0.0,0.24,5.12,57.72,3.02,40.91,0.38,18.18,0.62,0.96,8.41,66.53,79.08,9.68,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.4,1.37,0.27,37.5,1.96,0,0.0
M. Kaba,Mohamed  Kaba,-267262,Gil Vicente U23,Gil Vicente U23,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Revelação Sub 23,CF,CF,100,,0,,0,23.0,2002-09-07,0,,28,2604,15,13.98,9,6.84,25.82,39.49,Mali,['Mali'],right,189,0,False,5.5,5.63,52.76,6.67,42.49,0.28,0.4,0.17,2.25,3.26,2.21,8,0.28,1,0.03,3.35,0.52,14,0.48,0.48,6,0.21,89,3.08,50.56,16.854,0.31,1.83,37.74,0.62,27.78,1.21,42.86,0.24,2.8,38.27,9.92,30.66,4.98,1.38,0.14,12.55,2.0,1.07,18.8,66.54,4.63,52.99,4.18,73.55,16.31,70.34,0.76,45.45,16.54,18.01,0.24,1.28,0.03,0.07,0.1,33.33,0.79,1.76,58.82,2.18,50.79,0.14,25.0,1.49,0.62,2.38,71.01,72.51,5.91,0,,0,,0,0.0,0.0,0.0,,,0.03,,6.67,0.0,0.0,0.0,0.0,2,50.0
Matheus Gonçalves,Matheus Rodrigues Gonçalves,-279824,Farense U23,Farense U23,https://cdn5.wyscout.com/photos/team/public/g-14458_120x120.png,Liga Revelação Sub 23,"RCB, CB, LCB",RCB,35,CB,24,LCB,21,21.0,2004-05-22,0,2026-06-30,28,2598,1,2.4,0,0.18,13.72,63.13,Brazil,['Brazil'],unknown,0,0,False,9.87,6.86,74.75,2.98,60.47,0.14,0.19,0.66,4.61,6.19,0.9,3,0.1,0,0.0,0.42,0.03,1,0.03,0.08,0,0.0,13,0.45,53.85,7.692,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.24,71.43,1.73,46.0,0.8,0.31,0.0,28.58,0.14,0.52,44.27,84.9,16.21,69.02,2.22,92.19,39.01,90.23,5.23,45.7,22.12,38.1,0.01,0.03,0.03,0.0,0.0,0.0,0.03,2.84,48.78,0.17,0.0,0.21,33.33,0.07,0.0,6.13,48.59,96.47,22.59,0,,0,,0,0.0,0.0,0.0,,,1.42,,2.98,0.0,0.0,0.0,0.0,0,0.0
