Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Xavier Cavaco,Xavier Teixeira Mendes Cavaco,-551694,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCMF, RCMF, CF",LCMF,50,RCMF,22,CF,14,20.0,2006-02-06,0,,24,2324,4,2.11,0,0.92,16.88,56.88,Portugal,['Portugal'],both,179,65,False,10.73,7.9,71.57,3.14,39.51,0.97,1.27,0.27,4.1,5.39,0.81,1,0.04,0,0.0,1.12,0.15,4,0.15,0.08,0,0.0,25,0.97,44.0,16.0,0.0,0.62,37.5,0.31,50.0,0.31,25.0,0.08,0.93,45.83,3.6,49.46,1.67,0.66,0.12,20.06,0.89,1.2,31.6,82.6,9.22,70.59,5.19,94.78,28.77,85.33,2.25,60.34,18.0,32.24,0.04,0.31,0.0,0.0,0.19,20.0,0.19,3.68,69.47,1.2,45.16,0.46,8.33,0.35000000000000003,0.23,4.38,63.72,92.18,11.89,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.14,0.0,0.0,0.0,0.04,0,0.0
R. Barrett,Ronaldo Barrett,-410498,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCB, LCB3",LCB,83,LCB3,12,,0,19.0,2006-07-04,0,,24,2277,0,0.87,0,0.59,9.49,57.92,Jamaica,['Jamaica'],unknown,0,0,False,7.75,3.44,75.86,2.21,57.14,0.04,0.05,0.75,5.1,6.68,0.24,1,0.04,0,0.0,0.32,0.0,0,0.0,0.03,0,0.0,11,0.43,18.18,0.0,0.0,0.2,0.0,0.16,0.0,0.04,0.0,0.0,0.4,60.0,2.25,26.32,0.75,1.38,0.0,27.15,0.36,0.24,43.56,81.13,19.84,67.13,3.2,92.59,35.14,88.53,8.26,51.2,23.88,40.34,0.02,0.12,0.0,0.04,0.04,0.0,0.08,6.01,49.34,0.9500000000000001,25.0,0.71,38.89,0.24,0.0,9.49,57.92,94.53,18.06,0,,0,,0,0.0,0.0,0.0,,,2.13,,2.21,0.0,0.0,0.0,0.0,0,0.0
M. Kaba,Mohamed  Kaba,-267262,Gil Vicente U23,Gil Vicente U23,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Revelação Sub 23,CF,CF,100,,0,,0,23.0,2002-09-07,0,,24,2271,12,10.65,8,6.0,24.73,39.42,Mali,['Mali'],right,189,0,False,5.43,5.43,51.09,6.78,42.69,0.28,0.41000000000000003,0.2,2.38,3.48,2.22,8,0.32,1,0.04,3.17,0.48,11,0.44,0.42,6,0.24,73,2.89,49.32,16.438,0.32,1.8599999999999999,36.17,0.71,27.78,1.15,41.38,0.16,2.66,38.81,9.11,30.0,4.83,1.3900000000000001,0.16,12.76,2.14,0.87,18.55,65.81,4.52,51.75,4.04,72.55,16.05,69.88,0.75,42.11,16.85,19.99,0.24,1.23,0.0,0.08,0.08,50.0,0.75,1.78,60.0,2.18,47.27,0.12,33.33,1.3900000000000001,0.59,2.38,71.67,73.2,6.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.78,0.0,0.0,0.0,0.0,2,50.0
Francisco Machado,Francisco Miguel Santos Machado,-390851,Estrela Amadora U23,Estrela Amadora U23,https://cdn5.wyscout.com/photos/team/public/g-16613_120x120.png,Liga Revelação Sub 23,"LB, RCB3, RB",LB,55,RCB3,19,RB,15,19.0,2006-03-20,0,,25,2256,0,0.23,1,1.05,7.54,55.56,Portugal,['Portugal'],unknown,185,69,False,6.82,4.23,63.21,0.92,52.17,0.2,0.26,0.24,3.95,5.15,0.36,0,0.0,0,0.0,0.92,0.0,0,0.0,0.01,0,0.0,7,0.28,42.86,0.0,0.04,1.12,42.86,0.48,41.67,0.6000000000000001,46.67,0.24,0.4,70.0,1.6,37.5,0.36,0.84,0.12,20.98,1.12,0.28,29.56,79.76,13.48,72.78,3.99,94.0,24.22,86.16,4.27,52.34,21.2,34.05,0.04,0.48,0.04,0.0,0.04,100.0,0.2,4.47,66.96,1.44,55.56,0.44,27.27,0.32,0.44,7.1,72.47,86.64,9.26,0,,0,,0,0.0,0.0,0.0,,,1.4,,0.92,0.0,0.0,0.0,0.0,0,0.0
Italo Cabelinho,Italo de Jesus Barbosa,-164649,Santa Clara U23,Santa Clara U23,https://cdn5.wyscout.com/photos/team/public/g-19194_120x120.png,Liga Revelação Sub 23,"RCB3, LCB, CB",RCB3,36,LCB,33,CB,19,22.0,2004-02-27,0,2026-06-30,23,2225,2,0.81,0,0.09,11.57,63.64,Brazil,['Brazil'],,0,0,False,9.1,5.99,75.0,3.03,65.33,0.32,0.47000000000000003,0.81,4.29,6.22,1.17,10,0.4,0,0.0,0.28,0.08,2,0.08,0.03,2,0.08,6,0.24,33.33,33.333,0.0,0.28,42.86,0.08,0.0,0.2,60.0,0.04,0.16,50.0,1.13,21.43,0.77,0.16,0.0,25.08,0.08,0.16,37.74,86.17,16.22,75.31,1.7000000000000002,88.1,32.44,91.9,5.02,51.61,21.59,40.9,0.0,0.16,0.0,0.0,0.0,0.0,0.04,3.52,58.62,0.36,55.56,0.16,50.0,0.2,0.12,6.07,67.33,96.82,16.54,0,,0,,0,0.0,0.0,0.0,,,0.81,,3.03,0.0,0.0,0.0,0.0,0,0.0
K. Käit,Kristofer Käit,-300513,Portimonense U23,Portimonense U23,https://cdn5.wyscout.com/photos/team/public/g-8983_120x120.png,Liga Revelação Sub 23,"LCB, RCB",LCB,71,RCB,10,,0,20.0,2005-04-04,0,2026-06-30,22,2136,1,1.37,0,0.21,12.35,60.41,Estonia,['Estonia'],right,0,0,False,9.14,5.94,66.67,2.99,53.52,0.42,0.61,0.63,4.76,6.92,1.35,8,0.34,0,0.0,0.34,0.04,1,0.04,0.06,1,0.04,10,0.42,30.0,10.0,0.0,0.08,100.0,0.08,100.0,0.0,0.0,0.0,0.29,42.86,1.69,50.0,0.51,0.29,0.04,22.54,0.17,0.59,37.04,85.55,15.46,72.75,2.02,93.75,32.87,90.13,4.13,48.98,21.47,39.52,0.01,0.08,0.0,0.0,0.0,0.0,0.0,3.71,56.82,0.38,22.22,0.34,37.5,0.08,0.04,7.42,64.2,96.36,16.22,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.99,0.0,0.0,0.0,0.0,0,0.0
Sebastião Leandro,Sebastião Sebastião Leandro,-551921,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LB, RB, LWB",LB,49,RB,30,LWB,15,19.0,2006-10-16,0,,24,2127,2,1.55,1,1.03,19.93,52.44,Portugal,['Portugal'],unknown,0,0,False,10.92,8.84,64.59,2.37,41.07,0.55,0.74,0.21,4.65,6.26,1.23,3,0.13,0,0.0,1.99,0.08,2,0.08,0.07,0,0.0,13,0.55,46.15,15.385,0.04,1.48,40.0,1.18,46.43,0.30000000000000004,14.29,0.30000000000000004,2.2800000000000002,48.15,6.3,40.27,1.1,1.27,0.08,18.19,1.44,1.1400000000000001,29.83,75.89,12.86,67.76,5.16,93.44,25.9,81.21,2.54,41.67,17.74,29.09,0.04,0.34,0.0,0.08,0.08,50.0,0.13,4.06,66.67,1.44,52.94,0.34,37.5,0.30000000000000004,0.47000000000000003,6.5600000000000005,60.65,82.95,7.45,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.37,0.13,0.0,0.0,0.21,0,0.0
Francisco Brás,Francisco Mesquita Costa Gomes Brás,-434509,Rio Ave U23,Rio Ave U23,https://cdn5.wyscout.com/photos/team/public/g-8984_120x120.png,Liga Revelação Sub 23,RB,RB,93,,0,,0,19.0,2006-07-04,0,,23,2111,4,2.63,1,1.48,18.59,49.31,Portugal,['Portugal'],right,180,0,False,9.59,7.42,62.07,2.9,57.35,0.30000000000000004,0.39,0.13,4.69,6.12,0.81,1,0.04,0,0.0,1.83,0.17,3,0.13,0.11,1,0.04,18,0.77,33.33,22.222,0.04,1.79,33.33,0.09,50.0,1.62,34.21,0.30000000000000004,1.96,47.83,5.93,32.37,1.62,1.15,0.17,15.6,1.28,0.85,28.31,70.18,10.36,61.73,3.37,87.34,22.47,76.47,4.14,51.55,20.3,38.09,0.06,0.51,0.0,0.0,0.04,100.0,0.38,3.79,50.56,1.58,43.24,0.38,55.56,0.34,0.64,7.12,61.68,73.53,10.15,0,,0,,0,0.0,0.0,0.0,,,0.81,,2.9,0.09,0.09,50.0,0.0,1,100.0
Jordan Arnolin,Jordan Miguel Silva Arnolin,-552531,Estoril U23,Estoril U23,https://cdn5.wyscout.com/photos/team/public/g-8980_120x120.png,Liga Revelação Sub 23,"LCB, RCB",LCB,62,RCB,33,,0,17.0,2008-04-29,0,,23,2108,0,0.5,0,0.32,14.39,59.64,Portugal,['Portugal'],right,182,0,False,9.35,6.15,67.36,4.06,54.74,0.30000000000000004,0.43,0.9400000000000001,4.91,7.13,0.6000000000000001,5,0.21,0,0.0,0.38,0.0,0,0.0,0.02,0,0.0,8,0.34,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,88.89,2.35,50.91,0.6000000000000001,0.85,0.0,35.86,0.17,1.07,50.64,87.1,20.41,75.31,2.39,94.64,43.16,92.28,7.47,57.14,23.28,41.78,0.01,0.09,0.0,0.0,0.0,0.0,0.04,6.4,62.67,0.64,13.33,0.51,16.67,0.09,0.0,9.39,68.64,97.15,23.95,0,,0,,0,0.0,0.0,0.0,,,1.92,,4.06,0.0,0.0,0.0,0.0,0,0.0
David Freitas,David Ramos  Freitas,-551254,Marítimo U23,Marítimo U23,https://cdn5.wyscout.com/photos/team/public/g-8982_120x120.png,Liga Revelação Sub 23,RCB,RCB,97,,0,,0,20.0,2005-09-18,0,,22,2101,2,1.63,0,0.27,12.29,65.51,Portugal,['Portugal'],right,188,80,False,10.15,5.53,68.22,3.6,72.62,0.81,1.03,0.73,5.57,7.01,0.9400000000000001,3,0.13,1,0.04,0.51,0.09,2,0.09,0.07,1,0.04,11,0.47000000000000003,27.27,18.182,0.0,0.39,66.67,0.04,0.0,0.34,75.0,0.0,0.17,75.0,1.24,58.62,0.77,0.6000000000000001,0.04,19.7,0.26,0.64,33.46,78.1,16.71,67.18,2.23,94.23,26.09,85.22,6.98,52.15,22.23,35.61,0.01,0.17,0.0,0.0,0.04,0.0,0.0,4.07,60.0,0.86,20.0,0.9400000000000001,31.82,0.17,0.21,8.78,60.49,92.34,11.74,0,,0,,0,0.0,0.0,0.0,,,1.88,,3.6,0.04,0.04,0.0,0.0,0,0.0
