Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. McGowan,Michael McGowan,46765,Peninsula Power,Peninsula Power,https://cdn5.wyscout.com/photos/team/public/g10510_120x120.png,Queensland NPL,"LCB, CB",LCB,62,CB,35,,0,38.0,1987-09-28,0,,11,1082,2,0.63,0,0.15,11.89,51.05,Scotland,['Scotland'],,188,82,False,6.4,3.24,69.23,4.24,47.06,0.0,0.0,0.91,4.16,5.54,0.33,0,0.0,0,0.0,0.42,0.17,2,0.17,0.05,0,0.0,4,0.33,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,66.67,2.08,36.0,1.16,1.33,0.0,26.45,0.17,0.33,43.84,86.53,17.8,75.23,2.74,96.97,39.43,91.14,4.41,45.28,19.67,41.09,0.01,0.17,0.08,0.0,0.0,0.0,0.08,4.57,63.64,0.33,0.0,0.17,0.0,0.17,0.0,7.65,69.57,94.74,17.38,0,,0,,0,0.0,0.0,0.0,,,2.08,,4.24,0.0,0.0,0.0,0.0,0,0
J. Thurtell,Jordan Thurtell,350749,Peninsula Power,Peninsula Power,https://cdn5.wyscout.com/photos/team/public/g10510_120x120.png,Queensland NPL,GK,GK,100,,0,,0,29.0,1996-07-08,0,,11,1082,0,0.0,0,0.0,1.16,85.71,Australia,['Australia'],,184,79,False,2.91,0.58,71.43,0.33,100.0,0.0,0.0,0.0,2.5,3.32,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,17.47,0.33,0.25,28.28,80.29,14.22,64.91,0.0,0.0,17.8,96.26,10.48,53.17,33.26,54.59,0.0,0.0,0.0,0.08,0.0,0.0,0.0,5.07,44.26,0.5,16.67,0.08,0.0,0.08,0.0,7.65,69.57,97.18,11.81,15,1.25,48,3.99,3,68.75,12.86,1.07,-2.14,-0.178,0.0,1.58,0.33,,,,0.0,0,0
R. Gray,Rhys Gray,-199350,Peninsula Power,Peninsula Power,https://cdn5.wyscout.com/photos/team/public/g10510_120x120.png,Queensland NPL,"RB, RWB, RB5",RB,60,RWB,25,RB5,10,22.0,2003-07-08,0,,11,1061,1,1.07,2,0.99,20.44,53.11,Australia,['Australia'],right,0,0,False,11.54,9.42,69.37,2.71,46.88,0.25,0.34,0.51,4.75,6.29,1.1,5,0.42,0,0.0,3.65,0.08,1,0.08,0.09,0,0.0,9,0.76,33.33,11.111,0.17,5.09,36.67,0.25,33.33,4.75,37.5,1.1,2.46,58.62,6.96,35.37,0.68,1.44,0.08,31.47,2.38,0.25,45.64,67.66,17.05,54.73,7.89,93.55,32.74,79.02,8.06,41.05,22.39,45.38,0.08,1.02,0.0,0.0,0.17,50.0,0.76,8.48,52.0,5.85,42.03,0.93,9.09,0.93,1.7000000000000002,11.54,74.26,66.08,14.51,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.71,0.17,0.0,0.0,0.42,0,0
N. Foster,Nathan Foster,-191938,Moreton City Excelsior,Moreton City Excelsior,https://cdn5.wyscout.com/photos/team/public/g-20960_120x120.png,Queensland NPL,GK,GK,100,,0,,0,25.0,2001-01-03,0,,11,1059,0,0.0,0,0.0,0.85,80.0,Australia,['Australia'],,0,0,False,0.93,0.17,50.0,0.42,100.0,0.08,0.13,0.0,0.76,1.18,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.0,23.88,0.25,0.08,35.1,92.49,16.83,87.37,0.17,50.0,28.39,98.5,6.71,67.09,26.01,47.49,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.9500000000000002,52.17,0.17,50.0,0.17,50.0,0.08,0.0,5.01,69.49,98.39,15.81,14,1.19,50,4.25,3,72.0,11.46,0.97,-2.54,-0.216,0.0,1.19,0.42,,,,0.0,0,0
J. Riley,Jacson Riley,-97236,Lions,Lions,https://cdn5.wyscout.com/photos/team/public/g20797_120x120.png,Queensland NPL,GK,GK,100,,0,,0,25.0,2000-10-12,0,,11,1055,0,0.0,0,0.29,0.9400000000000001,81.82,Australia,['Australia'],,0,0,False,0.68,0.09,0.0,0.77,100.0,0.0,0.0,0.0,0.68,0.87,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,0.26,16.89,84.34,8.79,71.84,0.0,0.0,12.28,97.92,4.61,48.15,27.52,46.5,0.02,0.09,0.0,0.0,0.0,0.0,0.09,1.71,35.0,0.17,0.0,0.26,66.67,0.0,0.0,3.16,56.76,97.53,6.91,12,1.02,35,2.99,4,65.71,10.7,0.91,-1.3,-0.111,0.0,2.05,0.77,,,,0.0,0,0
C. Deng,Cher Deng,-339411,Lions,Lions,https://cdn5.wyscout.com/photos/team/public/g20797_120x120.png,Queensland NPL,"CB, LCB, LCB3",CB,51,LCB,22,LCB3,14,20.0,2005-06-30,0,,11,1028,1,1.27,3,0.55,16.55,64.55,Australia,['Australia'],,0,0,False,9.02,5.43,72.58,6.74,67.53,0.18,0.22,0.53,4.9,6.15,0.7000000000000001,0,0.0,0,0.0,0.79,0.09,1,0.09,0.11,1,0.09,10,0.88,50.0,10.0,0.26,0.35000000000000003,50.0,0.35000000000000003,50.0,0.0,0.0,0.09,0.44,40.0,2.1,54.17,1.49,0.53,0.09,42.64,0.18,0.44,63.91,89.45,25.3,80.28,4.03,97.83,59.36,92.92,4.2,43.75,20.12,41.19,0.05,0.53,0.0,0.0,0.0,0.0,0.53,8.05,72.83,0.53,33.33,0.26,0.0,0.35000000000000003,0.18,9.63,74.55,95.82,29.33,0,,0,,0,0.0,0.0,0.0,,,2.1,,6.74,0.0,0.0,0.0,0.0,0,0
J. McInally,Jack McInally,-331034,Moreton City Excelsior,Moreton City Excelsior,https://cdn5.wyscout.com/photos/team/public/g-20960_120x120.png,Queensland NPL,"RCB, RB",RCB,78,RB,21,,0,22.0,2003-05-30,0,,11,1025,0,0.06,0,0.0,12.12,53.62,Australia,['Australia'],unknown,0,0,False,7.73,4.92,67.86,2.2,44.0,0.26,0.41000000000000003,0.53,4.13,6.41,0.09,0,0.0,0,0.0,0.53,0.0,0,0.0,0.01,0,0.0,3,0.26,0.0,0.0,0.0,0.7000000000000001,12.5,0.0,0.0,0.7000000000000001,12.5,0.18,0.35000000000000003,100.0,3.86,40.91,0.0,0.88,0.0,40.48,0.79,0.35000000000000003,57.07,86.46,23.44,76.4,5.71,96.92,49.43,91.83,7.02,56.25,22.22,44.41,0.0,0.09,0.0,0.09,0.09,100.0,0.0,5.62,62.5,0.79,11.11,0.26,33.33,0.09,0.09,11.06,67.46,94.0,21.95,0,,0,,0,0.0,0.0,0.0,,,2.37,,2.2,0.0,0.0,0.0,0.0,0,0
T. Millard,Trent Millard,-175906,Moreton City Excelsior,Moreton City Excelsior,https://cdn5.wyscout.com/photos/team/public/g-20960_120x120.png,Queensland NPL,"LB, RB",LB,68,RB,31,,0,22.0,2003-07-23,0,,11,1016,1,0.14,2,1.05,22.06,56.63,Australia,['Australia'],,0,0,False,9.92,8.24,67.74,2.21,44.0,0.53,0.8300000000000001,0.09,3.81,5.94,0.71,2,0.18,0,0.0,4.52,0.09,1,0.09,0.01,0,0.0,6,0.53,33.33,16.667,0.18,2.48,35.71,1.8599999999999999,33.33,0.62,42.86,0.18,4.87,67.27,9.39,51.89,1.6800000000000002,4.69,0.62,36.94,2.75,1.42,48.19,82.17,18.07,74.51,11.69,95.45,43.23,86.68,2.5700000000000003,48.28,17.9,34.38,0.09,0.8,0.0,0.18,0.18,100.0,0.44,5.4,81.97,2.13,54.17,0.35000000000000003,75.0,0.89,0.89,9.74,70.91,81.65,9.66,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.21,0.0,0.0,0.0,0.09,0,0
A. Gage-Raftery,Aden Gage-Raftery,-781123,Moreton City Excelsior,Moreton City Excelsior,https://cdn5.wyscout.com/photos/team/public/g-20960_120x120.png,Queensland NPL,"AMF, LW, LAMF",AMF,38,LW,16,LAMF,12,,,0,,11,1008,2,0.91,2,0.97,21.61,46.28,Australia,['Australia'],unknown,0,0,False,5.36,4.29,62.5,1.34,53.33,0.18,0.28,0.09,2.5,3.87,0.63,1,0.09,0,0.0,4.29,0.18,2,0.18,0.08,0,0.0,17,1.52,23.53,11.765,0.18,3.13,25.71,2.41,33.33,0.71,0.0,0.54,6.07,51.47,13.48,44.37,2.86,4.02,1.16,33.21,1.6099999999999999,2.23,43.13,86.75,9.2,83.5,14.37,96.27,38.66,92.84,1.52,52.94,17.46,28.87,0.09,0.71,0.18,0.0,0.0,0.0,0.36,4.2,80.85,1.96,50.0,0.27,0.0,0.27,0.71,5.18,79.31,84.17,12.41,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.34,0.18,0.0,0.0,0.98,0,0
А. Fiechtner,Alexander Fiechtner,-175936,Lions,Lions,https://cdn5.wyscout.com/photos/team/public/g20797_120x120.png,Queensland NPL,CF,CF,100,,0,,0,27.0,1998-10-21,0,,11,997,18,12.26,0,1.12,17.6,42.05,Australia,['Australia'],,0,0,False,3.07,2.5300000000000002,60.71,4.78,49.06,0.09,0.12,0.09,1.44,1.85,0.72,0,0.0,0,0.0,5.6,1.62,17,1.53,1.11,2,0.18,88,7.94,45.45,20.455,0.0,1.9,23.81,0.72,0.0,1.08,41.67,0.18,3.61,42.5,7.85,35.63,7.85,1.81,0.27,13.27,2.8,0.72,14.71,68.1,2.62,44.83,3.79,88.1,12.01,75.19,0.81,66.67,16.83,13.57,0.1,1.35,0.09,0.0,0.0,0.0,0.18,0.9,70.0,2.08,56.52,0.09,0.0,0.9,0.45,1.53,82.35,63.83,4.24,0,,0,,0,0.0,0.0,0.0,,,0.18,,4.78,1.26,0.18,50.0,4.33,1,100
