Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Onken,Moritz Ben Onken,-136165,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,22.0,2003-08-01,0,2026-06-30,26,2488,0,0.0,0,0.0,0.72,85.0,Germany,['Germany'],right,192,82,False,2.03,0.11,66.67,0.43,91.67,0.0,0.0,0.0,1.9500000000000002,2.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,21.2,0.11,0.14,33.97,88.18,16.97,77.4,0.0,0.0,23.01,97.96,10.92,67.88,29.71,44.81,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.3,50.0,0.14,0.0,0.07,50.0,0.0,0.0,8.97,71.37,99.3,15.48,31,1.12,108,3.91,6,71.3,33.69,1.22,2.69,0.097,0.0,1.5899999999999999,0.43,,,,0.0,0,0.0
G. Siala,Gazi Siala,218008,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,CB,CB,95,,0,,0,31.0,1994-11-09,50000,2026-06-30,26,2488,3,2.08,1,0.61,11.65,60.56,Germany,['Germany'],right,185,0,False,9.59,3.91,69.44,4.52,56.8,0.14,0.18,0.8300000000000001,6.73,8.45,0.4,1,0.04,0,0.0,0.51,0.11,3,0.11,0.08,0,0.0,12,0.43,75.0,25.0,0.04,0.18,20.0,0.0,0.0,0.14,25.0,0.07,0.22,66.67,1.3,52.78,1.23,0.51,0.07,25.61,0.07,0.8300000000000001,46.27,85.85,18.05,73.95,3.51,92.78,38.34,91.51,7.74,59.35,22.12,38.51,0.02,0.18,0.0,0.0,0.0,0.0,0.14,3.73,54.37,0.51,42.86,0.36,40.0,0.36,0.07,8.21,66.96,95.73,21.16,0,,0,,0,0.0,0.0,0.0,,,2.75,,4.52,0.04,0.04,100.0,0.0,0,0.0
P. Siefkes,Patrick Siefkes,85130,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,36.0,1990-01-12,50000,2026-06-30,25,2468,0,0.0,0,0.0,0.29,100.0,Germany,['Germany'],right,182,75,False,1.31,0.0,0.0,0.22,100.0,0.0,0.0,0.0,1.31,2.0,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.04,0.0,8.79,0.18,0.11,15.68,79.07,11.74,72.98,0.04,100.0,7.4,98.03,8.24,62.39,35.97,47.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,56.34,0.15,25.0,0.0,0.0,0.04,0.0,6.35,77.01,97.83,3.35,35,1.28,94,3.43,6,62.77,26.46,0.96,-8.54,-0.311,0.0,1.06,0.22,,,,0.0,0,0.0
T. Mohr,Tjorve Mohr,359335,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,"CB, RCB",CB,58,RCB,34,,0,29.0,1997-03-26,50000,2026-06-30,25,2468,4,4.54,0,0.41000000000000003,16.63,66.67,Germany,['Germany'],right,194,0,False,8.93,4.3,77.97,8.72,66.11,0.29,0.44,0.9500000000000001,5.29,8.04,1.06,4,0.15,0,0.0,0.62,0.15,4,0.15,0.17,2,0.07,32,1.17,43.75,12.5,0.0,0.15,25.0,0.04,0.0,0.11,33.33,0.04,0.07,100.0,1.09,56.67,2.12,0.22,0.04,20.06,0.18,0.66,34.75,83.63,14.22,72.31,2.01,94.55,28.95,89.8,5.65,53.55,21.71,38.96,0.02,0.15,0.0,0.0,0.04,0.0,0.04,4.96,59.56,0.47000000000000003,46.15,0.15,0.0,0.4,0.04,7.22,68.69,93.66,14.95,0,,0,,0,0.0,0.0,0.0,,,1.28,,8.72,0.0,0.0,0.0,0.0,0,0.0
L. Schmidt,Leon Gino Schmidt,-59607,Bremer SV,Bremer SV,https://cdn5.wyscout.com/photos/team/public/g11073_120x120.png,Regionalliga Nord,CF,CF,96,,0,,0,24.0,2001-06-08,10000,2026-06-30,26,2455,20,15.94,3,1.83,26.25,35.2,Germany,['Germany'],right,187,0,False,3.26,3.67,60.0,6.82,26.34,0.11,0.15,0.04,0.9500000000000001,1.34,1.94,2,0.07,0,0.0,3.01,0.73,18,0.66,0.58,4,0.15,87,3.19,49.43,22.989,0.11,0.66,22.22,0.15,0.0,0.51,28.57,0.11,2.68,47.95,11.22,32.03,4.14,1.47,0.04,10.74,2.49,1.98,16.72,71.71,3.74,61.76,5.28,86.11,15.29,75.3,0.77,42.86,15.8,19.9,0.07,0.51,0.0,0.0,0.04,0.0,0.33,1.87,60.78,1.03,39.29,0.04,0.0,0.51,0.18,1.87,66.67,62.71,4.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.82,0.04,0.04,0.0,0.0,2,100.0
J. Peitzmeier,Jhonny Peitzmeier,461139,VfB Oldenburg,VfB Oldenburg,https://cdn5.wyscout.com/photos/team/public/3821_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,25.0,2000-11-04,100000,2027-06-30,25,2427,0,0.0,0,0.03,0.52,78.57,Germany,['Germany'],right,190,80,False,2.56,0.11,66.67,0.15,100.0,0.04,0.06,0.0,2.45,3.63,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.19,60.0,0.0,0.11,0.0,30.0,0.30000000000000004,0.07,46.8,87.56,26.81,79.39,0.0,0.0,31.08,98.21,15.61,66.98,29.17,45.42,0.0,0.04,0.04,0.0,0.0,0.0,0.0,4.49,49.59,0.30000000000000004,25.0,0.37,30.0,0.15,0.0,11.83,79.94,98.39,18.47,31,1.15,96,3.56,7,67.71,35.32,1.31,4.32,0.16,0.0,0.93,0.15,,,,0.0,0,0.0
J. Gröger,Justin Gröger,-199783,Bremer SV,Bremer SV,https://cdn5.wyscout.com/photos/team/public/g11073_120x120.png,Regionalliga Nord,"CB, RCB",CB,74,RCB,16,,0,23.0,2002-09-27,25000,2026-06-30,25,2407,5,2.94,1,1.56,16.23,67.28,Germany,['Germany'],right,0,0,False,8.97,4.79,75.0,7.55,65.84,0.19,0.26,0.52,5.2,7.15,0.8200000000000001,8,0.30000000000000004,0,0.0,0.8200000000000001,0.19,5,0.19,0.11,3,0.11,19,0.71,31.58,26.316,0.04,1.08,48.28,0.34,66.67,0.75,40.0,0.26,0.15,50.0,1.2,50.0,1.08,0.52,0.0,15.82,0.30000000000000004,1.05,28.6,70.72,14.77,58.48,1.98,92.45,18.88,81.98,8.67,48.71,28.3,45.37,0.06,0.6000000000000001,0.07,0.04,0.0,0.0,0.34,6.62,50.28,1.83,40.82,0.9,37.5,0.52,0.56,9.09,67.08,84.07,10.1,0,,0,,0,0.0,0.0,0.0,,,1.5,,7.55,0.07,0.0,0.0,0.0,0,0.0
L. Giwah,Liam Giwah,-47819,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,"RCB3, RB",RCB3,57,RB,35,,0,26.0,2000-01-14,50000,2027-06-30,25,2404,5,1.92,1,1.19,15.01,60.35,Germany,['Germany'],right,186,80,False,9.4,5.54,70.27,4.46,62.18,0.41000000000000003,0.63,0.49,5.09,7.74,0.97,4,0.15,1,0.04,0.86,0.19,5,0.19,0.07,3,0.11,14,0.52,35.71,35.714,0.04,0.97,61.54,0.11,100.0,0.86,56.52,0.07,0.34,22.22,2.77,45.95,1.12,1.01,0.07,21.9,0.41000000000000003,1.09,36.58,77.58,18.83,71.77,2.55,91.18,29.13,84.83,6.55,48.0,20.66,36.73,0.04,0.34,0.07,0.0,0.0,0.0,0.19,8.61,63.04,1.57,35.71,0.45,33.33,0.41000000000000003,0.41000000000000003,9.88,76.52,85.31,10.71,0,,0,,0,0.0,0.0,0.0,,,0.64,,4.46,0.04,0.0,0.0,0.0,0,0.0
K. Taguchi,Keita Taguchi,-722477,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,"LCMF, LCMF3",LCMF,77,LCMF3,15,,0,27.0,1998-08-14,0,,26,2366,2,0.99,2,1.17,15.63,51.58,Japan,['Japan'],unknown,0,0,False,8.94,6.5,63.74,2.9699999999999998,42.31,0.27,0.33,0.42,4.53,5.68,0.9500000000000001,4,0.15,0,0.0,0.72,0.08,2,0.08,0.04,0,0.0,23,0.87,30.43,8.696,0.08,0.19,20.0,0.15,25.0,0.04,0.0,0.08,0.65,52.94,3.58,42.55,0.76,0.30000000000000004,0.04,16.74,0.38,1.03,29.48,79.35,11.11,64.38,5.06,93.98,25.14,84.72,4.15,49.54,18.5,33.27,0.04,0.42,0.04,0.0,0.11,66.67,0.27,4.5600000000000005,57.5,1.1400000000000001,46.67,0.38,20.0,0.61,0.08,5.48,68.75,86.4,8.67,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.9699999999999998,0.0,0.0,0.0,0.04,0,0.0
E. Ndure,Ebrima Dominique Ndure,454249,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,"RWB, RB5",RWB,77,RB5,18,,0,26.0,1999-10-25,100000,2026-06-30,25,2362,2,1.77,5,5.93,16.35,54.08,Germany,['Germany'],right,177,74,False,9.18,6.71,64.77,1.98,50.0,0.04,0.05,0.15,4.8,6.02,1.1,3,0.11,0,0.0,2.51,0.08,2,0.08,0.07,1,0.04,18,0.6900000000000001,61.11,11.111,0.19,3.09,32.1,0.0,0.0,3.05,31.25,0.5,1.45,76.32,6.1,47.5,1.98,1.83,0.23,19.97,2.29,1.6800000000000002,32.04,73.13,13.56,64.61,6.02,93.67,25.57,81.52,3.39,47.19,18.34,33.67,0.23,1.1400000000000001,0.04,0.08,0.0,0.0,0.76,4.72,58.87,2.59,41.18,0.19,20.0,0.61,0.99,7.24,68.95,69.83,6.82,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.98,0.0,0.0,0.0,0.0,0,0.0
