Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Winkler,Lennart Winkler,-126395,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,Regionalliga West,GK,GK,100,,0,,0,22.0,2003-10-05,10000,2027-06-30,24,2344,0,0.0,0,0.21,0.6000000000000001,80.0,Germany,['Germany'],right,187,0,False,2.08,0.16,50.0,0.28,100.0,0.0,0.0,0.04,2.0,2.87,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.08,18.7,0.24,0.08,28.84,89.44,12.5,78.21,0.0,0.0,20.95,97.51,7.89,68.02,30.0,49.64,0.01,0.04,0.0,0.0,0.0,0.0,0.04,2.04,45.1,0.12,0.0,0.28,14.29,0.0,0.0,6.41,80.63,98.44,15.42,17,0.68,56,2.24,12,69.64,16.27,0.65,-0.73,-0.029,0.0,1.2,0.28,,,,0.0,0,0.0
P. Twardzik,Patrik Twardzik,217599,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,CF,CF,98,,0,,0,33.0,1993-02-10,75000,2027-06-30,24,2322,10,10.72,3,0.92,20.93,35.93,Czech Republic,['Czech Republic'],,185,73,False,2.95,2.36,59.02,8.64,37.67,0.08,0.11,0.04,1.47,2.08,1.16,3,0.12,0,0.0,1.94,0.39,8,0.31,0.42,1,0.04,61,2.36,49.18,16.393,0.12,0.81,33.33,0.43,27.27,0.31,37.5,0.16,0.93,50.0,5.74,29.05,3.1,0.47000000000000003,0.04,12.21,2.95,1.32,16.94,70.02,4.07,56.19,4.46,86.96,15.12,73.08,1.05,51.85,16.91,20.76,0.04,0.5,0.04,0.0,0.04,100.0,0.16,2.36,60.66,1.2,48.39,0.08,50.0,0.62,0.27,2.33,68.33,66.91,5.27,0,,0,,0,0.0,0.0,0.0,,,0.19,,8.64,0.0,0.0,0.0,0.0,2,100.0
M. Luyambula,Ngemba Michael Luyambula,453723,Wuppertaler SV,Wuppertaler SV,https://cdn5.wyscout.com/photos/team/public/1132_120x120.png,Regionalliga West,GK,GK,100,,0,,0,26.0,1999-06-08,0,2026-06-30,23,2213,0,0.0,0,0.0,0.53,76.92,Germany,"['Germany', 'Congo DR']",right,189,78,False,1.02,0.04,0.0,0.45,81.82,0.04,0.04,0.0,0.98,1.06,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52,0.16,0.12,23.43,82.47,11.96,69.39,0.04,0.0,14.76,95.87,8.58,60.19,32.48,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,44.68,0.08,0.0,0.12,33.33,0.0,0.0,6.63,66.87,96.23,10.78,50,2.03,129,5.25,3,61.24,39.12,1.5899999999999999,-10.88,-0.442,0.0,0.98,0.45,,,,0.0,0,0.0
R. Hilger,Robin  Hilger,-462321,Velbert,Velbert,https://cdn5.wyscout.com/photos/team/public/g5890_120x120.png,Regionalliga West,CF,CF,99,,0,,0,30.0,1995-12-07,0,,24,2195,5,4.58,4,2.7800000000000002,21.57,30.04,Germany,['Germany'],both,186,0,False,2.91,2.26,54.55,9.23,32.89,0.16,0.2,0.16,1.52,1.85,0.86,3,0.12,0,0.0,0.9400000000000001,0.21,5,0.21,0.19,3,0.12,26,1.07,46.15,19.231,0.16,0.33,50.0,0.12,66.67,0.21,40.0,0.04,0.62,26.67,5.86,18.88,1.9300000000000002,0.49,0.08,9.31,2.42,0.7000000000000001,19.23,75.27,4.1,53.0,6.97,89.41,17.79,77.19,1.11,51.85,14.57,16.36,0.11,0.7000000000000001,0.04,0.04,0.12,100.0,0.33,2.17,56.6,0.53,46.15,0.16,50.0,0.45,0.16,1.97,54.17,75.0,4.43,0,,0,,0,0.0,0.0,0.0,,,0.08,,9.23,0.0,0.0,0.0,0.0,0,0.0
M. Fischer,Maximilian Fischer,-92030,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,Regionalliga West,"LCB, LB",LCB,76,LB,16,,0,23.0,2002-04-22,50000,2026-06-30,23,2170,1,1.3599999999999999,1,0.96,11.75,60.0,Germany,['Germany'],left,192,0,False,7.14,4.91,66.96,2.14,44.0,0.26,0.36,0.21,3.59,5.02,0.85,4,0.17,0,0.0,0.73,0.04,1,0.04,0.06,0,0.0,9,0.38,33.33,11.111,0.04,0.64,33.33,0.6000000000000001,28.57,0.0,0.0,0.13,0.77,50.0,2.61,57.38,0.77,2.14,0.21,43.72,0.47000000000000003,0.9,60.64,88.23,25.51,78.39,4.62,95.37,54.91,92.76,5.13,45.83,21.04,39.63,0.04,0.13,0.09,0.09,0.0,0.0,0.09,6.71,74.52,1.24,34.48,0.47000000000000003,45.45,0.34,0.26,10.38,73.25,96.4,24.96,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.14,0.0,0.0,0.0,0.0,0,0.0
David Al-Azzawe,David Haider Kamm Al-Azzawe,191922,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,Regionalliga West,RCB,RCB,92,,0,,0,33.0,1992-06-05,100000,2027-06-30,23,2161,1,0.58,2,1.22,13.26,63.82,Iraq,"['Iraq', 'Germany']",right,188,0,False,7.98,4.58,80.0,4.27,53.06,0.26,0.38,0.48,4.06,5.87,0.61,5,0.21,0,0.0,0.48,0.04,1,0.04,0.03,1,0.04,6,0.26,33.33,16.667,0.09,0.44,80.0,0.09,50.0,0.35000000000000003,87.5,0.13,0.04,100.0,1.4,59.38,0.48,1.53,0.0,38.94,0.44,1.13,55.6,86.82,24.11,77.4,3.92,93.33,46.35,92.19,8.85,59.11,24.02,37.46,0.05,0.26,0.04,0.04,0.0,0.0,0.17,9.07,72.6,1.31,50.0,0.65,33.33,0.31,0.31,13.21,79.54,95.11,24.07,0,,0,,0,0.0,0.0,0.0,,,2.83,,4.27,0.0,0.0,0.0,0.0,0,0.0
J. Liehr,Jan-Lukas Liehr,411605,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,"AMF, RCMF, RCMF3",AMF,50,RCMF,19,RCMF3,16,28.0,1997-08-11,100000,2027-06-30,24,2153,4,4.72,1,2.7,16.51,46.33,Germany,['Germany'],left,184,0,False,5.14,3.89,54.84,5.14,52.03,0.25,0.35000000000000003,0.17,2.76,3.9,1.38,3,0.13,0,0.0,1.25,0.17,4,0.17,0.2,1,0.04,38,1.5899999999999999,34.21,10.526,0.04,0.92,31.82,0.38,11.11,0.54,46.15,0.17,1.13,37.04,5.73,39.42,2.09,0.71,0.08,17.35,1.67,1.17,27.92,71.71,12.67,63.04,4.89,92.31,24.5,76.28,2.55,40.98,16.89,30.57,0.11,0.75,0.08,0.0,0.04,0.0,0.29,5.06,67.77,2.26,51.85,0.33,25.0,0.88,0.46,6.69,70.0,74.65,5.94,0,,0,,0,0.0,0.0,0.0,,,0.25,,5.14,0.04,0.04,100.0,0.0,0,0.0
F. Herzenbruch,Felix Herzenbruch,200557,Velbert,Velbert,https://cdn5.wyscout.com/photos/team/public/g5890_120x120.png,Regionalliga West,LCB,LCB,81,,0,,0,33.0,1992-08-08,0,2026-06-30,23,2143,0,0.5700000000000001,0,0.0,14.74,65.24,Germany,['Germany'],left,184,85,False,11.3,6.64,75.95,3.91,58.06,0.67,0.8200000000000001,0.63,5.59,6.8,0.63,4,0.17,1,0.04,0.21,0.0,0,0.0,0.02,0,0.0,7,0.29,14.29,0.0,0.0,0.17,25.0,0.17,25.0,0.0,0.0,0.0,0.13,100.0,1.13,51.85,0.38,0.55,0.04,23.85,0.29,0.92,39.39,84.43,18.44,76.54,2.52,98.33,32.0,90.94,7.22,56.98,20.8,35.1,0.0,0.04,0.0,0.04,0.0,0.0,0.0,5.54,62.88,0.42,20.0,0.17,25.0,0.17,0.04,8.32,76.77,91.79,14.32,1,,1,,0,0.0,0.81,0.03,,,1.3900000000000001,,3.91,0.0,0.0,0.0,0.04,0,0.0
K. Kratzsch,Kevin Kratzsch,-193287,Rot-Weiß Oberhausen,Rot-Weiß Oberhausen,https://cdn5.wyscout.com/photos/team/public/1119_120x120.png,Regionalliga West,GK,GK,100,,0,,0,23.0,2002-07-09,50000,2027-06-30,22,2140,0,0.0,0,0.0,0.42,90.0,Germany,['Germany'],left,188,0,False,1.05,0.04,100.0,0.34,87.5,0.0,0.0,0.0,1.01,1.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,9.93,0.13,0.04,19.01,82.74,9.5,67.26,0.0,0.0,12.53,98.32,6.48,52.6,32.68,50.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,37.21,0.29,0.0,0.08,0.0,0.0,0.0,4.88,62.93,98.57,8.83,25,1.05,72,3.03,8,65.28,20.59,0.87,-4.41,-0.185,0.0,0.88,0.34,,,,0.0,0,0.0
E. Lanfer,Erik Lanfer,-135984,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,"LB, LDMF",LB,69,LDMF,16,,0,21.0,2004-03-13,50000,2026-06-30,23,2128,0,1.01,4,7.51,14.93,57.79,Germany,['Germany'],,0,0,False,8.63,6.5600000000000005,67.74,2.37,55.36,0.25,0.36,0.34,3.93,5.52,0.97,8,0.34,1,0.04,2.2,0.0,0,0.0,0.04,0,0.0,14,0.59,42.86,0.0,0.17,2.92,49.28,2.2800000000000002,48.15,0.63,53.33,0.30000000000000004,1.02,50.0,3.85,42.86,0.17,0.89,0.04,25.67,1.02,1.06,38.99,77.87,16.41,70.1,6.22,96.6,28.04,86.27,8.2,58.25,22.6,36.87,0.32,2.71,0.04,0.08,0.04,0.0,0.51,7.91,66.31,3.68,51.72,0.55,30.77,0.47000000000000003,1.31,10.91,77.91,79.09,12.14,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.37,2.66,0.25,50.0,2.5,0,0.0
