Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Franculescu,Adrian Franculescu,-468400,Steaua Bucureşti,Steaua Bucureşti,https://cdn5.wyscout.com/photos/team/public/g-10763_120x120.png,Liga II,GK,GK,100,,0,,0,21.0,2005-02-28,0,2026-06-30,23,2221,0,0.0,0,0.0,0.6900000000000001,64.71,Romania,['Romania'],right,185,0,True,1.01,0.2,60.0,0.28,57.14,0.0,0.0,0.0,0.89,1.24,0.08,3,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,9.6,0.12,0.12,17.22,87.53,9.32,78.7,0.0,0.0,12.56,98.39,4.62,58.77,28.99,46.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,39.13,0.04,0.0,0.04,0.0,0.0,0.0,3.5300000000000002,64.37,98.83,6.93,28,1.13,113,4.58,6,75.22,29.69,1.2,1.69,0.068,0.0,0.93,0.28,,,,0.0,0,0.0
M. Racasan-Florin,Mihai Racasan-Florin,-384835,Slatina,Slatina,https://cdn5.wyscout.com/photos/team/public/g37287_120x120.png,Liga II,GK,GK,100,,0,,0,18.0,2007-07-01,0,,22,2132,0,0.0,0,0.0,0.59,100.0,Romania,['Romania'],unknown,0,0,False,0.93,0.04,100.0,0.42,100.0,0.0,0.0,0.0,0.89,1.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,9.62,0.25,0.25,16.97,82.34,9.75,73.59,0.0,0.0,9.67,96.94,7.26,63.37,34.87,48.44,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.69,52.5,0.04,0.0,0.04,0.0,0.04,0.0,5.49,73.08,94.3,6.67,29,1.22,94,3.9699999999999998,4,69.15,26.67,1.13,-2.33,-0.098,0.0,1.22,0.42,,,,0.0,0,0.0
G. Ungureanu,George Bogdan Ungureanu,-338078,Sepsi,Sepsi,https://cdn5.wyscout.com/photos/team/public/g29657_120x120.png,Liga II,GK,GK,100,,0,,0,19.0,2007-04-01,0,2028-06-30,22,2122,0,0.0,0,0.0,0.64,100.0,Romania,['Romania'],right,0,0,True,1.6099999999999999,0.04,100.0,0.42,100.0,0.0,0.0,0.0,1.57,2.25,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,7.3,0.08,0.13,13.11,83.17,7.17,72.78,0.08,100.0,8.91,97.62,4.2,52.53,30.35,48.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,51.52,0.13,0.0,0.13,0.0,0.0,0.0,3.14,63.51,96.49,4.84,15,0.64,72,3.05,12,79.17,17.6,0.75,2.6,0.11,0.04,0.98,0.42,,,,0.0,0,0.0
A. Burdeț,Alin Burdeț,464278,Gloria Bistriţa,Gloria Bistriţa,https://cdn5.wyscout.com/photos/team/public/g-16822_120x120.png,Liga II,"CB, RCB, RB",CB,34,RCB,33,RB,24,27.0,1998-04-07,0,,22,2116,1,2.22,0,0.0,13.31,60.06,Romania,['Romania'],,0,0,False,10.29,6.08,67.13,3.2800000000000002,51.95,0.47000000000000003,0.64,0.77,5.74,7.8,0.89,2,0.09,0,0.0,0.38,0.04,1,0.04,0.09,0,0.0,7,0.30000000000000004,42.86,14.286,0.0,0.43,10.0,0.0,0.0,0.43,10.0,0.04,0.30000000000000004,71.43,1.53,66.67,0.64,0.34,0.0,19.69,0.30000000000000004,0.89,34.07,78.53,16.5,67.53,1.53,83.33,26.8,85.87,6.85,54.04,22.92,37.55,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.47,57.14,0.43,30.0,0.30000000000000004,28.57,0.04,0.09,7.87,65.41,93.2,13.14,0,,0,,0,0.0,0.0,0.0,,,0.81,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
R. Malutan,Rares Cristian Malutan,-559683,1599 Şelimbăr,1599 Şelimbăr,https://cdn5.wyscout.com/photos/team/public/g-14343_120x120.png,Liga II,GK,GK,100,,0,,0,19.0,2006-05-27,0,2029-06-30,22,2114,0,0.0,0,0.0,0.6000000000000001,92.86,Romania,['Romania'],unknown,0,0,False,2.04,0.09,100.0,0.43,100.0,0.04,0.06,0.0,1.92,2.49,0.04,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.09,0.0,5.79,0.09,0.21,14.43,72.86,9.66,63.0,0.0,0.0,7.07,96.99,7.28,50.29,34.55,48.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,57.41,0.17,0.0,0.04,0.0,0.09,0.0,4.85,63.16,92.55,4.0,32,1.3599999999999999,103,4.39,4,68.93,30.37,1.29,-1.63,-0.069,0.0,2.34,0.43,,,,0.0,0,0.0
I. Pešić,Ivan Pešić,268434,Chindia Târgovişte,Chindia Târgovişte,https://cdn5.wyscout.com/photos/team/public/3992_120x120.png,Liga II,"CF, LW, RW",CF,46,LW,26,RW,16,33.0,1992-04-06,150000,2027-06-30,23,2113,3,4.29,10,5.07,17.29,43.6,Croatia,['Croatia'],right,184,74,False,4.17,3.19,60.0,3.24,39.47,0.09,0.12,0.13,2.17,3.15,0.72,2,0.09,0,0.0,4.86,0.13,3,0.13,0.18,1,0.04,43,1.83,30.23,6.977,0.43,4.3,41.58,2.3,38.89,1.96,43.48,0.55,3.92,63.04,9.03,41.51,3.54,1.79,0.38,22.19,3.41,0.77,33.14,75.06,8.01,63.3,7.5,94.32,27.13,82.73,1.83,39.53,17.61,25.17,0.22,1.79,0.17,0.09,0.09,50.0,1.06,2.98,65.71,4.69,50.91,0.38,44.44,1.3599999999999999,1.7000000000000002,4.9,82.61,73.15,10.95,0,,0,,0,0.0,0.0,0.0,,,0.38,,3.24,0.09,0.04,0.0,0.21,0,0.0
R. Padurariu,Ricardo Padurariu,-373319,Corvinul Hunedoara,Corvinul Hunedoara,https://cdn5.wyscout.com/photos/team/public/g1832_120x120.png,Liga II,"LB, RB",LB,78,RB,13,,0,18.0,2007-05-23,0,2026-06-30,23,2107,1,0.87,1,2.4,23.54,52.81,Romania,['Romania'],unknown,0,0,True,8.2,7.35,64.53,1.75,58.54,0.81,1.26,0.13,2.65,4.1,1.24,2,0.09,0,0.0,5.34,0.04,1,0.04,0.04,0,0.0,25,1.07,24.0,4.0,0.04,3.8,38.2,3.33,35.9,0.43,60.0,0.43,6.19,58.62,11.53,47.78,1.67,3.7199999999999998,0.81,23.58,2.14,1.4100000000000001,33.79,75.73,11.06,69.11,5.68,93.23,27.68,83.95,2.52,44.07,18.79,29.57,0.1,1.03,0.04,0.09,0.0,0.0,0.56,3.7199999999999998,60.92,3.93,44.57,0.17,25.0,0.85,1.32,6.54,78.43,77.74,11.32,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.75,0.0,0.0,0.0,0.0,0,0.0
C. Sandu,Codruț Sandu,-274726,Corvinul Hunedoara,Corvinul Hunedoara,https://cdn5.wyscout.com/photos/team/public/g1832_120x120.png,Liga II,GK,GK,100,,0,,0,19.0,2006-04-17,0,2029-06-30,22,2107,0,0.0,0,0.0,0.77,83.33,Romania,['Romania'],right,191,0,True,0.98,0.04,0.0,0.6000000000000001,85.71,0.0,0.0,0.0,0.98,1.53,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,14.1,0.51,0.17,20.93,86.33,11.87,79.5,0.0,0.0,14.57,97.95,6.36,59.73,31.09,47.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,53.33,0.09,50.0,0.04,0.0,0.04,0.0,4.74,65.77,95.54,8.63,14,0.6000000000000001,73,3.12,13,80.82,22.36,0.96,8.36,0.357,0.0,1.4100000000000001,0.6000000000000001,,,,0.0,0,0.0
L. Anton,Lucian Anton,-498341,Bacău,Bacău,https://cdn5.wyscout.com/photos/team/public/g-19792_120x120.png,Liga II,GK,GK,100,,0,,0,19.0,2006-10-18,0,,22,2097,0,0.0,0,0.03,0.56,84.62,Romania,['Romania'],unknown,0,0,False,2.19,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.04,2.19,2.7,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.09,5.79,0.26,0.09,15.62,73.9,9.66,60.0,0.0,0.0,7.77,95.03,7.85,53.01,40.21,52.3,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.83,42.42,0.13,0.0,0.04,0.0,0.0,0.0,5.06,77.12,96.3,5.79,25,1.07,101,4.33,7,75.25,22.76,0.98,-2.24,-0.096,0.0,1.16,0.30000000000000004,,,,0.0,0,0.0
A. Manolache,Antoniu Manolache,467443,Corvinul Hunedoara,Corvinul Hunedoara,https://cdn5.wyscout.com/photos/team/public/g1832_120x120.png,Liga II,LCB,LCB,92,,0,,0,26.0,2000-01-30,400000,2027-06-30,22,2097,4,5.07,0,0.53,12.79,58.72,Romania,['Romania'],left,180,70,False,8.15,4.76,66.67,4.21,59.18,0.30000000000000004,0.46,0.43,4.68,7.19,0.77,4,0.17,0,0.0,0.77,0.17,2,0.09,0.22,1,0.04,21,0.9,42.86,19.048,0.0,0.13,33.33,0.09,0.0,0.04,100.0,0.0,0.39,88.89,1.9300000000000002,55.56,1.33,2.27,0.34,38.58,1.2,0.64,55.79,84.69,25.28,74.36,4.08,94.74,44.94,93.22,10.73,49.6,25.29,43.8,0.02,0.30000000000000004,0.0,0.09,0.0,0.0,0.09,11.03,62.65,1.29,26.67,0.9400000000000001,22.73,0.39,0.04,11.63,78.97,94.73,22.79,0,,0,,0,0.0,0.0,0.0,,,3.18,,4.21,0.0,0.0,0.0,0.0,3,66.667
