Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Bogdanovic,Bogdan  Bogdanovic,-484124,Vojvodina U19,Vojvodina U19,https://cdn5.wyscout.com/photos/team/public/g-5714_120x120.png,U19 League,GK,GK,100,,0,,0,18.0,2008-01-07,0,,22,2087,0,0.0,0,0.0,0.56,76.92,Serbia,['Serbia'],right,188,0,False,1.98,0.09,0.0,0.22,100.0,0.0,0.0,0.0,1.98,2.8200000000000003,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.0,14.53,0.26,0.22,26.87,79.61,14.4,65.87,0.0,0.0,15.91,95.66,10.91,56.52,31.11,46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,39.71,0.04,0.0,0.17,50.0,0.04,0.0,7.24,63.1,95.35,11.13,31,1.34,109,4.7,7,71.56,33.7,1.45,2.7,0.116,0.0,1.38,0.22,,,,0.0,0,0.0
L. Kuzmanovic,Luka Kuzmanovic,-735083,Mladost Lučani U19,Mladost Lučani U19,https://cdn5.wyscout.com/photos/team/public/g-9943_120x120.png,U19 League,"LCB3, LCB",LCB3,79,LCB,10,,0,18.0,2007-08-07,0,,22,2079,0,1.3900000000000001,0,0.5,17.06,59.9,Serbia,['Serbia'],,0,0,False,12.08,9.7,68.3,3.16,58.9,0.04,0.05,0.48,5.41,6.51,1.43,3,0.13,0,0.0,0.22,0.0,0,0.0,0.06,0,0.0,7,0.30000000000000004,28.57,0.0,0.0,0.22,20.0,0.17,25.0,0.04,0.0,0.0,0.09,100.0,1.56,27.78,0.52,0.48,0.04,25.11,0.43,0.56,42.81,76.64,23.29,63.01,3.55,96.34,33.51,87.6,9.09,37.62,23.44,39.26,0.02,0.09,0.04,0.04,0.0,0.0,0.0,7.58,52.0,0.61,28.57,0.35000000000000003,12.5,0.13,0.04,11.9,64.0,93.64,12.25,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,3.16,0.0,0.0,0.0,0.0,0,0.0
V. Pastor,Vasilije  Pastor,-483985,OFK Vršac U19,OFK Vršac U19,https://cdn5.wyscout.com/photos/team/public/g-18841_120x120.png,U19 League,LCB,LCB,97,,0,,0,18.0,2008-01-14,0,,22,2076,0,1.32,0,0.03,11.88,60.95,Serbia,['Serbia'],unknown,0,0,False,9.67,4.99,72.17,3.95,52.75,0.48,0.54,0.74,5.59,6.31,0.65,0,0.0,0,0.0,0.13,0.0,0,0.0,0.06,0,0.0,5,0.22,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,1.13,61.54,0.26,0.43,0.0,14.83,0.0,0.65,31.21,79.03,14.39,66.27,2.56,98.31,25.27,87.82,5.94,41.61,22.47,36.94,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.51,50.62,0.52,33.33,0.09,50.0,0.13,0.0,6.46,53.02,92.25,11.75,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.95,0.0,0.0,0.0,0.0,0,0.0
M. Krstic,Mateja Krstic,-483726,OFK Beograd U19,OFK Beograd U19,https://cdn5.wyscout.com/photos/team/public/g-6115_120x120.png,U19 League,"RCB, LCB",RCB,76,LCB,19,,0,18.0,2007-05-31,0,,21,1997,2,1.45,1,0.77,14.15,60.83,Serbia,['Serbia'],unknown,0,0,False,9.06,5.23,66.38,3.92,64.37,0.63,0.9,0.77,4.96,7.1,0.99,3,0.14,0,0.0,0.32,0.09,2,0.09,0.07,2,0.09,8,0.36,50.0,25.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,60.0,1.94,48.84,0.59,0.32,0.0,21.81,0.18,1.22,38.67,82.63,16.4,67.58,4.37,97.94,31.95,89.42,6.72,50.34,23.51,38.17,0.03,0.09,0.05,0.0,0.0,0.0,0.09,4.51,52.0,0.72,25.0,0.23,20.0,0.32,0.0,7.08,64.97,94.81,15.64,0,,0,,0,0.0,0.0,0.0,,,4.06,,3.92,0.0,0.0,0.0,0.0,0,0.0
T. Stanisic,Tadija  Stanisic,-484631,Vojvodina U19,Vojvodina U19,https://cdn5.wyscout.com/photos/team/public/g-5714_120x120.png,U19 League,"RDMF, RCMF",RDMF,75,RCMF,16,,0,18.0,2007-06-05,0,,21,1991,2,2.39,2,2.39,20.48,53.42,Serbia,['Serbia'],unknown,0,0,False,10.31,7.1,60.51,2.58,63.16,1.63,2.29,0.05,4.38,6.17,1.63,5,0.23,0,0.0,2.17,0.09,2,0.09,0.11,0,0.0,30,1.3599999999999999,23.33,6.667,0.09,1.27,28.57,0.41000000000000003,22.22,0.86,31.58,0.27,2.12,65.96,7.91,49.71,1.49,1.54,0.27,24.36,0.36,2.26,41.41,75.66,17.31,61.36,6.15,94.12,35.44,81.63,4.75,42.86,18.63,34.78,0.11,0.72,0.05,0.0,0.14,66.67,0.32,8.14,59.44,2.62,37.93,0.9,30.0,0.9,0.36,6.51,66.67,85.24,12.25,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.58,0.05,0.0,0.0,0.0,0,0.0
S. Aleksic,Strahinja Aleksic,-577238,Grafičar,Grafičar U19,https://cdn5.wyscout.com/photos/team/public/g4182_120x120.png,Prva Liga,GK,GK,100,,0,,0,17.0,2008-06-09,0,,21,1954,0,0.0,0,0.51,0.97,90.48,Serbia,['Serbia'],,0,0,False,2.5300000000000002,0.05,0.0,0.6900000000000001,100.0,0.0,0.0,0.0,2.5300000000000002,3.23,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,19.21,0.41000000000000003,0.14,30.95,79.76,16.54,66.57,0.0,0.0,18.79,96.81,12.16,53.41,29.96,44.55,0.02,0.05,0.0,0.0,0.0,0.0,0.0,2.49,27.78,0.18,25.0,0.41000000000000003,33.33,0.05,0.0,7.51,54.6,94.57,12.71,38,1.75,128,5.9,4,70.31,37.67,1.74,-0.33,-0.015,0.0,1.47,0.6900000000000001,,,,0.0,0,0.0
A. Draškić,Aleksa Draškić,-483572,Mladost Lučani U19,Mladost Lučani U19,https://cdn5.wyscout.com/photos/team/public/g-9943_120x120.png,U19 League,"LWB, LB5, LCMF",LWB,30,LB5,22,LCMF,21,17.0,2008-10-16,0,,22,1934,5,2.86,5,5.37,17.87,49.48,Serbia,['Serbia'],unknown,0,0,False,7.86,6.51,65.71,1.58,26.47,0.56,0.67,0.09,3.02,3.62,0.88,2,0.09,0,0.0,2.19,0.23,5,0.23,0.13,0,0.0,32,1.49,28.13,15.625,0.23,2.19,21.28,1.9100000000000001,19.51,0.28,33.33,0.47000000000000003,2.09,60.0,8.05,42.77,1.3,1.21,0.14,18.71,1.26,1.81,27.92,67.67,13.12,61.7,4.47,90.63,21.22,78.51,4.75,39.22,20.28,36.24,0.25,1.4,0.09,0.05,0.09,50.0,0.33,5.35,57.39,2.65,43.86,0.51,27.27,0.84,0.42,6.89,68.24,67.41,6.28,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.58,1.21,0.09,50.0,1.77,0,0.0
N. Cejovic,Nikola  Cejovic,-484651,Voždovac U19,Voždovac U19,https://cdn5.wyscout.com/photos/team/public/g-9950_120x120.png,U19 League,"LCB, RCB",LCB,66,RCB,32,,0,18.0,2007-07-07,0,,21,1932,2,1.52,0,0.48,9.78,64.76,Serbia,['Serbia'],unknown,0,0,False,10.16,4.7,69.31,3.17,66.18,0.14,0.19,0.93,6.75,9.02,0.75,6,0.28,0,0.0,0.19,0.09,2,0.09,0.07,2,0.09,13,0.61,23.08,15.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.56,50.0,1.26,0.42,0.05,23.01,0.23,0.23,41.79,76.14,22.27,64.23,2.56,96.36,30.56,86.89,11.23,46.89,24.81,39.16,0.02,0.19,0.05,0.0,0.0,0.0,0.05,6.24,54.48,0.79,47.06,0.84,44.44,0.37,0.0,11.88,59.61,91.74,15.23,0,,0,,0,0.0,0.0,0.0,,,2.05,,3.17,0.0,0.0,0.0,0.0,0,0.0
K. Gicic,Kadir Gicic,-483293,IMT Novi Beograd,IMT Novi Beograd U19,https://cdn5.wyscout.com/photos/team/public/g30905_120x120.png,Super Liga,GK,GK,100,,0,,0,18.0,2007-07-28,0,2026-06-30,21,1929,0,0.0,0,0.17,0.42,88.89,Serbia,['Serbia'],unknown,0,0,False,1.26,0.0,0.0,0.28,100.0,0.0,0.0,0.0,1.26,1.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,7.98,0.09,0.14,16.89,77.9,10.03,66.51,0.0,0.0,9.94,95.31,6.91,53.38,33.36,51.69,0.01,0.05,0.0,0.0,0.0,0.0,0.05,2.5700000000000003,50.91,0.19,0.0,0.05,0.0,0.0,0.0,4.99,65.42,95.76,5.51,22,1.03,81,3.7800000000000002,7,72.84,26.04,1.21,4.04,0.188,0.0,1.45,0.28,,,,0.0,0,0.0
S. Kostadinov,Stefan  Kostadinov,-484089,OFK Vršac,OFK Vršac U19,https://cdn5.wyscout.com/photos/team/public/g-16413_120x120.png,Prva Liga,CF,CF,98,,0,,0,17.0,2008-05-05,0,,22,1926,4,6.76,0,0.78,10.23,27.85,Serbia,['Serbia'],unknown,0,0,False,1.78,2.48,47.17,2.15,17.39,0.05,0.05,0.05,0.56,0.63,0.75,1,0.05,0,0.0,1.07,0.19,4,0.19,0.32,0,0.0,31,1.45,41.94,12.903,0.0,0.37,25.0,0.05,100.0,0.33,14.29,0.09,0.61,61.54,3.69,29.11,2.06,0.33,0.09,5.79,1.12,0.56,6.54,67.14,1.26,59.26,2.34,80.0,5.98,71.88,0.19,0.0,16.38,7.09,0.04,0.28,0.05,0.0,0.0,0.0,0.0,0.75,56.25,0.19,50.0,0.05,0.0,0.23,0.14,0.98,61.9,57.69,1.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.15,0.0,0.0,0.0,0.0,0,0.0
