Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Bellocci,Andrea Bellocci,-151255,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,GK,GK,100,,0,,0,19.0,2006-06-12,0,2026-06-30,28,2706,0,0.0,0,0.47000000000000003,0.9,85.19,Italy,['Italy'],,0,0,False,1.56,0.07,50.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.53,2.23,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,88.89,0.0,0.0,0.0,6.72,0.17,0.43,15.23,82.97,8.71,70.61,0.0,0.0,10.41,98.72,4.82,48.97,32.07,49.71,0.02,0.03,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,45.1,0.1,33.33,0.03,100.0,0.07,0.0,3.39,70.59,100.0,5.69,19,0.63,104,3.46,15,81.73,29.13,0.97,10.13,0.337,0.0,1.6600000000000001,0.47000000000000003,,,,0.0,0,0
O. Djorkaeff,Oan Djorkaeff,430118,Sanremese Calcio,Sanremese Calcio,https://cdn5.wyscout.com/photos/team/public/2781_120x120.png,Serie D - Girone A,"CF, LW",CF,57,LW,23,,0,28.0,1997-04-30,100000,2026-06-30,28,2678,8,6.94,6,4.03,25.24,39.01,France,"['France', 'Armenia']",right,178,68,False,3.8,4.1,62.3,2.69,30.0,0.13,0.19,0.0,1.11,1.6,1.71,3,0.1,0,0.0,4.67,0.27,6,0.2,0.23,0,0.0,54,1.81,35.19,14.815,0.2,2.65,27.85,1.78,30.19,0.84,24.0,0.5,6.25,52.15,14.72,37.44,3.73,2.45,0.30000000000000004,15.76,3.06,1.65,23.12,74.71,4.1,60.66,6.12,91.21,19.69,81.23,0.87,61.54,17.47,24.01,0.14,0.87,0.03,0.0,0.17,20.0,0.5,1.48,70.45,2.35,47.14,0.24,14.29,0.87,0.77,2.76,71.95,76.62,7.76,0,,0,,0,0.0,0.0,0.0,,,0.03,,2.69,0.13,0.03,0.0,0.74,2,100
D. Valenti,Diego Valenti,-25102,Saluzzo,Saluzzo,https://cdn5.wyscout.com/photos/team/public/g-5015_120x120.png,Serie D - Girone A,CF,CF,98,,0,,0,30.0,1996-02-28,125000,2026-06-30,27,2515,10,9.5,0,0.72,22.15,33.6,Italy,['Italy'],,0,0,False,4.12,3.4,63.16,6.19,28.32,0.29,0.48,0.14,1.6800000000000002,2.83,1.57,2,0.07,0,0.0,1.3599999999999999,0.36,9,0.32,0.34,5,0.18,54,1.9300000000000002,48.15,18.519,0.0,0.29,12.5,0.11,0.0,0.14,25.0,0.0,0.97,40.74,8.8,27.24,3.7199999999999998,0.47000000000000003,0.14,8.73,1.9,1.15,14.82,71.98,3.76,47.62,4.22,92.37,13.28,74.12,1.25,62.86,16.95,23.76,0.03,0.32,0.07,0.0,0.04,0.0,0.21,1.9,52.83,0.79,59.09,0.18,20.0,0.43,0.04,1.11,58.06,78.9,3.9,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.19,0.0,0.0,0.0,0.0,2,50
M. Piredda,Marco Piredda,-143293,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LCMF3, LCMF, DMF",LCMF3,27,LCMF,25,DMF,10,21.0,2005-03-27,0,2026-06-30,26,2401,3,2.11,0,1.38,16.34,50.69,Italy,['Italy'],,172,63,False,7.72,6.41,63.16,2.92,47.44,0.11,0.17,0.19,3.56,5.36,1.27,5,0.19,0,0.0,0.97,0.11,3,0.11,0.08,0,0.0,28,1.05,28.57,10.714,0.0,0.6000000000000001,31.25,0.37,30.0,0.22,33.33,0.07,0.64,64.71,4.76,38.58,0.86,0.9400000000000001,0.34,24.74,0.45,1.54,39.43,80.13,12.44,62.65,7.12,96.32,35.24,84.26,3.64,47.42,19.32,38.53,0.05,0.67,0.0,0.15,0.15,50.0,0.19,5.4,63.89,1.46,48.72,0.34,33.33,0.64,0.19,5.92,65.82,87.6,14.21,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.92,0.0,0.0,0.0,0.56,0,0
A. Bondioli,Andrea Bondioli,449582,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,CB,CB,94,,0,,0,29.0,1997-02-21,100000,2026-06-30,27,2385,1,2.77,0,0.0,17.02,60.75,Italy,['Italy'],right,186,79,False,7.36,6.08,68.94,6.49,67.44,0.23,0.33,0.42,2.94,4.23,1.77,4,0.15,0,0.0,0.11,0.04,1,0.04,0.1,0,0.0,15,0.5700000000000001,13.33,6.667,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.04,0.08,50.0,0.49,38.46,0.9400000000000001,0.23,0.04,17.7,0.0,0.42,28.11,88.32,10.38,75.64,1.06,100.0,24.53,92.15,3.51,63.44,23.13,36.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.8900000000000001,52.0,0.23,16.67,0.04,100.0,0.08,0.0,4.04,71.96,96.29,15.25,0,,0,,0,0.0,0.0,0.0,,,0.68,,6.49,0.0,0.0,0.0,0.0,0,0
P. Scannapieco,Paolo Scannapieco,431249,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LCB3, LCB, CB",LCB3,50,LCB,29,CB,12,28.0,1997-12-13,100000,2027-06-30,25,2382,0,0.47000000000000003,4,1.3900000000000001,13.26,56.98,Italy,['Italy'],both,180,70,False,7.07,4.69,70.16,3.25,56.98,0.0,0.0,0.5700000000000001,3.7800000000000002,5.76,0.76,4,0.15,0,0.0,0.30000000000000004,0.0,0,0.0,0.02,0,0.0,7,0.26,0.0,0.0,0.15,0.38,30.0,0.26,28.57,0.04,0.0,0.0,0.38,50.0,2.87,35.53,0.45,1.25,0.11,23.12,0.45,0.91,39.82,88.24,17.76,79.57,3.29,94.25,34.53,93.0,4.91,59.23,20.65,37.24,0.05,0.26,0.11,0.0,0.04,0.0,0.15,4.31,71.93,0.91,33.33,0.15,25.0,0.30000000000000004,0.15,7.97,70.14,95.25,15.91,0,,0,,0,0.0,0.0,0.0,,,1.02,,3.25,0.0,0.0,0.0,0.0,0,0
N. Ciccone,Nicola Ciccone,374547,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,RCMF3,RCMF3,82,,0,,0,29.0,1996-04-21,75000,2026-06-30,27,2339,9,4.3,7,8.86,16.16,46.19,Italy,['Italy'],left,180,78,False,4.46,4.23,63.64,0.65,52.94,0.04,0.06,0.12,1.73,2.5,0.58,4,0.15,0,0.0,4.31,0.35000000000000003,8,0.31,0.17,0,0.0,65,2.5,30.77,13.846,0.27,2.54,39.39,0.58,33.33,1.92,42.0,0.5,4.77,51.61,10.12,39.16,1.73,2.92,0.42,29.71,1.62,0.6900000000000001,40.13,72.48,15.47,63.93,5.39,92.14,30.55,80.23,7.12,50.81,22.61,41.42,0.34,2.15,0.12,0.04,0.38,20.0,0.73,9.5,62.35,5.73,42.28,1.81,21.28,2.08,1.04,9.77,83.46,77.24,14.2,0,,0,,0,0.0,0.0,0.0,,,0.15,,0.65,1.69,0.58,33.33,3.31,1,100
F. Gulinelli,Federico Gulinelli,493419,Vado,Vado,https://cdn5.wyscout.com/photos/team/public/g13755_120x120.png,Serie D - Girone A,"LCB3, DMF, RCB3",LCB3,60,DMF,20,RCB3,10,25.0,2000-06-02,75000,2026-06-30,27,2257,0,0.21,1,0.66,13.6,59.53,Italy,['Italy'],right,195,84,False,9.09,7.02,69.89,2.75,52.17,0.04,0.06,0.24,4.15,6.06,1.52,4,0.16,0,0.0,0.64,0.0,0,0.0,0.01,0,0.0,5,0.2,0.0,0.0,0.04,0.56,14.29,0.16,25.0,0.4,10.0,0.12,0.8,70.0,2.59,47.69,0.56,1.99,0.0,32.58,1.71,0.48,47.33,83.4,19.5,70.76,3.75,96.81,38.56,90.69,8.25,53.62,22.38,37.77,0.03,0.36,0.04,0.0,0.08,0.0,0.16,7.7,64.77,1.52,21.05,0.72,27.78,0.4,0.08,9.85,73.28,94.0,19.26,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.75,0.04,0.0,0.0,0.04,0,0
C. Carlini,Cristian Carlini,-382232,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,"LB5, LB, LWB",LB5,42,LB,38,LWB,17,19.0,2007-03-28,0,,26,2255,1,0.64,9,3.74,15.49,53.09,Italy,['Italy'],unknown,0,0,False,7.62,6.39,64.38,1.8399999999999999,36.96,0.04,0.06,0.28,3.47,5.27,0.68,2,0.08,0,0.0,3.55,0.04,1,0.04,0.03,0,0.0,18,0.72,16.67,5.556,0.36,4.99,27.2,4.91,26.02,0.04,100.0,0.92,3.11,66.67,5.75,48.61,1.28,1.8399999999999999,0.48,24.31,1.8,0.76,34.16,70.33,11.81,60.14,6.47,92.59,24.59,83.6,4.95,44.35,22.0,37.81,0.15,1.0,0.04,0.04,0.04,0.0,0.76,2.39,66.67,4.03,40.59,0.28,14.29,0.48,1.4,8.06,56.93,69.23,10.9,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.8399999999999999,0.0,0.0,0.0,0.04,0,0
N. Rodriguez,Nicolas  Rodriguez,-627302,Ligorna,Ligorna,https://cdn5.wyscout.com/photos/team/public/g34854_120x120.png,Serie D - Girone A,GK,GK,100,,0,,0,30.0,1995-12-05,0,,23,2224,0,0.0,1,0.08,0.85,80.95,Argentina,['Argentina'],unknown,0,0,False,1.38,0.08,100.0,0.45,90.91,0.04,0.06,0.0,1.25,1.9300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,57.14,0.0,0.0,0.04,9.31,0.24,0.28,18.13,79.02,11.09,70.44,0.04,100.0,10.2,94.05,7.8100000000000005,60.62,36.35,53.3,0.0,0.04,0.0,0.0,0.0,0.0,0.04,2.87,46.48,0.49,16.67,0.24,33.33,0.08,0.0,5.95,72.79,93.2,5.95,16,0.65,77,3.12,10,79.22,21.26,0.86,5.26,0.213,0.04,2.23,0.45,,,,0.0,0,0
