Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Arpini,Andrea Arpini,-150177,Crema,Crema,https://cdn5.wyscout.com/photos/team/public/g40194_120x120.png,Serie D - Girone E,"RB, RCB3",RB,63,RCB3,23,,0,22.0,2003-05-16,0,2026-06-30,29,2703,0,0.7000000000000001,2,4.0,15.58,59.19,Italy,['Italy'],right,0,0,False,8.96,8.52,62.89,1.73,55.77,0.1,0.12,0.4,3.5,4.24,0.87,4,0.13,0,0.0,3.06,0.0,0,0.0,0.02,0,0.0,3,0.1,0.0,0.0,0.07,4.16,43.2,0.03,100.0,4.13,42.74,0.43,1.8,70.37,3.86,52.59,0.37,2.0,0.6000000000000001,24.91,2.4,1.1,34.1,71.78,15.55,62.1,2.76,91.57,20.44,87.46,9.86,50.34,26.69,43.35,0.13,1.03,0.0,0.0,0.0,0.0,0.7000000000000001,6.83,50.73,4.16,50.4,0.63,52.63,0.47000000000000003,1.63,10.12,76.32,79.4,12.12,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.73,0.1,0.0,0.0,0.0,0,0.0
S. Ruggeri,Samuele Ruggeri,-73308,C.S. Trevigliese,C.S. Trevigliese,https://cdn5.wyscout.com/photos/team/public/g-3149_120x120.png,Serie D - Girone D,"LCB3, LCB, LB",LCB3,61,LCB,17,LB,12,25.0,2001-01-09,0,2026-06-30,28,2698,3,2.5700000000000003,1,1.57,15.34,59.57,Italy,['Italy'],left,180,72,False,11.24,6.7,68.66,4.7,63.12,0.63,0.86,0.87,6.0,8.13,1.0,5,0.17,0,0.0,1.4,0.1,3,0.1,0.09,2,0.07,21,0.7000000000000001,38.1,14.286,0.03,2.0,35.0,1.9300000000000002,36.21,0.03,0.0,0.07,0.63,68.42,1.63,42.86,1.0,1.53,0.1,23.02,0.87,0.17,36.63,75.14,18.01,65.19,2.74,89.02,27.22,85.54,7.54,48.23,23.56,38.5,0.05,0.6000000000000001,0.0,0.0,0.03,0.0,0.37,7.01,53.33,2.74,43.9,0.97,37.93,0.5700000000000001,0.63,8.91,73.03,86.06,12.44,0,,0,,0,0.0,0.0,0.0,,,0.8,,4.7,0.0,0.0,0.0,0.0,0,0.0
C. Caporali,Carlo Caporali,303618,C.S. Trevigliese,C.S. Trevigliese,https://cdn5.wyscout.com/photos/team/public/g-3149_120x120.png,Serie D - Girone D,"DMF, RCMF, LCMF",DMF,41,RCMF,27,LCMF,12,31.0,1994-04-27,75000,2026-06-30,29,2657,2,0.68,3,4.44,12.74,50.53,Italy,['Italy'],right,185,76,False,7.93,5.49,56.17,1.35,52.5,0.2,0.28,0.41000000000000003,4.64,6.38,0.98,4,0.14,0,0.0,1.49,0.07,2,0.07,0.02,0,0.0,27,0.91,25.93,7.407,0.1,1.25,51.35,0.44,38.46,0.78,56.52,0.14,0.75,68.18,4.0,49.15,0.41000000000000003,1.46,0.1,31.23,0.54,1.35,48.95,83.74,16.7,69.17,6.33,97.33,39.77,90.37,7.96,55.32,20.53,34.78,0.15,1.35,0.03,0.03,0.14,75.0,0.17,10.3,69.41,2.1,56.45,0.98,34.48,0.78,0.61,9.69,76.57,91.68,19.95,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.35,1.46,0.03,0.0,1.76,0,0.0
F. Del Carro,Francesco Del Carro,-25339,C.S. Trevigliese,C.S. Trevigliese,https://cdn5.wyscout.com/photos/team/public/g-3149_120x120.png,Serie D - Girone D,"CB, RCB, RCB3",CB,51,RCB,28,RCB3,17,33.0,1993-03-25,100000,2026-06-30,28,2648,2,1.79,0,0.6000000000000001,17.44,59.26,Italy,['Italy'],,0,0,False,10.16,6.39,62.23,6.42,66.67,0.37,0.51,1.3599999999999999,5.8100000000000005,7.97,1.19,9,0.31,0,0.0,0.51,0.07,2,0.07,0.06,2,0.07,17,0.58,29.41,11.765,0.0,0.44,30.77,0.0,0.0,0.44,30.77,0.03,0.31,66.67,1.8,37.74,1.02,0.51,0.07,21.51,0.51,0.48,36.91,81.49,17.2,70.75,1.8,92.45,29.47,89.27,7.07,51.92,22.99,39.31,0.02,0.17,0.0,0.0,0.0,0.0,0.1,5.8100000000000005,60.23,1.19,28.57,0.37,9.09,0.34,0.17,8.36,71.54,92.71,14.92,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,6.42,0.0,0.0,0.0,0.0,0,0.0
A. Montesano,Andrea Montesano,350349,Pro Sesto,Pro Sesto,https://cdn5.wyscout.com/photos/team/public/207_120x120.png,Serie D - Girone E,LCB,LCB,90,,0,,0,34.0,1992-02-11,75000,2026-06-30,28,2615,3,1.4,1,0.12,11.32,60.18,Italy,['Italy'],left,181,76,False,6.37,3.65,68.87,3.68,57.94,0.1,0.15,0.48,3.75,5.47,0.8300000000000001,4,0.14,0,0.0,0.31,0.1,3,0.1,0.05,2,0.07,11,0.38,45.45,27.273,0.03,0.14,50.0,0.14,50.0,0.0,0.0,0.03,0.17,40.0,1.24,44.44,0.52,0.55,0.07,24.16,0.21,0.8300000000000001,40.65,80.95,18.52,69.7,3.24,92.55,32.52,88.15,8.02,51.93,22.07,36.91,0.0,0.07,0.0,0.0,0.0,0.0,0.07,6.68,56.7,0.86,32.0,0.45,30.77,0.24,0.07,9.22,63.43,92.31,15.21,0,,0,,0,0.0,0.0,0.0,,,2.03,,3.68,0.0,0.0,0.0,0.0,0,0.0
D. Libertazzi,Davide Libertazzi,-11344,Sangiuliano City,Sangiuliano City,https://cdn5.wyscout.com/photos/team/public/g-10963_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,31.0,1994-07-21,75000,2026-06-30,27,2613,0,0.0,0,0.0,0.6900000000000001,95.0,Italy,['Italy'],right,184,80,False,1.4100000000000001,0.1,100.0,0.41000000000000003,91.67,0.0,0.0,0.0,1.31,1.92,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,7.85,0.17,0.28,19.15,80.58,11.47,70.27,0.0,0.0,11.19,97.23,7.92,57.39,33.31,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,39.44,0.21,16.67,0.21,33.33,0.03,0.0,5.27,68.63,96.35,6.61,32,1.1,129,4.44,11,75.19,32.42,1.12,0.42,0.014,0.0,1.45,0.41000000000000003,,,,0.0,0,0.0
C. Fratti,Cristiano Fratti,-676542,Desenzano Calvina,Desenzano Calvina,https://cdn5.wyscout.com/photos/team/public/g-12816_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,18.0,2007-05-21,0,,27,2606,0,0.0,0,0.0,0.59,100.0,Italy,['Italy'],unknown,184,0,True,1.21,0.0,0.0,0.21,100.0,0.0,0.0,0.0,1.21,1.98,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,11.71,0.45,0.35000000000000003,20.45,79.73,12.02,68.1,0.0,0.0,11.74,98.53,8.67,54.58,33.31,48.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,44.59,0.31,11.11,0.28,37.5,0.0,0.0,6.11,65.54,96.63,7.18,19,0.66,64,2.21,12,70.31,13.88,0.48,-5.12,-0.177,0.0,1.21,0.21,,,,0.0,0,0.0
D. Offredi,Daniel Offredi,91202,Rovato Vertovese,Rovato Vertovese,https://cdn5.wyscout.com/photos/team/public/g-3578_120x120.png,Serie D - Girone D,GK,GK,100,,0,,0,38.0,1988-03-26,50000,2026-06-30,27,2597,0,0.0,0,0.47000000000000003,0.31,100.0,Italy,['Italy'],right,190,90,False,1.32,0.07,100.0,0.17,100.0,0.0,0.0,0.0,1.25,1.67,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,11.44,0.14,0.1,20.9,83.08,14.45,76.26,0.03,0.0,10.15,98.29,10.71,68.93,38.35,54.73,0.02,0.03,0.0,0.0,0.0,0.0,0.03,4.19,56.2,0.38,27.27,0.35000000000000003,50.0,0.1,0.0,8.42,81.48,98.8,5.75,25,0.87,115,3.99,10,78.26,32.0,1.11,7.0,0.243,0.0,0.8,0.17,,,,0.0,0,0.0
M. Parlato,Mattia Parlato,-147915,Desenzano Calvina,Desenzano Calvina,https://cdn5.wyscout.com/photos/team/public/g-12816_120x120.png,Serie D - Girone E,RB,RB,98,,0,,0,20.0,2005-04-12,0,2026-06-30,27,2562,2,0.5,2,1.46,15.6,58.56,Italy,['Italy'],,0,0,False,7.34,6.11,66.67,2.7800000000000002,53.16,0.0,0.0,0.25,3.27,5.37,1.19,4,0.14,0,0.0,1.51,0.07,2,0.07,0.02,0,0.0,11,0.39,27.27,18.182,0.07,2.18,20.97,0.04,0.0,2.11,21.67,0.28,1.3,72.97,3.9699999999999998,50.44,0.63,1.26,0.21,20.94,1.33,1.3,30.42,77.02,13.0,70.54,5.69,97.53,24.56,87.27,3.7199999999999998,41.51,18.82,34.63,0.05,0.49,0.07,0.0,0.0,0.0,0.28,4.74,68.15,2.25,32.81,0.21,16.67,0.39,0.49,6.18,67.61,73.8,6.57,0,,0,,0,0.0,0.0,0.0,,,1.02,,2.7800000000000002,0.04,0.0,0.0,0.0,0,0.0
S. Ferraresi,Stefano Ferraresi,-47194,Correggese,Correggese,https://cdn5.wyscout.com/photos/team/public/g25345_120x120.png,Serie D - Girone E,"LCB, CB, RCB",LCB,35,CB,32,RCB,15,25.0,2000-08-16,50000,2026-06-30,27,2546,2,2.37,0,0.09,14.22,61.76,Italy,['Italy'],right,0,0,False,9.0,5.29,72.92,3.27,62.92,0.0,0.0,0.88,5.14,7.64,1.47,6,0.21,1,0.04,0.62,0.07,0,0.0,0.09,0,0.0,18,0.66,33.33,5.556,0.0,0.26,42.86,0.22,50.0,0.04,0.0,0.0,0.48,61.54,2.17,47.46,0.51,0.44,0.04,25.32,0.22,0.62,44.14,78.93,20.91,63.44,2.2,95.0,33.41,86.91,10.51,54.2,26.15,41.77,0.0,0.04,0.0,0.0,0.0,0.0,0.04,7.09,54.92,0.59,37.5,0.18,40.0,0.18,0.07,11.1,65.89,94.53,18.82,0,,0,,0,0.0,0.0,0.0,,,1.43,,3.27,0.0,0.0,0.0,0.0,1,100.0
