Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Salvati,Gregorio Salvati,-531613,Ancona,Ancona,https://cdn5.wyscout.com/photos/team/public/g-14456_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,21.0,2005-02-07,0,2026-06-30,29,2841,0,0.0,0,0.01,0.59,72.22,Italy,['Italy'],,0,0,False,1.57,0.2,50.0,0.13,75.0,0.07,0.12,0.0,1.4100000000000001,2.62,0.1,4,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,83.33,0.0,0.0,0.0,9.49,0.16,0.26,19.73,79.1,13.18,70.97,0.0,0.0,8.74,98.5,10.93,64.07,39.35,52.93,0.0,0.03,0.0,0.07,0.0,0.0,0.0,4.58,54.29,0.43,7.69,0.2,33.33,0.07,0.0,7.66,80.77,95.65,6.02,18,0.59,78,2.55,15,76.92,21.81,0.71,3.81,0.125,0.0,0.9500000000000001,0.13,,,,0.0,0,0.0
T. Botrini,Tommaso Botrini,-149783,Città di Teramo,Città di Teramo,https://cdn5.wyscout.com/photos/team/public/389_120x120.png,Serie D - Girone F,"RCB3, CB",RCB3,75,CB,17,,0,21.0,2005-03-11,0,2027-06-30,29,2773,2,1.6,1,0.41000000000000003,12.56,58.66,Italy,['Italy'],,0,0,False,7.4,6.36,69.9,3.05,52.13,0.0,0.0,0.45,2.95,3.93,1.17,3,0.1,0,0.0,0.19,0.06,2,0.06,0.05,2,0.06,9,0.29,22.22,22.222,0.03,0.36,18.18,0.03,100.0,0.32,10.0,0.1,0.13,50.0,1.04,50.0,0.55,0.75,0.03,18.24,0.42,0.58,29.4,80.35,14.61,70.67,2.01,96.77,23.79,87.45,5.26,52.47,22.3,37.68,0.01,0.13,0.0,0.0,0.0,0.0,0.03,5.49,63.91,0.62,26.32,0.29,11.11,0.13,0.06,7.14,67.73,91.15,9.9,0,,0,,0,0.0,0.0,0.0,,,0.71,,3.05,0.0,0.0,0.0,0.0,0,0.0
L. Bruni,Leonardo Bruni,502304,Città di Teramo,Città di Teramo,https://cdn5.wyscout.com/photos/team/public/389_120x120.png,Serie D - Girone F,LCB3,LCB3,92,,0,,0,28.0,1997-04-15,50000,2026-06-30,29,2763,0,1.6800000000000002,1,0.65,13.45,67.8,Italy,['Italy'],right,0,0,False,9.84,6.61,75.86,3.68,65.49,0.23,0.30000000000000004,0.72,4.59,5.97,1.17,1,0.03,0,0.0,0.49,0.0,0,0.0,0.05,0,0.0,15,0.49,26.67,0.0,0.03,0.42,53.85,0.42,53.85,0.0,0.0,0.03,0.1,100.0,1.04,50.0,0.75,0.72,0.03,23.19,0.78,0.52,35.7,78.01,18.4,66.9,2.05,92.06,26.81,89.55,8.53,43.13,23.94,42.06,0.02,0.23,0.07,0.03,0.03,100.0,0.1,7.5600000000000005,54.31,1.76,38.89,0.65,25.0,0.49,0.2,8.6,70.08,90.33,11.79,0,,0,,0,0.0,0.0,0.0,,,0.78,,3.68,0.03,0.0,0.0,0.0,0,0.0
A. Arrigoni,Andrea Arrigoni,85704,San Nicolò Notaresco,San Nicolò Notaresco,https://cdn5.wyscout.com/photos/team/public/3885_120x120.png,Serie D - Girone F,"RCMF, DMF, LCMF",RCMF,37,DMF,36,LCMF,11,37.0,1988-08-10,125000,2026-06-30,28,2699,3,3.21,1,4.55,12.44,54.69,Italy,['Italy'],right,172,66,False,9.94,4.94,64.86,2.7,48.15,0.30000000000000004,0.38,0.30000000000000004,6.44,8.22,0.8300000000000001,6,0.2,0,0.0,1.4,0.1,1,0.03,0.11,0,0.0,42,1.4,26.19,7.143,0.03,1.87,35.71,0.93,35.71,0.77,39.13,0.27,0.5700000000000001,58.82,2.5700000000000003,48.05,0.2,0.37,0.0,26.08,0.17,1.17,47.05,73.92,20.71,59.1,3.73,92.86,32.95,84.31,12.44,51.47,24.02,38.99,0.15,1.13,0.1,0.07,0.07,50.0,0.37,12.3,56.64,3.9699999999999998,34.45,2.3,40.58,0.93,0.6000000000000001,11.37,75.07,87.69,17.34,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.7,2.0,0.43,15.38,1.9300000000000002,3,66.667
P. Boccanera,Pierpaolo Boccanera,493034,San Nicolò Notaresco,San Nicolò Notaresco,https://cdn5.wyscout.com/photos/team/public/3885_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,29.0,1996-05-29,0,2026-06-30,28,2699,0,0.0,0,0.0,0.87,92.31,Italy,['Italy'],right,185,80,False,2.0,0.07,50.0,0.43,100.0,0.0,0.0,0.0,1.97,2.51,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,7.97,0.03,0.5,17.91,82.87,11.14,73.65,0.0,0.0,11.14,97.6,6.74,58.91,33.61,50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,43.21,0.33,0.0,0.17,20.0,0.03,0.0,4.5,80.0,97.84,6.17,24,0.8,91,3.03,13,73.63,23.94,0.8,-0.06,-0.002,0.0,1.73,0.43,,,,0.0,0,0.0
M. Gerbaudo,Matteo Gerbaudo,264417,Ancona,Ancona,https://cdn5.wyscout.com/photos/team/public/g-14456_120x120.png,Serie D - Girone F,"RDMF, LDMF",RDMF,54,LDMF,22,,0,30.0,1995-05-10,100000,2026-06-30,28,2624,1,1.57,4,3.98,16.66,49.68,Italy,['Italy'],left,180,75,False,9.63,7.53,66.51,2.1,42.37,0.11,0.2,0.14,4.51,8.41,2.02,6,0.21,0,0.0,0.99,0.03,1,0.04,0.06,0,0.0,33,1.17,36.36,3.03,0.14,0.78,27.27,0.46,15.38,0.32,44.44,0.14,1.24,28.57,4.23,31.09,0.6000000000000001,0.46,0.04,12.72,0.32,0.71,29.76,69.21,12.75,54.6,4.83,91.91,20.88,79.08,8.17,47.39,22.0,35.18,0.14,1.28,0.04,0.0,0.11,0.0,0.21,7.07,52.26,2.42,32.35,0.92,19.23,0.6000000000000001,0.36,7.03,66.67,79.4,8.28,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,2.1,2.38,0.32,55.56,2.34,0,0.0
K. Laukžemis,Klaidas Laukžemis,-292104,Sora,Sora,https://cdn5.wyscout.com/photos/team/public/3890_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,21.0,2005-03-16,0,2026-06-30,27,2617,0,0.0,0,0.0,0.93,76.92,Lithuania,['Lithuania'],left,198,0,False,1.75,0.14,50.0,0.53,80.0,0.04,0.05,0.0,1.6400000000000001,2.3,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,80.0,0.0,0.0,0.0,4.8100000000000005,0.04,0.21,12.22,77.26,6.94,63.59,0.0,0.0,6.8,97.91,5.34,52.0,37.0,53.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,48.53,0.14,0.0,0.0,0.0,0.0,0.0,3.63,75.49,97.01,4.77,36,1.28,142,5.06,7,74.65,41.02,1.46,5.02,0.179,0.0,1.46,0.53,,,,0.0,0,0.0
M. Esposito,Mirko Esposito,396284,Real Giulianova,Real Giulianova,https://cdn5.wyscout.com/photos/team/public/397_120x120.png,Serie D - Girone F,"DMF, RB",DMF,57,RB,20,,0,29.0,1996-04-08,200000,2026-06-30,27,2593,0,0.07,4,3.17,17.98,58.11,Italy,['Italy'],right,172,70,False,10.1,8.57,68.02,1.46,42.86,0.52,0.81,0.31,3.75,5.85,1.6,9,0.31,0,0.0,1.04,0.0,0,0.0,0.0,0,0.0,5,0.17,0.0,0.0,0.14,0.8,30.43,0.07,0.0,0.66,31.58,0.17,1.15,69.7,5.94,47.37,0.1,0.62,0.07,25.72,0.31,1.35,43.42,83.61,17.98,74.32,4.72,97.06,38.18,89.36,4.58,43.18,18.59,37.53,0.11,0.97,0.0,0.03,0.0,0.0,0.1,7.05,65.02,0.87,52.0,0.14,25.0,0.21,0.24,7.95,71.62,90.71,14.2,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.46,1.8,0.0,0.0,2.05,0,0.0
A. Brunetti,Alessandro Brunetti,-41209,L'Aquila,L'Aquila,https://cdn5.wyscout.com/photos/team/public/2159_120x120.png,Serie D - Girone F,"LCB, LCB3",LCB,51,LCB3,46,,0,33.0,1992-07-25,100000,2026-06-30,27,2538,1,1.07,0,1.09,15.39,66.13,Italy,['Italy'],left,185,86,False,8.26,5.57,80.25,4.11,68.97,0.14,0.23,0.28,3.65,5.84,0.64,3,0.11,0,0.0,0.71,0.04,1,0.04,0.04,1,0.04,6,0.21,33.33,16.667,0.0,0.71,20.0,0.71,20.0,0.0,0.0,0.07,0.64,77.78,3.26,53.26,0.35000000000000003,1.6,0.11,25.92,0.43,1.35,41.1,85.16,20.57,79.14,2.55,95.83,33.94,91.33,6.52,59.24,21.05,36.32,0.04,0.35000000000000003,0.0,0.0,0.0,0.0,0.04,7.27,73.17,1.13,40.63,0.28,50.0,0.28,0.11,9.72,79.2,92.17,13.58,0,,0,,0,0.0,0.0,0.0,,,1.35,,4.11,0.0,0.0,0.0,0.0,0,0.0
A. Pertosa,Alessio Pertosa,471090,Real Giulianova,Real Giulianova,https://cdn5.wyscout.com/photos/team/public/397_120x120.png,Serie D - Girone F,"CB, RCB",CB,67,RCB,24,,0,27.0,1998-09-01,0,2026-06-30,28,2536,1,3.13,0,0.01,14.69,63.77,Italy,['Italy'],right,186,75,False,8.02,5.71,65.84,4.76,65.67,0.35000000000000003,0.55,0.32,3.9,6.0,1.74,7,0.25,0,0.0,0.25,0.04,1,0.04,0.11,1,0.04,13,0.46,30.77,7.692,0.0,0.14,50.0,0.04,100.0,0.11,33.33,0.04,0.14,25.0,1.38,51.28,0.46,0.32,0.04,23.03,0.07,1.1400000000000001,40.28,85.81,15.05,69.81,1.88,94.34,34.71,92.54,5.47,43.51,21.95,37.21,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.69,49.04,0.43,33.33,0.25,14.29,0.04,0.07,5.71,59.63,96.21,20.58,0,,0,,0,0.0,0.0,0.0,,,1.42,,4.76,0.0,0.0,0.0,0.0,0,0.0
