Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Porru,Fabio Porru,-52825,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,"LCB, LCB3, RCB",LCB,54,LCB3,15,RCB,12,26.0,2000-01-03,0,2026-06-30,33,3232,1,1.15,1,0.44,14.68,59.39,Italy,['Italy'],right,184,78,False,7.32,4.29,73.38,3.76,60.0,0.03,0.04,0.39,4.15,6.08,1.03,4,0.11,0,0.0,0.9500000000000001,0.03,1,0.03,0.03,1,0.03,11,0.31,18.18,9.091,0.03,0.25,44.44,0.17,33.33,0.08,66.67,0.03,1.28,60.87,3.7,45.86,0.42,1.87,0.25,20.86,0.56,0.97,38.15,83.8,16.12,72.88,1.73,87.1,32.3,89.48,5.6,52.74,22.44,39.31,0.01,0.14,0.0,0.0,0.03,0.0,0.11,4.46,61.25,0.42,26.67,0.19,28.57,0.0,0.08,7.38,64.91,93.17,17.13,0,,0,,0,0.0,0.0,0.0,,,0.28,,3.76,0.0,0.0,0.0,0.0,0,0.0
E. Torrielli,Edoardo Torrielli,-205772,Flaminia,Flaminia,https://cdn5.wyscout.com/photos/team/public/1474_120x120.png,Serie D - Girone G,GK,GK,100,,0,,0,19.0,2006-08-08,0,2026-06-30,32,3115,0,0.0,1,0.56,0.84,86.21,Italy,['Italy'],,0,0,False,2.11,0.06,100.0,0.52,83.33,0.0,0.0,0.0,2.05,3.21,0.0,4,0.12,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.12,100.0,0.0,0.0,0.0,7.74,0.23,0.29,17.54,81.71,11.59,75.06,0.0,0.0,11.44,98.23,6.04,51.2,32.15,53.61,0.02,0.09,0.0,0.0,0.0,0.0,0.06,2.74,41.05,0.26,22.22,0.2,28.57,0.03,0.0,4.02,71.22,95.91,4.94,33,0.9500000000000001,138,3.99,11,76.09,34.36,0.99,1.3599999999999999,0.039,0.0,2.2,0.52,,,,0.0,0,0.0
F. Casella,Francesco Casella,-90502,USD Palmese,USD Palmese,https://cdn5.wyscout.com/photos/team/public/g-16741_120x120.png,Serie D - Girone G,"RCB3, RCB",RCB3,57,RCB,26,,0,26.0,2000-01-02,100000,2026-06-30,32,3083,0,0.25,0,1.58,13.69,62.05,Italy,['Italy'],right,181,0,False,9.78,7.06,74.38,2.51,54.65,0.32,0.47000000000000003,0.2,4.2,6.17,0.76,1,0.03,0,0.0,0.93,0.0,0,0.0,0.01,0,0.0,14,0.41000000000000003,14.29,0.0,0.0,1.63,41.07,0.12,75.0,1.46,40.0,0.15,0.5,35.29,1.9,52.31,0.06,1.46,0.06,28.43,0.38,0.61,50.74,78.48,23.56,67.53,3.3,94.69,36.43,88.62,12.84,54.09,25.41,41.52,0.05,0.5,0.03,0.03,0.06,50.0,0.29,11.03,56.61,3.27,35.71,0.58,25.0,0.53,0.76,13.17,77.16,87.08,19.88,0,,0,,0,0.0,0.0,0.0,,,1.72,,2.51,0.23,0.03,0.0,0.09,0,0.0
S. Piro,Samuele Piro,-325371,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,"AMF, LCMF3, RCMF3",AMF,30,LCMF3,20,RCMF3,14,17.0,2008-08-27,0,,32,3071,4,8.23,3,0.88,17.26,49.58,Italy,['Italy'],unknown,0,0,True,7.62,5.98,65.2,4.86,46.39,0.06,0.09,0.35000000000000003,3.66,5.4,1.6099999999999999,5,0.15,0,0.0,1.44,0.12,4,0.12,0.24,2,0.06,54,1.58,38.89,7.407,0.09,0.53,22.22,0.32,18.18,0.21,28.57,0.03,1.2,58.54,3.7199999999999998,39.37,2.7,0.73,0.15,11.63,1.1400000000000001,1.2,19.31,68.44,6.62,57.52,3.31,87.61,17.06,71.31,1.73,54.24,16.18,23.57,0.03,0.41000000000000003,0.0,0.0,0.0,0.0,0.18,2.87,64.29,1.11,42.11,0.12,25.0,0.53,0.15,2.9,66.67,67.88,5.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.86,0.0,0.0,0.0,0.0,0,0.0
M. Contucci,Marco Contucci,-35062,Real Monterotondo,Real Monterotondo,https://cdn5.wyscout.com/photos/team/public/g-5928_120x120.png,Serie D - Girone G,"LCB3, LCB",LCB3,47,LCB,33,,0,28.0,1998-03-19,100000,2026-06-30,32,3062,3,3.39,0,0.11,12.82,63.53,Italy,['Italy'],right,180,0,False,8.44,4.88,74.7,4.06,61.59,0.41000000000000003,0.56,0.29,4.38,5.95,0.65,6,0.18,0,0.0,0.26,0.09,3,0.09,0.1,1,0.03,20,0.59,30.0,15.0,0.0,0.12,25.0,0.06,50.0,0.06,0.0,0.0,0.06,100.0,1.44,44.9,0.88,0.35000000000000003,0.0,20.4,0.35000000000000003,1.0,33.24,86.47,13.93,78.06,2.41,93.9,29.83,90.44,3.29,52.68,19.67,30.43,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.56,68.97,0.18,33.33,0.18,66.67,0.06,0.06,5.58,59.47,93.39,13.79,0,,0,,0,0.0,0.0,0.0,,,1.53,,4.06,0.0,0.0,0.0,0.0,0,0.0
G. Di Razza,Giulio Di Razza,-145212,Anzio,Anzio,https://cdn5.wyscout.com/photos/team/public/2826_120x120.png,Serie D - Girone G,"CB, LCB, LCB3",CB,57,LCB,20,LCB3,13,23.0,2002-06-04,0,2026-06-30,32,3038,3,2.3,0,0.0,15.58,57.41,Italy,['Italy'],left,0,0,False,8.12,6.01,66.5,4.41,51.68,0.0,0.0,0.5,4.12,5.23,1.33,3,0.09,0,0.0,0.36,0.09,3,0.09,0.07,2,0.06,17,0.5,23.53,17.647,0.0,0.18,50.0,0.06,0.0,0.12,75.0,0.06,0.33,45.45,2.25,43.42,0.59,0.39,0.06,19.02,0.21,0.92,32.44,80.46,14.16,67.57,2.4,92.59,26.31,87.39,5.95,50.75,23.01,39.63,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.47,54.7,0.53,22.22,0.24,0.0,0.03,0.12,7.11,57.08,92.09,13.48,0,,0,,0,0.0,0.0,0.0,,,1.54,,4.41,0.0,0.0,0.0,0.0,0,0.0
A. Aloia,Alessandro Aloia,-24745,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,CF,CF,100,,0,,0,29.0,1996-07-13,100000,2026-06-30,33,3024,17,17.73,0,0.91,20.86,36.8,Italy,['Italy'],right,180,0,False,2.71,2.29,54.55,7.71,37.45,0.15,0.22,0.24,1.31,1.92,2.02,3,0.09,0,0.0,1.7000000000000002,0.51,12,0.36,0.53,5,0.15,90,2.68,47.78,18.889,0.0,0.24,25.0,0.06,0.0,0.18,33.33,0.0,0.45,66.67,6.04,32.02,3.66,0.21,0.0,7.05,2.29,1.67,13.36,69.27,3.18,43.93,4.17,89.29,12.32,71.74,0.8300000000000001,42.86,15.25,23.73,0.03,0.36,0.03,0.03,0.06,100.0,0.15,1.7000000000000002,43.86,0.71,25.0,0.15,40.0,0.45,0.03,1.22,60.98,69.75,3.54,0,,0,,0,0.0,0.0,0.0,,,0.06,,7.71,0.0,0.0,0.0,0.0,6,83.333
S. Pinna,Simone Pinna,430289,Monastir Kosmoto,Monastir Kosmoto,https://cdn5.wyscout.com/photos/team/public/g-5073_120x120.png,Serie D - Girone G,RB,RB,75,,0,,0,28.0,1997-10-17,0,2026-06-30,31,3017,4,0.67,3,4.8100000000000005,12.5,51.31,Italy,['Italy'],right,172,68,False,8.08,5.4,64.09,1.28,44.19,0.30000000000000004,0.44,0.12,4.33,6.4,0.66,4,0.12,0,0.0,2.51,0.12,4,0.12,0.02,0,0.0,22,0.66,36.36,18.182,0.09,3.34,44.64,0.33,36.36,2.98,45.0,0.24,1.73,41.38,4.0,37.31,0.36,1.88,0.45,27.92,1.37,0.84,40.72,68.13,18.76,55.96,2.6,96.55,21.99,83.18,15.54,51.63,29.58,44.69,0.14,1.37,0.03,0.0,0.12,50.0,0.48,12.95,55.3,5.22,48.0,1.19,32.5,0.98,1.6400000000000001,13.69,75.6,77.24,15.99,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.28,0.66,0.21,57.14,1.58,0,0.0
D. Tirelli,Domiziano  Tirelli,-520144,Budoni,Budoni,https://cdn5.wyscout.com/photos/team/public/1482_120x120.png,Serie D - Girone G,GK,GK,100,,0,,0,19.0,2006-11-02,0,,31,3014,0,0.0,0,0.0,0.36,91.67,Italy,['Italy'],right,189,0,True,2.45,0.09,100.0,0.12,100.0,0.0,0.0,0.0,2.36,3.76,0.03,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,100.0,0.0,0.0,0.0,8.75,0.21,0.09,18.33,79.8,11.14,69.17,0.03,100.0,9.59,95.64,8.69,62.89,35.47,50.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,50.86,0.18,0.0,0.09,66.67,0.03,0.0,6.24,77.03,97.56,6.12,28,0.84,117,3.49,15,76.07,33.52,1.0,5.52,0.165,0.03,1.28,0.12,,,,0.0,0,0.0
Nico Madero,Nicolás Madero Soñora,397964,Budoni,Budoni,https://cdn5.wyscout.com/photos/team/public/1482_120x120.png,Serie D - Girone G,RCB,RCB,89,,0,,0,32.0,1993-05-26,0,2026-06-30,31,3010,4,4.83,1,0.84,14.41,62.45,Uruguay,"['Uruguay', 'Spain']",right,184,73,False,7.83,5.11,73.68,6.7,62.05,0.27,0.43,0.48,3.8,6.03,0.75,6,0.18,0,0.0,0.39,0.12,4,0.12,0.14,4,0.12,23,0.6900000000000001,43.48,17.391,0.03,0.09,66.67,0.03,0.0,0.06,100.0,0.0,0.09,33.33,0.5700000000000001,31.58,0.9,0.27,0.0,17.79,0.27,0.21,34.36,81.29,15.7,68.0,2.0,92.54,27.03,88.16,7.24,55.79,25.04,40.4,0.03,0.18,0.0,0.03,0.0,0.0,0.09,6.04,60.4,0.54,38.89,0.42,35.71,0.12,0.06,7.83,71.37,93.63,14.56,0,,0,,0,0.0,0.0,0.0,,,1.55,,6.7,0.0,0.0,0.0,0.0,0,0.0
