Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Lobasso,Jayden  Lobasso,-176449,Campbelltown City,Campbelltown City,https://cdn5.wyscout.com/photos/team/public/g10498_120x120.png,South Australia NPL,"CF, RW, LW",CF,57,RW,18,LW,16,25.0,2000-06-07,0,,10,991,3,4.48,4,1.3599999999999999,23.61,41.54,Australia,['Australia'],,0,0,False,5.9,5.54,63.93,4.18,32.61,0.36,0.5,0.09,2.0,2.75,0.91,2,0.18,0,0.0,3.63,0.27,3,0.27,0.41000000000000003,0,0.0,23,2.09,43.48,13.043,0.36,2.63,31.03,0.91,30.0,1.73,31.58,0.18,2.91,65.63,10.72,35.59,4.09,1.09,0.36,15.71,3.54,1.27,22.98,73.52,5.63,62.9,6.99,87.01,18.71,81.07,1.82,55.0,19.23,41.27,0.12,1.18,0.27,0.0,0.18,0.0,0.73,3.81,66.67,2.0,54.55,0.54,33.33,0.64,0.73,3.81,76.19,69.86,6.63,0,,0,,0,0.0,0.0,0.0,,,0.09,,4.18,0.09,0.0,0.0,0.0,0,0
B. Mapor,Bol Mapor,-210670,Croydon Kings,Croydon Kings,https://cdn5.wyscout.com/photos/team/public/g10499_120x120.png,South Australia NPL,"RCB, LCB",RCB,51,LCB,48,,0,27.0,1999-02-13,0,,10,990,0,0.09,2,0.91,16.64,55.74,Australia,['Australia'],,0,0,False,10.36,7.0,61.04,2.73,66.67,0.8200000000000001,1.09,0.73,5.27,7.04,1.27,2,0.18,0,0.0,1.0,0.0,0,0.0,0.01,0,0.0,1,0.09,0.0,0.0,0.18,0.55,50.0,0.36,50.0,0.09,0.0,0.0,1.55,47.06,4.82,43.4,0.73,1.27,0.36,27.73,0.0,0.73,43.09,85.65,17.45,75.0,2.27,88.0,39.73,89.7,2.8200000000000003,35.48,20.62,39.33,0.08,0.27,0.0,0.09,0.0,0.0,0.27,4.73,67.31,0.91,20.0,0.36,25.0,0.0,0.27,8.55,67.02,95.15,20.64,0,,0,,0,0.0,0.0,0.0,,,1.45,,2.73,0.0,0.0,0.0,0.0,0,0
D. Margush,Daniel Margush,431395,Croydon Kings,Croydon Kings,https://cdn5.wyscout.com/photos/team/public/g10499_120x120.png,South Australia NPL,GK,GK,100,,0,,0,28.0,1997-11-28,250000,,10,990,0,0.0,0,0.0,1.0,81.82,Australia,['Australia'],right,187,80,False,1.45,0.09,100.0,0.8200000000000001,88.89,0.0,0.0,0.0,1.3599999999999999,1.82,0.0,2,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,15.64,0.18,0.0,24.82,87.18,13.18,78.62,0.0,0.0,15.36,97.63,9.45,70.19,31.59,46.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,60.0,0.09,100.0,0.09,100.0,0.09,0.0,5.91,78.46,99.15,10.64,18,1.6400000000000001,52,4.73,1,65.38,16.02,1.46,-1.98,-0.18,0.0,2.45,0.8200000000000001,,,,0.0,0,0
Park Min-sung,Min-sung Park,-340465,Adelaide Comets,Adelaide Comets,https://cdn5.wyscout.com/photos/team/public/g20996_120x120.png,South Australia NPL,"RB, RWB",RB,79,RWB,20,,0,22.0,2003-09-19,0,,10,980,0,0.05,0,0.27,21.31,49.57,Australia,['Australia'],,0,0,False,11.11,8.27,60.0,2.5700000000000003,39.29,0.64,0.77,0.37,5.51,6.62,1.29,3,0.28,0,0.0,1.65,0.0,0,0.0,0.0,0,0.0,2,0.18,0.0,0.0,0.0,2.11,13.04,0.0,0.0,2.11,13.04,0.37,3.21,42.86,7.9,45.35,0.64,1.65,0.37,17.36,1.38,2.02,29.3,69.91,11.11,57.02,5.42,94.92,24.43,78.2,2.85,38.71,18.54,34.24,0.02,0.37,0.0,0.0,0.0,0.0,0.18,3.31,52.78,2.02,27.27,0.18,100.0,0.37,0.8300000000000001,6.06,48.48,73.33,6.89,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
A. Mavrolambados,Anthony Mavrolambados,-176445,Adelaide Comets,Adelaide Comets,https://cdn5.wyscout.com/photos/team/public/g20996_120x120.png,South Australia NPL,"LCMF, LDMF, RDMF",LCMF,50,LDMF,22,RDMF,12,24.0,2001-08-03,0,,10,980,1,0.21,0,1.13,12.21,58.65,Australia,['Australia'],,0,0,False,8.54,6.8,70.27,0.37,0.0,0.92,1.1,0.0,2.85,3.42,0.55,0,0.0,0,0.0,0.8300000000000001,0.09,1,0.09,0.02,0,0.0,7,0.64,28.57,14.286,0.0,0.28,33.33,0.28,33.33,0.0,0.0,0.09,1.01,54.55,3.4,43.24,0.18,1.01,0.28,23.79,0.37,0.46,38.85,75.89,15.98,56.9,5.69,96.77,31.78,82.08,6.8,48.65,20.03,38.76,0.1,1.29,0.0,0.0,0.0,0.0,0.28,8.36,58.24,2.3,60.0,0.64,28.57,1.01,0.18,9.18,71.0,90.16,11.2,0,,0,,0,0.0,0.0,0.0,,,0.09,,0.37,1.29,0.28,33.33,1.56,0,0
J. Hall,John Hall,229657,Adelaide City,Adelaide City,https://cdn5.wyscout.com/photos/team/public/g2420_120x120.png,South Australia NPL,GK,GK,100,,0,,0,31.0,1994-10-23,0,,10,978,0,0.0,0,0.01,1.29,71.43,Australia,['Australia'],right,195,83,False,2.58,0.18,50.0,1.01,72.73,0.0,0.0,0.0,2.48,3.39,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,18.77,0.28,0.18,31.93,84.73,18.4,77.0,0.0,0.0,21.07,96.94,10.77,61.54,28.27,45.73,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.67,58.62,0.0,0.0,0.09,0.0,0.0,0.0,8.19,66.29,94.12,10.95,10,0.92,46,4.23,2,78.26,11.49,1.06,1.49,0.137,0.0,2.21,1.01,,,,0.0,0,0
B. Woollard,Ben Woollard,-452939,Playford City Patriots,Playford City Patriots,https://cdn5.wyscout.com/photos/team/public/g27012_120x120.png,South Australia NPL,"LCB, LCB3",LCB,78,LCB3,21,,0,,,0,,10,977,0,0.01,3,1.67,13.08,67.61,Australia,['Australia'],unknown,0,0,False,10.78,8.2,76.4,1.75,63.16,0.09,0.12,0.55,4.42,5.5600000000000005,0.55,1,0.09,0,0.0,0.74,0.0,0,0.0,0.0,0,0.0,4,0.37,0.0,0.0,0.28,0.64,71.43,0.28,66.67,0.37,75.0,0.0,0.46,60.0,2.03,45.45,0.0,0.46,0.0,22.66,0.28,0.74,39.98,76.96,22.38,64.2,1.75,94.74,26.81,87.63,12.62,54.74,27.63,44.26,0.15,1.2,0.0,0.0,0.0,0.0,0.09,6.36,50.72,1.47,37.5,0.46,60.0,0.09,0.37,12.16,68.18,96.43,12.9,0,,0,,0,0.0,0.0,0.0,,,0.92,,1.75,1.6600000000000001,0.28,0.0,2.58,0,0
T. Herraman,Tyson  Herraman,-176598,Playford City Patriots,Playford City Patriots,https://cdn5.wyscout.com/photos/team/public/g27012_120x120.png,South Australia NPL,"RCB, CB",RCB,78,CB,21,,0,25.0,2000-10-14,0,,10,977,1,0.39,1,0.38,12.34,67.91,Australia,['Australia'],,0,0,False,8.84,5.25,80.7,4.24,58.7,0.46,0.58,0.74,4.15,5.21,0.64,0,0.0,0,0.0,0.09,0.09,1,0.09,0.04,1,0.09,3,0.28,33.33,33.333,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,60.0,0.37,0.37,0.0,22.85,0.37,0.28,38.51,80.14,18.79,65.2,2.12,95.65,30.03,88.34,8.47,51.09,25.8,43.68,0.04,0.28,0.09,0.0,0.09,0.0,0.09,5.71,45.16,0.74,0.0,0.37,25.0,0.09,0.0,8.94,63.92,95.48,16.31,0,,0,,0,0.0,0.0,0.0,,,1.47,,4.24,0.0,0.0,0.0,0.0,0,0
I. Mullen,Isaac Mullen,-176583,Playford City Patriots,Playford City Patriots,https://cdn5.wyscout.com/photos/team/public/g27012_120x120.png,South Australia NPL,"RW, RAMF, RCMF3",RW,37,RAMF,21,RCMF3,10,25.0,2001-05-22,0,,10,977,7,5.01,2,1.33,23.12,49.8,Australia,['Australia'],,0,0,False,12.44,10.23,63.96,4.24,54.35,0.55,0.6900000000000001,0.28,5.34,6.72,2.4,3,0.28,0,0.0,2.86,0.64,5,0.46,0.46,2,0.18,29,2.67,58.62,27.586,0.18,1.9300000000000002,33.33,0.18,0.0,1.75,36.84,0.46,0.92,50.0,6.54,33.8,2.58,0.18,0.0,23.58,1.29,1.29,35.93,67.69,13.45,52.74,7.92,88.37,29.57,75.08,4.42,33.33,19.56,41.86,0.12,0.8300000000000001,0.09,0.0,0.28,66.67,0.64,5.99,49.23,3.59,46.15,0.64,71.43,1.29,0.55,7.0,60.53,73.26,7.92,0,,0,,0,0.0,0.0,0.0,,,0.18,,4.24,0.09,0.09,100.0,0.0,4,75
L. Ostbye,Luke Ostbye,506936,Playford City Patriots,Playford City Patriots,https://cdn5.wyscout.com/photos/team/public/g27012_120x120.png,South Australia NPL,GK,GK,100,,0,,0,34.0,1992-04-09,0,,10,977,0,0.0,0,0.0,0.8300000000000001,88.89,Australia,['Australia'],,0,0,False,2.12,0.09,100.0,0.64,85.71,0.0,0.0,0.0,2.03,2.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66,0.0,0.09,16.21,88.07,7.74,79.76,0.0,0.0,11.51,96.8,4.7,66.67,28.47,42.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,56.76,94.67,6.91,13,1.2,41,3.7800000000000002,2,68.29,10.67,0.98,-2.33,-0.215,0.0,2.12,0.64,,,,0.0,0,0
