Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Niemeyer,Leander Niemeyer,-610074,Meppen U19,Meppen U19,https://cdn5.wyscout.com/photos/team/public/g29543_120x120.png,U19 Bundesliga,"RCB, RCB3",RCB,70,RCB3,12,,0,17.0,2008-07-19,0,,18,1759,0,0.81,0,0.37,14.43,58.16,Germany,['Germany'],unknown,0,0,False,11.0,7.21,66.67,3.68,48.61,0.2,0.25,1.02,5.99,7.42,0.72,1,0.05,0,0.0,0.31,0.0,0,0.0,0.04,0,0.0,6,0.31,33.33,0.0,0.0,0.1,50.0,0.0,0.0,0.1,50.0,0.05,0.2,75.0,1.13,59.09,0.56,0.26,0.05,17.75,0.41000000000000003,0.41000000000000003,30.96,80.0,14.07,68.73,3.17,96.77,25.53,85.57,5.37,54.29,21.24,36.02,0.02,0.1,0.0,0.0,0.0,0.0,0.05,3.48,61.76,0.36,28.57,0.31,33.33,0.15,0.05,7.06,57.25,91.59,10.95,0,,0,,0,0.0,0.0,0.0,,,2.46,,3.68,0.0,0.0,0.0,0.0,0,0.0
B. Bünger,Bjarne Bünger,-610058,Meppen U19,Meppen U19,https://cdn5.wyscout.com/photos/team/public/g29543_120x120.png,U19 Bundesliga,GK,GK,100,,0,,0,,,0,,18,1752,0,0.0,0,0.0,1.23,66.67,Germany,['Germany'],both,0,0,False,1.9,0.26,40.0,0.51,90.0,0.05,0.06,0.0,1.75,2.16,0.1,2,0.1,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.36,57.14,0.0,0.0,0.0,16.95,0.1,0.31,32.36,82.7,20.19,74.81,0.05,100.0,20.86,92.61,11.51,64.73,32.44,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,60.44,0.41000000000000003,37.5,0.51,40.0,0.21,0.0,9.5,72.43,96.24,10.94,44,2.26,126,6.47,2,65.08,37.95,1.9500000000000002,-6.05,-0.311,0.05,1.6400000000000001,0.51,,,,0.0,0,0.0
N. von Garrel,Noah von Garrel,-610091,Meppen U19,Meppen U19,https://cdn5.wyscout.com/photos/team/public/g29543_120x120.png,U19 Bundesliga,"LCB, CB, RCMF3",LCB,52,CB,13,RCMF3,10,17.0,2008-09-27,0,,18,1743,4,1.8399999999999999,0,0.01,15.85,58.96,Germany,['Germany'],both,191,0,False,13.63,7.54,65.07,4.29,54.22,0.72,0.9,1.08,8.0,9.96,0.88,4,0.21,0,0.0,0.62,0.21,4,0.21,0.1,3,0.15,7,0.36,57.14,57.143,0.0,0.21,25.0,0.0,0.0,0.21,25.0,0.0,0.36,85.71,2.5300000000000002,57.14,0.5700000000000001,0.67,0.0,15.8,0.1,0.8300000000000001,31.81,79.22,14.41,67.03,3.77,95.89,27.52,84.24,4.08,48.1,19.13,31.95,0.0,0.15,0.0,0.0,0.05,100.0,0.05,3.87,64.0,0.36,57.14,0.26,40.0,0.21,0.05,6.4,61.29,92.63,9.81,0,,0,,0,0.0,0.0,0.0,,,2.22,,4.29,0.0,0.0,0.0,0.0,0,0.0
K. Kopal,Kaan Kopal,-658532,BAK 07 U19,BAK 07 U19,https://cdn5.wyscout.com/photos/team/public/g-16531_120x120.png,U19 Bundesliga,GK,GK,100,,0,,0,18.0,2008-01-07,0,,18,1736,0,0.0,0,0.18,1.71,72.73,Germany,['Germany'],,0,0,False,2.8,0.31,33.33,0.62,91.67,0.0,0.0,0.0,2.7,3.02,0.1,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,80.0,0.0,0.0,0.0,7.67,0.21,0.78,16.9,66.87,13.17,59.06,0.0,0.0,6.12,88.98,10.78,54.33,38.46,48.1,0.01,0.05,0.0,0.0,0.0,0.0,0.05,3.21,41.94,0.05,0.0,0.31,50.0,0.05,0.0,7.78,70.0,93.55,3.21,42,2.18,99,5.13,3,57.58,35.53,1.8399999999999999,-6.47,-0.335,0.0,1.5,0.62,,,,0.0,0,0.0
O. Kühling,Ole Kühling,-370793,Union Berlin U19,Union Berlin U19,https://cdn5.wyscout.com/photos/team/public/g19372_120x120.png,U19 Bundesliga,LCB,LCB,96,,0,,0,19.0,2007-01-15,0,,18,1733,1,1.35,0,0.2,14.85,58.74,Germany,['Germany'],unknown,0,0,False,8.26,5.71,75.45,4.15,48.75,0.26,0.38,0.42,3.69,5.42,0.47000000000000003,4,0.21,0,0.0,0.31,0.05,1,0.05,0.07,1,0.05,9,0.47000000000000003,22.22,11.111,0.0,0.16,66.67,0.16,66.67,0.0,0.0,0.05,0.31,33.33,2.75,41.51,0.78,1.3,0.05,38.22,0.21,0.62,55.46,85.3,27.89,79.14,3.38,89.23,46.74,89.78,8.57,61.21,21.71,36.27,0.01,0.16,0.16,0.0,0.05,0.0,0.05,8.36,77.64,0.8300000000000001,62.5,0.42,25.0,0.52,0.1,14.65,70.92,94.7,20.57,0,,0,,0,0.0,0.0,0.0,,,2.34,,4.15,0.0,0.0,0.0,0.0,0,0.0
P. Ervens,Paul Ervens,-477810,Preußen Münster U19,Preußen Münster U19,https://cdn5.wyscout.com/photos/team/public/g19355_120x120.png,U19 Bundesliga,GK,GK,100,,0,,0,18.0,2007-09-10,0,2026-06-30,18,1720,0,0.0,0,0.0,1.1,85.71,Germany,['Germany'],unknown,0,0,False,1.99,0.1,0.0,0.73,100.0,0.0,0.0,0.0,1.99,2.77,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,75.0,0.0,0.0,0.0,20.35,0.26,0.26,36.16,86.98,18.68,75.91,0.05,100.0,23.86,99.12,12.3,63.4,28.32,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,42.86,0.05,0.0,0.31,33.33,0.0,0.0,9.42,70.0,98.66,15.59,24,1.26,80,4.19,4,70.0,24.03,1.26,0.03,0.002,0.0,2.04,0.73,,,,0.0,0,0.0
L. Prosche,Leon  Prosche,-387532,Union Berlin U19,Union Berlin U19,https://cdn5.wyscout.com/photos/team/public/g19372_120x120.png,U19 Bundesliga,RCB,RCB,94,,0,,0,19.0,2007-02-13,0,2026-06-30,18,1694,0,0.91,0,0.24,9.62,51.93,Germany,['Germany'],right,0,0,False,5.53,4.57,59.3,2.2800000000000002,62.79,0.0,0.0,0.37,2.8200000000000003,3.98,0.53,7,0.37,0,0.0,0.16,0.0,0,0.0,0.05,0,0.0,9,0.48,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.05,0.21,75.0,1.28,20.83,0.74,0.53,0.0,35.01,0.11,0.11,50.63,87.3,22.53,77.83,2.71,92.16,43.09,93.09,7.44,55.0,22.28,37.87,0.01,0.11,0.0,0.0,0.0,0.0,0.05,5.42,64.71,0.37,42.86,0.27,40.0,0.32,0.05,9.56,69.44,96.38,22.0,0,,0,,0,0.0,0.0,0.0,,,2.02,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
J. Driedger,Julian Driedger,-461992,Paderborn U19,Paderborn U19,https://cdn5.wyscout.com/photos/team/public/g39948_120x120.png,U19 Bundesliga,"LCB, LCB3",LCB,68,LCB3,30,,0,18.0,2008-01-03,0,,19,1671,2,0.81,0,0.07,14.7,65.93,Germany,['Germany'],,0,0,False,11.15,6.62,69.11,3.66,72.06,0.27,0.36,0.54,6.3,8.52,0.81,0,0.0,0,0.0,0.7000000000000001,0.11,2,0.11,0.04,1,0.05,7,0.38,57.14,28.571,0.0,0.32,33.33,0.27,20.0,0.0,0.0,0.05,0.38,100.0,2.85,60.38,0.48,1.08,0.05,33.12,0.05,0.92,52.51,82.36,23.59,71.23,4.04,96.0,44.76,88.09,7.43,50.0,21.58,39.38,0.0,0.16,0.0,0.11,0.0,0.0,0.0,8.29,69.48,1.18,50.0,0.65,75.0,0.43,0.05,11.74,67.43,93.77,19.87,0,,0,,0,0.0,0.0,0.0,,,3.02,,3.66,0.16,0.16,33.33,0.0,0,0.0
O. Adesiyan,Olufemi Adesiyan,-448744,Union Berlin U19,Union Berlin U19,https://cdn5.wyscout.com/photos/team/public/g19372_120x120.png,U19 Bundesliga,"RDMF, RCMF, LDMF",RDMF,35,RCMF,18,LDMF,13,17.0,2008-08-18,0,2026-06-30,18,1656,1,1.08,4,1.51,17.72,44.48,Germany,"['Germany', 'Nigeria']",right,0,0,False,7.23,5.82,60.75,3.32,47.54,0.27,0.39,0.33,3.42,4.96,1.52,3,0.16,0,0.0,0.98,0.05,1,0.05,0.06,0,0.0,9,0.49,22.22,11.111,0.22,0.54,50.0,0.05,0.0,0.43,50.0,0.22,1.03,47.37,5.71,28.57,0.92,0.76,0.11,21.74,0.49,0.92,34.78,82.66,10.82,66.83,5.22,94.79,32.07,84.92,2.17,57.5,17.15,27.55,0.08,0.71,0.05,0.22,0.11,100.0,0.33,4.57,66.67,1.03,52.63,0.05,100.0,0.71,0.27,5.0,72.83,90.2,13.32,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,3.32,0.0,0.0,0.0,0.0,0,0.0
T. Wisbereit,Tom Wisbereit,-303614,Union Berlin U19,Union Berlin U19,https://cdn5.wyscout.com/photos/team/public/g19372_120x120.png,U19 Bundesliga,GK,GK,100,,0,,0,18.0,2007-11-17,0,2026-06-30,17,1635,0,0.0,0,0.0,1.16,80.95,Germany,['Germany'],right,0,0,False,1.43,0.11,50.0,0.88,81.25,0.0,0.0,0.0,1.38,1.92,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.06,17.67,0.28,0.22,28.02,92.34,11.94,85.25,0.0,0.0,22.68,97.57,5.28,70.83,26.32,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,46.15,0.11,0.0,0.06,0.0,0.0,0.0,4.95,73.33,98.13,14.7,21,1.16,76,4.18,4,72.37,21.93,1.21,0.93,0.051000000000000004,0.0,1.98,0.88,,,,0.0,0,0.0
