Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Mehring,Andrés Augusto Mehring,251950,Progreso,Progreso,https://cdn5.wyscout.com/photos/team/public/978_120x120.png,Primera División,GK,GK,100,,0,,0,32.0,1994-04-19,300000,2026-12-31,16,1587,0,0.0,0,0.0,0.85,73.33,Argentina,['Argentina'],right,191,82,False,1.19,0.11,0.0,0.45,87.5,0.0,0.0,0.06,1.19,1.58,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,7.6,0.0,0.23,16.67,74.49,11.17,65.48,0.06,100.0,7.83,97.1,8.73,55.19,40.25,51.08,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.12,50.91,0.17,0.0,0.11,50.0,0.0,0.0,6.41,70.8,95.35,4.88,25,1.42,88,4.99,1,71.59,23.64,1.34,-1.3599999999999999,-0.077,0.0,1.98,0.45,,,,0.0,0,0
E. Burdín,Ezequiel Burdín,-498333,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,LCB,LCB,89,,0,,0,21.0,2004-10-16,0,2027-12-31,16,1579,0,0.72,0,0.05,11.23,56.85,Uruguay,['Uruguay'],,191,75,False,7.64,4.05,66.2,4.62,58.02,0.28,0.42,0.91,4.67,6.85,0.4,3,0.17,0,0.0,0.11,0.0,0,0.0,0.04,0,0.0,6,0.34,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.97,5.88,0.5700000000000001,1.08,0.06,34.83,0.68,0.11,48.05,87.19,18.98,73.27,3.7,92.31,41.89,92.93,6.16,48.15,20.54,39.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0,4.39,50.65,0.34,16.67,0.51,22.22,0.06,0.0,6.73,62.71,97.18,20.18,0,,0,,0,0.0,0.0,0.0,,,2.34,,4.62,0.0,0.0,0.0,0.0,0,0
F. Correa,Fabrizio Nicolás Correa González,-171590,Cerro,Cerro,https://cdn5.wyscout.com/photos/team/public/986_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,2001-01-18,250000,,16,1573,0,0.0,0,0.0,0.63,63.64,Uruguay,['Uruguay'],right,189,82,False,2.29,0.29,40.0,0.17,66.67,0.0,0.0,0.0,2.17,2.89,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,4.01,0.11,0.11,11.73,80.49,8.35,74.66,0.0,0.0,5.61,94.9,6.06,67.92,41.01,51.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,58.82,0.34,33.33,0.06,0.0,0.06,0.0,4.98,87.36,96.08,2.92,28,1.6,72,4.12,2,61.11,24.46,1.4,-3.54,-0.203,0.0,1.77,0.17,,,,0.0,0,0
T. Correa,Tiziano Correa Reyes,-355038,Cerro Largo,Cerro Largo,https://cdn5.wyscout.com/photos/team/public/1319_120x120.png,Primera División,CF,CF,98,,0,,0,21.0,2004-08-31,0,2026-12-31,16,1568,4,4.15,2,1.37,17.1,32.89,Spain,"['Spain', 'Uruguay']",right,175,75,False,2.98,1.55,48.15,5.05,30.68,0.23,0.34,0.06,2.01,2.94,0.6900000000000001,2,0.11,0,0.0,2.12,0.23,4,0.23,0.24,1,0.06,35,2.01,48.57,11.429,0.11,1.15,25.0,0.46,50.0,0.6900000000000001,8.33,0.11,1.72,46.67,7.63,33.08,2.24,0.86,0.29,14.41,3.21,0.5700000000000001,18.94,68.48,4.59,47.5,3.62,90.48,15.5,74.07,2.41,50.0,17.9,32.12,0.08,0.8,0.0,0.0,0.11,50.0,0.46,2.5300000000000002,63.64,1.72,53.33,0.29,60.0,0.75,0.29,2.7,78.72,68.1,6.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.05,0.06,0.06,0.0,0.0,1,0
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,38.0,1988-03-27,100000,2026-12-31,16,1567,0,0.0,0,0.0,0.8,85.71,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,2.07,0.17,66.67,0.5700000000000001,90.0,0.0,0.0,0.0,1.9500000000000002,2.95,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.06,100.0,0.0,0.0,0.0,6.26,0.11,0.23,14.3,85.14,7.64,74.44,0.0,0.0,9.3,96.3,5.0,64.37,31.92,48.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,69.49,97.27,6.32,24,1.38,71,4.08,3,66.2,19.24,1.11,-4.76,-0.273,0.0,1.6099999999999999,0.5700000000000001,,,,0.0,0,0
L. Agazzi,Lucas  Agazzi Galeano,-404251,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,RB,RB,94,,0,,0,21.0,2005-05-02,0,2026-12-31,16,1547,1,0.9500000000000001,3,1.5,13.56,56.22,Uruguay,"['Uruguay', 'Italy']",right,180,76,False,7.04,5.47,64.89,2.39,43.9,0.29,0.47000000000000003,0.12,3.2,5.16,0.58,0,0.0,0,0.0,2.73,0.06,1,0.06,0.06,1,0.06,10,0.58,20.0,10.0,0.17,4.71,38.27,0.0,0.0,4.6,37.97,0.52,1.51,53.85,4.07,52.86,1.45,1.16,0.06,21.23,3.43,1.22,31.3,67.66,11.58,59.3,4.89,92.86,22.28,79.37,4.48,40.26,21.99,38.72,0.09,0.76,0.0,0.0,0.0,0.0,0.58,5.29,56.04,3.96,39.71,0.35000000000000003,16.67,0.29,1.75,7.62,70.99,66.67,10.65,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.39,0.0,0.0,0.0,0.06,0,0
M. Campaña,Martín Nicolás Campaña Delgado,91568,Liverpool,Liverpool,https://cdn5.wyscout.com/photos/team/public/977_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1989-05-29,400000,2026-12-31,16,1536,0,0.0,0,0.0,0.64,90.91,Uruguay,"['Uruguay', 'Italy']",right,185,75,False,1.35,0.18,100.0,0.35000000000000003,100.0,0.06,0.08,0.0,1.11,1.6099999999999999,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.06,8.85,0.23,0.18,17.52,86.62,9.49,75.93,0.0,0.0,11.48,99.49,6.04,62.14,30.29,45.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,44.0,0.0,0.0,0.06,0.0,0.0,0.0,3.93,79.1,99.21,7.38,20,1.17,69,4.04,5,71.01,20.1,1.18,0.1,0.006,0.0,1.29,0.35000000000000003,,,,0.0,0,0
C. Mayada,Camilo Sebastián Mayada Mesa,91623,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,"RB, RW, RCMF3",RB,35,RW,22,RCMF3,16,35.0,1991-01-08,250000,2026-12-31,16,1513,0,0.36,1,0.5,13.03,48.86,Uruguay,"['Uruguay', 'Argentina']",right,174,73,False,5.47,4.58,58.44,1.55,34.62,0.06,0.09,0.12,2.74,4.11,0.71,3,0.18,0,0.0,1.01,0.0,0,0.0,0.02,0,0.0,10,0.59,10.0,0.0,0.06,0.65,9.09,0.18,33.33,0.48,0.0,0.06,1.19,70.0,5.29,48.31,0.54,2.02,0.48,23.56,0.89,0.9500000000000001,35.04,84.72,10.77,72.93,7.32,90.24,31.94,89.01,2.44,48.78,16.3,27.12,0.03,0.48,0.12,0.0,0.06,100.0,0.06,3.75,77.78,1.07,38.89,0.12,100.0,0.42,0.06,5.35,72.22,90.3,9.81,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.55,0.18,0.0,0.0,0.0,0,0
F. Ginella,Francisco Ginella Dabezies,505443,Albion,Albion,https://cdn5.wyscout.com/photos/team/public/g25838_120x120.png,Primera División,"LCMF, LDMF, RCMF",LCMF,47,LDMF,25,RCMF,10,27.0,1999-01-21,1000000,2026-12-31,16,1509,2,1.04,1,0.76,15.03,50.79,Uruguay,"['Uruguay', 'Italy']",right,182,73,False,7.93,5.55,65.59,1.85,48.39,1.19,1.75,0.18,3.1,4.5600000000000005,0.8300000000000001,2,0.12,0,0.0,1.01,0.12,2,0.12,0.06,0,0.0,16,0.9500000000000001,31.25,12.5,0.06,0.36,16.67,0.24,0.0,0.06,0.0,0.12,1.01,52.94,4.71,43.04,0.54,0.8300000000000001,0.18,31.91,0.66,1.13,42.94,84.58,13.66,76.42,6.2,97.12,39.54,87.33,3.04,56.86,17.94,35.26,0.05,0.6000000000000001,0.0,0.06,0.24,50.0,0.12,6.86,75.65,1.25,61.9,0.42,57.14,0.42,0.06,6.32,75.47,88.97,16.22,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.85,0.54,0.06,0.0,1.01,0,0
A. Buffa,Agustin Buffa Pedrouzo,-38464,Wanderers,Wanderers,https://cdn5.wyscout.com/photos/team/public/662_120x120.png,Primera División,GK,GK,100,,0,,0,28.0,1998-01-08,175000,2026-12-31,15,1501,0,0.0,0,0.0,0.6000000000000001,90.0,Uruguay,['Uruguay'],right,182,80,False,2.22,0.18,66.67,0.18,100.0,0.0,0.0,0.0,2.1,2.89,0.06,3,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.06,6.3,0.06,0.18,14.81,82.19,9.05,72.85,0.0,0.0,7.73,97.67,7.02,65.81,35.88,49.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,60.87,0.24,50.0,0.12,100.0,0.12,0.0,5.58,75.27,98.86,5.28,21,1.26,69,4.14,5,69.57,21.06,1.26,0.06,0.004,0.0,1.26,0.18,,,,0.0,0,0
