Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Jairo,Jairo Rodrigues Peixoto Filho,259260,Hoang Anh Gia Lai,Hoang Anh Gia Lai,https://cdn5.wyscout.com/photos/team/public/g3657_120x120.png,V.League 1,"LCB, CB",LCB,65,CB,31,,0,33.0,1992-12-31,125000,2026-06-30,16,1629,3,3.34,0,0.45,12.32,64.13,Brazil,['Brazil'],left,190,84,False,8.51,2.87,82.69,6.8,62.6,0.44,0.61,0.55,5.69,7.84,0.33,0,0.0,0,0.0,0.44,0.17,3,0.17,0.18,1,0.06,28,1.55,21.43,10.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,40.0,1.16,33.33,1.6,0.0,0.0,6.96,0.33,0.77,15.19,74.55,8.9,66.46,0.61,90.91,10.88,83.25,4.31,52.56,22.72,36.46,0.03,0.28,0.0,0.0,0.0,0.0,0.06,2.93,64.15,0.06,100.0,0.11,0.0,0.17,0.0,4.36,63.29,88.89,3.98,0,,0,,0,0.0,0.0,0.0,,,0.17,,6.8,0.17,0.17,33.33,0.0,1,0
Ngô Tùng Quốc,Tùng Quốc Ngô,435763,Binh Duong,Binh Duong,https://cdn5.wyscout.com/photos/team/public/g3653_120x120.png,V.League 1,RB,RB,91,,0,,0,28.0,1998-01-27,200000,,16,1622,2,0.45,0,0.7000000000000001,12.26,51.13,Vietnam,['Vietnam'],,170,62,False,6.77,5.27,61.05,2.33,42.86,0.39,0.5700000000000001,0.55,3.16,4.61,0.61,2,0.11,0,0.0,1.5,0.11,2,0.11,0.03,0,0.0,6,0.33,50.0,33.333,0.0,1.5,40.74,0.0,0.0,1.44,38.46,0.11,1.33,45.83,3.27,42.37,0.72,0.8300000000000001,0.11,20.14,1.3900000000000001,0.67,29.8,77.28,14.37,73.75,4.33,92.31,23.53,84.67,4.83,51.72,18.91,33.85,0.04,0.61,0.0,0.06,0.11,100.0,0.06,5.38,69.07,1.78,50.0,0.28,40.0,0.61,0.61,8.05,73.79,75.86,6.44,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.33,0.22,0.0,0.0,0.17,0,0
Đặng Văn Lâm,Văn Lâm Đặng,200638,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,GK,GK,100,,0,,0,32.0,1993-08-13,300000,2028-06-30,16,1621,0,0.0,0,0.0,0.72,76.92,Russia,"['Russia', 'Vietnam']",left,189,78,False,1.11,0.17,33.33,0.33,100.0,0.0,0.0,0.06,1.05,1.6600000000000001,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,5.22,0.11,0.17,10.55,81.58,6.0,70.37,0.0,0.0,7.11,97.66,3.39,49.18,30.03,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89,0.0,0.0,0.0,0.0,0.0,0.0,2.33,66.67,97.1,3.83,22,1.22,75,4.16,3,70.67,21.61,1.2,-0.39,-0.022,0.0,1.22,0.33,,,,0.0,0,0
Cao Van Binh,Văn Bình Cao,-533046,Song Lam Nghe An,Song Lam Nghe An,https://cdn5.wyscout.com/photos/team/public/3638_120x120.png,V.League 1,GK,GK,100,,0,,0,20.0,2005-07-09,0,,16,1618,0,0.0,0,0.0,1.22,77.27,Vietnam,['Vietnam'],,183,0,False,1.9500000000000002,0.11,100.0,0.72,69.23,0.0,0.0,0.0,1.8399999999999999,2.33,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,5.62,0.22,0.44,11.9,80.37,7.79,73.57,0.0,0.0,6.95,97.6,4.95,56.18,34.65,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3900000000000001,44.0,0.11,0.0,0.06,0.0,0.0,0.0,3.73,70.15,94.44,4.0,22,1.22,82,4.5600000000000005,2,73.17,27.23,1.51,5.23,0.291,0.0,2.61,0.72,,,,0.0,0,0
Michael Olaha,Michael Olaha,471472,Song Lam Nghe An,Song Lam Nghe An,https://cdn5.wyscout.com/photos/team/public/3638_120x120.png,V.League 1,"CF, AMF",CF,56,AMF,18,,0,29.0,1996-07-04,275000,,16,1618,6,5.14,1,0.78,26.98,47.01,Nigeria,['Nigeria'],,0,0,False,5.01,3.7800000000000002,70.59,8.45,46.71,0.0,0.0,0.06,2.34,2.9699999999999998,1.17,0,0.0,0,0.0,3.17,0.33,4,0.22,0.29,0,0.0,42,2.34,45.24,14.286,0.06,0.8300000000000001,26.67,0.33,33.33,0.5,22.22,0.0,2.73,65.31,11.35,39.22,3.2800000000000002,2.17,0.56,13.79,2.56,2.0,22.58,77.34,6.23,65.18,5.34,94.79,19.97,81.34,1.8900000000000001,55.88,16.6,40.14,0.04,0.72,0.0,0.06,0.17,66.67,0.22,2.7800000000000002,72.0,1.8399999999999999,39.39,0.33,33.33,1.22,0.11,3.06,70.91,75.4,7.01,0,,0,,0,0.0,0.0,0.0,,,0.06,,8.45,0.06,0.06,0.0,0.0,2,100
P. Le Giang,Patrik Le Giang,134393,Hồ Chí Minh City,Hồ Chí Minh City,https://cdn5.wyscout.com/photos/team/public/g13063_120x120.png,V.League 1,GK,GK,100,,0,,0,33.0,1992-09-08,200000,2027-06-30,16,1610,0,0.0,0,0.0,1.34,62.5,Slovakia,"['Slovakia', 'Vietnam']",both,185,85,False,1.51,0.28,40.0,0.61,81.82,0.06,0.08,0.06,1.34,2.01,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,40.0,0.0,0.0,0.0,7.04,0.17,0.28,12.63,83.19,7.77,76.98,0.0,0.0,9.61,95.35,3.02,44.44,32.48,52.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,39.39,0.11,0.0,0.06,0.0,0.0,0.0,2.12,76.32,93.67,4.42,18,1.01,70,3.91,6,74.29,21.6,1.21,3.6,0.201,0.0,1.12,0.61,,,,0.0,0,0
Nguyễn Hoàng Đức,Hoàng Đức Nguyễn,461936,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,"LCMF, RCMF",LCMF,58,RCMF,15,,0,28.0,1998-01-11,0,,16,1608,6,4.71,3,3.21,13.1,56.84,Vietnam,['Vietnam'],left,184,79,False,6.6,4.76,61.18,1.57,64.29,0.17,0.27,0.06,3.5300000000000002,5.58,1.06,2,0.11,0,0.0,1.96,0.34,4,0.22,0.26,1,0.06,32,1.79,34.38,18.75,0.17,0.9,62.5,0.5,66.67,0.34,50.0,0.17,1.06,73.68,5.43,49.48,1.34,1.29,0.06,28.71,0.28,0.84,41.87,87.83,15.11,79.63,6.55,96.58,38.17,89.88,2.8,68.0,17.03,34.21,0.18,1.74,0.0,0.06,0.06,0.0,0.5,6.66,82.35,1.6800000000000002,60.0,0.34,50.0,0.78,0.5,8.12,84.83,91.13,11.36,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.57,1.18,0.22,25.0,2.41,2,100
Trần Nguyên Mạnh,Nguyên Mạnh Trần,178726,Nam Dinh,Nam Dinh,https://cdn5.wyscout.com/photos/team/public/g6403_120x120.png,V.League 1,GK,GK,100,,0,,0,34.0,1991-12-20,225000,2028-06-30,16,1608,0,0.0,0,0.01,0.9500000000000001,88.24,Vietnam,['Vietnam'],right,178,70,False,1.29,0.17,100.0,0.45,87.5,0.0,0.0,0.0,1.12,2.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,80.0,0.0,0.0,0.06,14.66,0.45,0.22,22.95,90.98,12.54,85.71,0.06,100.0,16.01,99.3,6.94,71.77,30.57,49.65,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.35,57.14,0.34,33.33,0.39,57.14,0.11,0.0,5.21,87.1,98.28,9.74,20,1.12,52,2.91,3,61.54,13.46,0.75,-6.54,-0.366,0.06,1.23,0.45,,,,0.0,0,0
Lucão,Lucas Vinicius Gonçalves Silva,180140,Viettel,Viettel,https://cdn5.wyscout.com/photos/team/public/g26761_120x120.png,V.League 1,CF,CF,90,,0,,0,34.0,1991-09-14,275000,,16,1603,9,8.11,2,1.33,26.95,47.08,Brazil,['Brazil'],right,184,79,False,4.38,3.54,61.9,9.54,50.59,0.22,0.36,0.0,1.97,3.18,1.9100000000000001,2,0.11,0,0.0,2.92,0.51,9,0.51,0.46,4,0.22,58,3.26,43.1,15.517,0.11,1.52,14.81,1.01,16.67,0.51,11.11,0.22,2.86,43.14,9.6,39.77,4.83,0.9,0.11,10.67,2.13,1.85,18.13,66.56,3.59,53.13,4.77,87.06,15.16,75.19,1.57,28.57,19.21,29.36,0.07,0.67,0.11,0.06,0.11,50.0,0.39,2.47,50.0,1.9100000000000001,47.06,0.34,16.67,1.07,0.39,2.41,79.07,60.58,5.84,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.54,0.11,0.11,50.0,0.0,1,0
N. Thanh Tùng,Nguyễn  Thanh Tùng,-403869,Hồng Lĩnh Hà Tĩnh,Hồng Lĩnh Hà Tĩnh,https://cdn5.wyscout.com/photos/team/public/g35352_120x120.png,V.League 1,GK,GK,100,,0,,0,27.0,1998-06-23,0,,16,1599,0,0.0,0,0.0,0.28,40.0,Vietnam,['Vietnam'],,0,0,False,1.24,0.0,0.0,0.17,66.67,0.0,0.0,0.0,1.24,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,9.06,0.17,0.0,15.65,90.29,7.94,83.69,0.0,0.0,10.75,98.95,4.9,71.26,31.32,50.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,71.43,0.06,0.0,0.06,0.0,0.0,0.0,4.17,82.43,96.92,7.32,17,0.96,55,3.1,6,69.09,10.17,0.5700000000000001,-6.83,-0.384,0.0,1.46,0.17,,,,0.0,0,0
