Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Abbruzzese,Rhys Abbruzzese,484745,Haverfordwest County,Haverfordwest County,https://cdn5.wyscout.com/photos/team/public/g2317_120x120.png,Premier League,"LWB, LB5",LWB,73,LB5,14,,0,28.0,1998-03-23,0,2028-05-31,34,3305,5,2.8200000000000003,1,4.5600000000000005,15.17,51.53,Wales,['Wales'],left,171,0,False,6.05,3.7,66.18,2.94,36.11,0.03,0.04,0.08,3.5700000000000003,5.08,0.27,3,0.08,0,0.0,3.73,0.14,5,0.14,0.08,1,0.03,39,1.06,38.46,12.821,0.03,4.0,33.33,3.5700000000000003,34.35,0.44,25.0,0.44,2.9699999999999998,66.97,6.92,53.94,0.93,3.0,0.30000000000000004,22.6,1.12,1.72,35.84,70.67,13.15,55.49,5.66,96.15,25.71,84.32,6.26,38.26,22.19,36.61,0.12,1.06,0.0,0.03,0.05,0.0,0.49,5.23,48.44,3.7,41.91,0.22,12.5,0.44,1.33,8.09,66.33,77.41,11.57,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.94,1.28,0.11,50.0,2.15,0,0.0
M. Davies,Mael Davies,453036,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,"RWB, RB, RB5",RWB,37,RB,25,RB5,21,27.0,1998-10-10,0,2026-05-31,34,3277,4,3.18,1,3.45,17.44,55.43,Wales,['Wales'],,0,0,False,8.1,5.0,62.64,6.67,55.56,0.27,0.39,0.30000000000000004,4.7,6.75,0.93,2,0.05,0,0.0,2.36,0.11,4,0.11,0.09,0,0.0,25,0.6900000000000001,32.0,16.0,0.03,3.71,37.04,0.03,100.0,3.65,36.09,0.6000000000000001,1.37,56.0,3.35,50.0,1.29,0.77,0.14,17.25,1.9,1.02,29.99,57.6,15.0,50.37,3.63,90.91,19.2,66.67,7.28,44.15,24.01,37.82,0.09,0.74,0.03,0.0,0.0,0.0,0.33,6.32,46.09,4.28,45.51,0.44,62.5,0.66,1.35,9.69,65.44,57.3,7.33,0,,0,,0,0.0,0.0,0.0,,,0.33,,6.67,0.0,0.0,0.0,0.03,0,0.0
D. Hawkins,Daniel Hawkins,453043,Haverfordwest County,Haverfordwest County,https://cdn5.wyscout.com/photos/team/public/g2317_120x120.png,Premier League,"CF, AMF, RWB",CF,28,AMF,27,RWB,26,25.0,2001-04-22,0,,34,3164,7,5.7,4,4.86,12.89,39.07,Wales,['Wales'],,0,0,False,4.44,3.1,64.22,2.02,25.35,0.03,0.04,0.2,2.42,3.44,0.28,2,0.06,0,0.0,2.39,0.2,7,0.2,0.16,0,0.0,46,1.31,39.13,15.217,0.11,2.62,30.43,1.1400000000000001,27.5,1.42,34.0,0.43,1.96,53.62,5.4,36.32,1.9300000000000002,1.19,0.09,20.22,1.79,0.5700000000000001,32.03,72.74,9.27,54.91,7.79,93.8,26.2,81.11,3.3,38.79,18.16,32.08,0.14,1.1400000000000001,0.06,0.03,0.17,16.67,0.5700000000000001,4.35,49.67,3.58,39.68,0.54,21.05,0.9400000000000001,0.8,5.55,68.72,72.57,9.64,0,,0,,0,0.0,0.0,0.0,,,0.26,,2.02,0.54,0.0,0.0,1.9300000000000002,0,0.0
B. Margetson,Ben Margetson,-49864,Barry Town United,Barry Town United,https://cdn5.wyscout.com/photos/team/public/g2331_120x120.png,Premier League,"RCB3, CB",RCB3,72,CB,21,,0,25.0,2000-09-01,50000,2026-05-31,33,3132,6,3.16,4,0.64,13.56,59.75,Wales,['Wales'],right,185,71,False,8.25,5.11,64.04,4.63,59.63,0.2,0.27,0.63,4.77,6.36,0.32,1,0.03,0,0.0,0.75,0.17,6,0.17,0.09,3,0.09,14,0.4,57.14,42.857,0.11,0.75,38.46,0.0,0.0,0.75,38.46,0.2,0.29,80.0,1.8399999999999999,48.44,0.55,1.15,0.03,24.83,0.52,0.78,41.09,78.46,19.17,64.32,2.8200000000000003,94.9,32.56,88.17,7.82,41.91,22.5,39.31,0.02,0.2,0.03,0.0,0.0,0.0,0.14,7.99,53.96,1.44,38.0,0.5700000000000001,30.0,0.17,0.32,8.85,64.61,92.12,15.69,0,,0,,0,0.0,0.0,0.0,,,1.12,,4.63,0.0,0.0,0.0,0.0,0,0.0
C. Craven,Chris Craven,-109421,Cardiff MU,Cardiff MU,https://cdn5.wyscout.com/photos/team/public/g2729_120x120.png,Premier League,"RB, RCB3",RB,22,RCB3,18,,0,25.0,2000-10-03,0,2026-05-31,32,3117,3,3.76,4,1.58,16.66,52.51,Wales,['Wales'],right,174,0,False,8.55,5.2,66.11,4.79,48.8,0.2,0.29,0.64,4.91,7.1,0.64,6,0.17,0,0.0,0.87,0.09,1,0.03,0.11,0,0.0,21,0.61,28.57,14.286,0.12,0.98,44.12,0.06,100.0,0.84,44.83,0.2,0.72,32.0,3.64,39.68,0.46,0.72,0.03,18.39,0.55,1.3,37.82,69.31,18.54,57.01,3.7199999999999998,88.37,27.43,80.63,9.47,39.02,22.08,36.36,0.05,0.43,0.03,0.03,0.06,50.0,0.35000000000000003,9.07,46.5,2.54,35.23,0.9,29.03,0.6900000000000001,0.46,9.56,68.58,81.31,11.43,0,,0,,0,0.0,0.0,0.0,,,0.55,,4.79,0.2,0.06,100.0,0.0,2,100.0
J. Torrance,Joel Torrance,-160129,Bala Town,Bala Town,https://cdn5.wyscout.com/photos/team/public/2772_120x120.png,Premier League,GK,GK,100,,0,,0,24.0,2002-04-02,25000,2026-05-31,32,3093,0,0.0,0,0.1,1.16,90.0,England,['England'],right,195,84,False,2.33,0.09,33.33,0.79,100.0,0.03,0.03,0.0,2.27,2.71,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.15,80.0,0.0,0.0,0.0,5.41,0.06,0.26,16.06,59.96,14.84,57.84,0.03,100.0,1.8900000000000001,90.77,14.11,56.08,52.69,55.5,0.0,0.03,0.0,0.0,0.0,0.0,0.03,9.02,51.94,0.49,11.76,0.29,20.0,0.06,0.0,9.28,82.45,94.29,1.02,45,1.31,184,5.35,10,75.54,52.55,1.53,7.55,0.22,0.0,2.5,0.79,,,,0.0,0,0.0
G. Ratcliffe,George Ratcliffe,460612,Barry Town United,Barry Town United,https://cdn5.wyscout.com/photos/team/public/g2331_120x120.png,Premier League,GK,GK,100,,0,,0,25.0,2000-09-12,100000,2026-05-31,32,3084,0,0.17,0,0.0,0.99,82.35,Wales,['Wales'],right,0,0,False,1.46,0.0,0.0,0.7000000000000001,87.5,0.0,0.0,0.0,1.46,1.9500000000000002,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.18,66.67,0.03,0.0,0.0,18.56,0.18,0.18,27.87,75.18,18.21,64.1,0.0,0.0,12.81,96.81,15.0,57.0,40.59,53.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,52.57,0.64,22.73,0.35000000000000003,33.33,0.18,0.0,10.27,79.83,96.18,9.16,32,0.93,128,3.74,13,75.0,36.74,1.07,4.74,0.138,0.0,1.8399999999999999,0.7000000000000001,,,,0.0,0,0.0
K. Jenkins,Kian Jenkins,-172630,Briton Ferry,Briton Ferry,https://cdn5.wyscout.com/photos/team/public/g4997_120x120.png,Premier League,"LWB, LB",LWB,44,LB,17,,0,21.0,2004-06-04,0,,32,3070,4,4.32,5,3.9,14.98,52.45,Wales,['Wales'],left,0,0,False,9.03,4.87,72.29,4.75,39.51,0.06,0.09,0.23,5.45,8.17,0.23,2,0.06,0,0.0,1.29,0.12,4,0.12,0.13,1,0.03,31,0.91,48.39,12.903,0.15,1.58,29.63,1.32,24.44,0.21,57.14,0.38,0.76,50.0,3.05,50.96,1.26,1.03,0.06,18.64,1.03,1.03,35.62,68.81,17.68,56.22,4.72,86.34,26.41,79.58,7.68,39.69,21.51,34.69,0.11,0.62,0.03,0.0,0.0,0.0,0.23,7.15,52.87,2.32,34.18,0.44,40.0,0.67,0.47000000000000003,9.06,64.08,81.27,9.7,0,,0,,0,0.0,0.0,0.0,,,0.76,,4.75,1.23,0.15,60.0,1.9300000000000002,0,0.0
N. Wood,Nathan  Wood,-184110,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,"LW, CF, AMF",LW,27,CF,18,AMF,11,28.0,1998-01-07,0,,34,3067,1,4.02,3,4.52,18.49,43.02,Wales,['Wales'],left,186,70,False,4.8100000000000005,3.46,70.34,3.55,49.59,0.21,0.30000000000000004,0.09,2.17,3.12,0.5,4,0.12,0,0.0,3.76,0.03,1,0.03,0.12,0,0.0,57,1.67,21.05,1.754,0.09,3.49,41.18,2.61,39.33,0.88,46.67,0.7000000000000001,4.08,48.2,9.54,32.0,1.73,2.29,0.29,14.44,0.97,0.76,24.83,65.96,8.48,46.02,5.55,93.12,16.67,77.46,4.78,43.56,23.54,36.07,0.13,1.03,0.06,0.06,0.03,0.0,0.59,4.46,42.76,4.2,44.06,0.53,38.89,0.7000000000000001,1.44,5.08,79.77,68.52,7.92,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.55,0.06,0.03,0.0,1.17,0,0.0
O. Hulbert,Ollie Hulbert,-196910,Barry Town United,Barry Town United,https://cdn5.wyscout.com/photos/team/public/g2331_120x120.png,Premier League,CF,CF,96,,0,,0,23.0,2003-02-25,0,2026-05-31,32,3055,10,14.71,3,5.11,20.24,34.06,England,['England'],unknown,181,0,False,3.3,2.95,64.0,5.51,35.29,0.27,0.35000000000000003,0.0,1.15,1.53,0.9400000000000001,3,0.09,0,0.0,2.42,0.29,9,0.27,0.43,3,0.09,74,2.18,45.95,13.514,0.09,1.38,31.91,0.8,33.33,0.59,30.0,0.24,2.03,47.83,8.66,28.23,4.33,1.53,0.27,15.58,3.36,0.59,21.59,78.04,3.98,61.48,7.36,92.4,19.53,82.5,0.74,40.0,15.97,21.44,0.15,0.8,0.06,0.0,0.06,0.0,0.5,1.62,60.0,1.21,68.29,0.15,0.0,0.8200000000000001,0.44,1.94,74.24,78.92,5.45,0,,0,,0,0.0,0.0,0.0,,,0.03,,5.51,0.0,0.0,0.0,0.0,1,100.0
