Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Sinagra,Adrian Sinagra,-176881,Olympic Kingsway,Olympic Kingsway,https://cdn5.wyscout.com/photos/team/public/g27090_120x120.png,Western Australia NPL,GK,GK,100,,0,,0,23.0,2002-11-05,0,,24,2326,0,0.0,0,0.0,1.35,100.0,Australia,['Australia'],,0,0,False,1.82,0.08,100.0,1.01,100.0,0.0,0.0,0.0,1.74,2.49,0.04,3,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,7.58,0.15,0.31,16.13,74.82,10.64,63.64,0.0,0.0,8.4,95.85,7.66,52.02,36.39,48.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,40.3,0.19,0.0,0.15,0.0,0.0,0.0,5.49,68.31,98.39,4.8,24,0.93,118,4.57,11,79.66,29.34,1.1400000000000001,5.34,0.20700000000000002,0.0,3.1,1.01,,,,0.0,0,0
O. Annis,Oliver Annis,522723,Olympic Kingsway,Olympic Kingsway,https://cdn5.wyscout.com/photos/team/public/g27090_120x120.png,Western Australia NPL,LB,LB,100,,0,,0,27.0,1998-10-16,0,,24,2319,0,1.24,1,1.21,16.46,54.48,Australia,['Australia'],,0,0,False,11.6,7.34,62.43,3.42,48.86,0.7000000000000001,0.99,0.35000000000000003,6.33,9.01,1.01,7,0.27,0,0.0,1.82,0.0,0,0.0,0.05,0,0.0,9,0.35000000000000003,11.11,0.0,0.04,2.21,42.11,2.17,42.86,0.04,0.0,0.16,1.3599999999999999,62.86,3.49,50.0,0.54,0.7000000000000001,0.08,19.87,1.51,1.24,32.87,70.01,16.18,60.91,3.61,88.17,24.45,80.0,6.36,40.85,21.21,35.81,0.05,0.39,0.0,0.08,0.0,0.0,0.19,4.77,43.9,2.41,53.23,0.12,0.0,0.39,0.89,9.24,63.03,75.59,8.27,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.42,0.08,0.0,0.0,0.12,0,0
S. Mitchinson,Sam Mitchinson,235356,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Australian Championship,LB,LB,99,,0,,0,33.0,1992-09-26,0,,23,2225,0,0.19,1,0.96,8.45,56.46,England,"['England', 'Australia']",left,180,70,False,5.82,4.53,67.86,1.33,54.55,0.0,0.0,0.2,2.75,3.51,0.6900000000000001,4,0.16,0,0.0,0.93,0.0,0,0.0,0.01,0,0.0,4,0.16,25.0,0.0,0.04,1.7000000000000002,40.48,1.7000000000000002,40.48,0.0,0.0,0.2,0.28,57.14,1.38,41.18,0.08,0.36,0.08,14.93,0.73,0.08,25.56,72.47,12.98,63.55,3.8,93.62,17.88,83.26,6.03,49.66,22.39,34.33,0.04,0.4,0.0,0.0,0.04,100.0,0.24,4.57,62.83,1.6600000000000001,39.02,0.4,50.0,0.2,0.61,8.13,65.67,80.54,6.03,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.33,0.04,0.0,0.0,0.0,0,0
T. Garner,Tyler Garner,-239431,Olympic Kingsway,Olympic Kingsway,https://cdn5.wyscout.com/photos/team/public/g27090_120x120.png,Western Australia NPL,"CF, LW, AMF",CF,20,LW,16,AMF,13,24.0,2001-10-27,0,,24,2187,3,2.05,5,2.01,21.07,45.7,United States,['United States'],unknown,181,0,False,7.33,6.21,70.2,2.39,18.97,0.12,0.18,0.04,2.84,4.05,0.29,1,0.04,0,0.0,3.33,0.12,3,0.12,0.08,0,0.0,25,1.03,44.0,12.0,0.21,2.1,31.37,1.23,40.0,0.86,19.05,0.29,3.99,53.61,10.82,39.16,1.73,2.14,0.41000000000000003,21.77,2.1,1.32,34.81,71.16,13.79,59.4,6.13,92.62,27.28,79.64,5.5600000000000005,43.7,18.56,34.66,0.08,0.78,0.21,0.04,0.25,33.33,0.53,6.63,49.07,3.58,42.53,0.91,22.73,1.52,0.62,6.46,75.8,74.07,8.89,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.39,0.0,0.0,0.0,0.0,0,0
D. Nicol,Daryll Nicol,46952,Perth RedStar,Perth RedStar,https://cdn5.wyscout.com/photos/team/public/g-15380_120x120.png,Western Australia NPL,CF,CF,92,,0,,0,35.0,1990-06-22,0,,22,2145,18,20.29,2,2.95,13.47,29.6,Scotland,['Scotland'],,178,67,False,1.76,1.85,54.55,2.52,21.67,0.13,0.16,0.04,0.63,0.8,0.76,3,0.13,0,0.0,3.4,0.76,14,0.59,0.85,1,0.04,121,5.08,42.98,14.876,0.08,0.88,28.57,0.63,33.33,0.25,16.67,0.21,2.06,40.82,7.09,28.4,5.2,0.71,0.04,13.13,2.35,0.59,15.61,76.08,4.03,58.33,3.52,91.67,14.14,79.82,0.63,53.33,16.94,16.74,0.12,0.76,0.0,0.0,0.17,75.0,0.46,1.72,65.85,1.6800000000000002,55.0,0.21,80.0,1.26,0.25,1.6800000000000002,87.5,80.0,4.83,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.52,0.42,0.42,50.0,0.0,5,80
L. Palmateer,Luke Palmateer,-45999,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Australian Championship,LCB,LCB,95,,0,,0,31.0,1994-06-27,0,,22,2126,2,1.71,0,0.09,13.76,69.23,United States,['United States'],,191,86,False,7.45,4.28,76.24,6.48,69.93,0.04,0.05,0.63,4.15,5.27,0.17,0,0.0,0,0.0,0.34,0.08,2,0.08,0.07,2,0.08,13,0.55,38.46,15.385,0.0,0.21,40.0,0.13,33.33,0.08,50.0,0.04,0.04,100.0,0.89,47.62,1.1,0.08,0.0,15.32,0.04,0.34,29.42,75.4,14.82,65.43,1.52,80.56,21.08,83.94,8.17,54.4,25.7,41.34,0.0,0.13,0.0,0.0,0.0,0.0,0.08,4.44,61.9,0.59,35.71,0.08,50.0,0.34,0.04,8.51,62.69,91.13,10.5,0,,0,,0,0.0,0.0,0.0,,,1.06,,6.48,0.0,0.0,0.0,0.0,0,0
L. Italiano,Lewis Italiano,212971,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Australian Championship,GK,GK,100,,0,,0,34.0,1990-12-10,0,,22,2126,0,0.0,0,0.0,1.1400000000000001,100.0,Australia,"['Australia', 'Italy']",right,191,83,False,1.02,0.04,100.0,0.89,100.0,0.0,0.0,0.0,0.97,1.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,7.66,0.17,0.13,15.71,80.86,11.6,74.82,0.04,100.0,5.55,98.47,10.12,71.55,43.73,52.35,0.0,0.0,0.04,0.0,0.0,0.0,0.0,4.23,64.0,0.21,20.0,0.08,0.0,0.04,0.0,7.87,86.02,98.89,3.81,12,0.51,84,3.56,13,85.71,15.54,0.66,3.54,0.15,0.04,2.37,0.89,,,,0.0,0,0
L. Lebib,Lebib Lebib,-573480,Olympic Kingsway,Olympic Kingsway,https://cdn5.wyscout.com/photos/team/public/g27090_120x120.png,Western Australia NPL,RB,RB,97,,0,,0,22.0,2003-08-23,0,,23,2111,2,1.31,5,5.13,19.87,50.21,Australia,['Australia'],unknown,0,0,False,9.98,6.95,65.64,2.13,46.0,0.38,0.56,0.43,5.03,7.38,0.77,4,0.17,0,0.0,2.73,0.09,2,0.09,0.06,0,0.0,14,0.6000000000000001,42.86,14.286,0.21,2.73,39.06,0.0,0.0,2.73,39.06,0.68,2.6,54.1,8.14,43.98,2.0,2.22,0.64,28.48,2.77,1.3599999999999999,43.83,75.88,18.03,67.14,8.06,89.42,36.41,83.02,4.9,42.61,18.39,36.2,0.22,1.19,0.09,0.09,0.09,0.0,0.68,5.59,64.12,2.56,50.0,0.38,22.22,1.07,0.98,8.95,61.43,78.93,10.32,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.13,0.0,0.0,0.0,0.0,0,0
P. Loughrey,Patrick Loughrey,-573230,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Australian Championship,"RW, LW, LAMF",RW,51,LW,25,LAMF,16,25.0,2000-01-02,0,,23,2079,8,9.5,3,6.06,24.07,45.32,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,8.66,7.45,70.35,3.12,36.11,0.43,0.56,0.04,2.99,3.83,0.87,2,0.09,0,0.0,4.24,0.35000000000000003,4,0.17,0.41000000000000003,0,0.0,53,2.29,39.62,15.094,0.13,3.07,39.44,1.69,28.21,1.34,54.84,0.52,4.68,45.37,10.65,34.15,3.42,2.47,0.65,12.9,2.03,0.91,21.21,69.18,5.45,59.52,5.06,92.31,16.84,76.86,1.34,41.94,19.56,21.69,0.26,2.08,0.09,0.0,0.0,0.0,0.61,2.29,62.26,2.12,63.27,0.13,33.33,0.65,1.17,3.59,72.29,70.63,6.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.12,1.26,0.35000000000000003,25.0,2.55,5,80
L. Reddy,Liam Reddy,17594,Perth RedStar,Perth RedStar,https://cdn5.wyscout.com/photos/team/public/g-15380_120x120.png,Western Australia NPL,GK,GK,100,,0,,0,44.0,1981-08-08,0,,21,2059,0,0.14,0,0.11,1.09,84.0,Australia,['Australia'],left,189,90,False,1.4,0.04,100.0,0.5700000000000001,92.31,0.0,0.0,0.0,1.3599999999999999,1.72,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.31,57.14,0.04,0.0,0.0,16.61,0.44,0.17,24.48,83.04,13.99,72.81,0.0,0.0,17.35,96.98,7.12,49.08,31.72,53.08,0.0,0.04,0.0,0.0,0.0,0.0,0.04,3.19,36.99,0.22,0.0,0.35000000000000003,50.0,0.0,0.0,4.41,66.34,96.36,9.62,25,1.09,95,4.15,6,73.68,24.48,1.07,-0.52,-0.023,0.0,1.27,0.5700000000000001,,,,0.0,0,0
